05年12月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 別定,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄポｰトジェネラル, 53,ルメｰ,, 63,*  8,* -8, 1,  2.9,①①①, 1,13,Ｆゼットコマンダｰ, 55,池添  ,, 63,  -3,*  5, 5, 10.8,⑦⑥⑤, 1, 6,Ａシンボリツヨシ, 73,ボニヤ,, 72,   4,   5, 1,  4.0,⑦⑤③,,,,,,,,,,,,
 2, 4,Ｂクリノファイトオｰ, 55,佐藤哲, 0.9, 48,   1, -13, 3,  4.1,③④③, 2,14,Ｈマイネルアンツｰク, 54,石橋脩, 0.4, 59,  -1,  -2,11, 43.9,⑥④④, 2, 9,Ｅカフェブルックリン, 65,中舘  , 0.2, 68,   4,   3, 6, 13.0,⑤⑤⑥,,,,,,,,,,,,
 3, 5,Ｆメイショウオオヒメ, 45,安田  , 1.1, 45,  -2, -13, 7, 20.7,⑧⑥⑤, 3, 7,Ｂアポロキングダム, 61,柴山  , 1.0, 54,  -2,  -6, 2,  4.2,④④⑤, 3, 2,Ｌシルクゲイナｰ, 59,本田  , 0.3, 72,* 12,  -3, 2,  4.3,②①①,,,,,,,,,,,,
 4, 6,Ｇジュエリｰクイｰン, 45,四位  , 1.2, 38, -16,* -5, 5, 19.5,⑮⑬⑬, 4, 8,Ｄワイズユｰス, 57,川島信, 1.0, 54,  -4,  -2, 4,  9.7,⑨⑦⑧, 4,12,Ｆスカイノヒｰロ, 64,幸    , 0.4, 66,   7,  -1,10, 19.3,③③③,,,,,,,,,,,,
 5, 8,Ｃスｰパｰペガサス, 54,中舘  , 1.3, 49,*  8, -21, 4,  5.7,①②②, 5,10,Ｇチェリｰロビン, 54,高橋亮, 1.3, 53,*  0, -11, 6, 18.7,③②②, 5, 8,Ｈタガノメガミ, 62,小原  , 0.4, 63,  -2,   5, 4,  9.2,⑩⑧⑦,,,,,,,,,,,,
 6,11,Ｅオｰメドック, 46,中村将, 1.4, 42,*  3, -21, 6, 20.4,③③③, 6, 3,Ａマイネルポライト, 68,本田  , 1.5, 52,*  0, -14, 1,  2.6,②②①, 6,13,Ｂマイネルグロッソ, 68,津村  , 0.6, 59,  -2,   1, 3,  4.8,⑦⑦⑦,,,,,,,,,,,,
 7,15,Ａペンデュラｰ, 61,横山典, 1.5, 38,  -5, -15, 2,  3.5,③⑧⑧, 7, 6,Ｊディｰププレシャス, 44,四位  , 1.5, 51,  -4,  -7, 3,  7.9,⑩⑦⑦, 7, 4,Ｄポイントセブン, 65,池添  , 0.6, 56, -13,* 10, 8, 17.8,⑮⑭⑭,,,,,,,,,,,,
 8,14,Ｈリキアイファイト, 40,小島一, 1.5, 37,  -1, -19,10,190.7,③④⑤, 8, 1,Ｐヒカリネオジュｰム, 20,柴原  , 1.5, 51, -10,*  4,12, 61.5,⑮⑮⑭, 8,10,Ｊエルウェｰキュｰト, 60,鮫島良, 0.6, 58,  -4,   1,13,101.2,⑦⑧⑦,,,,,,,,,,,,
 9, 3,Ｐシゲルジコバイバイ, 15,川田  , 1.6, 35,  -8, -14,12,208.4,⑩⑨⑧, 9, 2,Ｎコスモハバネｰロ, 33,小牧太, 1.7, 50,  -8,  -1, 8, 20.5,⑬⑫⑪, 9,11,Ｃドリｰムゲッタｰ, 67,赤木  , 0.7, 58,  -7,   5, 9, 18.2,⑩⑪⑩,,,,,,,,,,,,
10,12,Ｏストロングパワｰ, 17,武英  , 1.8, 33, -11, -14,14,270.2,⑪⑪⑩,10, 9,Ｉサンファイバｰ, 47,野元  , 2.1, 47,  -9,  -4,10, 35.5,⑭⑫⑪,10,15,Ｋフジノシノプシス, 60,渡辺薫, 0.9, 61,   7,  -6,16,188.2,③③③,,,,,,,,,,,,
11,10,Ｍボブキャット, 25,鈴来  , 2.0, 27, -16, -13,13,242.7,⑬⑬⑮,11,12,Ｃシルクアヴァロン, 57,ルメｰ, 3.6, 35,  -5, -25, 9, 21.8,⑦⑩⑨,11, 7,Ｎトウショウシュｰト, 53,柴山  , 1.0, 54, -10,   4,15,174.1,⑫⑬⑫,,,,,,,,,,,,
12,16,Ｌクインリボｰ, 26,加藤士, 2.1, 27,  -9, -20, 9,166.6,⑧⑨⑩,12,15,Ｅパインクｰル, 56,北村浩, 3.7, 32,*  0, -37, 7, 19.3,①①②,12, 5,Ｏタマワｰルド, 50,石橋脩, 1.0, 48, -22,* 10,14,130.3,⑯⑯⑯,,,,,,,,,,,,
13, 9,Ｊチャｰムクロス, 33,鮫島良, 2.3, 24, -12, -20,11,204.5,⑪⑪⑩,13,16,Ｏセｰゴｰルド, 29,五十雄, 3.8, 32,  -4, -28,16,270.0,④⑦⑨,13,14,Ｉペプチドモアｰ, 62,熊沢  , 1.0, 53,  -7,   2,12, 74.6,⑫⑪⑫,,,,,,,,,,,,
14, 1,Ｎエｰスオネラエ, 23,津村  , 2.3, 27,  -3, -26, 8, 47.3,③⑥⑦,14, 5,Ｍヒノデオｰカン, 35,ボニヤ, 4.4, 29,  -6, -30,13, 76.3,⑫⑪⑪,14, 1,Ｍシャイニｰファスト, 56,内田浩, 1.4, 48, -11,   1,11, 53.8,⑫⑭⑭,,,,,,,,,,,,
15,13,Ｉミツアキタッチ, 34,嘉藤  , 2.5, 22, -16, -18,16,310.8,⑬⑬⑬,15,11,Ｋゼンノファイタｰ, 39,津村  , 4.9, 21,  -9, -33,14, 87.7,⑪⑫⑮,15,16,Ｐシルクイノセント, 40,武英  , 1.7, 55,* 10, -17, 7, 17.5,①②②,,,,,,,,,,,,
16, 7,Ｋシゲルドッポダカ, 30,河北  , 2.7, 18, -22, -16,15,293.0,⑯⑯⑯,16, 4,Ｌニチェ, 36,内田浩, 6.1, 15, -18, -25,15,100.2,⑯⑯⑯,16, 3,Ｇセイウンボｰルド, 64,四位  , 2.2, 40,  -2, -14, 5,  9.5,⑤⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+16 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,
単勝:290円 複勝:02=120円 04=150円 05=360円 枠連:530円,,,,,,,,,,,,"単勝:1,080円 複勝:13=240円 14=840円 07=190円 枠連:10,540円",,,,,,,,,,,,"単勝:400円 複勝:06=180円 09=330円 02=170円 枠連:2,870円",,,,,,,,,,,,,,,,,,,,,,,
馬連:530円 ワイド:02-04=210円 02-05=890円 04-05=940円,,,,,,,,,,,,"馬連:10,670円 ワイド:13-14=2,760円 07-13=820円 07-14=2,540円",,,,,,,,,,,,"馬連:2,920円 ワイド:06-09=1,230円 02-06=460円 02-09=1,380円",,,,,,,,,,,,,,,,,,,,,,,
"馬単:790円 3連複:3,270円",,,,,,,,,,,,"馬単:20,030円 3連複:22,890円",,,,,,,,,,,,"馬単:6,270円 3連複:5,170円",,,,,,,,,,,,,,,,,,,,,,,
■ 2R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 5R  ダ1000m 3歳上500万 別定,,,,,,,,,,,,■ 8R  ダ1000m 3歳上500万(混) 別定,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, パッシングマｰク,---,中舘  ,, 55,*-10,*  3, 3,  8.4,⑦③③, 1,14,Ａメイショウオブラ, 79,赤木  ,, 74,*  6,   6, 1,  2.6,③②②, 1,11,Ｇトｰセンラヴ, 66,ルメｰ,, 70,   1,*  8, 7, 12.2,⑨⑤⑤,,,,,,,,,,,,
 2, 8, ランナｰズハイ,---,池添  , 0.3, 53, -12,*  4, 7, 21.0,⑩⑥⑤, 2, 4,Ｅケンコウヘイロｰ, 63,中舘  , 0.0, 72,   4,   6, 5, 11.9,③③③, 2,15,Ｐソロタｰン, 49,中舘  , 0.0, 78,* 15,  -2, 3,  6.6,①①①,,,,,,,,,,,,
 3, 7, ミロンガ,---,横山典, 0.8, 48, -12,  -1, 2,  2.6,⑧⑥⑤, 3,12,Ｋリネンセブン, 56,南田  , 0.1, 66,  -5,*  9, 9, 89.5,⑧⑥⑥, 3, 4,Ｅコスモラヴアゲイン, 69,石橋脩, 0.2, 68,   5,   2, 1,  4.3,⑥③③,,,,,,,,,,,,
 4,10, アルタントプチ,---,赤木  , 0.9, 45,* -8,  -9,14,150.5,②①①, 4,10,Ｃガッサンルｰブル, 66,柴山  , 0.3, 63, -12,* 13, 3,  5.7,⑩⑩⑩, 4, 8,Ｋシルクプライズ, 61,田中勝, 0.3, 65,  -4,*  8, 4,  7.1,⑪⑨⑨,,,,,,,,,,,,
 5, 9, ジョｰプリマス,---,ルメｰ, 0.9, 48, -13,   0, 6, 19.2,⑨⑨⑧, 5, 8,Ｌヤクモソニック, 53,北村浩, 0.4, 64,  -1,   3, 8, 88.8,⑥⑤⑤, 5, 7,Ｌフサイチエｰシック, 58,大西  , 0.7, 63,   6,  -2,10, 37.5,④③③,,,,,,,,,,,,
 6, 1, メイショウトンボ,---,安田  , 1.1, 47, -14,   0, 4, 15.2,⑭⑫⑪, 6, 5,Ｆダイワフェロｰ, 61,ルメｰ, 0.5, 67,   4,   2, 4,  9.0,②③③, 6,13,Ｂマチカネマスラオ, 71,酒井学, 0.8, 67,* 11,  -6, 2,  5.4,②②②,,,,,,,,,,,,
 7, 4, ヒカリフェライト,---,本田  , 1.2, 42,*-10,  -8, 5, 15.7,⑥③④, 7, 6,Ｇノｰブルレディ, 60,田辺  , 0.5, 65,  -2,   6,10,121.2,⑤⑥⑥, 7, 5,Ｎラティｰノヒｰト, 53,鹿戸  , 1.2, 51, -13,   5,12, 56.1,⑭⑪⑪,,,,,,,,,,,,
 8,11, ヒカリダイキャスト,---,渡辺薫, 1.3, 42,* -8, -12, 9, 47.5,②②②, 8,13,Ｊビｰビｰパンチ, 56,田中勝, 0.6, 62,  -6,   6, 7, 39.1,⑥⑧⑧, 8, 3,Ｍラブリｰマスタｰ, 54,津村  , 1.2, 54,   0,  -5,16,174.7,③⑤⑤,,,,,,,,,,,,
 9,14, マイネルオレア,---,川島信, 1.5, 42, -13,  -5, 8, 32.9,⑩⑨⑧, 9, 9,Ｈバリトンヴォイス, 60,生野  , 0.7, 58,  -9,   5,12,146.8,⑩⑧⑧, 9, 9,Ａストｰンブリッジ, 71,小牧太, 1.3, 55,   2,  -6, 5,  7.6,⑥⑤⑤,,,,,,,,,,,,
10,12, ロングブｰム,---,石橋脩, 1.9, 38, -14,  -9,10, 49.7,⑬⑨⑧,10, 7,Ｄドリｰムシップ, 63,高野容, 0.9, 55, -16,* 11, 6, 16.6,⑫⑪⑪,10,12,Ｃエアコムロｰ, 70,柴山  , 1.3, 45, -24,* 11, 6,  8.0,⑯⑯⑯,,,,,,,,,,,,
11,15, ゼンノジュウシン,---,佐藤哲, 2.3, 39, -19,  -2,13,146.5,⑯⑯⑭,11, 1,Ｉシルクフライト, 57,高橋亮, 1.6, 45, -20,   5,11,133.1,⑫⑭⑭,11, 6,Ｈエムテイコウテン, 64,赤木  , 1.4, 47, -16,   5, 9, 36.1,⑬⑬⑬,,,,,,,,,,,,
12, 5, アトワンスヒロ,---,小原  , 2.4, 36, -16,  -9,16,246.9,⑫⑭⑫,12, 3,Ｎケイアイノホシ, 40,佐久間, 1.8, 41, -17,  -1,13,270.2,⑧⑪⑪,12,16,Ｉカネトシゼウス, 64,柴原  , 1.6, 45, -15,   2,11, 40.2,⑭⑬⑬,,,,,,,,,,,,
