06年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝2000m 4歳上500万 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａフレンドシップ, 67,モンテ,, 60, -18,* 16, 1,  1.2,③④③, 1, 9, スパニッシュソウル,---,藤岡  ,, 68,  -7,* 14, 2,  4.1,③④④, 1,10,Ｄウイニングザバロン, 64,生野  ,, 65,  -4,*  9, 7,  9.2,⑧⑧⑧, 1, 5,Ｄヤマニンアロンディ, 68,塚田  ,, 70,  -3,* 17, 6, 13.2,⑮⑮⑬
 2, 2,Ｈメイショウシャフト, 43,武幸  , 0.2, 54,*-17,  12, 5, 20.7,③②②, 2,11, エリモフィナｰレ,---,鮫島克, 0.6, 60,* -4,*  2, 1,  3.0,③③②, 2, 6,Ａマイティｰサンダｰ, 67,鮫島良, 0.1, 62,* -3,   4, 5,  7.7,⑤③③, 2,17,Ｂセンカク, 68,二本柳, 0.4, 69,   1,*  7, 4,  8.6,⑫⑦⑤
 3, 7,Ｅナリタベガ, 49,川田  , 0.7, 47, -19,   9, 6, 23.1,③④④, 3, 7, ビコｰガイア,---,佐久間, 0.7, 56,* -2,  -5,10, 49.4,①①①, 3,13,Ｉニシノミサイル, 60,田辺  , 0.4, 65,  -7,* 12,13, 76.7,⑭⑭⑭, 3, 4,Ｅマイネシャｰナ, 65,小林久, 0.6, 68,   0,*  7, 8, 17.7,⑯⑫⑧
 4, 5,Ｂロｰレルエルドラド, 60,塚田  , 0.8, 49, -22,  11, 4, 13.8,⑦⑦⑥, 4,10, ドリｰムプランナｰ,---,太宰  , 0.9, 56,*  0,  -6, 3,  4.5,②②②, 4, 7,Ｌブルルイ, 57,北村浩, 0.6, 60,  -4,   2, 9, 40.6,⑦⑦⑤, 4,12,Ｃシルバｰガル, 68,中舘  , 0.8, 60,   1,   1, 3,  8.4,⑨⑦⑭
 5, 3,Ｇアザンクｰル, 43,畑端  , 1.3, 43, -21,   8, 9, 92.7,⑨⑦⑥, 5, 5, クイックバレリｰナ,---,飯田  , 1.5, 44, -10,  -6, 6, 18.9,③⑤⑤, 5,15,Ｃシャインリザルト, 65,松田  , 0.8, 60,  -2,   0, 8, 11.0,⑥⑤⑤, 5, 3,Ｋスズカスウィング, 55,柴原  , 0.8, 64,   3,  -4,16, 99.8,⑦④②
 6, 9,Ｃオナｰリｰブ, 50,小牧太, 1.4, 37,*-17,  -1, 2, 11.1,①①①, 6,14, ヘンメイレン,---,ルメｰ, 2.2, 29, -27,  -1, 7, 19.5,⑪⑪⑪, 6, 9,Ｅスマｰティコジｰン, 63,ルメｰ, 0.8, 62,  -6,   6, 1,  4.6,⑪⑫⑨, 6,11,Ａレディティアラ, 72,ルメｰ, 0.8, 63,   3,  -4, 1,  2.9,⑤④⑤
 7,11,Ｄマックスイマｰジュ, 50,津村  , 1.4, 35,*-18,  -1, 7, 39.1,②②④, 7,13, カリン,---,中舘  , 2.4, 28, -22,  -9, 8, 22.3,⑧⑧⑦, 7, 4,Ｂパリスゼンショウ, 66,津村  , 1.0, 56,* -1,  -6, 6,  8.5,②②①, 7, 6,Ｊマイウィル, 55,藤岡  , 0.9, 62,   1,  -1, 5,  8.7,⑦⑦⑧
 8,10,Ｋサクラサクセス, 21,小島一, 1.5, 35, -21,   3, 8, 68.9,⑥⑥⑧, 8, 2, シズカチャン,---,松田  , 2.4, 29, -17, -14,13, 89.4,⑥⑥⑤, 8, 8,Ｆロトスプレンダｰ, 63,中舘  , 1.2, 56,* -1,  -5, 2,  5.4,③③③, 8,10,Ｆメジロベッカム, 65,高橋智, 0.9, 63,   0,   2, 9, 20.9,⑪⑫⑪
 9, 8,Ｉマイネルアモｰリオ, 38,中舘  , 1.7, 37, -21,   4,10,178.3,⑦⑦⑨, 9, 3, リンデン,---,小牧太, 2.5, 24, -30,  -3, 9, 37.6,⑪⑫⑪, 9, 3,Ｈアグネスヘルメス, 61,小牧太, 1.5, 53,  -2,  -7, 4,  6.7,④⑤⑤, 9,16,Ｉキララキング, 57,鹿戸  , 1.1, 61,   0,  -1,15, 72.8,⑬⑫⑪
10, 1,Ｆゼンノタリスマン, 46,酒井学, 1.8, 39, -23,   7, 3, 12.0,⑩⑩⑩,10, 4, リンガストパｰズ,---,西田  , 2.7, 22, -23, -12,12, 69.1,⑧⑨⑨,10, 5,Ｇタイキブラック, 62,鹿戸  , 1.6, 54,  -6,  -1,12, 65.3,⑫⑫⑫,10, 8,Ｇテイエムハヤブサ, 62,芹沢  , 1.1, 59,   3,  -8, 2,  5.4,③④⑤
