06年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａツルミトゥインクル, 63,岩田  ,, 66,   0,*  2, 1,  1.7,②②②, 1, 5, タニノエタニティ,,熊沢  ,,,,, 2,  3.6,④③②, 1, 2,Ｂウォｰタｰポロ, 64,秋山  ,, 76,*  9,*  3, 3,  4.9,②②②, 1, 8,Ｃオｰスミグラスワン, 82,岩田  ,, 89,   8,* 21, 1,  2.4,⑨⑨⑧
 2, 6,Ｋブルｰエルｰジュ, 28,松永  , 1.2, 51, -11,*  1, 7, 66.1,⑨⑧⑥, 2, 7, ニホンピロブレイブ,,岩崎  , 0.0,,,, 1,  3.1,①①①, 2, 4,Ａシアトルバロｰズ, 67,幸    , 0.3, 72,   7,   2, 2,  2.8,③③③, 2, 7,Ａアドマイヤモナｰク, 88,四位  , 0.0, 89,   7,* 23, 2,  3.5,⑩⑨⑧
 3, 5,Ｈニホンピロルｰジュ, 39,熊沢  , 1.6, 50,*  2, -16, 8, 87.5,①①①, 3, 1, ノアティアラ,,平沢健, 0.8,,,, 9, 35.2,⑦⑤③, 3, 8,Ｃインディドライバｰ, 63,池添  , 0.7, 68,   7,  -2, 1,  2.4,③③③, 3, 4,Ｂストラタジェム, 87,熊沢  , 0.0, 89,   8,  19, 4,  6.0,⑦⑦④
 4,11,Ｇブリュｰドロア, 41,秋山  , 1.6, 46, -14,* -1, 6, 34.3,⑪⑩⑨, 4,13, エイシンヴァイデン,,西谷  , 1.7,,,, 3,  4.9,④③⑤, 4, 1,Ｉケイティクラシｰ, 40,岡部誠, 0.7, 65,  -1,*  5, 9,156.1,⑥⑥⑥, 4, 5,Ｅトウカイワイルド, 81,武豊  , 0.2, 82,   9,   9, 3,  4.6,③③②
 5, 8,Ｅシロキタベッピン, 46,渡辺薫, 2.0, 43, -10,  -8, 9,100.4,⑦⑧⑥, 5,10, エイシンサクラオｰ,,仲田  , 2.1,,,,13,114.4,②②④, 5, 5,Ｆスマイリングフィル, 53,岩田  , 1.6, 55,  -5,   0, 8, 35.7,⑦⑧⑧, 5,10,Ｆブライアンズレタｰ, 80,池添  , 0.4, 80,   6,  17, 7, 45.5,⑦⑦⑩
 6, 7,Ｃキャットストリｰト, 48,岡部誠, 2.1, 44,*  1, -20, 4, 15.0,②②②, 6,11, パワｰホｰル,,内田浩, 2.9,,,, 8, 31.1,④⑤⑥, 6, 9,Ｄスズノケｰティング, 57,熊沢  , 1.7, 59,* 11, -16, 5, 14.8,①①①, 6, 3,Ｈテイエムテンライ, 77,小池  , 0.6, 75,* 11,  -5, 8, 67.3,①①①
 7, 1,Ｉシゲルジコバイバイ, 36,長谷川, 2.1, 41,  -8, -12,11,189.0,⑥⑤⑤, 7,14, サンエムタロウ,,菊地昇, 3.1,,,, 6, 15.9,⑧⑦⑧, 7, 7,Ｅケイアイミサイル, 57,上村  , 2.3, 50,   3, -14, 6, 19.0,⑤⑤⑤, 7, 9,Ｄワンダｰマッハｰ, 82,川島信, 1.0, 75,   5,   6, 5, 13.6,⑩⑪⑩
 8,10,Ｊロｰズロック, 30,幸    , 3.1, 31,  -9, -20,10,123.3,⑦⑦⑥, 8, 8, マイゴッドウェｰブ,,植野  , 3.6,,,,11, 47.3,⑧⑩⑧, 8, 6,Ｈスマｰトスナイパｰ, 47,ペリエ, 2.5, 44,  -9,  -5, 7, 26.5,⑨⑨⑨, 8, 1,Ｋダイタクアルビン, 68,石橋守, 1.2, 72,   8,  -5, 6, 42.5,④④④
