06年 2月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 2月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 別定,,,,,,,,,,,,■10R  芝1800m 4歳上500万(牝) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃプリティカウガｰル, 54,ルメｰ,, 58,*  5,* -8, 2,  2.1,①②①, 1,14,Ｅユキノボｰイ, 50,川田  ,, 77, -15,* 25, 8, 19.8,⑯⑬⑥, 1, 6,Ｇグリンガレット, 62,鮫島良,, 68,*  4,*  2, 1,  3.4,②②①, 1, 4,Ｂミラクルレイザｰ, 74,ルメｰ,, 78,   1,* 18, 1,  3.0,⑦⑨⑥
 2,12,Ｆテイエムポラリス, 38,和田  , 0.4, 50,   0,  -9, 8, 58.2,⑤④④, 2,12,Ｉベルシャワｰ, 43,中舘  , 0.3, 56,* -7,   5, 9, 20.3,③②②, 2, 3,Ｂバンダムロッシ, 66,中谷  , 0.2, 70,   3,*  5, 3,  6.1,⑤④②, 2, 5,Ｃトｰセンエｰル, 71,上野翔, 0.5, 70,  -4,* 15, 2,  5.3,⑭⑭⑩
 3, 7,Ｄタマモヘヴン, 48,津村  , 0.5, 46,  -4,* -9, 4, 18.5,⑦⑥⑥, 3, 1,Ｄリキサンポイント, 51,野元  , 0.4, 59,  -9,   8, 3,  5.5,④④④, 3, 2,Ｆタヤスワカシオ, 65,田辺  , 0.6, 67,   2,*  4, 9, 19.3,⑨⑦⑤, 3, 2,Ｄロｰリｰポｰリｰ, 70,モンテ, 0.7, 69,   0,   9, 4,  9.7,⑨⑪⑩
 4,10,Ａハｰトランカスタｰ, 64,藤岡  , 0.6, 51,*  5, -14, 1,  2.0,①②②, 4, 2,Ａトランスオｰシャン, 59,鮫島良, 0.6, 57, -14,* 10, 1,  3.1,⑬⑪⑩, 4,12,Ｈフジタカモニュマン, 61,野元  , 0.7, 66,   2,   3,13, 68.7,⑤⑦⑤, 4, 9,Ｊダンツサクラ, 64,大西  , 0.9, 69,  -4,* 14, 8, 28.1,⑯⑮⑩
 5, 8,Ｂメイショウルイｰズ, 54,小島一, 0.9, 37, -11,* -9, 3, 10.1,⑩⑩⑪, 5,13,Ｃマックスイマｰジュ, 52,津村  , 0.9, 46, -10,  -1,11, 27.6,⑦④④, 5, 9,Ｃマイネルレオン, 66,岩部  , 1.1, 63,   1,   2, 4,  6.4,⑫⑩⑩, 5, 7,Ｅミスティラブ, 67,佐藤哲, 1.1, 63,   1,   0, 5, 10.4,⑦⑥⑧
 6, 5,Ｌダブルアップ, 24,モンテ, 0.9, 44,   0, -14, 7, 50.2,⑦④④, 6, 7,Ｋメイショウスペｰド, 39,上野翔, 1.0, 48, -14,   4,14,229.2,⑪⑪⑫, 6, 4,Ｍシルクアルディ, 56,嘉藤  , 1.2, 63,   1,   0,15,149.7,⑩⑨⑤, 6,12,Ｆマイネシャｰナ, 67,小林久, 1.2, 64,   2,  -3, 6, 11.1,⑨⑥②
 7,14,Ｉジョイゲｰム, 30,松田  , 1.3, 37,  -8, -13, 9, 86.2,⑦⑨⑨, 7,17,Ｈシロキタダンディｰ, 44,モンテ, 1.2, 48, -11,   1,10, 22.1,⑦⑨⑥, 7,10,Ｊマルブツブラボｰ, 61,中舘  , 1.2, 63,  -1,*  4, 8, 18.8,⑫⑭⑬, 7, 1,Ｇタムロマンサｰナ, 67,和田  , 1.2, 61,  -1,   3, 3,  5.5,⑫⑪⑮
 8,11,Ｇカシノカオリ, 37,中舘  , 1.3, 36, -11, -11,10, 96.7,⑩⑪⑨, 8,16,Ｇトウカイストｰリｰ, 47,佐藤哲, 1.3, 46, -10,  -2, 2,  5.4,⑨⑧⑥, 8, 1,Ｄリュウゴｰルド, 65,西田  , 1.3, 60,   3,  -6, 7, 14.0,⑤④⑤, 8,13,Ｉイケソシアル, 64,川田  , 1.5, 57,   1,  -6,16,115.7,⑤⑥⑧
 9, 6,Ｋスリｰミスズヒメ, 28,渡辺薫, 1.3, 39,  -2, -17, 6, 48.3,①⑥⑥, 9, 5,Ｆテイエムパンサｰ, 49,和田  , 1.4, 43,  -9,  -5, 6, 15.4,④⑦⑥, 9, 5,Ｉテイエムカチボシ, 61,柴原  , 1.5, 59,  -3,*  4,10, 27.9,⑮⑮⑮, 9,11,Ｈシルクロゼット, 66,小原  , 1.6, 58,   1,  -6,11, 37.8,⑨⑨⑩
10,13,Ｊアミフジウラノス, 30,田辺  , 1.4, 38,  -2, -18,13,321.1,⑤⑥⑥,10, 8,Ｒタイアルディｰ, 23,西田  , 1.4, 47, -13,   4,17,323.0,⑬⑬⑫,10, 8,Ｌナスケンウインド, 57,二本柳, 1.6, 58,   0,  -3,11, 62.1,⑫⑩⑩,10,10,Ａトｰセンリッジ, 75,佐藤聖, 1.7, 53,*  1, -14,14, 59.2,⑤③②
