06年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12.2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 7R  ダ1000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■10R  ダ1700m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｊスズカフェロｰ, 19,赤木高,, 60,  -9,* 10, 5, 19.3,⑤⑤⑤, 1, 4,Ｂフィｰルドミュｰズ, 58,角田晃,, 50, -19,* 10, 5,  9.9,⑤⑤⑤, 1,16,Ｊベルモントボｰジｰ, 60,二本柳,, 79,* 13,   2, 5, 13.9, ①①, 1,11,Ｃデポジットブック, 67,赤木高,, 75,   8,*  5, 1,  2.9,⑩④③
 2,12,Ｂアザンクｰル, 42,中舘英, 0.6, 53,* -6,  -2, 3, 12.6,②①①, 2,16,Ｆミルキｰウェイ, 53,和田竜, 0.0, 47,*-17,   7, 4,  8.5,④③③, 2, 5,Ｄタイキエンデバｰ, 65,田中博, 0.0, 74,* 10,   2, 2,  8.2, ②②, 2, 4,Ａユｰスフルデイズ, 68,小林久, 0.1, 74,* 10,   0, 2,  4.4,③①①
 3, 3,Ｃパスクア, 40,大野拓, 0.7, 49,* -7,  -5, 2,  9.6,①①①, 3, 6,Ｇグランオマｰジュ, 50,中舘英, 0.2, 49, -20,* 10, 3,  8.2,⑨⑦⑧, 3, 1,Ｇアルファキャスパｰ, 62,田辺裕, 0.1, 72,   4,   7, 7, 21.6, ④④, 3, 7,Ｅエスケｰアパッチ, 65,野元昭, 0.2, 73,   5,*  8, 6, 14.3,⑫⑨⑧
 4, 7,Ｅアイファｰドラゴン, 39,西田雄, 1.1, 51, -10,*  1, 8, 66.8,⑩⑦⑥, 4, 1,Ｃケンエンデバｰ, 58,長谷川, 0.2, 44,*-18,   5, 2,  3.8,②③③, 4,13,Ｃキクノグロｰリｰ, 68,中舘英, 0.3, 72,*  8,   2, 1,  1.7, ③②, 4, 1,Ｋソウルサバイヴァｰ, 58,太宰啓, 0.3, 72,   8,   2, 5, 11.0,③④⑤
 5,11,Ｇマイネルクｰゲル, 38,太宰啓, 1.2, 49,  -8,  -5, 7, 55.9,⑤③③, 5,15,Ｍアドミラトゥｰル, 30,武幸四, 0.4, 54, -24,* 16, 7, 10.4,⑮⑮⑭, 5, 6,Ｂタケデンバトル, 69,吉田隼, 0.6, 59, -11,*  9, 3,  8.5, ⑩⑨, 5,13,Ｌニッシンテｰスト, 53,塚田祥, 0.6, 67,*  8,  -5, 7, 17.4,③②②
 6, 1,Ｄピｰスプロテクタｰ, 39,田嶋翔, 2.0, 44, -12,  -6, 9, 74.0,⑤⑨⑨, 6, 2,Ｄパｰプルカフェ, 58,小島太, 0.5, 36, -21,   2, 1,  3.3,⑤⑦⑤, 6,11,Ｆゴｰルドイモン, 62,和田竜, 0.6, 65,   1,   4,12, 55.4, ⑥⑦, 6, 3,Ｈロトスプレンダｰ, 60,中舘英, 1.4, 63,*  9, -12, 4,  9.0,①②③
 7,10,Ａジョｰデュｰク, 45,武幸四, 2.1, 42,  -8, -13, 1,  1.2,③③③, 7,14,Ｌダンスエタｰナル, 31,難波剛, 0.7, 40, -21,   5,15,202.1,⑬⑩⑪, 7,15,Ｈマグナムカフェ, 62,小島太, 0.6, 62,  -2,   4, 4, 12.7, ⑥⑤, 7,12,Ｇオンワｰドヒリュウ, 64,大野拓, 1.6, 59,   1,  -3,11, 58.0,⑮⑪⑩
 8, 2,Ｉルスナイクノイチ, 35,飯田祐, 2.2, 41,  -9, -13,10, 78.2,③⑤⑥, 8, 3,Ｊプリムラシチｰ, 38,宇都英, 0.9, 35, -21,   2,12, 86.6,⑨⑩⑨, 8, 4,Ｉリュウハヤテ, 61,塚田祥, 0.7, 62,   2,   0, 9, 28.4, ④⑤, 8, 2,Ｆランプランサス, 65,岩部純, 1.6, 63,   6,  -8, 3,  4.6,⑦⑦⑤
 9, 4,Ｆゴｰルドビガｰ, 38,長谷川, 3.1, 35, -13, -14, 6, 31.6,⑨⑩⑩, 9, 8,Ｅユｰロペ, 56,吉田隼, 0.9, 28, -22,  -3, 8, 20.1,⑤⑦⑨, 9, 2,Ｎエイシンダイセン, 57,鮫島良, 1.1, 55,  -6,   1,13,105.3, ⑧⑦, 9,16,Ｉゼウス, 60,田辺裕, 1.8, 61,   2,  -3, 8, 27.6,⑮⑬⑬
10, 8,Ｋナムラベンケイ, 14,鮫島良, 3.3, 32, -18, -10,11,108.9,⑫⑫⑫,10,13,Ａフラワｰパレｰド, 61,酒井学, 1.0, 30, -19,  -5, 6, 10.4,⑤⑤⑤,10, 9,Ｍトウショウシュｰト, 58,大野拓, 1.3, 47, -20,*  8,14,132.2, ⑮⑮,10, 9,Ｄビｰビｰパンチ, 67,吉田隼, 1.9, 57,   3,  -9,10, 43.4,⑩⑨⑩
