06年 5月 7日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 5月 7日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,,■ 7R  芝2000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■10R  芝1000m 4歳上500万 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄダンディｰサウンド, 47,中舘英,, 55,* -4,* -1, 3,  4.5, ②②, 1,11,Ａビエンナｰレ, 56,吉田隼,, 52, -15,*  9, 8, 15.2,⑩⑪⑧, 1,11,Ｃエイコｰオｰカン, 66,武士沢,, 63,   2,*  2, 8, 27.4, ⑩⑪, 1,12,Ｉロバｰトバロｰズ, 58,中舘英,, 83,* 14,*  9, 4, 14.4,   
 2,12,Ａバクシンホｰプ, 53,鮫島良, 0.1, 52,* -4,  -4, 2,  3.9, ①①, 2, 9,Ｃタｰキｰ, 49,中舘英, 0.2, 43,* -8,  -7, 5,  8.1,③③③, 2, 9,Ａシマトラ, 71,菊沢隆, 0.0, 63,   2,*  2, 2,  4.2, ⑩⑪, 2,16,Ａエイワジョリｰ, 78,勝浦正, 0.1, 82,* 14,   8, 1,  2.2,   
 3, 7,Ｃソニックオｰ, 47,野元昭, 0.5, 50,  -7,  -3, 4,  8.1, ⑤④, 3,14,Ｅスウィｰトネス, 48,木幡初, 0.3, 44,  -9,  -5, 2,  5.7,⑤⑤④, 3, 3,Ｇキララキング, 63,村田一, 0.0, 65,*  5,  -2, 6, 10.0, ⑩⑧, 3,10,Ｂダイワフェロｰ, 71,赤木高, 0.1, 79,   9,* 10, 2,  3.1,   
 4, 3,Ｂオｰセンティック, 50,穂苅寿, 0.6, 49,  -6,  -5, 1,  2.1, ③③, 4,13,Ｋクリゼイア, 35,勝浦正, 0.3, 41,* -7, -10,14,212.6,②②②, 4, 8,Ｈタイクｰン, 61,田中克, 0.1, 59,*  3,  -8, 5,  8.6, ⑤④, 4, 6,Ｊリンガスシュｰト, 58,佐藤聖, 0.6, 62,  -5,*  8,10, 74.5,   
 5,10,Ｅバッドフォｰチュン, 45,吉田隼, 0.9, 44, -16,* -1, 5, 16.2, ⑨⑧, 5, 7,Ｆオホｰツクリッチ, 47,大野拓, 0.5, 43, -16,*  2,12, 44.5,⑬⑫⑫, 5, 1,Ｆロックスピリッツ, 64,赤木高, 0.3, 62,*  5,  -8, 1,  3.1, ⑤④, 5, 1,Ｇレオソレイユ, 60,大野拓, 0.6, 64,  -2,*  7, 7, 24.2,   
 6, 2,Ｇパッションシチｰ, 32,北村浩, 1.2, 43,  -9,  -9, 7, 45.5, ⑦⑥, 6, 8,Ｊコスモフｰシャ, 35,長谷川, 0.6, 42, -12,  -4, 6,  9.7,⑧⑦⑥, 6,12,Ｉグリッタｰロック, 56,鮫島良, 0.3, 56,*  3,  -9, 4,  6.3, ④⑦, 6, 4,Ｃホｰプフルワｰルド, 67,小池隆, 0.7, 66,   4,   4, 6, 22.8,   
 7, 6,Ｈコンスタントレイン, 32,丹内祐, 1.2, 41, -20,*  0,10, 98.7, ⑩⑩, 7, 3, スイｰトパッセ,---,村田一, 0.8, 42, -15,   1,10, 29.4,⑩⑫⑭, 7,10,Ｋメジロベアキャット, 54,石橋脩, 0.4, 60,*  6, -11, 9, 30.0, ⑤④, 7,13,Ｈダンシングママ, 58,村田一, 0.7, 69,   9,   1, 5, 17.1,   
 8, 9,Ｉカシノスピリット, 29,水出大, 1.4, 38, -14,  -9,11,116.5, ⑧⑧, 8, 4,Ｂオドゥｰルゲラン, 50,丹内祐, 1.0, 39, -17,  -1, 3,  5.8,⑭⑭⑫, 8, 4,Ｂアグネスヘルメス, 70,長谷川, 0.4, 60,*  7, -13, 3,  5.6, ②②, 8, 7,Ｏスズカグレイス, 49,長谷川, 1.1, 55, -10,   8, 9, 47.6,   
 9, 5,Ｆワライナガラ, 39,村田一, 1.6, 38,  -8, -14, 9, 71.0, ⑤⑥, 9, 1,Ｍパナックス, 29,岩部純, 1.0, 31,* -7, -22, 9, 22.9,①①①, 9, 7,Ｄウインバリエンテ, 65,吉田隼, 0.5, 56,   2, -10,10, 50.9, ⑧⑧, 9,11,Ｄセイウンボｰルド, 65,鮫島良, 1.1, 58,   5,  -5, 3,  6.7,   
10,11,Ｊブルｰベンジャミン, 22,田中博, 2.4, 28,  -8, -24,12,281.8, ③④,10,12,Ｈマリンブルｰ, 41,鮫島良, 1.1, 31, -12, -14, 4,  6.8,⑦⑦⑧,10, 6,Ｅメイショウンジャロ, 65,松田大, 1.2, 51,   4, -20, 7, 24.0, ⑧⑧,10, 8,Ｋテイエムヌｰボｰ, 57,野元昭, 1.2, 55,  -5,   3,14,123.2,   
11, 1, シルクスナイパｰ,---,大野拓, 2.7, 25, -28,  -9, 6, 34.0, ⑫⑫,11, 2,Ｄコスモマゼンタ, 49,中村将, 1.1, 29, -12, -18, 1,  3.9,⑤⑥⑥,11, 2,Ｌリキサンセレブ, 45,南田雅, 4.4, 18,*  6, -73,12,382.1, ①①,11, 9,Ｍプリンセスサウンド, 55,田中克, 1.4, 42, -22,*  7,11, 76.6,   
12, 4, スガノブライアン,---,木幡初, 2.8, 27, -22, -12, 8, 68.5, ⑪⑪,12, 5,Ｇドロップオブムｰン, 44,田中克, 1.3, 29, -15, -13,11, 31.5,⑧⑨⑩,12, 5,Ｊバトルエアｰカット, 56,田辺裕, 4.5, 17,*  5, -73,11, 87.9, ③③,12, 2,Ｆヴォｰクリンデ, 60,松田大, 2.2, 39,   2, -19, 8, 47.3,   
,,,,,,,,,,,,13,10,Ｉピュアリクエスト, 40,赤木高, 1.5, 26,* -9, -25, 7, 14.4,③④④,,,,,,,,,,,,,13, 5,Ｌヨシブリザｰド, 55,吉田隼, 2.2, 33,  -9, -14,13,111.7,   
,,,,,,,,,,,,14, 6,Ｌノボホワイト, 33,石橋脩, 1.5, 30, -13, -15,13,131.2,⑩⑨⑩,,,,,,,,,,,,,14,14,Ｐファｰフロムヘブン, 14,南田雅, 2.4, 38,   7, -25,15,144.3,   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｎリｰフィｰウッド, 55,中村将, 4.1,-11, -36, -27,12, 81.4,   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:1),,,,,,,,,,,
単勝:450円 複勝:08=170円 12=140円 07=230円 枠連:670円,,,,,,,,,,,,"単勝:1,520円 複勝:11=400円 09=290円 14=290円 枠連:1,120円",,,,,,,,,,,,"単勝:2,740円 複勝:11=710円 09=180円 03=320円 枠連:1,040円",,,,,,,,,,,,"単勝:1,440円 複勝:12=240円 16=120円 10=110円 枠連:490円",,,,,,,,,,,
馬連:880円 ワイド:08-12=340円 07-08=510円 07-12=460円,,,,,,,,,,,,"馬連:5,690円 ワイド:09-11=1,880円 11-14=1,990円 09-14=1,110円",,,,,,,,,,,,"馬連:9,000円 ワイド:09-11=2,210円 03-11=2,670円 03-09=900円",,,,,,,,,,,,"馬連:1,650円 ワイド:12-16=520円 10-12=460円 10-16=160円",,,,,,,,,,,
"馬単:1,750円 3連複:2,120円",,,,,,,,,,,,"馬単:14,460円 3連複:15,100円",,,,,,,,,,,,"馬単:25,820円 3連複:18,590円",,,,,,,,,,,,"馬単:4,070円 3連複:1,310円 3連単:11,350円",,,,,,,,,,,
