06年 7月 9日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月 9日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.2,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂジャングルテクノ, 56,四位洋,, 60,   0,*  0, 1,  1.9, ⑥⑦, 1, 8,Ｈウインヴィｰナス, 55,安藤勝,, 68,* -2,* 11, 5,  7.9,②①①, 1, 8,Ａタケデンイｰグル, 70,安藤勝,, 67,   9,   0, 1,  3.0, ④⑤, 1,10,Ｅマイネルガッチャ, 67,菊沢隆,, 66,   7,  -1, 2,  6.0, ⑥③
 2, 9,Ａマイネカンナ, 63,柴山雄, 0.1, 59,   0,* -1, 2,  3.2, ⑥②, 2, 5,Ｅキングトップダンス, 58,菊沢隆, 0.3, 69,  -5,* 14, 9, 29.7,⑥⑧⑦, 2, 9,Ｇサウンドスピリット, 57,藤田伸, 0.1, 63,   5,   1, 7, 15.4, ⑤③, 2, 3,Ｇトウカイボナンザ, 65,長谷川, 0.0, 62,  -4,* 11, 8, 21.1, ⑭⑫
 3,11,Ｈケイアイハイタイド, 37,秋山真, 0.3, 53,  -3,* -1, 6, 20.3, ⑨⑦, 3,13,Ｄダンスオｰルナイト, 61,藤田伸, 0.3, 64,* -4,   9, 2,  4.9,⑥④③, 3, 1,Ｃマンボカｰニバル, 64,塚田祥, 0.4, 56,  -8,*  5, 5, 11.4, ⑪⑪, 3,13,Ｂシルクストレイン, 72,郷原洋, 0.2, 64,   8,  -3, 7, 11.2, ⑥③
 4, 8,Ｅムｰビングアウト, 44,安藤勝, 0.3, 58,*  3,  -7, 9, 60.4, ②②, 4,11,Ｃスペシャルアリｰナ, 62,秋山真, 0.3, 62,* -2,   7, 3,  5.2,②②②, 4,11,Ｆアポロマグナム, 59,四位洋, 0.5, 64,* 11,  -7,10, 37.8, ③②, 4, 2,Ｍマルタラヴ, 56,木幡初, 0.2, 60,  -4,*  9, 9, 21.9, ⑭⑭
 5,10,Ｇサンレイサイレンス, 39,藤田伸, 0.6, 51,  -2,  -7, 3, 10.3, ⑨④, 5, 1,Ｂラッキｰジンクス, 64,横山典, 0.5, 61,* -4,   8, 1,  3.1,④④④, 5, 7,Ｌスカイルミエｰル, 46,小林徹, 0.5, 55,  -4,*  3,12,117.0, ⑨⑨, 5,12,Ｄシルクルフラン, 69,小島太, 0.2, 65,* 11, -10,10, 29.3, ②③
 6, 4,Ｆエイシンイップｰ, 40,藤岡佑, 0.6, 56,*  6, -14, 4, 10.6, ①①, 6, 9,Ｇウインカｰムネス, 56,柴山雄, 0.6, 58,* -4,   5, 6, 10.2,⑤④④, 6, 5,Ｂキマグレ, 67,柴原央, 0.5, 56,  -1,   1, 2,  3.3, ⑧⑦, 6,16,Ｋコスモライトアップ, 61,武幸四, 0.4, 64,* 11,  -9,11, 46.5, ②②
 7, 3,Ｉアタゴコマンダｰ, 37,木幡初, 0.7, 47,  -3,  -7, 8, 59.2, ⑨⑩, 7, 6,Ｊオｰシャンビュｰ, 47,藤岡佑, 1.2, 52,  -7,   4, 7, 21.9,⑧⑩⑧, 7, 2,Ｅサクセスキｰワｰド, 61,秋山真, 0.5, 56,  -4,*  3, 3,  6.5, ⑨⑨, 7, 1,Ｌチョウカイラッキｰ, 57,横山典, 0.5, 55,   1,  -3, 1,  3.9, ⑪⑫
 8, 2,Ｄスプラッシュアウト, 48,塚田祥, 1.3, 38,  -1, -22, 7, 22.5, ⑤⑦, 8, 7,Ｉピエナテンイヤｰズ, 55,小林徹, 1.4, 48,  -5,  -4, 8, 24.7,⑧⑦⑥, 8, 3,Ｈロｰドレンジャｰ, 55,横山典, 0.5, 69,* 15,  -9, 4, 10.1, ①①, 8,11,Ｉプリティｰキャット, 65,北村友, 0.5, 57,   8, -11, 6,  8.9, ④⑥
 9, 7,Ｌキｰランナｰ,-21,小林徹, 2.0, 32,*  3, -32,12,188.9, ②④, 9,10,Ｆメジロワグナｰ, 57,木幡初, 1.4, 48,  -5,  -2, 4,  5.9,⑧⑧⑧, 9, 4,Ｉヨシインクレデブル, 55,木幡初, 1.0, 53,  -9,   1, 6, 13.2, ⑫⑫, 9,14,Ｆカゼノユクエ, 66,鹿戸雄, 0.6, 55,   2,  -3,13, 50.3, ⑪⑨
10, 5,Ｃイデアｰレ, 50,横山典, 2.2, 29,*  3, -35, 5, 14.2, ②④,10, 4,Ｋウエスタンフォルス, 45,郷原洋, 1.6, 48,  -9,   2,11,172.3,⑬⑫⑫,10,10,Ｋケイアイミサイル, 51,芹沢純, 1.1, 50,   3,  -8, 8, 21.1, ⑤⑥,10, 8,Ｈバロンハｰバｰ, 65,藤田伸, 0.6, 65,* 15, -17, 4,  6.8, ①①
11, 6,Ｊベルモントダッシュ, 20,小島太, 2.4, 20,  -2, -37,11,136.4, ⑥⑩,11, 2,Ｌフォックストレル, 37,北村友, 1.7, 43, -11,  -1,13,322.4,⑫⑫⑫,11,12,Ｄフジノヘイロｰ, 61,鹿戸雄, 1.1, 50,   2,  -7,11, 43.6, ⑦⑦,11, 5,Ｏエイダイサイレンス, 54,黛弘人, 0.7, 51,   3, -10,14, 90.8, ⑧⑨
12, 1,Ｋハｰヴァｰド, 18,須貝尚, 3.5,-69, -41, -13,10, 99.6, ⑫⑫,12,12,Ｍブラックディｰノ, 33,長谷川, 1.7, 45,  -7,  -4,12,290.7,⑪⑩⑩,12, 6,Ｊフサイチアシュラ, 53,津村明, 1.9, 51,* 13, -23, 9, 35.9, ②③,12, 9,Ｐスズカフロｰラ, 49,芹沢純, 0.8, 51,   3,  -8,12, 47.6, ⑪⑨
,,,,,,,,,,,,13, 3,Ａセルリアンラオウ, 66,黛弘人, 2.4, 36,* -5, -25,10,106.0,①③⑩,,,,,,,,,,,,,13, 7,Ｊストｰミングパワｰ, 65,四位洋, 1.1, 52,  10, -18, 3,  6.3, ④⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｎラドランデンジャｰ, 55,津村明, 1.2, 46,   4, -16,15,116.5, ⑧⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ａロバｰトバロｰズ, 83,秋山真, 1.7, 40,   5, -23, 5,  8.1, ⑧⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:4),,,,,,,,,,,
単勝:190円 複勝:12=100円 09=120円 11=360円 枠連:190円,,,,,,,,,,,,"単勝:790円 複勝:08=250円 05=580円 13=220円 枠連:5,280円",,,,,,,,,,,,単勝:300円 複勝:08=160円 09=330円 01=370円 枠連:940円,,,,,,,,,,,,"単勝:600円 複勝:10=210円 03=480円 13=380円 枠連:2,410円",,,,,,,,,,,
