06年 7月30日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月30日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.3,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,,■10R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃエｰシンアロｰ, 51,武幸四,, 65,*  7,  -6, 5, 13.7, ①①, 1, 1, ウインクルウィナｰ,---,津村明,, 45,*  0, -19, 2,  5.9, ①①, 1, 7,Ｈレザムルｰズ, 52,菊沢隆,, 72,   9,*  4, 6, 15.3, ④②, 1, 1,Ｆナスノフィオナ, 67,横山典,, 65, -24,* 26, 4,  9.4,②③②
 2, 4,Ａコパノスケ, 62,横山典, 0.3, 53,  -4,*  0, 1,  1.4, ⑤③, 2, 5, ナリタトパｰズ,---,秋山真, 0.2, 40,  -2, -18, 3,  6.2, ③③, 2, 1,Ｂスイフトバイオ, 64,武幸四, 0.3, 64,   4,*  4, 5,  6.5, ⑥⑥, 2,10,Ａコパノスイジン, 75,安藤勝, 0.2, 49,*-23,  20, 1,  1.6,②②②
 3, 2,Ｄヤマカツシリウス, 51,藤岡佑, 0.4, 55,   3,  -7, 2,  6.6, ③③, 3, 4, マｰシャルソング,---,横山典, 0.2, 35, -10, -13, 1,  1.5, ⑤⑤, 3, 5,Ｃパレスレディｰ, 62,芹沢純, 0.5, 66,   9,  -1, 3,  5.1, ④⑤, 3, 5,Ｊアドミラルトラップ, 52,松田大, 0.2, 47,*-22,  18, 9, 99.9,①①①
 4, 1,Ｂプレｰザヒｰロｰ, 54,松田大, 0.4, 55,   3,  -7, 3,  6.7, ③③, 4, 8, キングケイザンオｰ,---,長谷川, 0.8, 27,  -5, -27, 6, 26.7, ③③, 4,11,Ｆアサヒカレンダｰ, 52,小林徹, 0.6, 64,   9,  -4, 7, 22.3, ②②, 4, 2,Ｄグランフィナｰレ, 70,北村宏, 0.3, 57, -25,  23, 2,  5.0,④③⑤
 5, 5,Ｅメジロカペラ, 44,藤田伸, 1.3, 47,*  7, -22, 4,  6.8, ②②, 5, 6, ケイアイチアフル,---,菊沢隆, 0.8, 33,* -1, -28, 4, 13.6, ②②, 5, 4,Ａラララウィンパル, 67,藤岡佑, 0.8, 62,   9,  -7, 1,  3.1, ②④, 5, 7,Ｃマイネシャｰナ, 71,菊沢隆, 0.3, 67, -27,* 27, 5, 14.9,⑨⑨⑤
 6, 6,Ｆタイオトシ,-32,柴山雄, 4.2,-69, -33, -30, 6, 74.4, ⑥⑥, 6, 3, オｰバｰカムオｰル,---,鹿戸雄, 0.9,-13, -38,*  3, 8, 42.4, ⑨⑨, 6, 3,Ｄジパングエンジェル, 61,北村友, 1.0, 53,  -4,   0, 8, 30.8, ⑨⑨, 6, 6,Ｅスズカスウィング, 68,長谷川, 0.3, 50, -24,  21, 3,  7.7,④③②
,,,,,,,,,,,, 7, 9, シルクカリバｰン,---,郷原洋, 1.3, 22, -15, -25, 5, 21.6, ⑥⑥, 7, 8,Ｅニュｰエスサンデｰ, 55,木幡初, 1.0, 55,  -5,   3, 4,  5.6, ⑩⑩, 7, 4,Ｈソブリンブライト, 58,木幡初, 0.4, 57, -26,  23, 7, 25.3,⑥⑥⑤
,,,,,,,,,,,, 8, 2, スロｰダンサｰ,---,藤岡佑, 2.6,-18, -15, -42, 7, 38.5, ⑦⑦, 8, 6,Ｇパｰクリｰアケコ, 52,小島太, 1.1, 52,   0,  -3,11,145.0, ⑧⑥, 8, 3,Ｂレディティアラ, 72,藤田伸, 0.7, 54, -28,  23, 6, 21.2,⑨⑨⑨
,,,,,,,,,,,, 9, 7, ドリｰムオンユｰ,---,須貝尚, 3.2,-30, -16, -52, 9, 49.8, ⑦⑧, 9,10,Ｊスズカミンクス, 48,黛弘人, 1.1, 51,   0,  -5, 9, 37.0, ⑥⑧, 9, 8,Ｇサクセスラゴｰラ, 63,秋山真, 0.8, 38, -29,  16, 8, 35.2,⑥⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,10, 9,Ｉチアズガディス, 49,藤田伸, 1.3, 60,* 12, -14, 2,  4.8, ①①,10, 9,Ｉツルガオカアサヒ, 55,鹿戸雄, 0.8, 40, -26,  17,10,163.8,⑥⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,11, 2, スイｰトフィドル,---,北村宏, 4.3,-71, -38,  -9,10, 61.6, ⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-24 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:4),,,,,,,,,,,
"単勝:1,370円 複勝:03=320円 04=110円 枠連:0円",,,,,,,,,,,,"単勝:590円 複勝:01=130円 05=140円 04=100円 枠連:2,460円",,,,,,,,,,,,"単勝:1,530円 複勝:07=390円 01=220円 05=230円 枠連:4,400円",,,,,,,,,,,,"単勝:940円 複勝:01=230円 10=120円 05=1,210円 枠連:890円",,,,,,,,,,,
馬連:600円 ワイド:03-04=200円 02-03=530円 02-04=160円,,,,,,,,,,,,"馬連:1,710円 ワイド:01-05=360円 01-04=130円 04-05=180円",,,,,,,,,,,,"馬連:4,190円 ワイド:01-07=1,440円 05-07=1,170円 01-05=420円",,,,,,,,,,,,"馬連:740円 ワイド:01-10=330円 01-05=7,150円 05-10=2,280円",,,,,,,,,,,
"馬単:2,090円 3連複:770円",,,,,,,,,,,,"馬単:3,360円 3連複:430円",,,,,,,,,,,,"馬単:9,090円 3連複:6,660円",,,,,,,,,,,,"馬単:2,270円 3連複:14,640円 3連単:74,970円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■ 5R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.0,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,檜山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａクｰルダンサｰ, 56,北村宏,, 50,* -7,  -4, 2,  3.8,③②②, 1,14,Ａスペシャルアリｰナ, 63,秋山真,, 60,*  8, -20, 4,  6.3,⑥④⑥, 1, 8,Ａキングトップガン, 74,安藤勝,, 68,*-12,* 18, 2,  3.1,②②②, 1,13,Ｋメイショウオブラ, 61,藤田伸,, 71,*  0,  12,10, 40.5,⑤②②
 2, 7,Ｉマンノダイヤモンド, 41,秋山真, 0.2, 49, -13,*  5, 7, 18.0,⑩⑨⑨, 2,11,Ｆメジロワグナｰ, 55,木幡初, 0.1, 59,*  8, -22, 5,  8.2,⑥④②, 2,13,Ｄレフォルマ, 68,藤田伸, 0.0, 70,*-10,* 18, 1,  2.7,①①①, 2, 8,Ｂピオｰネ, 76,藤岡佑, 0.1, 76,  -4,* 17, 3,  4.3,⑪⑦⑤
 3, 8,Ｃハルカッコ, 51,千田輝, 0.4, 47,* -6,  -9, 1,  3.4,①①①, 3, 4,Ｅクリティカルライト, 57,藤田伸, 0.1, 59,*  9, -23, 2,  4.9,④②②, 3, 3,Ｂインスパイアリング, 71,長谷川, 0.8, 55,*-12,  11, 3,  4.6,③③③, 3, 3,Ａハセノダンディ, 78,横山典, 0.2, 71,  -2,  13, 1,  3.6,⑦③③
 4, 9,Ｊミスズスキャット, 40,横山典, 0.4, 47, -12,*  0, 8, 24.8,⑦⑦④, 4, 3,Ｂウインカｰムネス, 61,的場勇, 0.1, 55,   6, -21, 6,  8.5,⑨⑧⑥, 4, 5,Ｅジョニｰノデンゴン, 66,鹿戸雄, 0.9, 59, -12,  14, 4, 10.5,⑤④④, 4,10,Ｇマイネルテセウス, 69,長谷川, 0.3, 63,* -1,   7, 6, 16.0,①①①
 5, 4,Ｋベルモントピッコロ, 33,武幸四, 0.7, 45, -12,  -3,10, 81.5,⑦⑦⑦, 5, 2,Ｐプロヴァンス, 36,武幸四, 0.3, 58,   3,* -7,12, 81.4,⑬⑫⑫, 5, 2,Ｇスズカフェロｰ, 63,横山典, 1.3, 49, -13,   8, 7, 19.9,③④④, 5,11,Ｃホｰマンジュピタｰ, 74,秋山真, 0.6, 64,  -4,  10, 2,  3.8,⑧④⑤
 6,12,Ｅビクスバイト, 47,柴山雄, 1.5, 38, -14,  -7, 4,  6.1,⑩⑨⑩, 6, 6,Ｋネｰミングライツ, 45,藤岡佑, 0.5, 56,   6, -20, 8, 15.6,⑪⑩⑨, 6,11,Ｈニホンピロビャクヤ, 63,藤岡佑, 1.3, 58, -15,  15, 8, 49.3,⑨⑫⑪, 6, 2,Ｌサンエムテイオｰ, 60,菊沢隆, 0.7, 72,  -6,* 16,12, 87.2,⑫⑪⑦
 7, 3,Ｇブルｰベルベット, 45,長谷川, 1.5, 38, -10, -13, 3,  4.4,⑤⑤⑤, 7,10,Ｉチェリｰサウンド, 48,小島太, 0.5, 53,*  7, -29,11, 65.7,⑥④②, 7, 9,Ｆアグネスハッピｰ, 66,四位洋, 1.4, 54, -14,  13, 5, 11.8,⑫⑩⑨, 7,12,Ｅリワｰドパットン, 72,木幡初, 0.8, 64,  -4,  10, 5, 15.3,④⑦⑦
 8, 5,Ｂウインザクラウン, 55,的場勇, 2.1, 32, -18,  -9, 9, 36.6,⑬⑪⑪, 8, 7,Ｄキングトップダンス, 59,菊沢隆, 0.7, 55,* 10, -38, 7, 13.2,①①①, 8, 1,Ｌゴｰルドイｰジス, 45,郷原洋, 1.5, 52, -13,  11,13,218.3,⑧⑦⑥, 8, 9,Ｄカミノヤマボｰイ, 72,武幸四, 0.8, 63,  -2,   9, 4,  6.4,⑨④④
 9,10,Ｌユウギエム, 17,芹沢純, 2.2, 33, -16,  -9,13,521.1,⑩⑪⑪, 9,16,Ｇナチュラルウェｰブ, 54,横山典, 0.9, 53,   7, -29, 3,  4.9,⑩⑧⑥, 9,10,Ｍナムラシｰトン, 42,小林徹, 2.0, 42, -14,   4,11,176.1,⑤⑦⑥, 9, 6,Ｈグロｰリｰサン, 67,津村明, 1.3, 58,  -4,   7, 7, 17.3,⑤⑨⑨
10, 1,Ｆデｰトリッヒ, 46,藤岡佑, 2.6, 30, -11, -23, 6, 17.7,③⑤⑤,10, 1,Ｏフォックストレル, 37,北村友, 1.3, 48,   2, -25,15,290.8,⑭⑫⑫,10, 7,Ｃリアルテｰスト, 70,的場勇, 2.2, 40, -14,   2, 6, 17.4,⑨⑦⑨,10, 4,Ｊメジログリｰン, 62,鈴来直, 1.3, 63,  -7,  12,11, 50.6,⑫⑬⑫
11, 2,Ｄメジロルバｰト, 49,菊沢隆, 2.6, 30,* -7, -29, 5, 10.3,②②③,11, 5,Ｈタイキマジェスティ, 52,須貝尚, 1.8, 49,*  9, -49,10, 49.6,④②②,11, 6,Ｊバッラｰレ, 49,柴山雄, 2.3, 42, -12,   1, 9, 86.3,⑤④⑥,11, 1,Ｍカマｰバンド, 58,柴原央, 1.7, 54,  -8,   6,13,128.6,⑨⑪⑫
12, 6, ナムラシラユリ,---,武英智, 2.9, 27,  -9, -28,11,126.8,⑤④⑦,12,12,Ｎグランドヴィｰナス, 38,古川吉, 1.9, 49,   5, -38,14,281.6,⑪⑪⑪,12,12,Ｋメイショウランマル, 49,武幸四, 2.5, 41, -14,   2,12,214.0,⑬⑩⑪,12, 5,Ｉキタグニジョｰ, 64,的場勇, 1.8, 53,  -5,   3, 9, 28.2,③⑨⑨
