06年10月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年10月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,,■10R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃヘヴンボｰン, 53,柴山雄,, 81,*  9,* 10, 1,  1.6, ①①, 1, 4,Ｃスウィｰトネス, 64,大野拓,, 66,* -2,*  9, 2,  4.4,①②①, 1, 4,Ｃワイルドシングス, 69,柴山雄,, 76,* 10,   3, 1,  3.0,②②①, 1,15,Ｅキャッチｰタイトル, 66,中舘英,, 74,*  9,   4, 1,  4.3,②②②
 2, 4,Ｂスナｰクユｰチャン, 53,中舘英, 0.5, 70,   4,   7, 2,  4.9, ④④, 2, 5,Ｂトミケンカイドウ, 65,中舘英, 0.4, 64,  -1,*  8, 1,  2.6,⑤④④, 2,15,Ｄノｰブルフォｰス, 66,鮫島良, 0.3, 71,   4,*  9, 4,  7.7,⑬⑩⑥, 2, 5,Ｄシルクメガヒット, 67,船曳文, 0.2, 69,   6,   2, 3,  5.0,②③③
 3, 3,Ｌサプライズエンド,  8,飯田祐, 1.0, 57,  -7,* 10,12,171.9, ⑨⑧, 3,12,Ｌリキアイコンドル, 33,小林徹, 0.7, 61,  -2,   3, 8, 23.6,⑤④⑤, 3,13,Ｂマイネルｰシッド, 71,吉田隼, 0.3, 70,   5,*  7, 2,  3.8,⑪⑧⑥, 3,14,Ｃダンツサクラ, 68,大西直, 0.4, 70,   1,* 17, 6,  8.0,⑪⑧⑥
 4, 7,Ａリラ, 53,大野拓, 1.1, 58,*  3,  -5, 4, 17.7, ②③, 4, 3,Ｄスペシャルシｰカｰ, 55,二本柳, 0.9, 59,  -4,   5, 4,  7.9,⑧⑨⑦, 4, 3,Ｅプリンセスイブ, 61,西田雄, 0.5, 70,   6,   5, 5, 19.0,④⑧④, 4, 9,Ｆトミケンラピッド, 64,イネス, 0.5, 69,   0,* 19, 8, 23.0,⑪⑪⑨
 5, 5,Ｄハｰトオンスマイル, 47,西田雄, 1.1, 55,  -8,*  8, 6, 24.2, ⑨⑧, 5, 8,Ａダディｰズメモリｰ, 65,田中克, 1.1, 51,* -2,  -8, 5,  8.2,③②②, 5, 7,Ｉアドマイヤナンシｰ, 53,中舘英, 0.7, 66,   3,*  8, 8, 27.4,⑮⑭⑬, 5, 8,Ｂタマヒカル, 68,菊沢隆, 0.6, 68,* 10,  -6, 2,  4.9,①①①
 6, 9,Ｇシｰキングドｰラ, 42,石橋脩, 1.3, 59,*  6,  -8, 3,  5.3, ②②, 6, 1,Ｉレｰスオブスタｰズ, 43,鮫島良, 1.1, 54,  -3,  -2, 9, 25.3,③⑥⑥, 6, 6,Ｈセンテヒッショウ, 58,イネス, 0.8, 65,*  8,  -4, 7, 23.8,④③③, 6,12,Ｈシｰサイドブリｰズ, 60,スボリ, 0.7, 67,   8,  -3, 7, 22.1,④③③
 7,12,Ｆナンヨｰミドル, 45,江田照, 1.7, 49,   0,  -8, 7, 37.6, ⑥⑥, 7,15, セトウチシャイン,---,柴山雄, 1.2, 54,*  0,  -7,10, 46.1,⑫①②, 7,10,Ｆテツタイソン, 61,大野拓, 0.8, 62,   5,  -3,13, 84.1,⑩⑦⑥, 7, 4,Ｊシルキｰフレンド, 58,嘉藤貴, 0.8, 66,   6,   0,10, 53.7,⑤⑤⑤
 8,13,Ｅマイスペｰス, 45,塚田祥, 1.9, 46,   2, -15, 5, 23.0, ④④, 8,13,Ｆアサカハルナｰ, 47,石橋脩, 1.5, 53,  -7,   2,15,217.5,⑫⑬⑪, 8, 2,Ｋラドランデンジャｰ, 50,スボリ, 0.9, 64,   4,   2,10, 32.7,⑦⑫⑩, 8, 7,Ｇプライムナンバｰ, 64,塚田祥, 1.0, 61,   0,   7, 9, 43.4,⑨⑧⑥
 9, 6,Ｉシゲルアイタ, 35,田中克, 2.7, 30,  -5, -22,10,131.9, ⑦⑦, 9,16,Ｈザンテツケン, 43,田辺裕, 1.6, 51,  -4,  -4, 7, 20.7,⑩⑪⑧, 9,16,Ｇトｰワスラッガｰ, 60,田嶋翔, 0.9, 64,*  8,  -7, 6, 19.8,⑦③④, 9, 2,Ｉキッズエンジェル, 59,吉田隼, 1.6, 55,  -2,   3, 4,  6.1,⑨⑫⑪
10, 8,Ｈトレド, 42,橋本美, 2.8, 33,  -4, -20, 8, 47.2, ⑧⑧,10, 2,Ｇベルエトワｰル, 43,吉田隼, 1.7, 48,  -7,  -4,11, 99.5,⑧⑫⑭,10,11,Ａノットユアビジネス, 74,村田一, 1.0, 63,   4,   1, 3,  4.5,⑬⑫⑪,10,11,Ｎインザリピｰト, 51,江田照, 1.7, 55,   1,  -4,12, 70.3,⑧⑧⑧
