06年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.5,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａナンゴクプラネット, 66,藤田伸,, 57,*  2,  -6, 1,  1.9, ②①, 1, 4,Ｂコスモラヴアゲイン, 71,北村友,, 74,*  2,*  9, 2,  4.7, ①①, 1, 6,Ｈエイシンボストン, 61,鮫島克,, 76,*  8,*  4,11, 44.3,②①①, 1,10,Ｂマイイｰジス, 62,中舘英,, 77,*  6,*  9, 4,  8.7,①①①
 2, 1,Ｉヴィヴァｰチェ, 43,塚田祥, 0.3, 51,   0,  -9, 8, 61.8, ③④, 2, 6,Ａシルクゲイナｰ, 76,田中克, 0.0, 74,*  2,*  9, 1,  1.6, ②②, 2, 8,Ｅロトブルｰスタｰ, 64,中舘英, 0.4, 71,   6,*  4, 5,  7.8,⑧⑦⑥, 2, 3,Ａニッシンテｰスト, 68,塚田祥, 0.6, 71,   2,* 10, 1,  1.9,⑥⑥⑥
 3,10,Ｂモンルｰジュ, 58,川島信, 0.3, 52,   1,  -8, 4,  7.5, ③②, 3,15,Ｃスマｰトエッジ, 66,石神深, 0.4, 71,  -1,* 10, 3,  5.5, ④⑥, 3,10,Ｂホｰネットアｰミｰ, 70,石橋脩, 0.8, 66,   1,*  9, 8, 15.0,⑯⑭⑭, 3, 1,Ｃオヤマエルニｰニョ, 62,柴山雄, 1.4, 65,*  4,   0, 8, 24.8,④③②
 4, 4,Ｍカシマミキティ, 28,高山太, 0.3, 48,  -4,  -5,13,213.9, ⑦⑥, 4, 7,Ｊシゲルユウボウカブ, 54,船曳文, 1.0, 59,  -7,   5,14,279.6, ⑧⑧, 4, 9,Ｊフサイチウィｰド, 59,柴山雄, 0.9, 67,   7,  -1,12, 72.0,⑤④③, 4, 4,Ｊチェリスト, 56,幸英明, 1.4, 65,   2,   4, 9, 40.6,⑧⑦⑥
 5, 9,Ｎロｰズマルトク, 27,小牧太, 0.4, 45,  -7,* -4,15,552.4, ⑧⑧, 5,10,Ｎエイコｰロマン, 48,大庭和, 1.1, 61,  -9,   8,12,255.9, ⑩⑩, 5, 5,Ｄテイエムカミガカリ, 68,和田竜, 1.0, 66,   5,   1, 2,  4.7,⑦⑧⑧, 5,15,Ｄジョニｰノデンゴン, 62,藤田伸, 1.6, 63,   0,   5, 6, 13.0,⑭⑫⑪
 6, 8,Ｆラブレタｰ, 48,武豊  , 0.7, 44, -15,* -2, 2,  4.0, ⑫⑫, 6,11,Ｄランドベスト, 62,鮫島良, 1.3, 57, -13,   7, 4, 10.6, ⑫⑫, 6, 7,Ｌランナｰズハイ, 58,安藤勝, 1.4, 61,   2,   3, 4,  7.2,⑬⑫⑪, 6,13,Ｇパレスドン, 59,村田一, 1.6, 64,*  4,  -2, 5, 12.6,③③④
 7, 3,Ｊクルム, 40,芹沢純, 1.0, 43, -20,* -2,12,152.4, ⑮⑬, 6, 5,Ｋムソウ, 52,南田雅, 1.3, 56,  -1,   0,10,171.1, ④③, 7,12,Ｆギャラクシｰキッド, 63,高山太, 1.7, 61,*  8, -11, 7, 14.7,③②②, 7,12,Ｈダイワフォルゴｰレ, 57,小牧太, 1.8, 62,   1,   2, 2,  7.9,⑧⑨⑩
 8,14,Ｌエリモディアナ, 33,高橋亮, 1.0, 39,  -9,  -9,10,103.1, ⑧⑩, 8, 2,Ｉフォｰディグリｰス, 56,塚田祥, 1.3, 55,  -2,   0, 5, 27.6, ④③, 8, 4,Ｋエイシンユニコｰン, 58,藤田伸, 1.7, 61,   7,  -9,10, 38.3,③④⑥, 8,16,Ｉマイネルアンツｰク, 57,佐藤哲, 1.9, 61,   1,   1, 3,  8.3,⑩⑨⑧
 9, 2,Ｈシエルデトワｰル, 44,佐藤哲, 1.1, 37,  -9, -10, 8, 61.8, ⑧⑩, 9,16,Ｆコクハク, 62,津村明, 1.5, 52,*  0,  -3, 6, 34.7, ③③, 9,13,Ａナチュラルウェｰブ, 70,塚田祥, 2.3, 55,   6, -15, 3,  5.6,⑤④③, 9, 7,Ｏコアレスウィｰク, 50,田中克, 2.0, 58,*  4,  -9,11, 92.6,②②②
10,13,Ｄカネトシイナバウア, 55,橋本美, 1.3, 41,   1, -19, 7, 51.2, ③④,10, 3,Ｅウォｰタｰトリトン, 62,生野賢, 1.5, 54,  -8,   2, 7, 36.3, ⑧⑧,10, 1,Ｏトワイニングイモン, 51,南田雅, 2.4, 54,   3, -10,16,142.5,⑨⑩⑩,10,11,Ｐシｰグランプリ, 42,石橋脩, 2.2, 58,  -2,   2,15,164.2,⑫⑬⑬
