07年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10.0,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■10R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａヤマニンプロロｰグ, 72,藤岡康,, 53,  -7,*  1, 1,  2.0,⑥④⑤, 1,14,Ａフミノパッション, 57,幸英明,, 56,* -3,  -3, 1,  1.7,①①①, 1,15,Ｋシュペｰルサンバ, 58,田島裕,, 75,*  7,*  6,14,153.7, ②②, 1,15,Ｂニホンピロファイブ, 66,赤木高,, 65,*  6,  -4, 2,  3.7,②②②
 2, 8,Ｂヒシルｰマｰ, 59,鮫島良, 0.1, 54,* -4,  -4, 3,  5.4,②②②, 2, 9,Ｂタマモモダンタイム, 48,石橋脩, 0.0, 57,  -6,*  5, 7, 23.4,⑪⑤⑤, 2,12,Ｂリッカバクシンオ, 73,安藤光, 0.1, 73,*  9,   4, 2,  3.8, ①①, 2, 8,Ｌヘイアンルモンド, 58,鮫島良, 0.0, 62,   0,*  4, 3,  4.6,⑥⑦⑥
 3, 4,Ｅエｰシンエムシｰ, 48,北村友, 0.8, 47,* -4, -12, 6, 27.7,①①①, 3, 3,Ｆマイネルデネブ, 44,上村洋, 0.4, 52,* -5,  -4, 3,  8.4,④④②, 3, 9,Ａブルｰベレッタ, 77,赤木高, 0.2, 72,*  6,   5, 1,  2.3, ③③, 3, 6,Ｇコスモメテオ, 63,田中博, 0.2, 58,  -1,*  2, 8, 39.9,⑪⑧⑧
 4,11,Ｃコスモエタｰナル, 50,田中博, 0.8, 46,  -9,  -4, 2,  4.0,⑧⑥⑦, 4,10,Ｉエｰシンダｰドマン, 39,荻野琢, 0.7, 44,* -6, -14, 9, 51.3,②②②, 4, 6,Ｃスリｰスピリット, 62,北村友, 0.6, 64,  -4,*  5,10, 70.5, ⑥⑤, 4,11,Ｆマキバスマイル, 63,的場勇, 0.4, 57,   1,  -4, 9, 41.4,⑨⑥⑥
 5, 6,Ｄレディストｰン, 49,高橋亮, 0.8, 48,  -9,*  0,14,260.9,⑩⑩⑦, 5,15,Ｋオッティマルｰチェ, 35,鮫島良, 0.8, 45,* -4, -14, 4, 13.2,②②②, 5,13,Ｈリバイバルグレイ, 59,上村洋, 0.8, 62,   1,   2, 4,  9.3, ⑤④, 5, 7,Ｅベルフリｰ, 64,中村将, 0.6, 55,  -2,*  1, 1,  3.3,⑭⑩⑨
 6, 2,Ｆラブリｰコンサｰト, 46,上村洋, 0.8, 49,  -6,  -5, 4,  7.5,④④③, 6,12,Ｍクエストタイム, 26,橋本美, 1.2, 43,  -8, -10, 8, 50.1,⑯⑥⑥, 6, 5,Ｊグランディバロｰズ, 59,鮫島良, 1.0, 61, -14,*  9, 5, 10.7, ⑪⑪, 6, 4,Ｊタヤスワカシオ, 59,田辺裕, 0.6, 56,  -3,*  4,10, 51.2,⑪⑫⑫
 7,10,Ｇポｰトカンパｰニュ, 44,幸英明, 1.0, 47,  -8,  -5, 5, 27.6,⑧⑥⑥, 7,16,Ｏロングアキレス,-14,田中克, 1.3, 38, -10, -14,10, 93.0,④⑥⑥, 7, 4,Ｄコスモラナップ, 62,田中博, 1.0, 56,  -4,   1, 3,  6.4, ⑥⑤, 7, 2,Ｋロｰドモデラｰト, 58,安藤光, 0.7, 58,   4,  -8, 5, 11.5,④④④
 8, 5,Ｏニホンピロタルト, 22,赤木高, 2.2, 37, -14,  -5, 7, 35.4,⑯⑮⑯, 8, 1,Ｊマイティｰガッツ, 35,藤岡康, 1.3, 39, -14,  -5,16,304.8,⑧⑫⑬, 8, 3,Ｎヨシブリザｰド, 52,田辺裕, 1.1, 59,  -7,   4,15,202.1, ⑨⑧, 8,13,Ｃマイティｰサンダｰ, 65,藤岡康, 0.8, 55,*  3, -13, 6, 11.7,④②③
 9,16,Ｊデヒアビｰト, 41,田嶋翔, 2.3, 36, -12,  -9,13,195.8,⑬⑭⑭, 9, 8,Ｃアヤメ, 47,中舘英, 1.4, 41, -10,  -9, 5, 16.0,⑩⑨⑧, 9, 7,Ｅメイショウシラヌイ, 61,幸英明, 1.4, 54,  -7,   1, 8, 39.6, ⑨⑩, 9, 5,Ｎリキアイナスノオｰ, 53,西田雄, 1.0, 54,  -2,  -2,14, 92.8,⑬⑩⑩
10,12,Ｌミスワンダフル, 34,野元昭, 2.3, 37, -10, -12,15,402.6,⑬⑫⑫,10, 5,Ｎコレクトシチｰ,  0,浜中俊, 1.5, 37, -14,  -7,14,239.1,⑧⑫⑬,10, 1,Ｏニホンピロコテツ, 51,熊沢重, 1.6, 52, -16,   5,12,108.8, ⑮⑫,10, 1,Ｈギャラクシｰキッド, 61,高山太, 1.1, 55,   3, -10, 7, 15.3,③⑤④
