07年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■ 4R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■10R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃトｰセントップラン, 53,藤岡佑,, 55,*  1, -11, 1,  2.4,①①①, 1, 2,Ａピエナグッドラック, 65,柴山雄,, 65,* -3,   9, 2,  2.5,⑤②②, 1, 2,Ｊセンタｰバシレウス, 54,藤田伸,, 85,  11,* 12, 7, 18.8, ④②, 1, 5,Ｇテンザンアモｰレ, 62,千田輝,, 76,  -3,* 17,10, 53.9, ⑦⑤
 2, 6,Ａチャｰムピクチャｰ, 57,長谷川, 0.4, 49,  -4,* -7, 2,  3.3,⑨⑦⑥, 2, 1,Ｃホｰマングラッパ, 58,藤田伸, 0.1, 66,  -5,* 12, 1,  2.4,⑤⑤④, 2, 8,Ｂトップオブドｰラ, 73,田中博, 0.5, 77,* 14,   2, 2,  3.5, ①①, 2, 6,Ｊアｰスコマンダｰ, 60,藤田伸, 0.2, 75, -12,* 21, 2,  7.8, ⑭⑭
 3, 2,Ｄコパノフクノカミ, 45,小林徹, 0.6, 48,  -2, -11, 7, 11.7,③④④, 3, 6,Ｄグラントリアノン, 54,藤岡佑, 0.4, 64,  -6,* 12, 3,  6.3,⑦⑥⑤, 3,12,Ｄコペルニクス, 65,北村友, 0.9, 72,   5,   5, 1,  3.1, ⑤⑤, 3, 8,Ｈウインイｰジス, 62,勝浦正, 0.2, 72,  -2,  14, 4, 13.3, ⑦⑥
 4,10,Ｈラブハニｰ, 37,菊沢隆, 0.6, 49,* -1, -14, 9, 75.4,③②②, 4,10,Ｂウェｰブクイｰン, 59,北村友, 0.4, 57,* -5,   2, 4, 11.3,③②①, 4, 5,Ｆフジヤマスウィｰプ, 63,勝浦正, 0.9, 74,   5,   7, 4,  8.8, ⑤⑤, 4, 4,Ｂエムオｰミラクル, 69,田中博, 0.3, 67,  -8,  13, 6, 15.5, ⑨⑨
 5, 5,Ｆセフティウェルオン, 41,秋山真, 0.9, 45,  -4, -11, 8, 73.0,⑩⑦⑥, 5, 9,Ｆマイネルソルダネラ, 48,木幡初, 0.9, 59,  -6,   6, 7, 28.7,⑦⑦⑥, 5,10,Ｉコスモルビｰ, 56,秋山真, 1.0, 72,  -1,* 10, 6, 16.0, ⑦⑦, 5, 1,Ｎメイショウダンケン, 46,武英智, 0.5, 69, -10,* 17,15,176.5, ⑭⑪
 6, 3,Ｂバトルルビｰ, 53,北村友, 1.6, 39,  -2, -24, 5, 10.9,②②③, 6, 5,Ｇサザンウェルズ, 45,塚田祥, 1.0, 54, -10,   5, 6, 18.8,⑨⑨⑦, 6,11,Ｌスズノケｰティング, 47,郷原洋, 1.4, 70,* 13,  -3,11,112.8, ③④, 6, 3,Ｏタイキシャルロット, 44,丸田恭, 0.5, 63,  -8,  11,13,155.1, ⑨⑧
 7, 9,Ｇトシエンジェル, 40,柴山雄, 1.6, 40,  -5, -16, 6, 11.5,⑦⑨⑨, 7, 7,Ｈタケデンシルヴァン, 40,菊沢隆, 1.2, 56,  -7,   5,10,169.8,⑨⑨⑨, 7, 3,Ａオオヒメ, 78,丸田恭, 2.1, 55, -11,   2, 3,  5.0, ⑩⑩, 7, 2,Ｃセイウンボｰルド, 66,藤岡佑, 0.5, 62,   3,   3, 3,  9.6, ④③
 8, 4,Ｅロイヤルタバスコ, 44,塚田祥, 1.8, 38,  -3, -23, 4, 10.2,⑤④④, 8, 3,Ｅグランプリジョニｰ, 48,秋山真, 2.2, 42,* -3, -23, 5, 11.9,②①③, 8, 4,Ｈダノンエトランゼル, 58,菊沢隆, 2.2, 57,  -8,   2, 9, 21.7, ⑨⑧, 8,10,Ｍフロｰラルジュノｰ, 46,田嶋翔, 0.9, 57,   2,  -1,14,158.2, ⑤⑥
 9, 8, サクラメフィウス,---,藤田伸, 3.4, 28,  -2, -38, 3,  8.0,⑦④⑥, 9, 8,Ｊピッコロレガロ, 31,松田大, 2.9, 37,* -4, -32, 8, 96.3,①④⑦, 9, 6,Ｇトｰヨｰコジｰン, 58,柴山雄, 2.6, 52, -11,   0, 8, 20.1, ⑫⑫, 9,13,Ｆロックアスリｰト, 63,菊沢隆, 1.0, 55, -10,   7,12, 69.3, ⑬⑪
10, 7,Ｊスイｰテストラバｰ, 23,田中博, 6.2,-13, -11, -53,11,111.3,⑪⑪⑩,10, 4,Ｉエプソムチェルシｰ, 36,黛弘人, 3.7, 29,  -9, -37, 9,108.9,④⑦⑩,10, 7,Ｋウメノレイメイ, 54,佐藤聖, 2.6, 49, -11,  -3,12,124.9, ⑩⑩,10,11,Ｄスズカエルムス, 65,柴山雄, 1.0, 56,  -8,   6,11, 63.4, ⑪⑪
