07年 9月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■10R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅショウサンマグナ, 44,芹沢純,, 56,* -9,*  5, 4, 10.7,①①①, 1,12,Ａタガノアッシュ, 57,岩田康,, 62,*  2,* -3, 1,  1.9,④②②, 1, 2,Ｅマイネルランプロス, 62,柴山雄,, 70,  -1,* 11, 3,  5.6,④③③, 1, 8,Ｂクリップフェアリｰ, 62,的場勇,, 74,*  7,*  5, 2,  3.4, ②②
 2, 5,Ｄダイワジャンヌ, 48,的場勇, 0.3, 54, -14,*  6, 2,  3.0,⑤⑤⑤, 2,10,Ｆニチリンサンカ, 45,松田大, 0.8, 54,  -2,* -3, 7, 58.1,⑨⑨⑥, 2, 4,Ａキタノアラワシ, 68,藤岡佑, 0.4, 66,  -4,* 10, 2,  3.1,⑥⑥④, 2,10,Ｆラスカルシチｰ, 58,丸田恭, 0.3, 69,   4,   4, 4,  7.0, ③③
 3, 6,Ｂゴルディオス, 52,岩田康, 0.4, 51, -11,   3, 3,  4.1,③③②, 3, 7,Ｂゴｰルディｰロック, 55,藤岡佑, 0.8, 55,   0,  -8, 4,  8.6,③④③, 3, 1,Ｄヘンメイレン, 63,的場勇, 0.5, 62,  -3,   7, 4,  8.3,③④④, 3, 5,Ｄイエスオアノｰ, 61,岩田康, 0.7, 65,*  8,  -1, 1,  2.5, ①①
 4, 1,Ａスペルバインド, 54,菊沢隆, 0.7, 49, -13,   3, 1,  2.4,⑨⑥⑤, 4, 9,Ｄランドマッハ, 50,安藤勝, 0.9, 55,*  3, -13, 2,  2.7,①①①, 4, 8,Ｆトランプ, 54,川島信, 0.7, 59,* -1,   2, 6, 25.4,①①①, 4, 4,Ｃフレンチミステリｰ, 62,黛弘人, 0.7, 65,  -7,*  7, 3,  5.9, ⑧⑦
 5, 4,Ｇシルクハリアｰ, 41,津村明, 0.9, 44, -13,   0, 6, 24.7,⑤⑥⑤, 5, 1,Ｅユミ, 49,的場勇, 1.3, 48,  -2, -12, 5, 29.5,④⑦⑥, 5, 6,Ｃニホンピロリｰガ, 63,勝浦正, 0.9, 56,* -1,   0, 5,  9.0,②②②, 5, 7,Ｋボｰスンズコｰル, 49,菊沢隆, 0.8, 65,   0,   4, 8, 31.9, ⑥⑤
 6, 8,Ｆトキノプリンセス, 42,藤岡佑, 1.0, 40, -11,  -6, 7, 31.7,④③③, 6,13,Ｊイッキイチユウ, 34,田辺裕, 1.7, 48,*  2, -18, 9, 97.6,⑦③③, 6, 5,Ｂアドマイヤウイナｰ, 65,岩田康, 1.0, 60,  -4,   6, 1,  2.2,⑦⑥⑥, 6, 1,Ｅドリｰムタイガｰ, 59,津村明, 1.0, 61,   3,  -1, 5, 14.4, ④③
 7, 7,Ｃセイカカリンバ, 50,柴山雄, 1.0, 39,*-10,  -7, 8, 39.8,②②③, 7,11,Ｃピンクキャンドル, 54,柴山雄, 2.1, 44,   0, -20, 3,  8.3,⑪④③, 7, 7,Ｇキョウコマチ, 38,小原義, 2.1, 49,  -5,  -3, 8,119.6,⑦⑧⑧, 7,11,Ｇジパングエンジェル, 58,柴山雄, 1.1, 61, -11,*  8,10, 41.6, ⑪⑨
 8, 3,Ｊファイナルジャッジ,  2,松田大, 1.4, 37, -14,  -4, 9, 86.4,⑨⑨⑧, 8, 8,Ｉチェリｰスイッチ, 37,鈴来直, 2.4, 42,  -2, -19, 8, 79.6,⑦⑨⑩, 8, 3,Ｈスンダｰル, 37,黛弘人, 3.5, 42,  -4, -21, 7, 95.2,⑤④⑦, 8, 9,Ａコアレスディガｰ, 63,田辺裕, 1.3, 56,   0,  -2, 7, 29.2, ⑥⑧
 9, 2,Ｉフェイドレスシｰン, 25,池添謙, 1.4, 37, -14,  -4, 5, 20.1,⑦⑨⑧, 9, 5,Ｌエスメラルダ, 33,古川吉, 2.7, 40,  -1, -24, 6, 40.3,⑥⑦⑧,,,,,,,,,,,,, 9, 6,Ｈアルスヴィド, 52,池添謙, 1.4, 56,  -4,   0,11, 46.4, ⑧⑨
10, 9,Ｈマイネルスウィング, 30,北村浩, 2.3, 30, -13, -21,10,129.9,⑦⑥⑩,10, 2,Ｈゲイルカイザｰ, 38,丸田恭, 3.9, 29,  -1, -39,11,167.9,②④⑧,,,,,,,,,,,,,10, 3,Ｊエｰピｰゴンタ, 50,鈴来直, 1.5, 55,  -6,   0, 9, 37.3, ⑧⑨
