07年10月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12.6,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,,■ 7R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,,■10R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａコスモコマンダ, 49,中舘英,, 57, -12,*  6, 1,  1.5,③④②, 1, 4,Ｄシャドウキャスタｰ, 61,後藤浩,, 63,   3,*  1, 2,  3.6,⑤③②, 1, 8,Ｋコスモスペシャリｰ, 52,黛弘人,, 70,* 10,  -2, 6, 12.6,③③①, 1, 5,Ｂエｰティｰボス, 68,川島信,, 88, -15,* 36, 5, 11.8,⑭⑮⑩
 2,13,Ｆサｰンバラッド, 28,津村明, 0.5, 46,* -9,  -3, 5, 18.8,①①①, 2, 6,Ａフレアキャスケｰド, 64,田中克, 0.4, 56,  -2,*  2, 5, 10.3,⑪⑧⑦, 2,10,Ａオペラブラｰボ, 69,木幡初, 0.1, 71,   9,*  4, 1,  3.2,⑤⑧⑨, 2, 4,Ａフィアリストライ, 77,村田一, 0.1, 69, -10,  25, 1,  3.6,③③④
 3,14,Ｂナリタシャトル, 41,河北通, 0.6, 46,*-10,  -2, 2,  5.2,③②④, 3, 8,Ｃデュｰクタイフｰン, 61,中舘英, 0.6, 58,   2,  -4, 4,  7.4,③③④, 3,12,Ｇグランドカラｰ, 60,西田雄, 0.3, 70,   9,*  1, 3,  6.0,⑩⑧②, 3, 2,Ｋダイワバイロン, 61,菊沢隆, 0.2, 60,* -8,  19, 8, 20.5,①①①
 4, 8,Ｃトラストミツル, 39,後藤浩, 0.8, 46, -12,  -1, 3,  7.2,⑩⑥⑤, 4,12,Ｂスズカフロｰラ, 61,芹沢純, 0.8, 57,*  4,  -8, 1,  3.0,⑤②②, 4, 6,Ｈスズカシャトル, 60,佐藤哲, 0.5, 67,  10,  -3, 7, 15.7,⑤⑦⑥, 4,11,Ｐセラフィックロンプ, 58,木幡初, 0.3, 63, -10,  22, 6, 15.1,③③②
 5,12,Ｋスガノコクオｰ, 17,木幡初, 0.9, 42,*-10,  -6, 9, 55.2,②②②, 5,11,Ｊダイシンツウィギｰ, 51,南田雅, 0.8, 55,  -2,*  1,11,134.0,⑩⑩⑨, 5, 3,Ｆトランプ, 61,丹内祐, 0.6, 66,  10,  -6, 4, 12.4,⑤⑤⑥, 5,10,Ｊオウシュウヘイロｰ, 62,大野拓, 0.4, 61, -11,  21, 7, 16.4,⑤⑤⑤
 6, 7,Ｊラビットヒビキ, 20,西田雄, 1.2, 43, -14,  -1,11, 92.7,⑧⑨⑦, 6, 7,Ｅグランドアムｰル, 59,宮崎北, 1.0, 54,*  4, -14, 3,  5.3,③①①, 6,14,Ｅテントゥワン, 61,二本柳, 0.6, 65,   6,*  3,11, 51.4,⑬⑬⑬, 6, 6,Ｇテイエムフウウンジ, 64,中舘英, 0.6, 55,* -9,  16, 3,  5.6,②②②
 7, 1,Ｇカヤドｰクオｰレ, 26,石橋脩, 1.6, 39, -15,  -4,10, 89.8,⑫⑩⑨, 7, 1,Ｌニシノナギサ, 41,古川吉, 1.2, 52,   0,  -7,10,105.8,⑦⑥⑤, 7,13,Ｂタガノマスタング, 67,石橋脩, 0.6, 66,  11,  -6, 2,  3.6,⑤⑤②, 7,16,Ｃマイネルデネブ, 68,丹内祐, 0.7, 62, -13,  23, 9, 22.3,⑪⑬⑭
 8, 4,Ｍサファリボス,  0,田辺裕, 1.8, 34, -13,  -9, 8, 52.7,⑥⑥⑤, 8,13,Ｆナンヨｰアｰス, 57,木幡初, 1.2, 52,   0,  -7, 6, 10.6,⑦⑥⑤, 8, 4,Ｃメルシｰコバン, 63,川島信, 0.7, 65,* 13, -12, 5, 12.5,①①②, 8, 9,Ｆホッカイルオｰ, 64,石橋脩, 0.7, 58, -12,  20,12, 51.7,⑪⑧⑩
 9, 6,Ｎストロングアクシス,-29,安藤光, 2.1, 32, -12, -14, 4, 13.3,⑤④⑦, 9, 5,Ｋシゲハヤテ, 46,佐藤聖, 3.4, 35,  -6, -19,13,208.5,⑬⑫⑫, 9,11,Ｉコスモシレナ, 59,的場勇, 0.8, 62,* 11, -13, 8, 18.3,③③⑥, 9, 7,Ｄラｰドロキングリｰ, 66,後藤浩, 0.8, 57, -13,  20, 4,  6.2,⑯⑪⑧
10,11,Ｄスガノゴｰルド, 38,宮崎北, 2.5, 27, -16, -14, 6, 33.9,⑩⑩⑪,10,10,Ｉユランコタン, 53,二本柳, 3.5, 36,  -6, -17, 9, 46.0,⑫⑬⑫,10, 2,Ｌシルクプロシｰド, 51,嘉藤貴, 0.9, 62,   8,  -6,13,135.2,⑩⑪⑪,10,15,Ｍクリノダグラス, 60,田辺裕, 0.8, 56, -12,  19,16,353.9,⑧⑧⑧
11,10,Ｈグランドオｰク, 23,菊沢隆, 2.6, 29, -15, -13,12,118.6,⑭⑩⑫,11, 3,Ｇクリノオンディｰヌ, 57,丹内祐, 4.1, 32,  -1, -33, 8, 28.0,②⑧⑩,11, 1,Ｎムｰヴスタｰ, 37,大野拓, 1.3, 56,   8, -14,12, 83.1,⑨⑧⑪,11,13,Ｈナイスヴァレｰ, 63,太宰啓, 0.8, 54, -11,  17, 2,  4.6,⑧⑤⑤
