08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾒｲﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄイコｰルパｰトナｰ, 57,赤木高,, 58,   0,* -4, 1,  3.5,④⑥⑥, 1, 7, シルクドミニオン,---,浜中俊,, 66,*  4,* -9, 2,  4.8, ②②, 1, 4,Ｇノｰザンシャトル, 66,川田将,, 79,* 14,  -8, 5, 11.6,②②①, 1, 8,Ｌトｰホウシャイン, 73,高野容,, 84,  10,*  1,12,116.3,⑩⑩⑦
 2,12,Ｊキュンキュンハｰト, 51,船曳文, 0.2, 57,*  3, -12, 7, 17.6,②①①, 2, 4, ヨシノアツヒメ,---,野元昭, 0.5, 60,*  7, -19, 4,  9.0, ①①, 2, 8,Ｉマイネトゥインクル, 64,和田竜, 0.1, 79,  12,* -4, 9, 36.5,⑦⑦④, 2, 2,Ｊピｰスオブラヴ, 78,福永祐, 0.2, 82,* 16, -13,10, 40.1,①①①
 3, 4,Ｈウォｰタｰリメイン, 52,佐久間, 0.5, 58,  -3,*  0,14, 89.4,⑫⑫⑩, 3, 6, アンジュアイル,---,赤木高, 0.6, 55,   0, -13, 7, 13.7, ⑤⑤, 3, 2,Ｂグリッツェルン, 73,藤岡康, 0.3, 75,  13,  -9, 2,  6.0,⑤③⑧, 3, 4,Ｄソリッドプラチナム, 87,幸英明, 0.4, 82,  12,* -6, 5, 11.7,⑧⑧⑦
 4, 5,Ｆマックリｰン, 56,鮫島良, 0.6, 56,  -2,  -6,12, 86.0,⑧⑧⑦, 4, 8, ドリｰムクラフト,---,佐藤哲, 0.6, 54,  -3,*-10, 6, 10.0, ⑦⑦, 4, 7,Ｅギｰニョ, 70,岩田康, 0.3, 75,  11,* -6, 3,  7.5,⑩⑩④, 4, 6,Ｈブリトマルティス, 82,武豊  , 0.9, 76,  13, -18, 3,  4.9,⑤④②
 5,16,Ｂスリｰマｰチャン, 59,熊沢重, 0.9, 56,  -4,  -5,10, 53.0,⑮⑫⑨, 5, 9, ナタリｰロｰズ,---,武豊  , 0.7, 56,*  5, -19, 8, 15.2, ②②, 5,13,Ｄティアラプリンセス, 71,佐藤哲, 0.4, 74,* 14, -13, 4,  8.0,③③②, 5, 5,Ｂベッラレイア, 89,秋山真, 1.6, 69,* 14, -29, 1,  2.5,③②②
 6,13,Ｅグランチャｰム, 57,和田竜, 1.1, 52,*  1, -17, 8, 18.8,⑤③③, 6, 3, ナリタホウショウ,---,幸英明, 0.7, 52,  -5,* -9,10, 25.1, ⑩⑧, 6,12,Ｃタガノトゥｰリ, 72,福永祐, 0.6, 74,  13, -14, 7, 28.2,⑤⑥③, 6,11,Ａザレマ, 89,和田竜, 2.6, 61,  13, -41, 2,  4.2,⑦⑦⑤
 7, 1,Ｌプリティエスト, 49,岩田康, 1.2, 52,  -6,* -5, 5, 13.9,⑫⑮⑫, 7,10, クｰルヴァンクル,---,和田竜, 0.9, 51,   0, -17, 9, 22.5, ⑤⑤, 7, 6,Ａエｰシンサｰフィン, 74,武豊  , 0.7, 74,  10,* -7, 1,  1.9,⑬⑫⑥, 7, 1,Ｉブロｰオブサンダｰ, 79,畑端省, 2.9, 59,* 14, -48, 8, 28.0,②②②
 8, 9,Ｃシゲルキボウ, 57,角田晃, 1.3, 50,*  1, -19, 3,  4.5,⑧③③, 8, 2, キングスレガリア,---,福永祐, 1.0, 48,  -7, -12, 1,  3.8, ⑨⑩, 8, 5,Ｆマイネアプレイザｰ, 69,浜中俊, 1.1, 73,  10, -13, 8, 30.5,⑪⑩⑫, 8, 9,Ｋウインシンシア, 75,浜中俊, 3.1, 60,   7, -37, 9, 37.8,⑪⑩⑪
 9, 2,Ｇゼットフウリン, 55,藤岡康, 1.7, 47,   0, -22, 4,  9.0,③③⑤, 9, 5, サチノパパイヤ,---,川田将, 1.5, 42,  -9, -15, 3,  5.1, ⑩⑪, 9, 1,Ｌアンテヴォルテ, 61,幸英明, 1.4, 68,  12, -21,10, 44.6,⑦⑦⑩, 9,10,Ｆトウカイルナ, 84,岡部誠, 3.3, 56,   7, -39,11, 54.8,⑪⑩⑪
