08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,宝塚記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｈラガｰサｰジュ, 48,田中克,, 64,   0,*  5,14,131.2, ⑫⑨, 1, 1, サダムテンジン,---,岩田康,, 58,* -7,   1, 1,  3.7, ①①, 1, 2,Ａアロド, 86,浜中俊,, 88,* 15,*  9, 3,  4.2, ①①, 1, 9,Ｆエイシンデピュティ, 90,内田博,, 90,* 20,  -8, 5, 11.3,①①①
 2, 7, バブルガムレディ,---,武豊  , 0.2, 63,   2,*  1, 4,  5.9, ⑩⑥, 2, 6, ドリｰムクェｰサｰ,---,後藤浩, 0.5, 53, -15,*  4, 6, 11.8, ⑧⑧, 2,12,Ｈゼンノモナルカ, 76,川田将, 1.3, 77,  10,   3, 6, 16.7, ⑥④, 2, 2,Ａメイショウサムソン, 96,武豊  , 0.0, 91,  19,* -2, 1,  2.1,⑨⑦④
 3, 1,Ｋクイｰンオブナイト, 43,福永祐, 0.5, 61,   0,*  1,11, 41.6, ⑩⑨, 3, 9, レッドオマｰジュ,---,内田博, 0.5, 53, -11,   0, 4,  5.2, ⑤⑤, 3, 3,Ｉペプチドアトム, 74,和田竜, 1.4, 78,  12,   1,11, 79.8, ④③, 3, 1,Ｌインティライミ, 88,佐藤哲, 0.1, 90,* 21,  -6,11, 39.0,③③④
 4, 9,Ｂシンデレラロマンス, 59,藤岡康, 0.6, 59,  -1,*  1, 2,  4.0, ⑫⑬, 4, 3, マイネルソレント,---,佐藤哲, 0.8, 50, -10,  -4, 3,  5.2, ③③, 4,15,Ｄアｰトオブウォｰ, 79,小原義, 1.4, 78,* 15,  -3, 1,  3.0, ②②, 4, 5,Ｇサクラメガワンダｰ, 90,福永祐, 0.3, 89,  18,* -3,12, 40.3,⑦⑨⑪
 5, 6,Ｅブルｰミングガｰル, 57,浜中俊, 1.1, 57,*  8, -14, 5, 14.3, ②②, 5,12, ホッコｰタキオン,---,飯田祐, 0.8, 51, -12,  -2, 5,  7.4, ⑤⑤, 5,14,Ｅセントラルコｰスト, 77,岩田康, 1.5, 75,   9,   3, 5, 10.5, ⑦⑦, 5,11,Ｉアサクサキングス, 90,四位洋, 0.4, 87,* 20, -10, 4,  8.7,⑤⑤②
 6, 2,Ｃアンクルウォｰタｰ, 59,佐藤哲, 1.2, 56,   3,  -8, 8, 23.0, ⑦⑥, 6, 2, メイショウコウセイ,---,武豊  , 1.3, 46,* -8, -10, 2,  3.8, ②②, 6,16,Ｆマイネルウォルビス, 77,佐藤哲, 1.7, 74,  11,  -1, 8, 29.4, ④④, 6, 7,Ｅアドマイヤフジ, 91,川田将, 0.5, 86,  19,  -9, 9, 27.3,⑤⑤⑧
 7,12,Ｇタイセイビエント, 53,幸英明, 1.3, 55,   5, -11, 9, 35.4, ⑤④, 7, 5, クインビスティｰ,---,上村洋, 1.5, 46,* -8, -11, 9, 54.5, ③③, 7, 8,Ｃメイショウボンハオ, 79,武豊  , 1.8, 72,   7,   4, 2,  3.8, ⑪⑨, 7,14,Ｃエアシェイディ, 93,後藤浩, 0.6, 85,  18,  -8,10, 36.3,⑪⑩⑧
 8,14,Ｄスマｰトドレス, 59,鮫島良, 1.9, 52,   6, -18, 3,  5.0, ④③, 8, 4, バンブｰバルサ,---,和田竜, 2.1, 40, -12, -14,10, 60.1, ⑤⑤, 8, 7,Ｂレゾリュｰション, 79,後藤浩, 1.8, 71,   4,*  8, 4,  9.2, ⑫⑮, 8,12,Ｄカンパニｰ, 92,横山典, 0.9, 83,  19, -16, 7, 22.0,③③④
 9, 8,Ａパイナップルスノｰ, 60,内田博, 1.9, 48,   2, -14, 1,  3.4, ⑦⑨, 9, 7, キタマクラデナナ,---,藤岡康, 2.2, 39, -23,  -3,11, 65.1, ⑩⑨, 9, 1,Ｌエイシンキャップ, 70,藤岡康, 2.3, 68,   7,  -2,12, 98.4, ⑨⑦, 9,10,Ｋドリｰムパスポｰト, 89,蛯名正, 1.2, 81,  18, -14, 8, 23.1,⑫⑪⑧
