08年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄマハｰバリプラム, 57,武豊  ,, 80,*  3,* 12, 1,  3.2, ②②, 1,10, デグラｰティア,---,浜中俊,, 50, -16,* -5, 2,  3.6, ④③, 1, 4,Ｇクレセントラン, 59,和田竜,, 67,  10,*-20, 5, 10.2,⑧⑧⑦, 1,10,Ｆサンダルフォン, 76,佐藤哲,, 82,   2,* 10, 5, 10.9, ⑤⑤
 2, 9,Ａタニノジュレップ, 70,鮫島良, 1.3, 71,*  6,  -1, 5, 11.2, ①①, 2, 6, エｰシンワンダｰズ,---,田中健, 0.4, 43,*-13, -13, 4,  9.8, ②②, 2, 7,Ｃフサイチフェイマス, 65,川田将, 0.0, 66,* 13, -24, 3,  5.1,⑤⑤③, 2, 1,Ｎマッチメイト, 68,川田将, 0.2, 79,* 14,  -4, 6, 15.4, ①①
 3, 3,Ｂコパノアコチャン, 66,藤岡康, 1.8, 62,  -1,   0, 2,  3.3, ⑧⑥, 3, 4, ウララカ,---,和田竜, 0.4, 44,*-12, -14, 3,  4.0, ①①, 3,14,Ｂサバｰス, 65,福永祐, 0.0, 67,  10,*-19, 2,  4.2,⑩⑧⑦, 3,14,Ｇキルシュワッサｰ, 74,太宰啓, 0.4, 78,* 10,  -3, 7, 16.1, ②②
 4,12,Ｃインタｰレｰス, 63,川田将, 2.0, 63,   1,  -2, 7, 14.4, ⑥⑥, 4, 2, シゲルバンダイサン,---,熊沢重, 0.7, 39, -16, -15, 9, 91.9, ③③, 4,13,Ｆサムズアップ, 62,鮫島良, 0.1, 66,* 12, -26, 6, 13.4,⑤⑤⑤, 4,16,Ｉラッシュライフ, 73,浜中俊, 0.4, 78,   6,   1, 4,  6.8, ③③
 5,11,Ｉメイデンミヤビ, 47,和田竜, 2.0, 62,   2,  -4,11,102.8, ④③, 5, 8, ハッピｰパレｰド,---,武豊  , 0.7, 40, -18, -11, 1,  2.1, ⑤⑤, 5, 5,Ｊヤマカツアザミ, 53,岡部誠, 0.3, 66,   6,*-14,13,185.8,⑫⑬⑪, 5,12,Ｄスｰパｰワシントン, 77,和田竜, 0.4, 79,  -3,* 11, 3,  6.0, ⑩⑥
 6, 7,Ｆルｰシｰショｰ, 55,船曳文, 2.4, 57,  -1,  -6, 6, 12.7, ⑥⑥, 6, 9, ウイニングドラゴン,---,小原義, 0.8, 39, -19, -11, 7, 57.5, ⑥⑥, 6,12,Ｄロｰドフラッシュ, 64,小牧太, 0.3, 64,* 14, -32, 4,  7.1,③②②, 6,15,Ｈユメノオｰラ, 74,田中健, 0.5, 77,  -3,   9,12, 41.9, ⑩⑥
 7, 5,Ｇアグネスシャイン, 53,田中健, 2.6, 56,  -1,  -7, 3,  5.5, ⑧⑨, 7, 3, エルプレジデンテ,---,佐藤哲, 0.8, 38, -20, -12, 5, 22.4, ⑥⑥, 7,11,Ｅゼッコウチョウ, 63,藤岡康, 0.4, 64,   9,*-20, 9, 76.4,⑮⑬⑨, 7, 2,Ｅアｰバンストリｰト, 77,上村洋, 0.6, 76,   0,   5, 1,  3.2, ⑤⑥
 8,16,Ｅチェスナットシチｰ, 57,浜中俊, 2.8, 54,*  3, -12, 8, 21.8, ③③, 8, 7, キングマイハｰト,---,鮫島良, 0.8, 39, -20, -12, 8, 62.6, ⑥⑥, 8, 3,Ｋメイショウオオマ, 53,浜中俊, 1.0, 61,* 14, -41, 8, 49.1,②②①, 8, 4,Ｋタイキフェアレディ, 73,田島裕, 0.6, 75,  -4,   9,14, 57.7, ⑧⑪
 9, 6,Ｊムｰンクレイドル, 47,熊沢重, 2.8, 55,   1, -11, 4,  8.4, ④③, 9, 5, カネトシアミｰゴ,---,太宰啓, 1.2, 34, -27, -11,10,132.9, ⑨⑨, 9,16,Ａアルトップラン, 67,武豊  , 1.4, 55,* 12, -46, 1,  2.4,⑤②③, 9, 7,Ｂエアニックス, 83,小牧太, 0.7, 73,   6,  -3, 2,  5.7, ③③
10, 1, シャインホｰラｰ,---,飯田祐, 3.2, 48,  -7,  -7, 9, 63.1, ⑫⑫,10, 1, コスモラヴチャン,---,幸英明, 2.2, 26, -38,  -9, 6, 28.1, ⑩⑩,10, 9,Ｉメイショウオバナ, 54,上野翔, 1.5, 54,   6, -29,14,215.3,⑭⑮⑬,10,13,Ｍライブリシュロム, 69,石橋守, 0.9, 72,  -5,   6, 8, 17.8, ⑫⑪
11,14,Ｌエタｰナルメロディ, 32,石橋守, 3.5, 46,  -5, -11,16,220.8, ⑩⑩,,,,,,,,,,,,,11,10,Ｏシゲルアスピレ, 50,角田晃, 1.5, 55,  11, -44,10,126.2,⑯⑤⑤,11, 9,Ｊマルカジｰク, 73,角田晃, 1.0, 71,  -5,   5,11, 40.4, ⑫⑪
12,13,Ｋサチノギムレット, 45,田村太, 4.3, 40,  -4, -19,15,213.9, ⑩⑩,,,,,,,,,,,,,12, 2,Ｎオウシュウハｰト, 51,幸英明, 2.2, 50,   3, -34,12,151.7,⑫⑯⑮,12, 5,Ｏワイキュｰブ, 67,鮫島良, 1.0, 70,  -3,   3, 9, 23.3, ⑧⑩
13, 2, エリザベｰトクロス,---,上村洋, 4.5, 39, -23,  -3,12,146.9, ⑯⑯,,,,,,,,,,,,,13,15,Ｌハｰドギムレット, 53,岩崎祐, 2.3, 50,   9, -46,16,284.9,⑪⑪⑨,13, 3,Ｃシルクドラグｰン, 78,武英智, 1.0, 72, -12,* 12,10, 37.6, ⑮⑯
14, 8,Ｈオｰミカンタｰレ, 48,赤木高, 4.5, 37, -10, -14,14,206.6, ⑭⑭,,,,,,,,,,,,,14, 8,Ｈトムウィンズ, 59,渡辺薫, 2.7, 47,   6, -45, 7, 43.6,⑧⑪⑮,14,11,Ｐオｰスミマｰシャル, 64,芹沢純, 1.1, 71, -10,   9,16, 84.7, ⑮⑭
15, 4,Ｍクロｰズユアアイズ,-10,幸英明, 4.7, 35,  -9, -18,10, 93.6, ⑫⑬,,,,,,,,,,,,,15, 1,Ｍホクセツアイアン, 52,赤木高, 3.4, 43,   6, -58,11,145.3,③⑧⑬,15, 6,Ｌタガノバスティｰユ, 72,渡辺薫, 1.1, 70,  -8,   6,13, 55.7, ⑫⑭
16,15, ナリタワカバ,---,河北通, 5.5, 28, -15, -20,13,196.1, ⑭⑮,,,,,,,,,,,,,16, 6,Ｐメイショウチュラマ, 41,田中健, 5.5,  2,  11, ---,15,276.2,①①⑪,16, 8,Ａリｰサムウェポン, 85,川島信, 1.7, 59,   1, -11,15, 60.6, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
