08年 7月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆナムラタイシ, 49,石橋守,, 55,  -4,* -9, 5,  8.8, ⑥⑥, 1, 8, ロジユニヴァｰス,---,武豊  ,, 61, -12,*  7, 2,  2.9, ③④, 1, 3,Ｃアウロラプラネット, 60,川田将,, 70,*  4,  -3, 2,  4.1, ①①, 1, 1,Ａフサイチアウステル, 91,赤木高,, 84,* 17,   0, 6,  8.2, ①①
 2, 7,Ｅクｰルヴァンクル, 53,田村太, 0.3, 51,  -3, -16, 6, 23.3, ④④, 2, 7, プロスアンドコンズ,---,福永祐, 0.1, 62, -15,* 13, 1,  2.2, ⑪⑩, 2,11, サクラドルチェ,---,赤木高, 0.5, 63, -13,*  6, 4,  7.7, ⑬⑫, 2, 2,Ｃマチカネオｰラ, 89,小牧太, 0.0, 90,   5,* 23, 4,  6.7, ⑧⑤
 3, 3,Ｃリディック, 54,上村洋, 0.5, 50,   0, -21, 3,  4.7, ②②, 3, 6, ロｰドジｰニス,---,藤岡康, 0.3, 53,* -6,  -9, 3,  7.0, ①①, 3,12,Ｅエリモラフィｰネ, 56,渡辺薫, 0.6, 62,  -3,  -4, 6, 17.2, ⑧⑥, 3, 9,Ｈトップオブツヨシ, 83,川田将, 0.0, 87,   6,  19, 3,  4.8, ④③
 4, 8,Ｇキタマクラデナナ, 41,藤岡康, 0.6, 48,  -4, -17, 8, 89.3, ⑥⑥, 4, 9, ドリｰムゼニス,---,佐藤哲, 0.3, 55, -11,   0, 4, 11.8, ③③, 4,13,Ｂビジュアルクイｰン, 61,武豊  , 0.6, 63,*  3,  -9, 1,  2.6, ②②, 4, 6,Ｂショウナンアクト, 91,藤岡康, 0.3, 84,   5,  19, 7, 12.2, ④⑤
 5, 4,Ａヨシノアツヒメ, 60,大下智, 0.9, 45,*  2, -30, 2,  3.3, ①①, 5, 3, アヤナグレイス,---,鮫島良, 0.4, 60, -16,* 12, 9, 58.3, ⑪⑫, 5,16,Ｌスリｰタキオン, 44,小牧太, 0.6, 63,*  1,  -8, 8, 44.4, ③③, 5, 8,Ｊトウカイルナ, 74,川島信, 0.5, 82,   2,* 21, 9, 32.0, ⑧⑨
 6, 2,Ｈゼットホｰオｰ, 35,田中克, 1.3, 39,  -8, -21, 7, 54.2, ⑧⑧, 6,12, マイネルカルツェ,---,石橋守, 1.1, 46,* -8, -16,10,108.9, ②②, 6,15,Ｄフルスペック, 58,佐藤哲, 0.8, 59,  -7,  -3, 3,  5.2, ⑩⑨, 6,10,Ｇマイネルシｰガル, 85,福永祐, 0.7, 80,   3,  14, 2,  4.4, ⑥⑤
 7, 6,Ｂドリｰムクラフト, 55,佐藤哲, 1.4, 39,  -2, -30, 1,  2.5, ④④, 7,11, ウォｰクラウン,---,太宰啓, 1.2, 48, -13,  -7,11,138.1, ⑩⑥, 7, 1,Ｇユウフジ, 53,田村太, 0.8, 59,  -4,  -6,11, 93.3, ⑥⑥, 7, 3,Ｅホｰマンアラシ, 86,武豊  , 0.7, 81,   0,  19, 5,  8.1, ⑩⑨
 8, 9,Ｄナタリｰロｰズ, 54,武豊  , 2.6, 27,   0, -48, 4,  6.6, ②②, 8, 1, トモダチ,---,浜中俊, 1.2, 50, -13,  -7, 5, 19.1, ⑥⑥, 8,10,Ａヤマニンファンシｰ, 61,藤岡康, 0.8, 58,  -1, -10, 5,  9.6, ③③, 8, 4,Ｆユキノアサカゼ, 85,石橋守, 1.0, 75,   6,   4, 8, 20.6, ③③
 9, 1,Ｉシゲルコマガタケ, 35,太宰啓, 3.3, 11,  -9, -46, 9,108.1, ⑧⑧, 9, 5, ラタｰシュ,---,川田将, 1.8, 39, -13, -16, 6, 20.6, ⑦⑥, 9, 7,Ｈアミｰゴシチｰ, 52,浜中俊, 0.9, 60,  -1,  -9, 7, 22.6, ⑥⑥, 9, 5,Ｄパｰフェクトジョイ, 88,上村洋, 1.2, 75,   5,   6, 1,  4.2, ⑥⑤
,,,,,,,,,,,,10,10, エｰシンウィゾｰル,---,上村洋, 1.9, 39, -10, -21, 7, 27.1, ③④,10, 4,Ｍリッショウユｰザｰ, 43,上村洋, 1.0, 58,  -6,  -5,10, 67.7, ⑩⑨,10, 7,Ｉサイレントディｰル, 81,浜中俊, 1.6, 68,* 17, -22,10, 35.1, ②②
,,,,,,,,,,,,11, 4, トｰコｰタカシ,---,小牧太, 2.0, 38, -13, -19, 8, 32.4, ⑦⑥,11, 5,Ｉスズカタイホｰ, 51,田中克, 1.4, 52, -16,  -2, 9, 66.9, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,12, 2, シゲルフジサン,---,岩崎祐, 2.1, 37, -15, -16,12,155.2, ⑦⑩,12, 9,Ｆウツセミ, 53,小林慎, 1.5, 51,*  1, -20,12,123.9, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｊトｰホウインラヴ, 50,石橋守, 1.5, 52, -16,  -2,13,138.4, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｋニホンピロボタン, 45,川島信, 1.6, 48, -11,  -9,15,147.0, ⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｎシゲルディザイア, 39,田中健, 1.8, 47,  -7, -16,16,164.3, ⑧⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 8, ミヤジボｰイ,---,芹沢純, 2.8, 33, -23, -14,14,144.4, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
"単勝:880円 複勝:05=230円 07=450円 03=180円 枠連:6,270円",,,,,,,,,,,,単勝:290円 複勝:08=120円 07=110円 06=170円 枠連:320円,,,,,,,,,,,,"単勝:410円 複勝:03=190円 11=300円 12=380円 枠連:1,240円",,,,,,,,,,,,"単勝:820円 複勝:01=270円 02=220円 09=180円 枠連:2,510円",,,,,,,,,,,
"馬連:5,730円 ワイド:05-07=1,450円 03-05=410円 03-07=1,250円",,,,,,,,,,,,馬連:310円 ワイド:07-08=170円 06-08=340円 06-07=260円,,,,,,,,,,,,"馬連:2,520円 ワイド:03-11=870円 03-12=950円 11-12=1,950円",,,,,,,,,,,,"馬連:2,570円 ワイド:01-02=1,040円 01-09=740円 02-09=610円",,,,,,,,,,,
"馬単:9,750円 3連複:6,180円",,,,,,,,,,,,馬単:740円 3連複:540円,,,,,,,,,,,,"馬単:4,130円 3連複:9,430円",,,,,,,,,,,,"馬単:5,640円 3連複:3,760円 3連単:26,880円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,皆生特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃキュンキュンハｰト, 58,船曳文,, 62,* 10, -16, 2,  3.0,②①①, 1, 2,Ｄマイティｰストｰム, 59,藤岡康,, 66,   2,   0, 1,  1.6, ②③, 1,13,Ａフォｰティファイド, 79,武豊  ,, 77,   3,* 13, 2,  3.0,⑤⑤④, 1, 6,Ｂマジックボンバｰ, 81,小牧太,, 79,   6,  12, 2,  3.0, ④④
 2, 4,Ｄグランチャｰム, 57,田村太, 0.0, 61,   4,* -7, 5, 14.5,⑦⑦④, 2, 6,Ｈオシャレキング, 54,熊沢重, 0.5, 62,   0,  -1, 5, 32.8, ⑦⑥, 2,12,Ｎスマｰトトリック, 60,藤岡康, 0.0, 78,*  4,  12,11,102.6,④③②, 2,11,Ｅアクセルファイヤｰ, 78,武豊  , 0.2, 80,   0,* 20, 1,  3.0, ⑮⑭
 3, 9,Ｇアｰトオブロマンス, 48,小原義, 0.7, 58,   5, -13,11, 82.7,⑧⑦⑥, 3, 9,Ｌドンペリゴｰル, 48,石橋守, 0.8, 58,  -6,*  3, 7, 41.6, ⑮⑫, 3, 6,Ｂボランタス, 79,熊沢重, 0.2, 79,   2,* 14, 1,  2.3,⑦⑧⑧, 3,15,Ｍモンプティクｰル, 73,上村洋, 0.4, 77,   7,   8, 5, 24.0, ④④
 4, 1,Ｊサクラシンフォニｰ, 43,浜中俊, 0.8, 55,   5, -16, 4,  8.2,④④③, 4,14,Ｇアイノレオ, 54,上村洋, 0.8, 58,  -5,   1,11, 82.2, ⑫⑨, 4, 1,Ｅキャッツインブｰツ, 74,川田将, 0.2, 76,   2,* 13, 4, 12.0,⑤⑥⑤, 4,10,Ｄセフティｰロｰレル, 78,河北通, 0.5, 76,   0,* 17,14, 93.4, ⑭⑭
 5, 3,Ａクリノソｰニャ, 62,田中健, 1.8, 52,   5, -24, 1,  2.3,④④⑥, 5, 5,Ｅシュンロク, 59,田中健, 0.8, 57,  -8,*  3, 4, 13.7, ⑫⑭, 5,15,Ｃタガノアッシュ, 77,赤木高, 0.5, 73,*  5,   7, 3,  6.3,②②②, 5,12,Ｉマチカネニオウミヤ, 76,石橋守, 0.5, 76,*  9,   5, 8, 59.0, ②②
 6, 7,Ｉミスティックラヴ, 43,福永祐, 2.0, 51,   0, -13, 9, 54.2,⑧⑩⑩, 6,13,Ｃニホンピロソフィｰ, 62,生野賢, 0.9, 59,*  5, -10, 9, 62.1, ①①, 6, 7,Ｇゴｰルデンルｰヴェ, 73,佐藤哲, 0.9, 73,  -2,* 14, 5, 14.6,⑯⑯⑮, 6, 3,Ａアルヴィス, 82,川田将, 0.5, 75,   1,  14, 3,  3.1, ⑪⑩
 7, 8,Ｂグランドツインクル, 59,佐藤哲, 2.1, 48,*  9, -33, 3,  6.7,①②②, 7,11,Ｊムｰヴ, 50,福永祐, 1.0, 59,   2,  -7, 6, 36.6, ⑥④, 7,11,Ｏスプリングサンテ, 59,鮫島良, 1.0, 74,   0,  12,13,160.5,⑮⑭⑮, 7, 5,Ｊコスモサレオス, 74,佐藤哲, 0.6, 74,   6,   8, 4, 14.8, ⑦⑥
 8, 2,Ｅエプソムサクラ, 56,岩崎祐, 2.4, 48,   3, -23, 8, 50.7,⑩⑨⑨, 8,12,Ｂドラゴンホｰラｰ, 66,小牧太, 1.3, 55,*  5, -14, 2,  4.0, ③②, 8,14,Ｉメイショウトンボ, 71,上村洋, 1.2, 71,   3,   4, 6, 21.9,⑧⑥⑤, 8, 9,Ｈアラビアンナイト, 76,川島信, 0.9, 72,  -3,  15,15,105.7, ⑮⑯
 9,10,Ｈアマゾンノハナ, 48,太宰啓, 2.7, 44,   5, -32,10, 58.5,④④⑥, 9, 7,Ｆデンコウマｰチン, 57,太宰啓, 1.4, 52,  -2,  -7, 8, 57.3, ⑦⑨, 9, 3,Ｆワンダｰルビアノ, 73,田中克, 1.3, 71,   0,   7, 8, 44.0,⑫⑫⑫, 9,16,Ｋシルクパスワｰド, 74,上野翔, 1.0, 71,   5,   5, 9, 64.8, ⑦⑥
10,11,Ｆニホンピロスピカ, 54,小牧太, 3.3, 42,   6, -39, 6, 18.5,②③④,10, 4,Ｉホクザンヴィアンド, 50,芹沢純, 1.4, 52,  -8,  -1,16,223.3, ⑭⑮,10, 4,Ｍナムラカゲトラ, 67,渡辺薫, 1.6, 69,   0,   6,12,105.6,⑬⑭⑫,10,14,Ｆネオナｰト, 78,渡辺薫, 1.0, 71,   6,   3, 6, 36.4, ④⑥
11, 5, グランプリハンタｰ,---,赤木高, 8.7,  7, -17, -38, 7, 48.0,⑪⑪⑪,11, 1,Ｍユウズツ, 45,渡辺薫, 1.6, 50,  -6,  -5,15,174.1, ⑩⑫,11, 8,Ｋサンエムサリダ, 70,田村太, 1.7, 65,   1,   2,16,249.2,⑩⑩⑨,11, 4,Ｃブルｰレパｰド, 78,芹沢純, 1.1, 71,   2,   8,10, 73.4, ⑪⑩
,,,,,,,,,,,,12, 3,Ｎアイノシリウス, 45,鮫島良, 1.8, 50,  -3, -10,10, 65.2, ⑨⑦,12, 2,Ｌニシオハンセル, 68,高橋亮, 2.8, 59,   1,  -7,14,168.4,⑧⑩⑨,12, 1,Ｎリバｰタウン, 73,橋本美, 1.5, 66,*  9,  -5,11, 76.6, ①①
,,,,,,,,,,,,13,15,Ｋマイディアダｰリン, 49,河北通, 2.2, 44,  -5, -12,13,164.4, ⑩⑪,13, 5,Ｈマｰキュリｰ, 73,大下智, 2.9, 58,   0,  -7, 9, 83.5,⑬⑫⑭,13, 7,Ｇハｰドムｰン, 76,浜中俊, 1.6, 66,   1,   4,16,136.1, ⑪⑩
,,,,,,,,,,,,14, 8,Ｏホクザンアントルメ, 42,川島信, 2.6, 42,   0, -20,12,110.3, ③⑦,14, 9,Ｄメルシｰコバン, 75,浜中俊, 3.1, 54,   3, -14, 7, 31.6,②③⑤,14, 2,Ｐショウナンサリｰレ, 69,藤岡康, 1.9, 64,   4,  -2,13, 88.0, ⑦⑩
,,,,,,,,,,,,15,16,Ａゴｰルデンホｰク, 72,浜中俊, 3.1, 38,   3, -27, 3,  7.2, ③④,15,10,Ｊグランプリゲイト, 71,福永祐, 3.9, 51,   2, -18,10, 90.1,⑪⑧⑨,15, 8,Ｌトレトレジョリ, 73,赤木高, 2.0, 62,*  8,  -8,12, 79.8, ②②
,,,,,,,,,,,,16,10,Ｐセキトバサラ, -9,田中克, 4.6, 25, -13, -25,14,173.5, ⑯⑯,16,16,Ｐタマモヴィグラス, 51,田中健, 4.4, 48,*  4, -29,15,182.3,①①①,16,13,Ｏワンダフルドｰラ, 72,熊沢重, 3.3, 53,   4, -14, 7, 47.0, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-7),,,,,,,,,,,
"単勝:300円 複勝:06=170円 04=290円 09=1,450円 枠連:2,410円",,,,,,,,,,,,単勝:160円 複勝:02=120円 06=700円 09=620円 枠連:690円,,,,,,,,,,,,"単勝:300円 複勝:13=140円 12=1,230円 06=120円 枠連:3,810円",,,,,,,,,,,,単勝:300円 複勝:06=130円 11=140円 15=320円 枠連:430円,,,,,,,,,,,
"馬連:2,200円 ワイド:04-06=630円 06-09=2,880円 04-09=4,390円",,,,,,,,,,,,"馬連:2,450円 ワイド:02-06=1,220円 02-09=750円 06-09=4,450円",,,,,,,,,,,,"馬連:9,350円 ワイド:12-13=2,640円 06-13=180円 06-12=2,170円",,,,,,,,,,,,馬連:520円 ワイド:06-11=250円 06-15=840円 11-15=910円,,,,,,,,,,,
"馬単:3,400円 3連複:23,470円",,,,,,,,,,,,"馬単:3,170円 3連複:12,910円",,,,,,,,,,,,"馬単:14,350円 3連複:6,150円",,,,,,,,,,,,"馬単:930円 3連複:2,440円 3連単:7,470円",,,,,,,,,,,
