08年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,登別特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａキョウエイエルメス, 55,木幡初,, 62,* -2,  -4, 1,  1.6, ①①, 1, 5, ヒシアカデミｰ,---,藤田伸,, 60,* -6,*  3, 1,  1.7, ①①, 1, 9,Ａシャンパンマリｰ, 82,藤田伸,, 82,*  2,* 16, 1,  1.4, ①①, 1,11,Ｂティムガッド, 72,藤岡佑,, 71,  -4,*  8, 2,  3.5, ③②
 2, 3,Ｂハツノボリ, 49,ホワイ, 0.2, 59,  -6,* -3, 2,  3.7, ④④, 2, 2, アドマイヤランサム,---,安藤勝, 0.7, 55,  -8,  -1, 2,  3.0, ②②, 2, 2,Ｃテイクマイアイズ, 72,三浦皇, 0.7, 75,   0,  10, 2,  5.7, ②②, 2, 5,Ａフリｰダムエアｰ, 73,松田大, 0.2, 69,  -6,*  7, 1,  2.4, ⑤④
 3, 5,Ｄパスピエ, 47,藤田伸, 0.4, 56,  -4,  -7, 3,  5.7, ②②, 3, 4, エフロレス,---,藤岡佑, 1.9, 41, -20,  -5, 4, 12.4, ④④, 3, 3,Ｂヤマニンブリオン, 72,池添謙, 1.6, 65,  -5,   6, 4, 10.5, ⑤⑤, 3,10,Ｌメジロアリエル, 52,藤田伸, 0.2, 68,*  0,   2, 5, 11.4, ①①
 4, 4,Ｇショウナンカルメン, 39,三浦皇, 0.7, 52, -14,* -2, 4, 18.7, ⑦⑦, 4, 3, コンゴウカガビジン,---,三浦皇, 2.2, 38, -13, -12, 5, 22.5, ③③, 4, 8,Ｅアポロアパッチ, 64,大野拓, 1.6, 67,  -3,   5, 5, 19.5, ⑤⑤, 4, 4,Ｆナスザン, 66,的場勇, 0.5, 64,  -4,   2, 7, 27.6, ③④
 5, 1,Ｃクリノマックス, 48,古川吉, 0.7, 53,  -6, -10, 7, 36.5, ④④, 5, 1, ネコパンチ,---,四位洋, 3.9, 20, -20, -23, 3,  5.0, ④④, 5, 4,Ｄケルティックハｰプ, 69,津村明, 1.7, 64, -11,   9, 3,  7.1, ⑦⑦, 5,15,Ｅバロンダンス, 67,北村友, 0.5, 67,* -1,   0, 4,  9.3, ②②
 6, 7,Ｆワンダｰプリマ, 42,小林徹, 0.9, 50,  -7, -11, 6, 30.8, ④④,,,,,,,,,,,,, 6, 6,Ｈラッキｰウェイ, 52,菊沢隆, 2.2, 59,  -9,   3, 8, 92.7, ⑦⑦, 6,12,Ｃトウショウブリッツ, 72,池添謙, 0.5, 65,  -8,   6, 3,  5.9, ⑦⑦
 7, 2,Ｅリトルデビル, 44,丸田恭, 1.0, 48,* -3, -16, 5, 19.6, ②②,,,,,,,,,,,,, 7, 1,Ｉブｰトキャンプ, 45,鈴来直, 2.3, 59,   0,  -3, 9,111.8, ②③, 7, 3,Ｈアスタｰトリッピｰ, 65,長谷川, 0.5, 66,  -9,*  7,11, 81.8, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,, 8, 7,Ｇテンカジョウ, 54,木幡初, 2.4, 58,   1,  -5, 7, 91.0, ②③, 8,14,Ｇヒシエンジェル, 66,田嶋翔, 0.7, 62,  -8,   3, 6, 19.8, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,, 9, 5,Ｆフミノオリヒメ, 63,小林徹, 3.1, 51,  -9,  -5, 6, 28.3, ⑦⑨, 9, 6,Ｄナムラブｰム, 68,三浦皇, 0.7, 62, -11,   6, 8, 38.8, ⑩⑪
