08年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃケイティマイヒメ, 65,太宰啓,, 69,* 11,  -2, 5, 13.8, ①①, 1, 7, フォｰシｰズンゴｰ,---,武豊  ,, 47, -18,* -1, 2,  3.7, ⑥⑤, 1, 1,Ａロｰレルベルロｰド, 67,岩田康,, 69,* 10,*  4, 1,  1.7,③④③, 1, 2,Ａカネトシリベルテ, 80,川田将,, 70,  -4,*  7, 2,  3.5,⑤⑤③
 2,13,Ａファイナルパンチ, 66,佐藤哲, 0.4, 63,  -4,*  5, 2,  4.8, ⑤④, 2,10, ナンゴクシャンテ,---,中村将, 0.0, 48,* -7, -11,11, 68.8, ③③, 2, 6,Ｆマチカネカミカゼ, 56,野元昭, 0.1, 68,* 11,  -2, 5, 11.8,②②①, 2, 8,Ｆケイアイケイマン, 68,武豊  , 0.4, 64,  -2,  -3, 1,  2.3,④②②
 3, 2,Ｆアｰスファイヤｰ, 51,野元昭, 0.9, 57,  -4,   0, 9, 59.6, ⑤⑤, 3,12, キリシマノホシ,---,小牧太, 0.1, 49, -25,*  6, 7, 34.9, ⑧⑦, 3,11,Ｊメイショウオバナ, 53,上野翔, 0.7, 62,* 11, -10,12, 98.4,⑩①②, 3, 5,Ｄミスティックリバｰ, 71,岩田康, 0.5, 62,  -4,  -2, 3,  5.0,⑥③③
 4,11,Ｄオシャレキング, 62,熊沢重, 1.1, 56,  -9,   1, 3,  6.2, ⑨⑨, 4, 5, コウエイハｰト,---,田中克, 0.1, 46,* -1, -20, 1,  1.7, ②①, 4, 8,Ｃオリエンス, 62,芹沢純, 0.9, 61,*  9,  -7, 3,  7.3,⑧⑥⑤, 4, 7,Ｇクインフュｰチャｰ, 68,赤木高, 0.6, 62,  -2,  -5, 8, 38.5,②③⑤
 5,10, エボニｰフォレスト,---,川田将, 1.2, 55,  -1,  -5, 4,  9.5, ③③, 5, 4, テイエムテンガネ,---,岩田康, 0.3, 44, -23,*  0, 4, 16.8, ⑦⑦, 5, 4,Ｌアキノレンダ, 50,小牧太, 1.0, 62,   7,  -3, 8, 50.4,⑦⑨⑩, 5, 1,Ｅシンシンマｰキｰ, 71,芹沢純, 0.6, 63,  -5,   1, 7, 28.9,⑥⑧⑥
 6, 5,Ｂラケナリア, 65,岩田康, 1.3, 54,   1,  -8, 1,  1.8, ②②, 6,16, マルシゲドトウ,---,赤木高, 0.3, 44, -15,  -8, 3, 16.4, ④④, 6,12,Ｂスタルカ, 64,高橋智, 1.1, 59,*  9, -10, 7, 28.5,⑤⑥⑥, 6, 6,Ｈエイシンチャンドラ, 65,浜中俊, 0.7, 61,*  1, -12, 4,  6.2,①①①
 7, 3,Ｇピッチマリ, 50,田中克, 1.5, 53,  -1,  -7,13,205.6, ③⑤, 7, 1, テイエムアツヒメ,---,佐藤哲, 1.2, 33, -28,  -6,12, 80.0, ⑩⑨, 7, 3,Ｅトップオブクロフネ, 59,田村太, 1.2, 59,   5,  -2,11, 78.7,⑩⑪⑨, 7, 3,Ｃディｰプエアｰ, 73,熊沢重, 0.7, 60,  -4,  -3, 6, 24.4,②⑤⑥
 8, 9,Ｈメルシｰリファイン, 48,安藤光, 1.5, 52,  -9,  -1,11,120.8, ⑩⑦, 8, 2, サイレントビｰト,---,橋本美, 1.4, 30,*  1, -37, 5, 18.8, ①②, 8, 2,Ｄダンスシェイカｰ, 59,川田将, 1.4, 54,*  9, -17, 4,  8.0,①③③, 8, 4,Ｂサイレンスゴｰルド, 74,渡辺薫, 0.9, 59,  -4,  -6, 5, 13.3,⑧⑤⑥
 9, 1, リュウシンボｰイ,---,藤岡康, 1.8, 46, -24,   3, 8, 59.0, ⑫⑫, 9, 8, テイエムメデテカ,---,佐久間, 1.7, 26, -24, -16,15,130.9, ⑧⑩, 9,10,Ｉブッカｰズ, 53,赤木高, 1.4, 58,   4,  -3, 6, 24.5,⑫⑪⑩,,,,,,,,,,,,
