08年 7月20日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月20日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,駒ｹ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂサンゴシック, 49,池添謙,, 54,* -2, -12, 1,  1.9, ①①, 1, 4, ラインブラッド,---,北村友,, 62,  -6,  -1, 6, 16.4, ⑥④, 1,10,Ｆユｰガットテｰスト, 72,藤岡佑,, 69,* 11,*-11, 4,  6.4,③①①, 1, 2,Ｂサンライズベガ, 78,北村友,, 79,   1,* 19, 2,  2.8,⑥⑤④
 2, 3,Ａマイネルエルドラド, 63,藤田伸, 0.4, 48,* -3, -16, 3,  3.4, ②②, 2, 8, ハッピｰネｰション,---,横山典, 0.0, 61,*  2,  -8, 1,  2.5, ①①, 2, 7,Ｂティンバｰセブン, 75,三浦皇, 0.9, 63,   9, -15, 3,  5.8,⑤③③, 2, 4,Ｆインテンスブルｰ, 70,秋山真, 0.2, 70,*  5,   4, 5, 19.1,①①①
 3, 1,Ｅゼットホｰオｰ, 39,三浦皇, 0.4, 46, -10,* -9, 4, 24.2, ⑤⑤, 3, 1, ビバエルフ,---,池添謙, 0.1, 60,  -7,   0, 4,  6.8, ⑥⑥, 3, 2,Ｈパｰリｰゲイツ, 67,秋山真, 0.9, 65,   8,*-11, 7, 31.8,⑤⑧⑦, 3, 9,Ａタイカｰリアン, 80,安藤勝, 0.2, 72,   3,  11, 1,  2.7,⑩②③
 4, 7,Ｃタイキジャガｰ, 46,安藤勝, 0.6, 44,  -6, -16, 2,  3.2, ③③, 4, 3, ティフィン,---,藤岡佑, 0.7, 52, -19,*  4, 5, 15.5, ⑧⑧, 4, 9,Ｅフジヤマワカムシャ, 72,藤田伸, 1.1, 62,   9, -16, 6, 16.4,⑤⑤④, 4, 1,Ｈチャイコフスキｰ, 64,ホワイ, 0.5, 69,*  4,   5, 3,  4.5,③②②
 5, 4,Ｄコスモルマン, 41,長谷川, 0.6, 45,  -6, -16, 5, 28.0, ③③, 5, 9, ケイズゴｰルド,---,藤田伸, 0.8, 52,*  1, -17, 3,  5.0, ②②, 5, 5,Ａマイネルアｰバニタ, 76,津村明, 1.3, 62,  10, -17, 2,  3.1,⑤⑤④, 5, 5,Ｇエイシンフレンチ, 65,藤岡佑, 0.6, 71,  -2,* 15, 7, 21.3,⑥⑨⑧
 6, 5,Ｆルｰプシュｰト, 34,郷原洋, 1.9, 28,  -8, -30, 6, 90.3, ⑤⑤, 6, 6, タマモビｰト,---,古川吉, 1.0, 49,   0, -18, 8, 24.6, ④④, 6, 6,Ｇマスラタケヲ, 67,丸田恭, 1.7, 60,   8, -16,10, 99.2,⑨⑨⑨, 6, 7,Ｄハツカリ, 72,横山典, 0.8, 67,   1,   6, 4,  9.7,②④④
 7, 6,Ｇヤマイチシャトル, 27,田嶋翔, 2.4, 24, -19, -26, 7,101.2, ⑦⑦, 7, 7, ノッティングスカイ,---,荻野琢, 1.1, 47, -19,  -2, 9, 85.5, ⑧⑧, 7, 3,Ｃサンアスレチック, 75,的場勇, 1.8, 60,* 11, -26, 1,  2.7,①②②, 7, 8,Ｃグランドカラｰ, 74,菊沢隆, 0.9, 66,   0,   8, 6, 19.9,⑧⑤⑦
,,,,,,,,,,,, 8, 5, クイックハンタｰ,---,三浦皇, 1.2, 46,  -4, -17, 2,  3.4, ⑤⑥, 8, 1,Ｄコスミックスピｰド, 74,横山典, 2.2, 57,   9, -23, 5,  9.7,③⑦⑧, 8, 6,Ｉケンモンスタｰ, 61,長谷川, 1.1, 67,  -2,  10,10, 83.0,⑨⑩⑧
,,,,,,,,,,,, 9, 2, リバｰサルブロｰ,---,四位洋, 1.6, 41,*  1, -27, 7, 24.3, ②②, 9, 8,Ｊクリｰルボルケｰノ, 62,小林徹, 2.3, 58,   9, -27, 8, 44.2,②③④, 9, 3,Ｅカゼノマイ, 71,藤田伸, 1.3, 63,   0,   3, 8, 36.3,⑤⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,10, 4,Ｉフジノイチヒメ, 63,菊沢隆, 4.1, 51,   8, -36, 9, 92.1,⑩⑨⑩,10,10,Ｊピュアロング, 52,三浦皇, 2.1, 54,   0,  -8, 9, 79.1,③⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-25 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
単勝:190円 複勝:02=110円 03=130円 枠連:0円,,,,,,,,,,,,"単勝:1,640円 複勝:04=380円 08=140円 01=220円 枠連:900円",,,,,,,,,,,,"単勝:640円 複勝:10=230円 07=220円 02=550円 枠連:1,100円",,,,,,,,,,,,"単勝:280円 複勝:02=130円 04=300円 09=130円 枠連:3,130円",,,,,,,,,,,
馬連:230円 ワイド:02-03=150円 01-02=470円 01-03=500円,,,,,,,,,,,,"馬連:1,670円 ワイド:04-08=580円 01-04=1,100円 01-08=350円",,,,,,,,,,,,"馬連:2,220円 ワイド:07-10=770円 02-10=1,670円 02-07=1,650円",,,,,,,,,,,,"馬連:3,010円 ワイド:02-04=760円 02-09=190円 04-09=810円",,,,,,,,,,,
"馬単:380円 3連複:1,100円 3連単:3,250円",,,,,,,,,,,,"馬単:4,800円 3連複:3,580円 3連単:26,950円",,,,,,,,,,,,"馬単:5,010円 3連複:14,350円 3連単:76,620円",,,,,,,,,,,,"馬単:4,730円 3連複:2,120円 3連単:15,240円",,,,,,,,,,,
