08年 7月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄホッコｰタキオン, 53,飯田祐,, 56,   1,* -4, 5,  9.2, ③③, 1, 6, イセノスバル,---,芹沢純,, 57,* -5,  -5, 2,  4.3, ①①, 1, 5,Ｃドリｰムドリｰマｰ, 59,武豊  ,, 54,* -1, -15, 2,  3.8,①①①, 1, 7,Ａダイシングロウ, 85,川田将,, 85,  10,  11, 1,  2.6,③③①
 2, 1,Ｆウララカ, 43,武豊  , 0.4, 55,*  7, -14, 1,  2.7, ①①, 2,10, ノアウイニング,---,田中健, 0.2, 54,* -6,  -7,10, 39.7, ②②, 2,11,Ｇシゲルエスペランサ, 54,中村将, 0.1, 56,  -6,* -5, 6, 29.5,⑬⑩⑨, 2,11,Ｃグロリアスウィｰク, 85,幸英明, 0.6, 82,   8,   8, 3,  6.5,④④②
 3, 3,Ｃアンジュアイル, 54,赤木高, 0.5, 52,*  5, -14, 3,  6.0, ②②, 3, 3, アルｰリングムｰン,---,幸英明, 0.2, 55, -10,* -2, 3,  4.9, ④④, 3, 1,Ｈサイキョウケンザン, 54,岩田康, 0.2, 52,  -5, -10, 4, 19.5,⑤⑦⑦, 3, 1,Ｆサクラオリオン, 82,石橋守, 1.0, 77,   5,   7, 6, 14.0,⑤⑤③
 4,11,Ｅクｰルヴァンクル, 52,田村太, 0.7, 45,  -4,  -8, 6, 14.0, ⑤⑥, 4, 4, ベストプロセス,---,川田将, 0.6, 51,  -9,  -7, 4,  5.9, ④④, 4, 8,Ａカラメルマキアｰト, 63,川田将, 0.2, 50,* -3, -16, 1,  1.5,②②②, 4,12,Ｉトウカイルナ, 76,川島信, 1.0, 78,   1,* 15, 4,  6.8,⑪⑨⑤
 5, 6,Ｈキングマイハｰト, 41,岩田康, 0.7, 43, -11,* -1, 7, 33.3, ⑨⑨, 5, 7, コウエイフラッシュ,---,武豊  , 0.7, 48, -18,* -1, 6, 11.3, ⑧⑦, 5, 6,Ｊスズカニｰル, 49,高橋智, 0.3, 53,  -7,* -8,14,191.9,⑪⑩⑪, 4, 3,Ｈブリトマルティス, 77,武豊  , 1.0, 79,   3,  11, 2,  4.3,⑦⑦⑧
 6, 4,Ｉエルプレジデンテ, 39,佐藤哲, 0.8, 42,  -7,  -6, 8, 45.1, ⑦⑧, 6,12, シゲルアソサン,---,角田晃, 0.7, 48,  -9, -11, 5,  9.7, ④④, 6, 7,Ｅエｰシンディｰエス, 58,浜中俊, 0.3, 54,  -5, -11, 7, 42.1,⑨⑧⑦, 6, 8,Ｅケンブリッジレｰザ, 82,安藤光, 1.0, 77,   4,   8, 8, 24.1,⑤⑥④
 7, 8,Ｊシゲルフジサン, 38,岩崎祐, 0.8, 44,  -3, -11,11,152.9, ⑤④, 7, 8, オリオンザブラック,---,鮫島良, 1.6, 37,* -5, -24, 9, 32.2, ②②, 7, 9,Ｂフェイバリットサン, 62,芹沢純, 0.4, 51,  -5, -12, 8, 58.3,⑤⑧⑨, 7,10,Ｂアドマイヤディｰノ, 85,岩田康, 1.1, 76,   0,  14, 5, 10.6,⑨⑨⑩
 8,12,Ａセキサンダンスイン, 56,上村洋, 0.9, 44,   0, -14, 4,  6.3, ④④, 8, 5, マイネシラユキ,---,浜中俊, 1.8, 35, -14, -19, 7, 19.3, ⑦⑧, 8,12,Ｎベイビｰワンカフェ, 36,安藤光, 0.4, 50,  -4, -16,10, 73.1,⑤⑤④, 8, 5,Ｊロックスピリッツ, 76,佐藤哲, 1.4, 74,  -1,  14,10, 53.9,⑩⑪⑪
 9, 7,Ｋアステｰル, 34,石橋守, 1.2, 40,  -6, -11,12,202.7, ⑦⑦, 9,11, フサイチレジェンド,---,岩田康, 2.0, 29, -25, -12, 1,  3.5, ⑪⑩, 9,15,Ｆシｰシャトｰ, 56,佐藤哲, 0.6, 50,  -9,* -7, 5, 23.8,⑮⑭⑫, 9, 9,Ｇシゲルドントイケ, 79,角田晃, 1.4, 77,  -4,* 18,12, 69.0,⑬⑫⑪
