08年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西日本ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄサマｰラグｰン, 40,浜中俊,, 47,  -2,* -4, 6, 13.3, ②②, 1,12, アンプレヴｰ,---,上村洋,, 52,  -7,  -8, 2,  3.9, ③③, 1, 4,Ｍブライティアパルス, 51,藤岡康,, 71,* -4,   8, 6, 18.3,①①①, 1,15,Ａコウユｰキズナ, 79,吉田隼,, 72,  -1,  13, 1,  4.6, ⑨⑧
 2, 2,Ｊワイドヒリュウ,  1,田中健, 0.5, 44,*  1, -10, 8, 40.5, ①①, 2, 4, デンタルマロン,---,小牧太, 0.2, 49, -11,* -7, 8, 18.9, ⑥⑦, 2, 9,Ｄブｰケフレグランス, 70,川田将, 0.2, 68,* -4,   6, 2,  3.3,③②②, 2,11,Ｇリッタｰヴォルト, 73,上村洋, 0.1, 71,   4,   6, 2,  5.4, ④③
 3, 1,Ｆオリオンザブラック, 38,鮫島良, 0.7, 40,  -4,  -8, 5,  9.5, ⑤⑤, 3, 9, タムロウイング,---,佐藤哲, 0.4, 45,  -9, -12, 1,  3.3, ③③, 3,11,Ｃシゲルフセルト, 70,川島信, 0.3, 70,  -6,* 10, 4,  6.5,⑥⑦⑤, 3,13,Ｂタムロスタｰディ, 77,佐藤哲, 0.1, 71,   2,   9, 6, 11.0, ⑦④
 4, 9,Ｃウォｰクラウン, 48,太宰啓, 1.0, 31, -21,* -1, 3,  5.7, ⑨⑧, 4, 8, クリスザドｰル,---,岩田康, 0.5, 43, -16,* -7, 6, 17.2, ⑧⑧, 4, 2,Ｅゼンノベリル, 67,幸英明, 0.4, 74,  -9,* 15, 5, 14.0,⑪⑪⑦, 4, 4,Ｎシゲルダイハッカイ, 65,渡辺薫, 0.3, 70,   2,   6, 9, 18.4, ⑦⑧
 5, 6,Ｅエｰシンタウォｰズ, 38,藤岡康, 1.0, 34, -10,  -9, 7, 14.0, ⑦⑦, 5, 2, シゲルキリガミネ,---,中村将, 0.5, 44, -12, -11, 5, 15.3, ⑥⑥, 5, 3,Ｂジョニｰバロｰズ, 72,佐藤哲, 0.6, 65,  -5,   3, 1,  3.2,③④③, 5, 9,Ｐニシノマオ, 63,幸英明, 0.4, 68,*  9,  -2, 3,  5.7, ②②
 6, 5,Ｇマコトバンクウ, 36,幸英明, 1.0, 34,  -7, -10, 4,  6.3, ⑤⑥, 6,10, シルクナデシコ,---,藤岡康, 0.6, 42, -18,* -5, 3,  5.3, ⑨⑨, 6,13,Ａファストパス, 74,渡辺薫, 0.9, 65,  -8,   4, 3,  3.7,⑩⑨⑤, 6, 6,Ｈヒノトリ, 71,川島信, 0.4, 69, -16,* 22,12, 37.1, ⑱⑱
 7, 8,Ｂナタリｰロｰズ, 57,吉田隼, 1.7, 30,  -2, -19, 2,  4.0, ②③, 7, 5, マスタｰチアフル,---,飯田祐, 0.7, 42,* -5, -20, 4,  5.7, ①①, 7, 1,Ｉマｰキュリｰ, 59,大下智, 1.3, 56,  -7,  -6, 7, 36.9,⑧⑥⑦, 7,17,Ｆノボリデュｰク, 73,石橋守, 0.4, 68,  -4,  10, 4,  7.8, ⑩⑧
 8,10,Ａヨシノアツヒメ, 59,野元昭, 2.2, 25,* -1, -25, 1,  2.7, ②③, 8, 6, クラリネットポルカ,---,吉田隼, 1.0, 37, -23,* -7,10, 32.0, ⑪⑨, 8, 8,Ｇアグネスリュウ, 63,田中健, 1.5, 55, -10,  -3, 8, 56.3,⑧⑩⑦, 8,16,Ｄトｰワユメジ, 75,田中健, 0.4, 68,   3,   4,15, 71.3, ⑥⑦
 9, 7,Ｉプリティラパス,  8,大下智, 2.3,  6, -30,  -8,10,113.5, ⑩⑩, 9, 3, エｰシンクライン,---,川田将, 1.2, 35, -24,  -8, 7, 17.7, ⑫⑨, 9, 7,Ｋアイファｰドラゴン, 57,安藤光, 1.5, 56,  -9,  -1, 9, 60.3,⑫⑪⑪, 9,12,Ｃフミノバラｰド, 77,岩田康, 0.4, 67,  -6,  13, 7, 11.4, ⑬⑪
