08年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,松前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆシシャモチャン, 43,小林徹,, 60,*  8, -10, 3,  8.9, ①①, 1, 6, アロｰベアタキオン,---,四位洋,, 60,   0,  -5, 1,  2.2, ⑥④, 1, 8,Ａアンコｰルスタｰ, 86,安藤勝,, 88,* 11,* 12, 1,  1.8, ①①, 1, 6,Ａステップシチｰ, 87,藤岡佑,, 82,  -1,* 14, 1,  1.7,④④④
 2, 7,Ｅフレアリングロｰズ, 48,郷原洋, 0.3, 52,   3,* -9, 6, 21.3, ③③, 2, 5, グランプリエンゼル,---,安藤勝, 0.1, 62,*  6, -11, 2,  3.4, ②②, 2,11,Ｉメジロシｰゴｰ, 67,丸田恭, 0.6, 81,*  9,   8,10, 62.1, ②②, 2, 3,Ｄハギノプリンセス, 77,安藤勝, 0.5, 79,  -2,* 14, 2,  4.2,⑨⑩⑩
 3, 5,Ａトｰセンモンロｰズ, 50,池添謙, 0.5, 51,*  5, -14, 2,  4.8, ②②, 3, 4, アイディンパワｰ,---,藤岡佑, 0.3, 55,  -6,  -2, 3,  7.0, ⑦⑦, 3, 3,Ｂドリｰムクラウン, 78,藤田伸, 1.2, 71,   3,   7, 3,  7.9, ⑥⑤, 3,12,Ｇオｰバｰカムオｰル, 75,古川吉, 0.5, 76,*  0,   6, 5, 17.2,③②②
 4, 6,Ｃコンゴウテンリュオ, 50,三浦皇, 0.7, 45,  -4,* -8, 4, 11.5, ⑧⑧, 4, 2, セブンシｰクィｰン,---,古川吉, 0.5, 55,   1, -13, 6, 16.1, ⑤④, 4, 2,Ｃアグネスカルミア, 77,三浦皇, 1.2, 73,   7,   4, 2,  5.6, ③③, 4, 2,Ｅミスタｰシｰザ, 77,秋山真, 0.6, 77,  -1,   9, 6, 21.2,⑨⑥④
 5, 9,Ｂロラパルｰザ, 50,藤田伸, 1.0, 42,   0, -15, 1,  1.5, ④⑤, 5, 7, キンセイポラリス,---,荻野琢, 0.7, 51, -19,*  5, 8, 62.5, ⑧⑧, 5, 5,Ｊヤマカツシリウス, 67,池添謙, 2.1, 60,  -2,   1, 7, 17.7, ⑩⑨, 5, 1,Ｃビクトリｰフラッグ, 77,松田大, 0.6, 78,  -1,   9, 8, 34.0,⑦⑥⑥
 6, 2,Ｈスプリンググレン, 31,大野拓, 1.1, 43,   2, -17, 8, 75.9, ④④, 6, 9, セイウンウィスパｰ,---,三浦皇, 0.9, 50,   3, -19, 4,  7.1, ③④, 6,12,Ｆホトダｰ, 71,木幡初, 2.1, 61,   0,   1, 8, 45.3, ⑨⑨, 6, 8,Ｆシンボリモｰガン, 76,津村明, 1.0, 75,   0,   5, 7, 31.2,⑨⑧⑩
 7, 8,Ｉネコパンチ, 20,ホワイ, 1.2, 40,  -1, -16, 5, 18.9, ⑦⑤, 7, 3, ジョウショｰエビス,---,長谷川, 1.4, 47,*  6, -27, 9,113.7, ①①, 7, 7,Ｈテラノフォｰスワン, 69,松田大, 2.2, 65,   7,  -5, 4,  9.3, ③③, 7, 5,Ｊエプソムアルテマ, 75,木幡初, 1.2, 72,  -2,   4,10,121.4,⑫⑩⑧
 8, 1,Ｇマキノワｰルド, 42,古川吉, 1.2, 39,  -9,* -9, 9, 78.7, ⑨⑨, 8, 8, ラブユニバｰス,---,秋山真, 1.5, 45,   5, -27, 5, 11.5, ③③, 8, 6,Ｋクｰルラスカル, 58,郷原洋, 2.4, 58,  -1,  -1,12,223.3, ⑩⑪, 8, 9,Ｋウォｰタｰクルｰズ, 71,武幸四, 1.4, 72,  -2,   3, 9, 78.8,⑦⑫⑫
 9, 3,Ｄリトルデビル, 49,荻野琢, 1.5, 37,   2, -23, 7, 25.1, ④⑤, 9, 1, ゴｰルドミント,---,武幸四, 2.4, 16, -23, -12, 7, 22.0, ⑨⑨, 9, 1,Ｇクリップフェアリｰ, 69,津村明, 2.8, 56,   2,  -6, 9, 48.0, ⑥⑥, 9,10,Ｈショウナンパレス, 75,大野拓, 1.5, 64,*  0,  -9,11,134.5,①①①
,,,,,,,,,,,,,,,,,,,,,,,,10, 9,Ｌケイアイアストン, 55,長谷川, 2.8, 57,   3,  -8,11,111.9, ⑥⑥,10, 7,Ｂマイネルダイナモ, 78,長谷川, 1.6, 64,  -1,  -8, 3,  7.3,④④⑥
,,,,,,,,,,,,,,,,,,,,,,,,11, 4,Ｄイｰサンディｰバ, 76,横山典, 3.3, 50,   4, -13, 6, 15.3, ⑤⑧,11, 4,Ｌヤクモアクティヴ, 60,梶晃啓, 1.9, 62,  -1,  -8,12,208.6,④⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,Ｉコアレスストｰム, 75,ホワイ, 2.0, 58,*  0, -15, 4, 10.6,②②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,
"単勝:890円 複勝:04=330円 07=680円 05=260円 枠連:5,390円",,,,,,,,,,,,単勝:220円 複勝:06=110円 05=130円 04=150円 枠連:340円,,,,,,,,,,,,"単勝:180円 複勝:08=130円 11=1,000円 03=250円 枠連:2,160円",,,,,,,,,,,,単勝:170円 複勝:06=110円 03=140円 12=270円 枠連:360円,,,,,,,,,,,
"馬連:4,800円 ワイド:04-07=920円 04-05=550円 05-07=580円",,,,,,,,,,,,馬連:330円 ワイド:05-06=160円 04-06=270円 04-05=360円,,,,,,,,,,,,"馬連:8,050円 ワイド:08-11=2,760円 03-08=440円 03-11=4,110円",,,,,,,,,,,,馬連:340円 ワイド:03-06=160円 06-12=510円 03-12=820円,,,,,,,,,,,
"馬単:9,420円 3連複:4,030円 3連単:35,160円",,,,,,,,,,,,"馬単:570円 3連複:630円 3連単:1,880円",,,,,,,,,,,,"馬単:10,320円 3連複:14,830円 3連単:80,380円",,,,,,,,,,,,"馬単:580円 3連複:1,620円 3連単:4,590円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
