08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａコウエイハｰト, 49,岩田康,, 57,  -9,*  0, 1,  1.6,②②②, 1,10, カヴァリエ,---,岩田康,, 59, -11,*  8, 1,  1.6,⑱⑰⑬, 1, 1,Ｂメイショウグラｰド, 65,幸英明,, 74,   4,*  4, 2,  4.6,⑥⑦⑤, 1, 1,Ｂベルモントプロテア, 85,幸英明,, 85,* 12,  12, 5, 39.1,①①①
 2, 8,Ｆサイレントビｰト, 30,橋本美, 0.2, 57,* -5,  -6, 6, 22.0,①①①, 2, 4, ガッチリガッチリ,---,太宰啓, 0.2, 60,   0,* -5, 7, 26.9,⑩⑦⑧, 2,16,Ｄタッチオブレインズ, 63,川田将, 0.2, 70,*  6,  -1, 3,  9.7,③③③, 2, 4,Ｆダイショウジェット, 83,橋本美, 0.0, 85,* 10,* 14, 9, 60.3,②②②
 3, 2,Ｃキリシマノホシ, 48,小牧太, 0.6, 49, -15,*  0, 2,  4.1,⑩⑨⑧, 3, 9, メイクデュｰス,---,川田将, 0.3, 60,   6, -11, 4, 10.7,③⑥③, 3, 9,Ｃマルカレガｰト, 65,上村洋, 0.4, 69,*  6,  -4, 6, 16.7,⑤③③, 3, 3,Ａフラムドパシオン, 93,鮫島良, 0.1, 86,   9,* 16, 1,  1.2,⑬⑤③
 4,14,Ｌカシノレオン,  5,上野翔, 1.2, 41, -11, -14, 8,122.1,⑥⑥②, 4, 6, ハイフィｰルド,---,安藤光, 0.5, 55,  -4,* -4,11, 61.5,⑬⑬⑩, 4,15,Ｊカラメルマキアｰト, 56,岩田康, 0.7, 63,*  7, -11, 1,  2.0,①①①, 4,11,Ｉパントマイミスト, 80,上村洋, 0.7, 83,   8,  13,11,133.8,⑦⑧⑥
 5, 6,Ｉテイエムビビッド, 14,芹沢純, 1.3, 40, -11, -15,11,152.8,⑥⑥⑤, 5,17, シルクフォｰチュン,---,田島裕, 0.7, 53,  -1, -10, 9, 33.0,⑭⑪⑥, 5,10,Ｈメイショウデイジｰ, 59,高橋亮, 0.9, 64,   0,  -1,10, 54.8,⑪⑨⑧, 5,13,Ｅストラディヴァリオ, 83,佐藤哲, 0.7, 80,   9,  11, 8, 59.0,⑥⑤④
 6, 7,Ｅテイエムテンガネ, 41,太宰啓, 1.9, 34, -12, -21, 5, 18.0,⑧⑥⑧, 6,12, テイエムオｰロラ,---,熊沢重, 1.1, 53,* 10, -25, 3,  9.9,①①①, 6,14,Ｋエｰシンウドウィン, 54,野元昭, 1.1, 61,   4, -11,15,187.8,⑧⑦⑦, 6,14,Ｇビッグホワイト, 82,田辺裕, 1.0, 77,   7,  12,12,141.3,⑨⑩⑨
 7, 5,Ｈカシノジゲンリュウ, 17,大下智, 1.9, 31, -15, -19,12,166.0,⑨⑨⑩, 7,16, サザンウィスパｰ,---,幸英明, 1.2, 51,*  8, -26,10, 41.4,②②②, 7,13,Ｇファｰマウォラト, 59,田中健, 1.1, 61,   0,  -4,14,142.8,⑨⑨⑨, 7, 2,Ｍフサイチギガダイヤ, 74,吉田隼, 1.0, 80,   6,  13,10, 91.8,⑬⑬⑨
 8, 1,Ｍマルシゲシェｰバｰ,  2,幸英明, 2.1, 30, -20, -16,10,145.5,⑫⑪⑪, 8, 7, セイクリムズン,---,浜中俊, 1.2, 51,*  7, -24, 5, 16.8,③④③, 8,12,Ｍミッドセンチュリｰ, 47,吉田隼, 1.1, 60,   4, -13, 7, 19.3,⑥⑥⑤, 8, 6,Ｊサンライズボンバｰ, 79,藤岡康, 1.3, 77,   9,   6, 7, 48.8,⑫⑧⑥
 9, 9,Ｄマルシゲドトウ, 44,赤木高, 2.1, 31,* -8, -28, 4, 12.6,③②②, 9, 5, メイショウワザアリ,---,渡辺薫, 1.3, 46,  -6, -12,15,112.6,⑯⑭⑬, 9, 8,Ｉグッドバニヤン, 57,熊沢重, 1.3, 62,  -4,*  3, 9, 36.4,⑭⑬⑬, 9, 5,Ｈエイシンイダテン, 80,川田将, 1.6, 76,   7,   8, 4, 17.8,⑧⑪⑨
