08年 8月 3日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 3日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,かもめ島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃアドマイヤテキサス, 67,安藤勝,, 61,   4,  -7, 4,  6.8,⑥⑦⑤, 1, 5, ピサノシンボル,---,ホワイ,, 59,*  5, -16, 1,  2.9,②②②, 1, 7,Ｅトップジャイアンツ, 72,小林徹,, 74,*  5,* 10, 4,  8.1,①②②, 1, 2,Ｂメイショウベルｰガ, 77,四位洋,, 86,  -7,* 26, 2,  3.2,⑥⑤③
 2,10,Ｂウインザハギ, 67,竹之下, 0.1, 60,   5,  -9, 6, 34.4,⑥⑤④, 2, 4, カシマヴィｰナス,---,横山典, 0.3, 56,   2,*-15, 3,  5.7,④④③, 2, 2,Ｇモエレジンダイコ, 71,横山典, 0.4, 69,   4,*  9, 5, 12.4,④④③, 2, 1,Ｃボｰテセレスト, 76,北村友, 0.4, 85,  -8,  24, 4, 12.3,⑧⑦⑥
 3, 1,Ｆバイヨン, 61,横山典, 0.2, 59,*  8, -14, 3,  4.8,①①①, 3,12, ハイドランジア,---,松田大, 0.6, 55,   2, -20,11, 78.5,③③③, 3, 8,Ｂホウライブライアン, 75,安藤勝, 0.5, 68,   3,*  9, 1,  3.1,⑦⑤⑤, 3, 6,Ａマイネヴェロナ, 83,津村明, 0.5, 77,* -3,  12, 1,  1.9,②②②
 4, 6,Ｈカズノブライアン, 56,荻野琢, 0.4, 61,  -3,*  2, 9, 89.0,⑩⑩⑩, 4, 6, シルクメビウス,---,北村友, 1.4, 47,*  5, -36, 7, 15.9,①①①, 4, 9,Ｈジェントルフォｰク, 70,北村友, 0.8, 65,   1,*  9, 6, 12.9,⑦⑨⑨, 4, 3,Ｆシャドウストリｰム, 70,ホワイ, 0.6, 75,* -3,  10, 3,  5.2,①①①
 5, 2,Ａバｰチャルウォｰズ, 73,丸田恭, 0.5, 56,*  6, -17, 1,  2.7,②②②, 5, 1, セイカプレスト,---,小林徹, 1.5, 48,  -8,* -9,12,114.6,⑬⑪⑪, 5, 1,Ｌタガノアルジェント, 58,荻野琢, 0.9, 68,   2,   7,11, 77.8,⑥⑦⑦, 5, 8,Ｄクロカンブッシュ, 74,三浦皇, 0.6, 79,  -5,  17, 6, 20.0,⑤⑤⑤
 6, 7,Ｉベｰトｰヴェン, 51,郷原洋, 0.9, 55,   3, -13, 7, 60.1,⑧⑧⑧, 6, 3, ヴァンエボン,---,四位洋, 1.5, 45,   2, -31, 5,  8.6,④④③, 6, 5,Ｃオｰシャンクルｰズ, 74,四位洋, 1.1, 66,   3,   5, 3,  5.6,⑨⑦⑤, 6, 4,Ｈショコラシチｰ, 65,松田大, 1.8, 63,  -4,  -2, 7, 38.6,③③③
 7, 8,Ｄルナエクリプス, 67,三浦皇, 1.0, 52,*  7, -20, 2,  2.8,③③③, 7, 8, バックハウス,---,的場勇, 1.7, 44,  -6, -19, 9, 25.1,⑪⑦⑦, 7,13,Ｄインサイダｰ, 73,的場勇, 1.2, 65,   1,   6, 7, 14.6,⑩⑨⑨, 7, 5,Ｅヤマビコ, 71,横山典, 1.8, 63,  -9,   4, 5, 18.1,⑥⑦⑧
 8, 3,Ｇヨシクリスエス, 59,菊沢隆, 1.1, 53,   5, -18, 8, 85.8,⑤⑤⑤, 8,13, ディアロックオン,---,三浦皇, 1.9, 42,  -2, -28, 8, 24.1,⑥⑥⑥, 8, 4,Ｆブレイクオンスルｰ, 72,秋山真, 1.3, 63,*  6,  -2, 8, 17.3,①①①, 8, 7,Ｇマルノマンハッタン, 68,青木芳, 3.5, 43,  -6, -24, 8, 61.6,③③⑥
 9, 5,Ｊフォｰチュンスリｰ, 50,鈴来直, 1.4, 51,   4, -18,10,113.7,⑧⑧⑧, 9,10, ラヴィンライフ,---,長谷川, 3.2, 32,  -6, -37, 4,  5.8,⑧⑦⑦, 9,10,Ｊカカロット, 67,菊沢隆, 1.5, 61,   4,  -1,10, 43.9,①③③,,,,,,,,,,,,
10, 4,Ｅエクレウス, 66,長谷川, 1.4, 53,   6, -22, 5, 12.6,③③⑤,10, 2, キタサンアｰス,---,武幸四, 3.3, 32,  -6, -40,10, 76.7,⑧⑦⑨,10, 6,Ｋヒドゥンアジェンダ, 62,津村明, 1.9, 60,   1,   3,12,122.2,⑫⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,11, 7, ミッキｰポリス,---,菊沢隆, 3.3, 30,  -6, -40,13,126.1,⑧⑦⑨,11,11,Ａマイグロｰリアス, 76,長谷川, 2.0, 61,   1,  -1, 9, 17.5,⑩⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,12,11, スズカフレｰム,---,安藤勝, 3.8, 26, -11, -36, 6, 13.1,⑫⑬⑫,12,12,Ｍカルストンヒットオ, 55,古川吉, 2.0, 62,  -1,   4,13,220.8,⑬⑬⑫,,,,,,,,,,,,
,,,,,,,,,,,,13, 9, ディバインフレイム,---,藤田伸, 4.9,  7,  -9, -56, 2,  5.6,⑦⑪⑬,13, 3,Ｉホットマニュｰバｰ, 69,三浦皇, 2.2, 55,   3,  -5, 2,  4.2,④⑤⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:11),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:不良(指数:11),,,,,,,,,,,
"単勝:680円 複勝:09=250円 10=650円 01=230円 枠連:6,260円",,,,,,,,,,,,"単勝:290円 複勝:05=130円 04=210円 12=1,450円 枠連:700円",,,,,,,,,,,,"単勝:810円 複勝:07=240円 02=330円 08=150円 枠連:4,530円",,,,,,,,,,,,単勝:320円 複勝:02=130円 01=180円 06=110円 枠連:0円,,,,,,,,,,,
"馬連:6,540円 ワイド:09-10=1,400円 01-09=630円 01-10=1,410円",,,,,,,,,,,,"馬連:860円 ワイド:04-05=360円 05-12=3,540円 04-12=9,350円",,,,,,,,,,,,"馬連:3,650円 ワイド:02-07=1,420円 07-08=430円 02-08=780円",,,,,,,,,,,,"馬連:1,790円 ワイド:01-02=460円 02-06=150円 01-06=260円",,,,,,,,,,,
"馬単:11,870円 3連複:9,520円 3連単:70,730円",,,,,,,,,,,,"馬単:1,240円 3連複:23,230円 3連単:71,640円",,,,,,,,,,,,"馬単:6,900円 3連複:3,890円 3連単:29,710円",,,,,,,,,,,,"馬単:2,820円 3連複:680円 3連単:6,010円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,檜山特別,,,,,,,,,,
