08年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄヨシノアツヒメ, 43,野元昭,, 52,* -3,* -4, 4,  6.7, ②②, 1, 3, レディルｰジュ,---,川田将,, 56,  -2,* -5, 1,  2.2, ③③, 1, 3,Ｄレジｰムチェンジ, 57,吉田隼,, 63,* -3,*  1, 4, 10.0,⑪③②, 1,11,Ｃタマモハクライ, 74,吉田隼,, 78, -13,* 22,12, 27.0, ⑯⑬
 2, 1,Ｃシゲルイブキヤマ, 46,角田晃, 0.1, 51,* -2,  -7, 3,  4.9, ①①, 2,14, クリノオンビｰト,---,小牧太, 0.1, 55,*  0,* -8, 3,  5.8, ②②, 2,12,Ｈシゲルエスペランサ, 52,渡辺薫, 0.1, 65,  -4,*  4, 2,  6.2,⑬⑥④, 2,17,Ｆグッドキララ, 72,和田竜, 0.0, 76,*  6,   4,11, 22.0, ①①
 3, 3,Ａアンジュアイル, 51,幸英明, 0.2, 49,  -7,* -4, 1,  2.2, ④④, 3, 1, サダムヨカモン,---,吉田隼, 0.2, 55,*  1,  -9, 2,  3.6, ①①, 3,16,Ｍベイビｰワンカフェ, 47,角田晃, 0.3, 61,* -1,  -8, 8, 46.2,⑯①①, 3, 4,Ｇフミノバラｰド, 71,岩田康, 0.0, 76,   0,  10, 2,  5.4, ⑦⑦
 4, 9,Ｂベストプロセス, 50,岩田康, 0.4, 47,  -5,  -7, 2,  3.2, ③③, 4, 2, ハｰドイチオｰ,---,高野容, 1.1, 40, -10, -10, 6, 26.1, ⑦⑦, 0, 8,Ａフサイチフェイマス, 67,川田将, 0.5, 58,  -5,  -3, 1,  1.7,③⑤⑤, 4, 6,Ｈトｰワユメジ, 70,石橋守, 0.1, 75,  -4,  13, 7, 16.5, ⑩⑨
 5, 4,Ｅナタリｰロｰズ, 38,吉田隼, 0.7, 39, -18,* -4, 5, 17.0, ⑥⑦, 5,13, エイシンマジック,---,角田晃, 1.2, 42,  -5, -14, 9, 51.5, ④③, 4, 6,Ｅマルイチポケット, 57,熊沢重, 1.0, 53,  -5,  -9, 7, 28.8,⑧⑥⑦, 5, 1,Ａナンゴクプラネット, 78,川島信, 0.1, 74,   1,   8, 4,  7.3, ⑥④
 6, 6,Ｉカシノヘラクレス,  9,熊沢重, 1.1, 33, -14, -13, 7, 65.7, ⑤④, 6, 5, イナズマチｰタｰ,---,田中健, 2.2, 33,  -6, -21, 5, 11.8, ⑥⑤, 5, 4,Ｎマサマロ, 46,田村太, 1.2, 53,  -7,  -7,13,147.8,⑥⑩⑧, 6, 8,Ｂエイシンイッキ, 77,小牧太, 0.2, 74,*  4,   4, 9, 17.3, ②②
 7, 2,Ｆコウエイマイラブ, 37,田中克, 1.4, 29, -16, -15, 6, 21.8, ⑥⑥, 7, 4, ホッコｰテイオｰ,---,鮫島良, 2.3, 27, -17, -17,10, 53.8, ⑨⑨, 6, 7,Ｌピサノフジ, 47,鮫島良, 1.4, 50,  -9,  -6, 9, 47.8,⑨⑬⑩, 7,18,Ｉマルタｰズロビン, 70,浜中俊, 0.2, 74,  -9,* 15, 6,  9.7, ⑬⑬
 8, 7,Ｇワンパクタイショウ, 20,川島信, 1.5, 26, -27,  -8, 8, 95.7, ⑨⑧, 8, 6, ダンツプロシｰド,---,浜中俊, 2.4, 26, -10, -22, 7, 30.6, ⑦⑧, 7,13,Ｉマキオキセキ, 51,田中健, 1.6, 47,  -6, -16,16,174.6,⑪⑨⑧, 8,12,Ｅエｰシンビｰエル, 73,幸英明, 0.3, 72,   2,   4, 3,  6.7, ④④
 9, 8,Ｈフリｰクデｰル, 17,畑端省, 1.8, 22, -22, -16, 9,156.6, ⑧⑧, 9, 8, キタサンエンペラｰ,---,佐藤哲, 2.5, 25, -16, -20, 4,  9.3, ⑨⑩, 8, 5,Ｇインダストリアル, 53,小牧太, 1.7, 46,  -8, -15, 5, 11.2,⑥⑩⑪, 9,15,Ｄタムロスタｰディ, 73,佐藤哲, 0.3, 72,  -2,   8, 1,  4.5, ⑨⑨
