08年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅシルクナデシコ, 42,小牧太,, 64,   0,*  4, 5, 10.0, ⑧⑤, 1,12, ワンカラット,---,岩田康,, 68,*  3,* -3, 2,  2.6, ②②, 1,15,Ｂワンダｰアｰムフル, 61,石橋守,, 61,   0,* -9, 1,  3.2,⑭⑧④, 1,14,Ｏスマｰトファルコン, 74,岩田康,, 91,* 13,* 19, 1,  3.3,①①①
 2, 9,Ａノアウイニング, 55,田中健, 0.2, 63,*  6,* -5, 3,  5.5, ③②, 2, 8, トップカミング,---,幸英明, 0.1, 67,*  1,* -1, 6, 18.2, ③③, 2,11,Ｉエｰシンディｰエス, 54,和田竜, 0.2, 58,*  3,*-20, 3,  6.3,④②①, 2,12,Ｃベルモントプロテア, 91,和田竜, 0.0, 92,* 12,* 20, 6, 15.5,③③③
 3,13,Ｂアルｰリングムｰン, 53,幸英明, 0.5, 60,   5,  -8, 1,  2.1, ④③, 3, 1, マイネカプリシャス,---,吉田隼, 0.7, 56,  -6,* -2, 1,  2.4, ⑦④, 3,13,Ｌファｰストクライ, 48,熊沢重, 0.5, 55,*  3, -21,14, 98.4,⑪⑥②, 3,13,Ａマコトスパルビエロ, 91,吉田隼, 0.1, 91,  11,* 20, 2,  3.9,⑥④③
 4, 6,Ｃシルクブリッツ, 51,野元昭, 0.9, 56,*  9, -17, 2,  5.1, ①①, 4,10, ハｰトランドフェロ,---,和田竜, 1.0, 56,*  3, -16, 8, 33.9, ①①, 4, 3,Ｋシルクウォリアｰ, 49,大下智, 0.7, 53,   1, -23,15,122.8,⑦⑥⑤, 4,15,Ｂダイナミックグロウ, 91,太宰啓, 0.3, 88,* 12,  17, 4,  7.5,②②②
 5, 3,Ｈアステｰル, 37,石橋守, 1.4, 48,   0, -13,12,126.8, ⑧⑦, 5,13, プライムウィッシュ,---,佐藤哲, 1.8, 41,  -5, -18, 3, 10.5, ⑥⑥, 5,12,Ｈトｰアゲッコウ, 54,浜中俊, 1.0, 52,  -2,*-20, 6, 14.5,⑭⑪⑩, 5, 8,Ｆビッグカポネ, 88,芹沢純, 0.7, 87,  11,  16, 3,  7.3,⑤⑤⑤
 6,10,Ｍフサイチレジェンド, 31,岩田康, 1.5, 43,   1, -17, 6, 14.6, ⑦⑤, 6, 9, ウェザｰサイド,---,鮫島良, 2.3, 37, -19, -10,11, 63.5, ⑩⑧, 6,16,Ｇマイソｰルガイ, 56,幸英明, 1.1, 51,*  3, -31,10, 51.4,⑨⑤②, 6,11,Ｈワキノエクセル, 88,小牧太, 1.2, 82,  11,  12, 8, 18.7,③⑤⑥
 7, 2,Ｄジョｰシンドバッド, 45,浜中俊, 1.9, 40,   3, -25, 4,  8.4, ⑤⑦, 7, 2, テイエムダイアナ,---,小牧太, 2.4, 35, -20, -12, 7, 26.1, ⑩⑫, 7, 7,Ｃタイキマドロス, 60,川田将, 1.3, 48,  -1, -24, 4,  7.3,⑰⑪⑤, 7, 5,Ｉメイショウシャフト, 88,石橋守, 1.3, 83,   9,  14, 9, 23.1,⑦⑦⑧
 8, 5,Ｋコスモラヴチャン, 32,田中克, 2.2, 36, -12, -13,13,173.6, ⑫⑫, 8,11, コスモノンノン,---,浜中俊, 2.5, 35, -20, -13,13,116.3, ⑩⑩, 8, 4,Ｍトップオブオペラ, 46,角田晃, 1.3, 49,  -1, -24,16,129.4,⑫⑪⑭, 8, 4,Ｌスナｰクファルコン, 80,角田晃, 1.3, 84,  10,  14,14,156.3,⑦⑦⑥
 9, 8,Ｆエｰシンウィゾｰル, 39,上村洋, 2.4, 33,   2, -30, 7, 20.2, ⑤⑦, 9, 7, シャイニｰクエスト,---,角田晃, 2.6, 32,  -6, -28, 5, 13.7, ⑦⑧, 9, 9,Ｆトップオブクロフネ, 56,田村太, 1.9, 43,  -2, -33,11, 53.2,⑰⑪⑨, 9, 3,Ｅラッキｰブレイク, 88,幸英明, 1.5, 81,  10,  12, 7, 17.7,⑦⑦⑨
