08年 8月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,支笏湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄディアジｰナ, 53,四位洋,, 62,  -8,*  4, 2,  4.3,②③⑤, 1,12, アグネスクイック,---,三浦皇,, 61,* -3,* -2, 2,  3.6,④④②, 1, 5,Ｃティンバｰセブン, 72,三浦皇,, 70,* 10,* -8, 2,  3.3,③①①, 1, 5,Ｅスクリｰンヒｰロｰ, 79,横山典,, 86,* -2,* 25, 1,  2.5,③⑤③
 2,14,Ｃアイディンパワｰ, 55,藤田伸, 0.4, 57,  -9,   1, 4,  5.2,⑦⑥②, 2, 1, カネトシコウショウ,---,秋山真, 0.1, 60,  -4,* -2,13,116.8,④④③, 2, 4,Ｈマイネルアｰバニタ, 68,大野拓, 0.0, 72,*  9,* -6, 5, 13.9,③②②, 2, 3,Ｄビｰビｰファルコン, 79,古川吉, 0.0, 85,* -1,  21, 3,  4.4,①①①
 3, 1,Ｂウインリｰズン, 63,安藤勝, 0.5, 54,* -5,  -6, 1,  3.1,①①①, 3, 4, ジェルミナル,---,武幸四, 0.1, 60,  -5,* -1, 4, 10.2,⑧⑥⑦, 3,10,Ａドリｰムトラベラｰ, 73,安藤勝, 0.8, 66,   8,* -9, 1,  2.7,⑧⑥②, 3, 4,Ａピエナグッドラック, 83,藤田伸, 0.1, 82,* -2,  21, 2,  4.1,②②②
 4,11,Ｆヴァンエボン, 45,小林徹, 0.6, 57, -14,*  6, 8, 23.0,⑬⑬⑬, 4, 2, オｰシャンロｰド,---,藤田伸, 0.3, 57,* -1,  -8, 1,  2.2,①①①, 4, 9,Ｂトップモンジュｰ, 73,横山典, 1.5, 63,* 10, -18, 4,  8.9,⑤②②, 4, 7,Ｆエプソムアルテマ, 77,津村明, 0.4, 81,  -4,  20, 7, 25.1,⑤⑤⑤
 5, 2,Ｉラヴェリｰタ, 38,長谷川, 0.6, 56, -13,*  3, 6, 21.9,⑦⑪⑨, 5,14, ガリアｰノ,---,池添謙, 0.4, 57,  -5,  -4, 7, 19.5,⑧⑥④, 5, 6,Ｌクリスタルバッハ, 56,菊沢隆, 1.9, 61,   8, -19,11, 82.0,⑥⑤⑤, 5,10,Ｂエタｰナルスマイル, 82,伊藤直, 0.4, 81,  -4,  20, 4, 11.1,⑧⑤⑦
 6, 3,Ａドリｰムクェｰサｰ, 81,池添謙, 1.0, 50, -12,  -3, 3,  4.6,⑪⑨⑥, 6, 9, ピロｰトｰク,---,横山典, 0.7, 55,  -7,  -4,11, 40.0,⑦⑪⑫, 6, 1,Ｆエドノエスポワｰル, 69,丸田恭, 2.9, 56,   4, -14,10, 63.9,⑫⑩⑨, 6, 9,Ｈサダムアカイカゼ, 75,北村友, 0.5, 85,  -3,* 23,10, 38.8,⑧⑩⑧
 7, 7,Ｅヨイチラブソング, 49,三浦皇, 1.0, 49,  -8,  -8, 5, 10.4,④③⑥, 7, 7, ババロア,---,四位洋, 0.8, 52,  -5, -10, 5, 18.4,⑪⑥④, 7,12,Ｉオッティマルｰチェ, 67,藤田伸, 2.9, 56,   5, -18, 7, 26.1,⑨⑨⑦, 7, 2,Ｉマスラタケヲ, 73,丸田恭, 0.5, 82,  -4,  22, 8, 33.1,⑤⑧⑧
 8,10,Ｇマキノワｰルド, 42,大野拓, 1.0, 52, -13,  -1,12,154.0,⑬⑪⑨, 8,10, マイネルロワイヤル,---,津村明, 0.9, 52,  -5, -10, 9, 30.4,⑩⑨⑨, 8, 3,Ｄパワｰコレクタｰ, 71,津村明, 3.6, 53,   7, -30, 6, 17.7,⑥⑧⑦, 8, 1,Ｃビクトリｰフラッグ, 81,松田大, 0.5, 80,* -2,  16, 6, 17.5,③②③
 9, 5,Ｎメジロデュｰチン,-94,北村友, 1.1, 51, -10,  -5,11,111.7,⑦⑦⑨, 9, 3, プラネットクルｰズ,---,長谷川, 1.0, 51,  -7, -10, 8, 26.8,④⑨⑨, 9,11,Ｋサンアスレチック, 64,的場勇, 3.9, 53,*  9, -38, 3,  4.7,②②⑥, 9, 8,Ｇシンボリユタカオｰ, 75,的場勇, 0.6, 80,  -4,  21, 5, 11.3,⑩⑧⑩
