08年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅマルカゼウス, 44,幸英明,, 59,  12,   9, 2,  4.8, ②②, 1, 2, ジャングルストｰン,---,和田竜,, 60, -17,* 10, 4,  9.4, ③②, 1, 5,Ｂカノヤトップレディ, 62,小牧太,, 71, -12,* 16, 2,  4.7, ⑰⑯, 1, 5,Ｆヤマニンイグナイト, 71,和田竜,, 73,* 15, -17, 6, 17.2,①①①
 2,10,Ａエムオｰハゴロモ, 59,橋本美, 0.1, 58,   9,* 11, 4,  7.7, ④④, 2, 1, リｰチコンセンサス,---,藤岡康, 0.3, 56, -20,*  8, 1,  2.9, ⑥⑥, 2, 4,Ｐマルシゲテイオｰ, 43,田中健, 0.5, 65,*  5,  -7,12, 42.6, ①①, 2, 8,Ｅブライティアパルス, 73,藤岡康, 0.2, 70,*  7,  -7, 2,  6.1,②②②
 3, 6,Ｃコウエイフラッシュ, 48,和田竜, 0.2, 57,* 15,   3, 1,  1.8, ①①, 3, 7, グリｰンイレブン,---,浜中俊, 0.5, 53, -18,   3, 6, 16.4, ③③, 3,15,Ａハマノモナｰク, 63,渡辺薫, 0.5, 66,  -4,   2, 4,  7.8, ⑨②, 3, 4,Ａアペリティフ, 80,小牧太, 0.6, 77,  -8,* 17, 1,  1.7,⑤④④
 4, 7,Ｄシゲルアソサン, 46,角田晃, 0.4, 54,   6,   9, 3,  7.7, ⑥⑥, 4, 4, エリモイズトゥルｰ,---,佐藤哲, 0.5, 52,*-13,  -1, 2,  3.2, ①①, 4,13,Ｈムｰヴ, 54,大下智, 0.6, 64,  -4,   1,13, 45.4, ⑨⑦, 4, 2,Ｄロｰズプレステｰジ, 74,吉田隼, 1.0, 71,  -7,  12, 5, 10.6,④④⑤
 5, 5,Ｇアマノシｰザｰ, 38,浜中俊, 0.4, 55,   9,   7, 8, 36.6, ④④, 5, 5, ワンズガｰホッド,---,鮫島良, 0.6, 51, -17,   2, 5, 11.0, ③④, 5,14,Ｄニシノイノｰマス, 59,幸英明, 0.6, 64,  -2,  -2, 1,  2.8, ⑥②, 5, 1,Ｂアヴェンティｰノ, 78,浜中俊, 1.0, 79, -12,* 21, 3,  7.5,⑧⑧⑤
 6, 9,Ｉキリコンサｰト, 33,吉田隼, 0.5, 53,  12,   3, 5, 17.0, ②③, 6, 3, アバトルディグナ,---,田辺裕, 1.8, 37, -21,  -9, 9, 62.1, ⑧⑥, 6,12,Ｆゲイリｰリバイバル, 58,藤岡康, 0.7, 62,  -3,  -2, 7, 23.0, ⑥⑦, 6, 9,Ｉショウナンサリｰレ, 69,幸英明, 1.2, 65,  -1,  -4, 9, 51.3,③③③
 7, 8,Ｂシゲルシロウマダケ, 51,田中克, 0.6, 51,   2,* 11, 6, 18.2, ⑧⑦, 7, 9, カンファｰピュア,---,太宰啓, 1.8, 37, -20, -10, 7, 34.5, ⑥⑥, 7, 7,Ｅアキノシャドｰ, 58,熊沢重, 0.8, 62,  -8,   2, 5, 14.2, ⑬⑪, 7, 6,Ｈサイレンスゴｰルド, 70,渡辺薫, 1.2, 72,  -9,  13, 7, 29.7,⑦⑥⑤
 8, 4,Ｈシゲルダイセン, 37,熊沢重, 1.2, 44,  -4,  10, 9, 69.4, ⑩⑩, 8, 8, シゲルフタタビサン,---,角田晃, 2.9, 25, -34, -10, 8, 36.9, ⑨⑨, 8, 8,Ｏナリタスカｰレット, 45,浜中俊, 1.0, 61,  -8,   0, 8, 25.5, ⑬⑪, 8,10,Ｃフレアリングベスト, 77,鮫島良, 1.7, 66, -12,  10, 4,  9.2,⑧⑧⑨
 9, 1,Ｊインバラトゥｰラ, 30,飯田祐, 1.4, 42,   5,  -2,10,103.7, ⑥⑧, 9, 6, ダガジグダガジグ,---,上村洋, 4.0,  9,*-16, -42, 3,  3.9, ②④, 9,18,Ｃサンダｰホｰラｰ, 61,飯田祐, 1.1, 57,*  1, -11, 3,  5.9, ③②, 9, 3,Ｊエイシンラビアン, 66,太宰啓, 2.2, 59,  -9,  -1,10, 76.4,⑥⑥⑤
