08年 8月17日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月17日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,小樽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａグレイスサンセット, 65,横山典,, 76,* 11,*  3, 1,  1.8, ①①, 1, 3, ダノンヒデキ,---,藤田伸,, 52,*-26,* 11, 1,  2.4,①①①, 1, 6,Ｃニシノドｰン, 75,藤田伸,, 76,   9,*  9, 3,  4.8,⑦⑥③, 1,12,Ｂメジロフォｰナ, 73,三浦皇,, 71,   7,*  2, 1,  3.7,⑪⑦⑦
 2, 8,Ｃコウヨウサルｰト, 59,柴山雄, 0.5, 70,*  8,   0, 4, 12.2, ②②, 2, 5, ロイヤルクリッパｰ,---,三浦皇, 0.2, 53, -28,* 11, 2,  4.2,④③③, 2, 5,Ｅハンサムデイイヤツ, 73,大野拓, 0.4, 73,   8,   4, 5, 11.2,⑥⑥③, 2,14,Ｅトシザユカ, 66,長谷川, 0.1, 72,* 14,  -8, 5,  6.6,①①①
 3, 2,Ｇシンメトリｰアｰト, 53,北村友, 1.4, 55,   1,  -3, 9, 46.2, ④④, 3, 9, ヴァンクリマ,---,秋山真, 0.3, 50, -28,  10, 6,  9.1,③③③, 3, 1,Ｂマチカネニホンバレ, 77,丸田恭, 0.4, 72,   9,   3, 2,  2.9,③③③, 3,13,Ｄマイネルカｰロ, 67,大野拓, 0.4, 68,  10,  -6, 8, 18.2,⑦⑤④
 4, 3,Ｄスイｰトメリｰ, 58,荻野琢, 1.5, 56,   0,  -3, 3,  6.8, ⑥⑥, 4, 2, ヒカルプリンス,---,横山典, 0.7, 47, -29,   9, 4,  7.7,④⑤⑤, 4,12,Ｋファイナルジャッジ, 63,松田大, 0.7, 72,* 10,  -1,13,108.9,②②②, 4, 7,Ｊトラックワンダｰ, 63,田中勝, 0.4, 68,* 11,  -8, 3,  5.3,②②②
 5, 1,Ｆワｰルドマスタｰ, 54,四位洋, 1.5, 51, -13,*  5, 5, 27.3, ⑫⑩, 5, 4, テンシノザｰル,---,北村友, 0.9, 48, -32,  10, 9,129.4,⑥⑧⑦, 5,10,Ａフォｰミュラｰワン, 78,三浦皇, 0.7, 69,* 11,  -2, 1,  2.8,①①①, 5, 9,Ａアサヒバロン, 79,柴山雄, 0.4, 66,   9,  -4, 2,  5.0,⑦⑦⑦
 6, 4,Ｈマルブツティンバｰ, 51,的場勇, 1.9, 50,  -2,  -6,10, 62.5, ⑨④, 6, 7, スマイルキング,---,蛯名正, 1.0, 39,*-26,  -3, 3,  5.8,②②②, 6, 7,Ｄギルティストライク, 75,北村友, 1.3, 65,   9,  -4, 4,  9.9,⑤⑤③, 6, 2,Ｇマイネベクルックス, 65,津村明, 0.4, 67,   9,  -4,10, 30.7,③⑦④
 7,12,Ｋオンワｰドシュネル, 40,郷原洋, 2.0, 50,   0,  -8,12,265.7, ⑥⑨, 7, 1, フィｰリングトｰン,---,安藤勝, 1.1, 41, -29,   3, 5,  8.5,⑦⑤⑥, 7, 9,Ｌポｰトスピｰド, 63,小牧太, 1.4, 66,   4,   4,10, 53.3,⑩⑩⑩, 7,10,Ｋサムタイムレｰタｰ, 59,古川吉, 0.5, 67,   7,  -1,13,125.9,⑨⑩⑩
 8, 9,Ｊクロスピレッテ, 40,秋山真, 2.1, 53,*  6, -13, 8, 32.1, ②③, 8, 8, コウギョウサクラ,---,四位洋, 2.2, 29, -31,  -8, 8, 48.1,⑨⑧⑨, 8, 3,Ｆサミｰデザｰト, 70,横山典, 1.6, 63,   5,   0,11, 54.1,⑧⑧⑧, 8, 5,Ｈデルマアン, 65,的場勇, 0.5, 63,   3,*  3,12,123.0,⑫⑫⑬
 9, 6,Ｂロｰドエスクｰド, 65,三浦皇, 2.2, 47,  -2,  -8, 2,  3.8, ⑨⑩, 9,10, サイクロンボｰイ,---,菊沢隆, 2.3, 26, -30, -11,10,133.3,⑨⑧⑦, 9, 2,Ｇサイレンスラダメス, 70,津村明, 1.9, 63,   3,   2,12, 55.9,⑬⑪⑩, 9, 4,Ｌプリマシア, 55,松田大, 0.5, 65,   4,*  2,11, 68.0,⑬⑫⑫
