08年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TV西日本北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａサイレントビｰト, 55,橋本美,, 50,* -6,* -7, 1,  1.6, ①①, 1, 5, プレザントブリｰズ,---,和田竜,, 52, -14,* -1, 2,  4.0, ③④, 1,18,Ｍウインキングストン, 49,鮫島良,, 75,*  2,*  8,10, 50.3,③②①, 1, 4,Ａスリｰプレスナイト, 89,上村洋,, 94,* 10,* 18, 1,  2.5, ②③
 2, 7,Ｃカシノレオン, 42,上野翔, 0.5, 43,* -7, -13, 4, 17.8, ②②, 2, 8, リキドｰ,---,福永祐, 0.3, 48,*-10,  -9, 3,  5.3, ①①, 2, 6,Ｄスタルカ, 61,岩部純, 0.4, 71,  -1,*  7, 7, 20.5,④⑤③, 2, 6,Ｉマルカフェニックス, 82,池添謙, 0.3, 89,   3,* 21, 3,  8.9, ⑦⑧
 3, 9,Ｂキリシマノホシ, 48,上村洋, 0.7, 42, -14,* -7, 2,  3.3, ⑧⑦, 3, 7, シンゼンライク,---,飯田祐, 0.3, 48,*-13,  -6, 4,  9.9, ②②, 3, 4,Ｃサバｰス, 62,福永祐, 0.4, 72,  -1,* 10, 1,  2.1,⑥⑦⑥, 3,11,Ｊゼットカｰク, 80,吉田隼, 0.5, 87,   6,  15, 4, 12.6, ⑤④
 4, 6,Ｉテイエムメデテカ, 26,佐久間, 0.7, 41, -21,* -1, 7, 36.5, ⑪⑨, 4, 4, メトロノｰス,---,吉田隼, 0.4, 46, -14,  -6, 1,  1.8, ③③, 4, 2,Ａアマノスパイダｰ, 66,浜中俊, 0.6, 73,  -2,* 10, 2,  5.4,⑧⑧⑦, 4, 2,Ｃマッチメイト, 85,川島信, 0.7, 84,* 12,   8,14, 41.8, ②②
 5, 4,Ｅマルシゲドトウ, 38,渡辺薫, 1.0, 37, -12, -14, 3, 10.7, ⑥③, 5, 6, ラルｰチェ,---,鮫島良, 0.7, 43, -19,  -5, 5, 13.5, ⑤⑧, 5,15,Ｊガイディングスタｰ, 54,吉田隼, 1.2, 64,  -5,   5, 4, 11.1,⑬⑪⑩, 5, 7,Ｆクｰルシャロｰン, 83,芹沢純, 0.7, 84,   7,  12, 2,  6.6, ⑤⑥
 6, 1,Ｊテイエムフガエド, 18,田中健, 1.2, 35, -11, -17,11,135.9, ④③, 6, 9, デンコウロｰレル,---,幸英明, 1.4, 36, -33,* -1, 8, 78.3, ⑨⑨, 6,12, エアリアルショット,---,幸英明, 1.3, 66,  -5,   6, 3,  6.9,⑰⑬⑫, 6, 3,Ｂスピニングノアｰル, 85,福永祐, 0.8, 83,   4,  14, 6, 14.2, ⑦⑥
 7,10,Ｄテイエムビビッド, 40,高井彰, 1.2, 33, -13, -17, 6, 23.1, ⑥⑥, 7, 1, トリナクリア,---,藤岡康, 1.5, 33, -19, -15, 7, 77.2, ⑤④, 7,11,Ｉシｰシャトｰ, 56,佐藤哲, 1.4, 63,  -4,   3, 8, 26.8,⑫⑪⑧, 7, 8,Ｅキョウワロアリング, 83,飯田祐, 0.9, 82,  -1,  17, 9, 23.1, ⑫⑨
 8, 8,Ｇカシノジゲンリュウ, 30,大下智, 1.7, 27,* -9, -27, 8, 84.4, ②③, 8, 3, カシノハリ,---,野元昭, 1.8, 28, -19, -19, 9, 90.4, ⑤④, 8, 8,Ｆマイネルザパｰム, 60,池添謙, 1.4, 59,*  2, -11, 5, 11.9,②②②, 8,17,Ｍエムエスワｰルド, 76,太宰啓, 0.9, 83,  -3,* 19,12, 28.4, ⑭⑭
 9,12,Ｆテイエムアツヒメ, 32,酒井学, 1.7, 29, -16, -18, 5, 20.6, ⑧⑨, 9, 2, コスモアポロ,---,浜中俊, 2.2, 25, -19, -24, 6, 26.9, ⑤⑦, 9, 5,Ｌバンブｰバファナ, 50,和田竜, 1.7, 57,   1, -14,13, 66.6,④②③, 9,15,Ｈステキシンスケクン, 82,佐藤哲, 1.0, 81,   1,  14, 7, 15.5, ⑩⑪
10, 3,Ｋカシノヒバリ, -3,藤岡康, 2.8, 15, -23, -24,12,155.3, ⑫⑫,,,,,,,,,,,,,10,16,Ｂマｰチインパクト, 62,藤岡康, 2.0, 55,  -2, -10, 6, 13.9,⑥⑧⑩,10,14,Ｒオｰトセレブ, 68,渡辺薫, 1.1, 80,  -2,  15,18,113.0, ⑭⑭
11,11,Ｈマルシゲシェｰバｰ, 27,幸英明, 2.8, 15, -19, -30,10,104.6, ⑩⑪,,,,,,,,,,,,,11,17,Ｅウォｰタｰゲイザｰ, 60,芹沢純, 2.2, 53,  -4, -11,12, 65.5,⑧⑩⑫,11,18,Ｋレットバトラｰ, 80,幸英明, 1.3, 77,  -1,  12, 8, 16.6, ⑫⑪
12, 2, ココロクバリ,---,野元昭, 2.9, 12, -11, -40, 9, 94.7, ④⑦,,,,,,,,,,,,,12, 7,Ｈシルクロｰリット, 57,上村洋, 2.2, 56,  -8,  -1,14, 72.2,⑭⑭⑭,12, 1,Ｇエムオｰウイナｰ, 82,熊沢重, 1.5, 74,* 14,  -5,11, 26.7, ①①
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｇメルシｰモンサン, 58,小坂忠, 2.5, 49,  -1, -21,11, 62.8,⑧⑥⑧,13,12,Ｎエイムアットビップ, 75,藤岡康, 1.5, 74,   9,   0,10, 23.4, ④④
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｑカシノジュリア, 40,大下智, 2.6, 51,  -8,  -7,17,241.5,⑯⑭⑮,13,16,Ｄマンテンハット, 85,生野賢, 1.5, 74,   2,   6,13, 33.4, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｐスペシャルトｰン, 41,船曳文, 2.7, 53, -10,  -1,16,167.5,⑪⑯⑮,15,13,Ｏマルブツイｰスタｰ, 75,浜中俊, 1.5, 76,   4,   5, 5, 13.4, ⑦⑨
