08年 8月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,石狩特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂサトノエンペラｰ, 59,安藤勝,, 61, -11,* 12, 1,  1.9,⑩⑩②, 1, 5, ゲットフルマｰクス,---,三浦皇,, 60,* -6,* -1, 1,  2.5, ①①, 1, 4,Ａアグネスカルミア, 79,横山典,, 74,*  2,   8, 1,  2.6, ①①, 1,10,Ｅスピリタス, 72,安藤勝,, 80,  -2,* 24, 2,  4.3,⑥⑦③
 2,14,Ｄロイヤルダリア, 54,岩田康, 0.2, 58, -10,*  8, 3,  5.5,⑦⑨⑥, 2, 7, メジロマリアン,---,横山典, 0.1, 59,* -7,* -1, 4, 10.2, ②②, 2, 2,Ｆベルモントユリア, 71,菊沢隆, 0.0, 75,  -3,* 12, 7, 15.3, ⑤③, 2, 4,Ｄコンプトゥス, 74,岩田康, 0.2, 77,  -3,* 23, 4,  5.4,⑪⑧⑧
 3, 6,Ｌラヴィンライフ, 33,長谷川, 0.2, 61, -13,* 12, 7, 37.9,⑫⑪⑨, 3, 1, キタサンオリュウ,---,四位洋, 1.0, 47, -10, -10, 7, 32.2, ③③, 3, 1,Ｃエビスオｰル, 76,三浦皇, 0.6, 67,  -7,*  9, 4,  6.6, ⑦⑦, 3, 1,Ｈフィックルベリｰ, 70,秋山真, 0.3, 74,   0,  17, 8, 27.9,⑥⑤⑤
 4,13,Ｇピカルディｰ, 46,三浦皇, 0.5, 54,  -9,  -1, 4, 16.2,⑦⑥②, 4,10, メジロライダｰ,---,長谷川, 1.1, 46, -15,  -6, 2,  2.8, ⑤⑤, 4,11,Ｈサウスサプライズ, 68,秋山真, 0.8, 68,*  2,   2, 6, 11.0, ③③, 4,11,Ｃダブルヒｰロｰ, 75,四位洋, 0.4, 76,  -5,* 23, 6, 10.3,⑬⑬⑨
 5, 4,Ａカシマヴィｰナス, 62,横山典, 0.7, 51,  -7,  -5, 2,  3.3,④④⑥, 5, 6, ナイトスズラン,---,津村明, 1.5, 42,  -9, -16, 5, 11.9, ③③, 5, 6,Ｂメイショウジップ, 77,小島太, 1.0, 65,*  2,  -1, 5, 10.6, ②②, 5, 5,Ｆケイアイマイスキｰ, 71,藤田伸, 0.5, 69,   1,  10, 1,  4.1,③②③
 6, 5,Ｎディバインフレイム,  6,藤田伸, 0.7, 52,  -9,  -2, 5, 20.8,⑦⑧⑨, 6,12, キリエ,---,藤田伸, 1.7, 40, -19,  -7, 3,  6.5, ⑦⑧, 6, 9,Ｇピエナワイルド, 70,丸田恭, 1.2, 62,  -3,   1, 2,  5.4, ⑤⑥, 6, 7,Ａマイネルクルｰガｰ, 77,津村明, 0.5, 75,  -3,  20, 5,  7.6,⑪⑧⑤
 7, 1,Ｉセイカプレスト, 45,小林徹, 1.2, 49, -12,  -2, 9, 64.1,⑫⑪⑫, 7,11, ヒノマルクン,---,菊沢隆, 2.4, 30, -27, -11,11, 96.4, ⑫⑪, 7,12,Ｅメイショウゴルゴ, 73,池添謙, 1.2, 62,   0,  -1, 8, 18.0, ③⑤, 7,13,Ｇケンセイフライト, 70,池添謙, 0.8, 69,  -5,  16, 9, 31.7,⑧⑫⑪
 8,11,Ｃハイドランジア, 55,松田大, 1.3, 46,* -6, -16, 6, 27.8,②③②, 8, 2, ミツアキクイｰン,---,荻野琢, 2.7, 25, -19, -23, 6, 28.1, ⑦⑥, 8,10,Ｉレディオｰロラ, 64,荻野琢, 1.3, 62, -10,   4, 9, 39.6, ⑧⑧, 8,14,Ｊサプライズユｰ, 64,三浦皇, 1.0, 67,  -3,  11, 7, 21.2,⑧⑧⑨
 9,10,Ｆマゴコロ, 47,的場勇, 1.5, 41,* -6, -20,12,159.5,②②②, 9, 8, リｰディングパｰト,---,武幸四, 2.8, 25, -23, -20,10, 70.8, ⑪⑩, 9, 5,Ｋケイエスバウアｰ, 58,松田大, 1.3, 61, -17,*  9,10, 73.9, ⑩⑩, 9, 9,Ｉハツカリ, 65,長谷川, 1.1, 60,*  4,  -3,10, 58.4,①①①
