08年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａメイクデュｰス, 59,太宰啓,, 65,*  3,*  6, 3,  5.5, ②②, 1, 1, トｰセンピュリニｰ,---,上村洋,, 58,* -3,  -6, 1,  1.7, ①①, 1, 4,Ｃシンゼンシンノスケ, 67,飯田祐,, 67,  -3,* 19, 2,  4.9,⑧⑧③, 1, 6,Ｆピサノジュバン, 82,吉田隼,, 81,   3,* 21, 3,  9.3,⑥⑤③
 2,13,Ｅホｰマンライズ, 47,吉田隼, 0.6, 56,*  6,  -5, 2,  5.0, ①①, 2,14, ラガｰシｰキング,---,佐藤哲, 0.0, 57, -15,*  6, 4, 15.2, ⑨⑥, 2,14,Ｄカシノシンケン, 63,田中克, 0.4, 64,* -2,  11, 4,  9.6,①①①, 2,14,Ｂコウジンアルス, 85,小牧太, 0.2, 77,*  4,  16, 5, 16.6,①①①
 3, 7,Ｂハイフィｰルド, 54,安藤光, 1.0, 51,  -1,  -3, 4, 11.5, ④④, 3, 6, カシノブシドｰ,---,岩部純, 0.1, 56,  -5,  -5, 6, 23.5, ④②, 3, 7,Ｊグランプリイｰグル, 54,武豊  , 0.5, 63,* -2,* 13, 3,  8.3,⑤②②, 3, 8,Ａクリｰン, 86,武豊  , 0.2, 79,   1,* 22, 1,  1.7,⑫⑨⑦
 4, 2,Ｊコスモノンノン, 31,浜中俊, 1.1, 50,  -1,  -5,11,200.0, ④④, 4, 3, スズカライフル,---,幸英明, 0.3, 55,  -6,  -6, 7, 44.4, ④②, 4, 9,Ｋカンファｰライズ, 52,和田竜, 1.3, 58,* -2,   6,11, 66.7,④②③, 4, 4,Ｍハセノダンディ, 75,岩部純, 0.5, 77,   2,  18,14,161.3,⑧⑧⑦
 5, 9,Ｆシゲルキリガミネ, 44,田嶋翔, 1.2, 48,  -8,   0, 8, 68.4, ⑨⑧, 5, 8, マイネレｰヌ,---,武豊  , 0.4, 53, -11,  -4, 2,  4.3, ⑥⑥, 5,15,Ｅウォルトンコクカ, 63,川島信, 1.5, 57,  -6,  11, 7, 21.4,⑮⑯⑮, 5, 1,Ｌウィッシングデュｰ, 77,鮫島良, 0.5, 77,   3,  16, 4, 13.7,④⑤③
 6, 6,Ｃウララカ, 54,武豊  , 1.3, 48,*  3, -11, 1,  1.6, ②③, 6,12, エリモフリｰダム,---,川島信, 0.6, 49, -13,  -3, 5, 15.3, ⑦⑥, 6,10,Ｂニシノハドウホウ, 69,小牧太, 1.8, 52,  -4,   3, 1,  2.1,⑧⑥⑤, 6,16,Ｄツルマルロｰズ, 83,中村将, 0.9, 72,   2,  14,11, 69.2,⑦⑤⑥
 7, 8,Ｌウルトライエロｰ, 16,幸英明, 1.3, 47,   0,  -9,10,176.9, ④⑥, 7, 9, プリンセスペスカ,---,角田晃, 0.6, 50, -24,*  7,10, 77.7, ⑩⑩, 7, 6,Ｆデンコウラウロ, 60,渡辺薫, 1.9, 54,  -4,   4,16,186.2,⑧⑧⑧, 7, 2,Ｋタガノティアｰズ, 79,橋本美, 0.9, 75,*  4,  10, 2,  6.0,②②②
 8, 4,Ｇマイネチャペル, 43,石橋守, 1.4, 46,  -4,  -6, 6, 26.7, ⑦⑦, 8, 7, エルジャンクション,---,浜中俊, 0.7, 49, -14,  -5, 9, 66.4, ⑦⑥, 8, 1,Ｇアイノレオ, 58,上村洋, 1.9, 56,  -5,   6, 8, 35.4,⑪⑭⑩, 8, 7,Ｉホｰマンラフィット, 81,和田竜, 1.1, 73,   1,  15,12,101.4,⑨⑨⑩
 9,11,Ｄデンタルマロン, 48,小牧太, 1.4, 46, -16,*  6, 5, 14.5, ⑫⑬, 9, 2, ハンセルボｰイ,---,小牧太, 0.9, 46,* -4, -17, 8, 48.5, ②②, 9, 3,Ｉワンダｰバｰスト, 55,鮫島良, 2.0, 55,  -5,   5,14,145.2,⑪⑪⑫, 9, 5,Ｊマヤノバルトｰク, 79,浜中俊, 1.2, 70,*  3,   8, 6, 18.3,④③③
10, 3,Ｍプリティラパス,  8,大下智, 1.8, 40, -16,   0,13,341.0, ⑫⑪,10,10, ゼットオｰジ,---,安藤光, 1.5, 38, -38,*  8,13,160.8, ⑭⑬,10,11,Ｎセルリアンカトラス, 42,太宰啓, 2.1, 51,  -5,   4,12, 96.1,⑪⑭⑫,10, 3,Ｎハギノフェリックス, 73,藤岡康, 1.6, 69,*  3,   6,16,252.9,②③⑦
11, 5,Ｉシゲルハカセヤマ, 36,中村将, 1.9, 40, -12,  -4,12,252.8, ⑪⑪,11, 4, エｰシンビｰブラボ,---,和田竜, 2.3, 28,* -4, -35, 3,  7.1, ②⑤,11,13, アドマイヤコｰス,---,浜中俊, 2.2, 49,  -4,  -1, 6, 13.3,⑮⑥⑤,11,13,Ｅツルマルツイモツイ, 83,上村洋, 1.9, 70,  -1,  11,10, 46.5,⑯⑮⑫
12,12,Ｋトウカイジェンヌ, 23,酒井学, 2.0, 38,  -8, -10, 7, 60.7, ⑨⑩,12,11, アリソンイモン,---,太宰啓, 2.3, 28, -26, -14,12,153.8, ⑪⑪,12, 8,Ｌシルキｰリリｰ, 52,角田晃, 3.4, 42,* -3, -13, 9, 45.4,②②⑤,12,12,Ｈマルタカタキオン, 81,幸英明, 2.0, 65,   0,   9, 8, 22.7,⑮⑫⑫
13,10,Ｈナタリｰロｰズ, 38,和田竜, 3.0, 25,  -4, -27, 9, 72.0, ⑦⑧,13, 5, ナンゴクミラクル,---,藤岡康, 2.5, 24, -29, -14,14,200.1, ⑫⑫,13, 5,Ｍサザンベル, 46,安藤光, 3.5, 41,* -3, -14,10, 59.2,②②⑧,13,11,Ｏチェリｰロビン, 73,高橋亮, 2.1, 65,   0,   8,15,189.1,⑫⑫⑫
,,,,,,,,,,,,14,13, シャイニｰドクタｰ,---,田嶋翔, 3.9,  7, -31, -29,11, 99.4, ⑬⑭,14, 2,Ｏオンワｰドマック, 42,田辺裕, 3.5, 38,  -3, -11,15,153.1,⑥⑧⑩,14,15,Ｃクラリオンコｰル, 84,安藤光, 2.5, 63,   0,   5, 7, 20.3,⑪⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｈチェリｰムサシ, 56,高橋亮, 3.6, 41,  -5,  -9,13, 98.7,⑪⑪⑫,15, 9,Ｐツルマルロｰレル, 73,酒井学, 3.2, 59,   1,  -3,13,120.8,⑫⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ａタマモサプライズ, 70,幸英明, 3.8, 39,  -5, -11, 5, 10.4,⑥⑪⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:重(指数:-9),,,,,,,,,,,
"単勝:550円 複勝:01=220円 13=230円 07=330円 枠連:1,060円",,,,,,,,,,,,単勝:170円 複勝:01=110円 14=310円 06=300円 枠連:740円,,,,,,,,,,,,"単勝:490円 複勝:04=180円 14=290円 07=260円 枠連:1,130円",,,,,,,,,,,,"単勝:930円 複勝:06=210円 14=330円 08=110円 枠連:3,350円",,,,,,,,,,,
"馬連:1,160円 ワイド:01-13=410円 01-07=540円 07-13=610円",,,,,,,,,,,,"馬連:910円 ワイド:01-14=460円 01-06=580円 06-14=1,690円",,,,,,,,,,,,"馬連:1,520円 ワイド:04-14=530円 04-07=510円 07-14=980円",,,,,,,,,,,,"馬連:7,650円 ワイド:06-14=1,780円 06-08=320円 08-14=600円",,,,,,,,,,,
"馬単:2,630円 3連複:2,610円 3連単:13,440円",,,,,,,,,,,,"馬単:1,220円 3連複:4,070円 3連単:9,170円",,,,,,,,,,,,"馬単:2,710円 3連複:3,830円 3連単:18,570円",,,,,,,,,,,,"馬単:16,700円 3連複:3,740円 3連単:42,190円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 8R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊万里特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂグリｰンイレブン, 55,金折知,, 60, -17,* 18, 4,  6.7,③④③, 1,11,Ｄフロムスクラッチ, 63,佐藤哲,, 68,* -4,*  8, 1,  3.6, ①①, 1, 4,Ｅシロキタカｰニバル, 71,武豊  ,, 76,  -3,* 15, 1,  2.5, ⑩⑥, 1, 6,Ｂプラチナムペスカ, 73,角田晃,, 76,*  1,   8, 5,  8.5, ①①
 2, 6,Ｄトｰコｰタカシ, 45,田中健, 0.2, 54,*-14,  10, 5, 16.0,①①①, 2,13,Ｅテイエムセレス, 63,和田竜, 0.8, 63,* -3,   3, 6, 12.0, ②③, 2, 1,Ａシャトルタテヤマ, 73,渡辺薫, 0.0, 76,*  7,   5, 3,  7.4, ①①, 2, 7,Ｃシティボス, 71,佐藤哲, 0.0, 77,  -8,* 17, 4,  8.1, ⑨⑧
