08年 8月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月24日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,羊蹄山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃネコパンチ, 53,丸田恭,, 51,*-15,  -3, 3,  6.8, ②②, 1, 3, テｰオｰストｰム,---,岩田康,, 67,   0,   3, 1,  3.6,③③③, 1,13,Ｉケイアイプラウド, 65,岩田康,, 72,*  2,  17, 4,  6.6,①①①, 1, 6,Ａフォｰリクラッセ, 82,武幸四,, 77,  -5,* 27, 3,  3.7,⑪⑬⑨
 2, 6,Ｄマイネルロワイヤル, 50,北村友, 0.3, 51, -24,*  2, 4, 16.4, ⑦⑦, 2,11, マイネルプロｰトス,---,松岡正, 0.1, 67,*  3,  -3, 7, 14.6,①①①, 2, 2,Ｂタニノロッキｰ, 73,秋山真, 0.3, 74,  -2,* 23, 1,  3.4,⑥⑨⑥, 2,13,Ｌケイエスシンケイト, 71,松田大, 0.0, 77,* -1,  21,10, 51.5,②②②
 3, 5,Ｂマイネルエルドラド, 55,藤田伸, 0.3, 47,*-13,  -8, 1,  1.3, ①①, 3, 2, タイトルパｰト,---,安藤勝, 0.1, 68,  -3,*  8, 2,  4.7,⑨⑧⑥, 3, 1,Ｄユｰワファントム, 71,藤田伸, 0.6, 70,  -3,* 22, 6, 11.6,⑫⑪⑧, 3, 4,Ｆスマｰトカイザｰ, 77,岩田康, 0.3, 75,  -2,  20, 7, 22.0,⑧⑦⑥
 4, 4,Ｅスズカフレｰム, 43,芹沢純, 0.4, 46, -18,  -4, 7, 83.6, ⑤⑥, 4, 4, ニシノラブキング,---,四位洋, 0.3, 67,  -4,*  8, 8, 15.6,⑫⑩⑨, 4, 4,Ｈシルクストライカｰ, 68,小林徹, 0.9, 66,*  2,  11, 9, 31.0,⑥②②, 4, 5,Ｉトップジャイアンツ, 75,藤田伸, 0.4, 71,*  0,  15, 1,  3.2,①①①
 5, 2,Ａゼットホｰオｰ, 69,三浦皇, 0.5, 45, -16,  -8, 2,  6.5, ④④, 5, 5, ワｰルドレデｰ,---,秋山真, 0.6, 61,   0,  -6,10, 46.3,⑤③③, 5, 3,Ｃメイショウタメトモ, 71,古川吉, 0.9, 69,  -1,  15, 5,  9.3,⑤⑥⑥, 5, 7,Ｄナムラハｰン, 78,武英智, 0.6, 72,* -1,  16, 8, 24.1,⑥⑤⑥
 6, 8,Ｆプロウスト, 42,岩田康, 0.8, 40, -19,  -9, 5, 30.1, ⑤④, 6,10, ダンツフロント,---,藤田伸, 1.2, 54,*  1, -17, 4,  5.4,②②②, 6,10,Ｍアツキオモイ, 59,大野拓, 1.0, 67,   1,  12, 8, 23.6,②⑤③, 6, 9,Ｈシンワラヴ, 75,梶晃啓, 1.0, 68,* -1,  12, 5, 15.5,②②③
 7, 7,Ｇトｰセンザメイデン, 41,大野拓, 0.9, 40,*-14, -14, 6, 32.4, ②②, 7, 1, ヴィｰヴァサルｰテ,---,横山典, 1.3, 54,  -3,  -9, 5, 12.4,⑦⑧⑨, 7, 8,Ｅウォｰタｰボｰイズ, 70,安藤勝, 1.1, 66,  -6,* 21, 2,  4.2,⑬⑫⑪, 7,10,Ｇバリオン, 76,菊沢隆, 1.0, 71,  -3,  17, 9, 35.8,⑨⑨⑨
 8, 1,Ｉノボビクトリｰ, 28,荻野琢, 1.5, 34, -32,  -6, 9,122.3, ⑩⑩, 8, 7, フリソ,---,的場勇, 1.4, 52,   0, -17,12, 75.7,⑦③③, 8, 9,Ａシャドウブルｰス, 74,三浦皇, 1.3, 61,   0,   8, 3,  5.7,⑪②③, 8, 3,Ｋダイワレヴアップ, 71,的場勇, 1.0, 69,* -1,  13,11, 75.1,⑤⑤③
 9, 9,Ｊハワイアンシェｰナ,  6,蛯名正, 1.8, 29, -26, -14, 8, 83.8, ⑧⑧, 9,13, ハイゲｰト,---,北村友, 1.7, 53,  -6, -10, 6, 13.4,⑩⑩⑪, 9,12,Ｇカネトシトレンド, 68,長谷川, 1.5, 65,  -1,  11,11, 41.9,③⑦⑨, 9,11,Ｃマイネルトラヴェル, 79,三浦皇, 1.1, 68,  -5,  17, 6, 21.7,⑪⑪⑪
10, 3,Ｈタイセイラプタｰ, 41,北村浩, 1.8, 29, -28, -13,10,180.6, ⑧⑧,10, 8, ショウナンサンガ,---,蛯名正, 2.0, 47,  -1, -23, 3,  5.1,⑤⑦⑦,10, 7,Ｊエクスハイタッチ, 61,菊沢隆, 1.7, 63,  -2,  11,12,116.6,⑨⑨⑨,10, 2,Ｊインスパイアリング, 73,小林徹, 1.3, 68,  -4,  15,12, 86.2,⑪⑪⑫
,,,,,,,,,,,,11,12, リッカアリュｰル,---,池添謙, 3.3, 35,*  1, -45, 9, 24.4,③③⑦,11, 5,Ｌセイカカリンバ, 59,松岡正, 2.1, 57,   1,   1,10, 38.8,⑥②③,11, 1,Ｂメイショウカルド, 81,松岡正, 1.5, 65,  -2,  10, 2,  3.5,⑥⑦⑥
,,,,,,,,,,,,12, 9, オンリｰスカイ,---,三浦皇, 4.0, 30,  -6, -43,11, 64.2,⑩⑩⑫,12, 6,Ｆトランプ, 70,北村友, 2.2, 55,  -1,   4, 7, 15.6,③⑦⑪,12, 8,Ｍアイアイスピｰチ, 70,鈴来直, 1.9, 63,  -2,   8,13,203.7,⑨⑨⑫
,,,,,,,,,,,,13, 6, チェリｰブレｰヴ,---,武幸四,15.4,-97, -33, ---,13,134.6,⑬⑬⑬,13,11,Ｋヒシフラッシｰ, 61,丸田恭, 2.8, 54,  -7,   8,13,156.9,⑨⑬⑬,13,12,Ｅスズカフェロｰ, 78,北村友, 3.0, 52,*  0,  -6, 4,  8.9,②②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,
"単勝:680円 複勝:10=140円 06=210円 05=110円 枠連:3,650円",,,,,,,,,,,,単勝:360円 複勝:03=160円 11=300円 02=220円 枠連:610円,,,,,,,,,,,,"単勝:660円 複勝:13=240円 02=160円 01=350円 枠連:1,080円",,,,,,,,,,,,"単勝:370円 複勝:06=170円 13=850円 04=470円 枠連:1,250円",,,,,,,,,,,
"馬連:3,100円 ワイド:06-10=610円 05-10=170円 05-06=280円",,,,,,,,,,,,"馬連:3,250円 ワイド:03-11=1,000円 02-03=490円 02-11=1,400円",,,,,,,,,,,,"馬連:1,500円 ワイド:02-13=680円 01-13=1,090円 01-02=670円",,,,,,,,,,,,"馬連:7,900円 ワイド:06-13=2,210円 04-06=1,140円 04-13=6,460円",,,,,,,,,,,
"馬単:6,190円 3連複:1,000円 3連単:13,380円",,,,,,,,,,,,"馬単:5,030円 3連複:6,470円 3連単:38,650円",,,,,,,,,,,,"馬単:2,990円 3連複:4,740円 3連単:22,640円",,,,,,,,,,,,"馬単:10,480円 3連複:32,370円 3連単:170,230円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝1500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,藻岩山特別,,,,,,,,,,,,ﾎﾟﾌﾟﾗｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａソニックブレｰド, 70,三浦皇,, 66,*  3,*  2, 1,  1.8,②②①, 1,11,Ａボｰダレスワｰルド, 74,三浦皇,, 73,*  0,*  6, 1,  3.0, ②②, 1, 9,Ｂセイウンワキタツ, 79,武幸四,, 81,  -2,* 16, 8, 26.1,⑬⑬⑩, 1, 3,Ｆサクラオリオン, 81,松岡正,, 86,   7,  16, 5, 10.6,③③④
 2, 5,Ｄハクサンレジェンド, 59,芹沢純, 0.8, 64,   0,*  2, 7, 41.0,⑥④④, 2, 6,Ｇカワキタライジン, 61,松岡正, 0.5, 68,  -1,   1, 5,  9.0, ④③, 2,13,Ｄユキノハリケｰン, 78,蛯名正, 0.1, 75,*  5,   4, 5, 10.9,⑧③②, 2,11,Ｇファストロック, 80,安藤勝, 0.0, 86,   7,  17, 1,  1.8,④③②
 3, 7,Ｇハッカイサンライズ, 56,蛯名正, 1.2, 61,*  3,  -6, 2,  4.0,②③②, 3,16,Ｈモエレロングラン, 61,安藤勝, 0.7, 64,*  5,  -8, 7, 16.5, ①①, 3, 4,Ａジャングルテクノ, 83,四位洋, 0.2, 74,*  6,   3, 3,  6.1,③③④, 3, 6,Ａイｰスタｰ, 88,横山典, 0.1, 86,   7,  17, 4,  8.5,⑤⑤⑤
 4, 8,Ｂトキメキボストン, 68,丸田恭, 1.5, 57,*  4, -12, 3,  6.0,①①②, 4, 8,Ｃスリｰタキオン, 65,武英智, 0.7, 65, -12,*  9, 8, 21.2, ⑬⑪, 4, 3,Ｊミゼリコルデ, 69,三浦皇, 0.3, 76,  -2,* 11, 4,  8.5,⑧⑪⑩, 4, 9,Ｃツアｰデフォｰス, 82,松田大, 0.1, 83,*  9,   9, 6, 18.4,①①①
 5, 2,Ｍコウワスプラッシュ, 44,青木芳, 1.5, 59,  -2,   0,11, 94.3,⑩⑦⑦, 5, 4,Ｅバイヨン, 64,岩田康, 0.7, 65,  -5,   3, 2,  4.6, ⑤④, 5, 7,Ｈジョウテンロマン, 72,菊沢隆, 0.3, 74,   0,   8,10, 70.2,⑤⑧⑦, 5, 8,Ｋショｰトロｰブス, 74,北村友, 0.3, 88,   2,* 21,10, 67.7,⑩⑩⑩
 6, 6,Ｊエイトシｰド, 51,池添謙, 2.0, 56,  -6,*  3,10, 48.0,⑬⑬⑧, 6, 2,Ｂジョｰアニマｰト, 74,荻野琢, 0.9, 62,  -7,   1, 6,  9.3, ⑨⑦, 6, 2,Ｆムｰンレスナイト, 76,藤田伸, 0.4, 71,   3,   2, 6, 13.9,⑤⑤④, 6, 4,Ｄコｰナｰストｰン, 82,蛯名正, 0.3, 84,   5,  15, 3,  6.1,⑤⑥⑤
 7,11,Ｋファンドリバトル, 46,荻野琢, 2.4, 53,  -2,  -9, 8, 43.1,⑦⑥⑤, 7,14,Ｆエムオｰヒｰロｰ, 62,横山典, 0.9, 63,  -7,   3, 3,  8.0, ⑩⑨, 7,12,Ｉクレバｰジェフリｰ, 72,的場勇, 0.4, 73,   2,   5,12,112.8,⑩⑥④, 7, 2,Ｅサダムアカイカゼ, 81,三浦皇, 0.4, 84,   4,  16, 8, 35.6,⑧⑧⑧
 8,10,Ｉクリノモンブラン, 54,大野拓, 3.1, 48,   0, -17, 4, 14.5,⑤④⑤, 8, 9,Ｎデュｰクレジェンド, 50,四位洋, 1.1, 60, -17,*  9,15, 98.7, ⑮⑭, 8, 5,Ｃアドマイヤダｰリン, 78,岩田康, 0.5, 71,   0,   5, 2,  4.8,⑤⑧⑩, 8, 5,Ｈトロフィｰディｰル, 80,藤田伸, 0.6, 79,   5,  11, 7, 33.7,⑦⑥⑤
 9, 4,Ｆメイショウカンスケ, 57,北村友, 3.2, 45,  -6,  -8,12, 96.0,⑩⑩⑫, 9, 1,Ｄトシアツキ, 64,北村浩, 1.1, 60,  -4,  -4, 4,  8.3, ⑤⑥, 9, 8,Ｎアサクササンジャ, 61,松田大, 0.6, 72,   0,   5,13,124.1,⑩⑧⑦, 9, 7,Ｊアルカライズ, 75,池添謙, 0.6, 79,   5,  12, 9, 62.8,⑨⑧⑧
10,12,Ｈチキリテンダリｰ, 55,長谷川, 3.6, 47,  -6, -11,13,272.1,⑫⑩⑫,10, 7,Ｊテｰブルフラワｰ, 57,秋山真, 1.5, 55,  -5,  -8, 9, 33.6, ⑤⑦,10, 1,Ｅクラウンプリンセス, 77,安藤勝, 0.6, 70,   3,   1, 1,  2.4,②⑥⑦,10,10,Ｂインベスタｰ, 87,岩田康, 0.9, 72,*  8,   1, 2,  5.6,②②②
