08年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂシルクブリッツ, 56,野元昭,, 60, -11,*  5, 3,  6.9, ⑦④, 1, 4, ミスティネｰル,---,太宰啓,, 68,*  4,  -3, 4,  6.7, ①①, 1,15,Ａマルカレガｰト, 66,武豊  ,, 72,  -1,* 10, 1,  2.8,⑤④③, 1, 8,Ｂニルヴァｰナ, 83,武豊  ,, 91,  -2,* 28, 1,  2.0,③③②
 2, 2,Ｄセイクリムズン, 47,浜中俊, 0.1, 59, -14,*  6, 2,  3.8, ⑨⑤, 2, 6, アスタｰロｰズ,---,角田晃, 0.3, 65,   0,  -2, 3,  6.5, ③②, 2,11,Ｍトムウィンズ, 48,岩崎祐, 0.0, 72,  -3,* 12,10, 69.2,⑧⑦⑤, 2, 9,Ｋピカレスクコｰト, 74,幸英明, 0.2, 87,*  0,  22, 5, 15.4,②②①
 3, 7,Ｅシゲルカサギヤマ, 47,中村将, 0.3, 56,* -6,  -4, 5, 12.0, ①①, 3, 7, エイシンフェアリｰ,---,吉田隼, 0.6, 60,*  1,  -8, 2,  5.1, ③④, 3, 5,Ｃマンボパｰトナｰ, 61,小牧太, 0.4, 67,  -2,   5, 4,  7.5,⑬⑦⑤, 3, 3,Ｉウイントリガｰ, 76,和田竜, 0.4, 88,  -5,* 28, 8, 30.4,⑦⑦⑤
 4,10,Ｌテイエムプレストン, 21,小牧太, 0.3, 55,* -9,  -1, 7, 34.5, ②②, 4,14, テイエムカルメン,---,小牧太, 1.3, 51,*  2, -18, 1,  2.5, ②②, 4,14,Ｄメイショウデイジｰ, 59,高橋亮, 0.5, 67,  -4,   8, 8, 24.2,⑩⑪⑩, 4, 5,Ｆトウカイルナ, 77,川島信, 0.5, 86,  -6,* 29, 3,  5.9,⑨⑨⑦
 5, 9,Ｈフサイチレジェンド, 41,上村洋, 0.3, 56,* -7,  -3,10, 50.3, ②②, 5, 5, ビバオｰケストラ,---,田中克, 1.4, 50,  -8,  -9, 9, 44.9, ⑧⑦, 5, 6,Ｊスナｰクマイハｰト, 54,和田竜, 0.5, 66,*  1,  -2, 3,  6.4,②①①, 5, 6,Ｈグロリアスウィｰク, 77,浜中俊, 0.5, 88,  -3,  25, 2,  4.7,⑤⑤⑤
 6, 1,Ｉナリタシリカ, 32,和田竜, 0.9, 49, -17,   0, 4,  9.8, ⑩⑩, 6, 1, エｰシンマシェリｰ,---,鮫島良, 1.5, 48, -15,  -4,16,120.2, ⑫⑩, 6, 9, ホウショウアマネ,---,鮫島良, 0.9, 64,  -6,   6,14, 92.6,⑯⑮⑬, 6,12,Ｄミュｰジックホｰク, 81,佐藤哲, 0.6, 77,*  4,   8,11, 71.7,①①②
 7, 5,Ｇエイシンマジック, 41,角田晃, 1.2, 45, -20,  -1, 9, 48.0, ⑪⑩, 7,10, スリｰロゼット,---,生野賢, 1.5, 48, -23,*  4,18,302.1, ⑭⑬, 7,13,Ｆベイビｰワンカフェ, 58,角田晃, 1.0, 60,  -2,  -5, 5,  9.5,⑧④③, 7, 1,Ｃメイショウカチドキ, 81,小牧太, 0.8, 79,  -2,  16, 7, 26.6,⑫③④
 8, 3,Ｆハｰドイチオｰ, 42,高野容, 1.2, 44, -10, -12, 8, 40.9, ④⑧, 8, 8, セレスタイフｰン,---,武豊  , 1.7, 46,  -7, -14, 5,  8.2, ⑦⑦, 8, 8,Ｉスズカスタイル, 54,田中健, 1.0, 59,*  0,  -7,11, 74.7,③②②, 8, 7,Ｅケンブリッジレｰザ, 80,安藤光, 0.9, 80,  -5,  21, 4, 10.0,⑤⑦⑦
 9, 6,Ｃサザンウィスパｰ, 52,安藤光, 1.4, 41, -10, -14, 6, 17.4, ④⑤, 9,11, ケイアイカグラ,---,安藤光, 1.8, 44,  -9, -14,13, 74.5, ⑧⑦, 9, 2,Ｌマサマロ, 49,浜中俊, 1.2, 61,*  1,  -8, 9, 59.4,①②⑤, 9,11,Ｊシゲルドントイケ, 75,角田晃, 1.0, 83,  -7,  25,10, 65.2,⑩⑪⑩
10,12,Ａガッチリガッチリ, 58,太宰啓, 1.7, 38, -12, -15, 1,  2.0, ⑦⑧,10,12, カバｰドブリッジ,---,和田竜, 1.8, 45, -13,  -9, 6, 17.7, ⑩⑩,10,10,Ｂシゲルエスペランサ, 61,中村将, 1.3, 58,  -3,  -4, 2,  4.0,⑭⑪⑩,10,10,Ｇワンモアチャッタｰ, 77,鮫島良, 1.0, 81,  -6,  22, 6, 16.3,⑦⑨⑩
11, 8,Ｊシゲルウラブダケ, 25,熊沢重, 2.1, 32, -10, -23,12,134.2, ④⑤,11,17, ウインドロｰザ,---,上村洋, 1.9, 43, -18,  -6,10, 56.6, ⑬⑬,11, 3,Ｇホｰリｰグレイル, 55,藤岡康, 1.9, 51,  -4, -11,15,128.0,⑩⑪⑬,11, 2,Ｌハッピｰトゥモロｰ, 73,吉田隼, 1.4, 75,  -6,  18,12,134.7,⑩⑪⑩
12,11,Ｋファンドリプライド, 23,幸英明, 2.5, 28, -24, -14,11,104.4, ⑫⑫,12, 9, コウユｰルｰジュ,---,熊沢重, 2.2, 40,   0, -27, 8, 43.0, ③⑤,12, 7,Ｎメイショウシｰカｰ, 44,幸英明, 2.1, 49,  -3, -18,13, 78.5,④⑦⑫,12, 4,Ａタガノデンジャラス, 84,高田潤, 1.5, 72,  -3,  11, 9, 33.0,④⑤⑦
,,,,,,,,,,,,13,13, ハナゴロモ,---,幸英明, 2.2, 39, -33,*  4,14, 78.7, ⑯⑯,13,16,Ｋスタンニング, 53,吉田隼, 2.9, 39,  -4, -26,12, 76.7,⑩⑪⑮,,,,,,,,,,,,
,,,,,,,,,,,,14, 3, シゲルアオバサン,---,中村将, 2.3, 39, -25,  -3,12, 68.2, ⑮⑮,14, 4, スイングホｰス,---,田中克, 5.1, 23,  -6, -53,16,130.0,⑭⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,15,16, フェナサイト,---,田嶋翔, 2.3, 38,   0, -28, 7, 35.9, ③⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,18, エテルノグロリア,---,浜中俊, 2.6, 35, -12, -21,15, 84.8, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 2, テイエムマｰメイド,---,田村太, 3.2, 25, -42,*  0,17,203.3, ⑱⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,15, マイネカリナン,---,石橋守, 3.6, 22, -37,  -8,11, 57.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
