08年 8月31日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月31日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1500m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,ｸﾛｰﾊﾞｰ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆパスピエ, 56,岩田康,, 64,*  9, -10, 7, 17.0,①①①, 1, 4, アドマイヤサムライ,---,安藤勝,, 62,* -7,*  5, 2,  4.4,②②②, 1, 7,Ｊメジロティモン, 65,岩田康,, 77,   4,* 14, 5, 11.0,⑫⑬⑨, 1, 3, モエレエキスパｰト,---,山口竜,, 74,  -8,* 14, 7, 19.3,⑧⑤③
 2, 6,Ｃクｰデグレイス, 60,横山典, 0.4, 57,   5, -11, 1,  3.3,⑥⑥④, 2, 3, マイネルプリマス,---,北村友, 0.1, 62,* -7,   2, 4,  7.9,①①①, 2, 2,Ｆセイウンロデム, 69,和田竜, 0.4, 74,*  9,   1, 9, 46.4,②②①, 2,11,Ｃマイネルエルフ, 61,松岡正, 0.2, 70,* -5,   7, 3,  4.6,③②②
 3, 7,Ａカネトシコウショウ, 62,秋山真, 0.4, 58,   6, -12, 5,  9.2,⑥④④, 3, 2, メジロスプレンダｰ,---,三浦皇, 0.4, 58,  -8,   2, 3,  4.5,⑤④④, 3, 3,Ｂチャリティショウ, 77,藤岡佑, 0.5, 74,*  9,   1, 2,  4.0,③③②, 3, 2, エイブルインレｰス,---,宮崎光, 0.2, 69,* -5,   6, 8, 21.2,③②③
 4,14,Ｉセイウンウィスパｰ, 50,勝浦正, 0.6, 56,   2,  -9,10, 32.2,⑪⑩⑧, 4, 1, イネオレオ,---,岩田康, 0.6, 54,  -9,  -1, 1,  2.2,③④④, 4, 4,Ｃマッシヴエンペラｰ, 76,芹沢純, 0.9, 70,   8,  -2, 1,  3.4,④③③, 4, 7,Ａアドマイヤランサム, 83,安藤勝, 0.5, 69, -10,* 11, 4,  7.1,⑥⑪⑧
 5, 1,Ｄガリアｰノ, 59,池添謙, 0.6, 55,   1,* -7, 6, 14.0,⑫⑫⑫, 5, 9, マイネルアリオン,---,松岡正, 1.0, 51, -10,  -5, 5, 16.3,⑥⑥④, 5,11,Ｅダノンインスパイア, 71,三浦皇, 0.9, 70,   6,   2, 4,  5.4,⑩⑪⑥, 5, 6,Ｈネコパンチ, 51,丸田恭, 0.6, 65,  -8,   5,10, 36.3,③⑤⑥
 6, 2,Ｋシルクメビウス, 47,和田竜, 0.7, 55,   5, -13, 8, 20.4,⑨⑧⑧, 6,11, ボｰカリスト,---,秋山真, 1.7, 44, -11, -10, 6, 20.8,⑦⑧⑦, 6, 6,Ｋシャイニングデイ, 64,藤田伸, 1.5, 66,   6,  -3, 8, 32.7,⑫⑪⑨, 6, 4,Ｂアイアンデュｰク, 66,横山典, 0.7, 66, -12,  10, 2,  3.9,⑪⑪⑪
 7,10,Ｍコスモピグマン, 43,丸田恭, 0.7, 53,  -2,* -4,13,109.7,⑫⑭⑭, 7, 8, アラｰムクロック,---,池添謙, 1.8, 41,* -7, -20,10, 53.2,③②③, 7, 5,Ａパンプアップ, 80,横山典, 1.7, 64,   8,  -6, 3,  4.0,⑤⑤⑤, 7, 5,Ｇアンプレショニスト, 57,藤岡佑, 0.8, 64, -10,   6, 9, 25.0,⑧⑧⑧
 8, 5,Ｎブレｰヴゴｰルド, 42,藤岡佑, 0.8, 53,   2, -12,11, 36.9,⑨⑩⑪, 8, 5, メイショウロッコｰ,---,幸英明, 2.1, 43, -17,  -5, 9, 40.6,⑪⑩⑩, 8, 9,Ｉエバｰアップワｰド, 67,荻野琢, 2.0, 65,   7, -10, 7, 24.9,⑦⑤⑥, 8,13,Ｄアロｰベアタキオン, 61,四位洋, 0.9, 61,  -8,   1, 1,  3.3,⑥⑤③
 9, 3,Ｅアイディンパワｰ, 58,藤田伸, 0.9, 52,   6, -18, 2,  4.5,④④④, 9, 7, ナンヨｰアウトロｰ,---,藤田伸, 2.3, 37, -11, -20, 7, 23.4,⑦⑦⑨, 9, 8,Ｄバイタリティｰ, 72,幸英明, 2.3, 60,   6, -10, 6, 19.7,⑪⑧⑨, 9, 1,Ｅメジロドリｰムス, 59,北村友, 1.0, 65, -13,   8, 5, 15.8,⑧⑬⑪
10,12,Ｈマキノワｰルド, 51,大野拓, 1.2, 49,   1, -14,14,110.1,⑫⑫⑫,10, 6, ビッグパマ,---,古川吉, 2.6, 36, -12, -21,11,109.4,⑨⑧⑦,10,10,Ｍコスモコマンダ, 63,池添謙, 2.5, 59,   6, -12,12, 93.3,⑦⑧⑥,10,10,Ｆキミニムチュウ, 57,藤田伸, 1.1, 56,* -3,  -8, 6, 18.1,①①①
11,11,Ｊメジロブラボｰ, 48,長谷川, 1.5, 47,   5, -24,12, 44.1,⑥⑧⑧,11,10, スプレンドｰレ,---,長谷川, 4.5, 18, -23, -26, 8, 35.8,⑩⑪⑪,11, 1,Ｌカシノウェｰブ, 63,大江原, 2.8, 57,*  9, -19,13,118.0,①①③,11, 8, フレンチマリｰ,---,幸英明, 1.4, 56,  -9,  -3,11, 41.2,⑫⑧⑧
12, 4,Ｌタイキジャガｰ, 45,松岡正, 1.7, 44,   5, -27, 9, 28.0,④⑥⑦,,,,,,,,,,,,,12,13,Ｈマイネルマルス, 67,山口竜, 3.3, 55,   7, -19,10, 67.8,⑨⑧⑨,12, 9, ネオヴェリｰベリｰ,---,五十嵐, 2.3, 43,* -5, -21,12, 61.6,②②⑦
13, 9,Ｂドレッシｰ, 60,安藤勝, 1.8, 43,*  7, -33, 3,  5.4,②②②,,,,,,,,,,,,,13,12,Ｇマルマツフライト, 68,北村友, 3.3, 52,   7, -21,11, 80.0,⑤⑤⑨,13,12, パｰプルマジック,---,佐々木, 2.4, 43,  -9, -16,13, 94.8,⑫⑧⑪
14,13,Ｇウインリｰズン, 55,三浦皇, 2.0, 41,*  7, -35, 4,  7.9,②②②,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,700円 複勝:08=490円 06=160円 07=270円 枠連:960円",,,,,,,,,,,,"単勝:440円 複勝:04=160円 03=190円 02=160円 枠連:1,700円",,,,,,,,,,,,"単勝:1,100円 複勝:07=290円 02=730円 03=150円 枠連:9,520円",,,,,,,,,,,,"単勝:1,930円 複勝:03=520円 11=210円 02=610円 枠連:3,570円",,,,,,,,,,,
"馬連:2,460円 ワイド:06-08=1,040円 07-08=1,690円 06-07=640円",,,,,,,,,,,,"馬連:1,660円 ワイド:03-04=440円 02-04=330円 02-03=470円",,,,,,,,,,,,"馬連:18,910円 ワイド:02-07=4,100円 03-07=830円 02-03=1,290円",,,,,,,,,,,,"馬連:5,060円 ワイド:03-11=1,950円 02-03=3,300円 02-11=1,920円",,,,,,,,,,,
"馬単:6,030円 3連複:6,070円 3連単:52,410円",,,,,,,,,,,,"馬単:2,900円 3連複:1,630円 3連単:8,650円",,,,,,,,,,,,"馬単:30,900円 3連複:20,050円 3連単:172,400円",,,,,,,,,,,,"馬単:11,980円 3連複:27,130円 3連単:223,700円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 8R  ダ1000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,知床特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄヴォイジャｰ, 62,丸田恭,, 64,   2,*  0, 4,  9.4, ④③, 1, 9,Ｈルナエクリプス, 59,松岡正,, 69,   3,*  3, 7, 16.2,⑥⑤④, 1, 1,Ｂリボンノキシ, 85,勝浦正,, 83,* 19,   2, 2,  5.5, ①①, 1,12,Ｊマイネルスタｰリｰ, 72,松岡正,, 82,* 14,  -2, 4, 11.4,③②②
 2, 1,Ｆコアレスカポｰテ, 56,池添謙, 0.5, 59,   2,  -4, 2,  4.6, ④⑤, 2, 5,Ｃアクトオンザタｰフ, 68,丸田恭, 0.6, 64,   0,*  2, 3,  9.1,⑪⑨⑤, 2, 2,Ａシャンパンマリｰ, 88,藤田伸, 0.1, 80,* 17,   2, 1,  1.7, ②②, 2,14,Ａファイブスタｰ, 80,池添謙, 0.4, 77,  12,  -3, 5, 11.5,⑥④④
 3, 2,Ｃバｰドダムｰル, 62,鈴来直, 0.6, 63,*  9,  -9, 3,  6.0, ①①, 3,12,Ｂジョｰキｰマン, 70,長谷川, 1.1, 63,*  4,  -8, 5, 11.9,④③②, 3, 4,Ｅヘッドライナｰ, 82,三浦皇, 0.2, 77,  14,   3, 6, 17.3, ③③, 3, 1,Ｅコンプトゥス, 76,岩田康, 0.5, 78,   6,*  8, 1,  2.9,⑫⑬⑩
 4, 3,Ａサルラ, 68,岩田康, 0.7, 56,  -1,  -4, 1,  1.9, ⑥⑤, 4, 1,Ｊアグネスエナジｰ, 58,三浦皇, 1.1, 58,*  5, -10, 2,  4.8,①①①, 4, 7,Ｆトップオブドｰラ, 81,安藤勝, 0.3, 73,   9,   6, 5, 14.4, ⑥⑤, 4, 3,Ｆギｰニョ, 75,藤岡佑, 0.5, 77,  13,  -6, 6, 11.6,③④④
 5, 9,Ｂテレパシｰ, 65,幸英明, 0.9, 58,*  5,  -9, 5, 10.6, ②②, 5, 8,Ｉラヴファントム, 58,五十嵐, 1.4, 59,  -2,*  0, 8, 44.7,⑬⑬⑪, 5, 5,Ｇポｰトラヴ, 80,幸英明, 0.3, 71,   5,*  8, 4, 12.4, ⑦⑦, 5, 8,Ｂアｰネストリｰ, 79,三浦皇, 0.5, 76,* 14, -11, 2,  4.7,②②①
 6, 4,Ｌショウグンエｰス, 34,勝浦正, 0.9, 53,  -5,* -3, 8, 60.3, ⑪⑪, 6,11,Ｋフィｰルドパシオン, 56,秋山真, 1.6, 58,  -1,  -4, 9, 58.7,⑪⑪⑫, 6, 6,Ｉウグイスジョウ, 76,荻野琢, 0.6, 69,   2,*  8, 9, 45.7, ⑨⑨, 6, 2,Ｃタガノヴァレオ, 78,秋山真, 0.5, 77,  11,  -3, 3,  6.9,⑥⑦⑥
 7,10,Ｅアスタｰヘイロｰ, 59,秋山真, 1.0, 53,  -3,  -5, 6, 14.7, ⑨⑨, 7, 6,Ａレオアヴァロン, 70,横山典, 1.7, 53,*  4, -14, 1,  1.8,③③③, 7,12,Ｈトレノトマト, 78,松田大, 0.6, 74,  13,   0, 7, 30.2, ⑤⑤, 7, 5,Ｄショウナンライジン, 77,藤田伸, 0.8, 75,   8,*  2, 7, 12.3,⑫⑪⑦
 8, 7,Ｉロングプルミエｰル, 50,河北通, 1.0, 58,*  6, -11,11,176.9, ②④, 8, 7,Ｅアドマイヤシック, 63,岩田康, 1.7, 56,   0,  -7, 6, 16.2,⑦⑨⑧, 8, 3,Ｋテイエムカイブツ, 68,芹沢純, 0.7, 67,   2,*  7,12,246.9, ⑨⑨, 8,16,Ｉキングバｰド, 72,菊沢隆, 1.0, 72,  10,  -7,11, 55.6,⑧⑧⑦
 9,11,Ｈマルブツティンバｰ, 51,的場勇, 1.6, 47,   0, -13,10,150.4, ⑥⑤, 9, 2,Ｆメジロトランプ, 61,的場勇, 1.9, 55,   1, -11,11, 60.4,⑦⑧⑧, 9,11,Ｄウエスタンダンサｰ, 82,岩田康, 0.8, 71,  14,  -2, 3,  6.6, ③③, 9, 6,Ｈロックバルｰン, 73,安藤勝, 1.6, 68,   6,  -5, 9, 19.4,⑭⑭⑫
10,12,Ｇブライダルブｰケ, 54,三浦皇, 1.8, 44,  -1, -14, 7, 31.1, ⑥⑤,10, 3,Ｄエクレウス, 66,北村友, 2.5, 48,  -1, -12,12, 71.5,⑩⑪⑫,10,10,Ｊキｰレタｰ, 72,長谷川, 0.9, 66,   2,   5,11, 91.3, ⑨⑨,10,10,Ｐテイエムモモタロｰ, 59,長谷川, 1.7, 66,  12, -21,15,133.3,③④⑦
11, 6,Ｋスｰパｰセイバｰ, 41,荻野琢, 2.0, 43,  -4, -14,12,206.5, ⑨⑨,11,10,Ｌシンボリバスティア, 55,藤田伸, 2.7, 48,   2, -20,10, 60.2,⑦⑦⑥,11, 8,Ｃビｰチブリｰズ, 84,松岡正, 1.0, 65,   5,   2, 8, 31.9, ⑦⑧,11, 7,Ｍデルマアン, 65,的場勇, 1.7, 65,   9, -15,16,142.9,⑪⑨⑩
12, 8,Ｊヤマニングラッセ, 44,松田大, 2.3, 40, -20,  -7, 9,106.5, ⑫⑫,12,13,Ｍハナヤッコ, 54,幸英明, 3.7, 41,*  4, -31,13,155.6,②②⑥,12, 9,Ｌギンゲイ, 63,丸田恭, 1.2, 61,   2,   2,10, 76.1, ⑨⑫,12,13,Ｋアドマイヤビアン, 68,芹沢純, 1.8, 68,   5,  -4,12, 77.2,⑭⑮⑬
,,,,,,,,,,,,13, 4,Ｇシｰキングオアシス, 59,荻野琢, 3.8, 44,   3, -30, 4, 11.6,④⑤⑧,,,,,,,,,,,,,13,11,Ｎショウナンサヴァン, 61,幸英明, 1.8, 65,* 17, -34,10, 33.1,①①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｏマルタｰズストｰム, 60,松田大, 2.0, 65,   8, -16,13,119.0,⑩⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｌマチカネエベッサン, 66,四位洋, 2.3, 61,   9, -21,14,120.3,⑨⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,
"単勝:940円 複勝:05=400円 01=250円 02=280円 枠連:4,270円",,,,,,,,,,,,"単勝:1,620円 複勝:09=340円 05=270円 12=240円 枠連:2,650円",,,,,,,,,,,,単勝:550円 複勝:01=140円 02=120円 04=240円 枠連:430円,,,,,,,,,,,,"単勝:1,140円 複勝:12=370円 14=290円 01=150円 枠連:3,650円",,,,,,,,,,,
"馬連:3,890円 ワイド:01-05=740円 02-05=1,000円 01-02=390円",,,,,,,,,,,,"馬連:3,860円 ワイド:05-09=890円 09-12=970円 05-12=740円",,,,,,,,,,,,馬連:410円 ワイド:01-02=180円 01-04=570円 02-04=420円,,,,,,,,,,,,"馬連:5,760円 ワイド:12-14=1,980円 01-12=840円 01-14=820円",,,,,,,,,,,
"馬単:7,490円 3連複:5,620円 3連単:47,440円",,,,,,,,,,,,"馬単:9,110円 3連複:6,470円 3連単:41,730円",,,,,,,,,,,,"馬単:1,270円 3連複:1,100円 3連単:6,590円",,,,,,,,,,,,"馬単:12,300円 3連複:7,210円 3連単:53,750円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｷｰﾝﾗﾝﾄﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,,,札幌ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｊマイネランデブｰ, 47,藤田伸,, 64,*  2,  -1, 2,  4.7,②②①, 1, 7,Ａリンリンリン, 85,横山典,, 77,* 13,   5, 1,  2.0, ①①, 1, 5,Ｌタニノマティｰニ, 82,秋山真,, 95,   8,* 22,16,161.4, ④④, 1, 6,Ａオネストジョン, 86,藤田伸,, 79,*  2,   9, 2,  4.1, ③③
