08年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,富良野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａシェｰンヴァルト, 62,北村友,, 65,   3,*  5, 2,  3.4,⑥⑤④, 1, 1, プリンセスパトラ,---,古川吉,, 57,*-12,   2, 4, 11.3, ①①, 1, 8,Ａグレイスサンセット, 83,横山典,, 70,*  5,   6, 1,  2.7, ①①, 1, 7,Ｄマｰムｰドイモン, 77,小原義,, 79,   2,* 14, 5,  9.7,⑦⑦③
 2, 5,Ｇヒカルプリンス, 49,横山典, 0.2, 60,   5,  -1, 6, 16.0,②③③, 2, 5, イイデエｰス,---,藤田伸, 0.0, 57, -16,*  5, 1,  1.6, ③②, 2,11,Ｃヴィヴァｰチェ, 71,岩田康, 0.1, 69,  -3,* 11, 2,  3.0, ⑥⑥, 2, 3,Ｃナリタキングパワｰ, 77,岩田康, 0.3, 73,   1,*  8, 3,  8.4,④⑤⑤
 3, 1,Ｂダンツフロント, 59,藤岡佑, 0.5, 58,   3,  -1, 4,  7.5,④⑤⑥, 3, 3, ブラストアｰト,---,藤岡佑, 1.0, 44, -22,  -2, 2,  4.2, ⑤⑤, 3, 5,Ｂエビスオｰル, 73,三浦皇, 0.1, 69,*  4,   6, 3,  4.1, ②②, 3,14,Ｊウォｰタｰボｰイズ, 67,横山典, 0.4, 68,*  5,  -7, 9, 20.4,②②②
 4,12,Ｃウインスカイハイ, 57,岩田康, 0.8, 55,  -2,*  5, 3,  5.4,⑪⑪⑪, 4, 6, ジョｰイリス,---,荻野琢, 1.1, 42, -18,  -7, 3,  4.8, ④④, 4, 6,Ｆフヨウ, 61,津村明, 0.4, 67,*  4,   4, 5, 15.5, ②③, 4, 9,Ｍメルシｰゴｰルド, 62,三浦皇, 0.4, 72,   3,   1,10, 59.6,③③③
 5, 7,Ｆハイドランジア, 51,松田大, 0.9, 51,* 18, -39, 7, 36.7,①①①, 5, 4, メイプルマキシマム,---,小林久, 1.1, 42,*-14, -11, 6, 27.3, ②②, 5,12,Ｋモエレフェミニン, 51,大野拓, 0.7, 63,  -7,*  8,10, 71.8, ⑧⑦, 5, 8,Ｅマイネルロｰゼン, 73,藤岡佑, 0.5, 68,*  5,  -9, 4,  9.2,①①①
 6, 2,Ｅメジロデュｰチン, 53,菊沢隆, 1.0, 54,   1,  -2,11,189.0,⑨⑩⑨, 6, 2, ラブモｰニング,---,郷原洋, 5.2,-11, -21, -56, 5, 19.9, ⑤⑥, 6, 2,Ｄチャｰムキャップ, 70,藤田伸, 0.7, 64,   2,   3, 4, 10.1, ④③, 6, 5,Ｆマイネルメロス, 73,津村明, 0.6, 73,   0,   7, 8, 19.8,⑦⑧⑧
 7,10,Ｊキングパレｰド, 45,池添謙, 1.0, 51,   7, -16, 8, 43.5,②②②,,,,,,,,,,,,, 7, 7,Ｉテンエイヤシャヒメ, 56,武幸四, 1.5, 53, -13,   4, 6, 28.4, ⑩⑨, 7,10,Ａピエナグッドラック, 81,藤田伸, 0.7, 70,   2,   3, 1,  2.4,⑥⑤⑤
 8,11,Ｄロイヤルクリッパｰ, 53,三浦皇, 1.0, 52,   6, -14, 1,  2.4,④③④,,,,,,,,,,,,, 8, 4,Ｈウエストワｰド, 57,荻野琢, 1.5, 56,  -4,  -1,11, 78.6, ⑥⑦, 8, 4,Ｌショウサンマグナ, 65,大野拓, 0.9, 69,   2,  -2,13,134.1,④④⑤
 9, 4,Ｉセイカプレスト, 45,古川吉, 1.8, 46,   1, -15,10, 76.4,⑦⑦⑦,,,,,,,,,,,,, 9,10,Ｊフミノオリヒメ, 55,長谷川, 1.7, 55,   1,  -7, 8, 43.9, ④⑤, 9,11,Ｋユメキコウ, 67,芹沢純, 1.0, 70,   1,   4,11, 97.5,⑩⑪⑫
10, 3,Ｈメイショウノフウゾ, 48,小島太, 2.0, 43,   0, -18, 9, 58.3,⑦⑦⑦,,,,,,,,,,,,,10, 1,Ｅレイザストレングス, 65,藤岡佑, 1.8, 52, -14,   3, 7, 30.4, ⑫⑩,10, 6,Ｇニシノレイチェル, 70,長谷川, 1.2, 68,   0,   1, 7, 12.7,⑫⑪⑨
11, 6,Ｋフィｰリングトｰン, 43,安藤勝, 2.4, 38,   1, -24, 5, 15.4,⑨⑦⑨,,,,,,,,,,,,,11, 9,Ｌマイプライド, 32,北村浩, 2.4, 47, -11,  -3,12,186.4, ⑩⑩,11,13,Ｂマイネソシオ, 77,北村友, 1.3, 67,   1,  -3, 6, 11.3,⑨⑧⑨
12, 9,Ｌコアレスフラッシュ, 23,郷原洋, 9.0,-34, -16, -83,12,237.9,⑫⑫⑫,,,,,,,,,,,,,12, 3,Ｇプリンセスデザイア, 59,池添謙, 2.4, 45,  -9,  -6, 9, 66.2, ⑧⑩,12,12,Ｈスズカゲイル, 69,安藤勝, 1.4, 66,   1,  -2, 2,  5.3,⑩⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｉセンノカゼ, 68,武英智, 2.0, 61,  -1,  -6,12,128.6,⑭⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｎブルｰゲッタウェイ, 41,丸田恭, 2.1, 60,  -1,  -7,14,180.1,⑬⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
単勝:340円 複勝:08=160円 05=330円 01=220円 枠連:880円,,,,,,,,,,,,"単勝:1,130円 複勝:01=250円 05=110円 枠連:0円",,,,,,,,,,,,単勝:270円 複勝:08=110円 11=120円 05=130円 枠連:320円,,,,,,,,,,,,"単勝:970円 複勝:07=270円 03=300円 14=710円 枠連:1,510円",,,,,,,,,,,
"馬連:2,170円 ワイド:05-08=760円 01-08=630円 01-05=870円",,,,,,,,,,,,馬連:880円 ワイド:01-05=250円 01-03=390円 03-05=150円,,,,,,,,,,,,馬連:360円 ワイド:08-11=180円 05-08=260円 05-11=290円,,,,,,,,,,,,"馬連:2,680円 ワイド:03-07=960円 07-14=4,420円 03-14=3,140円",,,,,,,,,,,
"馬単:2,720円 3連複:4,460円 3連単:22,060円",,,,,,,,,,,,"馬単:2,660円 3連複:560円 3連単:7,170円",,,,,,,,,,,,"馬単:730円 3連複:510円 3連単:2,040円",,,,,,,,,,,,"馬単:6,380円 3連複:28,750円 3連単:163,600円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,層雲峡特別,,,,,,,,,,
