08年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,ﾆｾｺ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃミラクルセッション, 59,安藤勝,, 51,  -1,* -9, 1,  2.2,⑩⑦⑦, 1, 4, スズカワグナｰ,---,安藤勝,, 69,*  2,*  1, 1,  2.3,①①①, 1, 6,Ｌリュクス, 50,青木芳,, 73,*  2,*  4, 6, 19.7, ②②, 1, 6,Ｆホウショウリヴ, 68,武幸四,, 74,*  7,   3, 4,  8.3, ①①
 2, 6,Ｂディアテクノバトル, 59,丸田恭, 0.0, 52,   0,*-10, 4,  8.3,⑥⑦⑦, 2, 5, ナパ,---,藤田伸, 0.3, 67,   1,*  1, 3,  4.5,③③②, 2, 4,Ｎロイヤルパｰム, 37,大野拓, 0.4, 68,  -3,*  4,14,129.3, ⑨⑨, 2, 2,Ｅセンザイイチグウ, 69,秋山真, 0.4, 69,  -2,*  7, 5, 10.7, ⑧⑧
 3, 3,Ａオｰゴンシャトル, 62,長谷川, 0.1, 53,   0, -11, 2,  3.4,⑫⑦④, 3, 3, マイネルアヴァル,---,津村明, 0.5, 65,   1,  -2, 5, 17.0,⑤③②, 3, 1,Ｂカワキタライジン, 66,津村明, 0.6, 66,   0,  -1, 1,  2.1, ④③, 3,13,Ｃフリｰダムエアｰ, 70,藤田伸, 0.5, 67,   2,   2, 1,  2.8, ⑤④
 4, 5,Ｅティルナノｰグ, 51,津村明, 0.5, 49,   2, -16, 8, 50.0,④④④, 4, 2, マイネルエデン,---,三浦皇, 0.7, 63,  -2,  -1, 4, 13.9,⑤⑤⑤, 4, 9,Ｃスリｰタキオン, 65,武英智, 0.7, 64,  -4,   2, 3,  6.8, ⑪⑪, 4,16,Ａスコルピオンキッス, 74,横山典, 0.5, 67,  -2,*  6, 3,  6.9, ⑧⑧
 5, 4,Ｊカントリｰドｰタｰ, 34,宮崎光, 0.6, 48,*  2, -18,10, 62.5,③③②, 5, 9, ハｰトオブウインク,---,宮崎光, 1.7, 54,  -3, -10, 7, 21.6,⑦⑧⑥, 5, 5,Ｄニシノイノｰマス, 65,藤田伸, 0.7, 64,  -6,*  3, 2,  4.9, ⑬⑪, 5, 9,Ｂキングスベリｰ, 73,三浦皇, 0.6, 67,   4,  -1, 2,  3.7, ③②
 6, 2,Ｉエフロレス, 43,武幸四, 0.8, 47,  -3, -11, 9, 60.9,⑩⑬⑫, 6, 6, タマモユニヴァｰス,---,秋山真, 2.0, 48,*  2, -26, 2,  3.4,②②②, 6,12,Ｅアイラシンガｰ, 61,三浦皇, 1.0, 60,*  1,  -7, 4,  9.3, ②③, 6,11,Ｊバンブｰエルトリ, 64,宮崎光, 0.8, 64,  -3,   3, 9, 29.4, ⑩⑩
 7, 1,Ｆシルクユｰロスタｰ, 50,池添謙, 1.8, 39,*  3, -30, 5, 20.2,②②②, 7, 8, ピエナファンタスト,---,武幸四, 3.0, 40,  -2, -32, 6, 21.2,⑨⑤⑧, 7,11,Ａフクノブリング, 68,菊沢隆, 1.1, 59,  -1,  -6, 8, 28.5, ⑥⑥, 7, 3,Ｎイｰサンラヴ, 56,古川吉, 0.8, 64,   0,   1, 7, 27.8, ⑦⑥
 8, 7,Ｄモアザンスマｰト, 56,三浦皇, 1.9, 37,*  3, -31, 3,  5.7,①①①, 8, 7, レッドハイヒｰル,---,大野拓, 3.3, 38,  -2, -37, 9, 40.7,③⑤⑥, 8,16,Ｆロスアンゼルス, 58,丸田恭, 1.1, 59,   0,  -7, 7, 25.7, ④③, 8, 1,Ｍタキオンシチｰ, 62,北村友, 0.9, 63,   2,  -3,12, 69.4, ⑤⑥
 9, 8,Ｈミスアサｰト, 47,荻野琢, 1.9, 42,  -2, -22,11, 63.2,⑧⑩⑩, 9, 1, ホクトスワン,---,横山典, 5.4, 21,  -9, -53, 8, 21.8,⑦⑨⑨, 9, 8,Ｉノｰススピリッツ, 52,横山典, 1.1, 59,*  3, -10, 9, 30.5, ①①, 9,10,Ｄマイティｰボタン, 69,梶晃啓, 0.9, 62,*  6,  -7, 8, 28.4, ②②
