08年 9月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃアルｰリングムｰン, 56,太宰啓,, 67, -11,* 16, 2,  4.0, ⑤④, 1, 5, カネトシコンジョオ,---,太宰啓,, 60, -16,*  8, 1,  2.0, ②②, 1,15,Ｂエリモラフィｰネ, 67,川田将,, 68, -12,* 12, 3,  7.1, ⑦④, 1,16,Ｇデグラｰティア, 61,浜中俊,, 72,   3,   0, 3,  7.5, ⑤⑥
 2, 7,Ａトップカミング, 65,幸英明, 0.0, 66,* -8,* 12, 1,  1.6, ②②, 2, 7, エルチョコレｰト,---,幸英明, 0.7, 51,*-14,  -2, 2,  3.7, ②②, 2,18,Ａアグネスシャイン, 71,武豊  , 0.3, 64,* -6,   3, 1,  1.5, ②②, 2, 2,Ｆコウエイハｰト, 61,川田将, 0.2, 68,   3,  -2, 8, 53.8, ⑤③
 3, 3,Ｄエリモイズトゥルｰ, 53,佐藤哲, 0.8, 54,* -6,   0, 4, 11.9, ①①, 3, 4, シゲルイコマヤマ,---,川島信, 0.9, 46, -17,  -2, 5, 15.7, ⑤④, 3,10,Ｉウォｰタｰルフラン, 56,酒井学, 0.3, 65, -14,* 11, 5, 21.7, ⑪⑦, 3, 1,Ａツルマルジャパン, 75,武豊  , 0.2, 71,* 10,  -9, 1,  1.6, ①①
 4, 9,Ｉピｰスピｰス, 35,飯田祐, 0.9, 53, -12,   4, 9,171.2, ⑤⑦, 4, 3, クリノビャクダン,---,小牧太, 1.0, 46, -18,  -2, 3,  4.9, ⑥④, 4, 6,Ｈファサｰド, 57,和田竜, 0.5, 62, -16,*  9, 2,  5.5, ⑪⑩, 4, 4,Ｃシルクナデシコ, 62,小牧太, 0.3, 66,  -3,*  4, 5, 13.7, ⑫⑪
 5, 1,Ｆエリモフリｰダム, 52,川島信, 1.1, 50, -12,   2, 7, 31.7, ⑤②, 5, 2, レｰネマッティｰナ,---,高橋亮, 1.3, 43, -19,  -4, 6, 17.3, ⑥④, 5, 5,Ｆユウキアックン, 57,橋本美, 0.5, 61,* -4,  -2, 6, 31.0, ①①, 5, 6,Ｂワンカラット, 70,藤岡康, 0.4, 67,*  8, -10, 4, 11.6, ②②
 6, 5,Ｇスリｰロゼット, 50,川田将, 1.3, 48, -17,   4, 8, 58.4, ⑧⑧, 6, 6, ミラクルフェイマス,---,浜中俊, 1.7, 39,*-14, -15, 4,  8.5, ①①, 6, 3,Ｏファンドリキセキ, 43,幸英明, 0.8, 58, -10,   0,12,108.5, ⑥④, 6,13,Ｈノアウイニング, 60,角田晃, 0.5, 65,   3,  -6, 7, 31.5, ⑤③
 7, 8,Ｈカシノヘラクレス, 47,小坂忠, 1.3, 48,  -9,  -4, 6, 23.7, ③④, 7, 1, カシノロｰズ,---,野元昭, 1.7, 38, -15, -13, 7, 28.7, ②④, 7, 4,Ｊユウフジ, 53,角田晃, 0.9, 57,* -6,  -5, 8, 68.7, ②③, 7,14,Ｍレディルｰジュ, 55,鮫島良, 0.5, 61, -12,*  8,15,108.3, ⑯⑯
 8, 6,Ｂクリノオンビｰト, 59,小牧太, 2.3, 35,  -9, -16, 3,  7.4, ③⑥,,,,,,,,,,,,, 8, 2,Ｇエｰティｰダビンチ, 57,川島信, 1.0, 54,  -9,  -3, 4, 21.3, ④⑥, 8,15,Ｊマルカゼウス, 58,幸英明, 0.6, 61,  -4,  -1,10, 59.3, ⑫⑨
 9, 2,Ｅフサイチレジェンド, 53,上村洋, 4.2, 11, -21, -29, 5, 19.7, ⑨⑨,,,,,,,,,,,,, 9, 9,Ｄホクザンヴィアンド, 60,安藤光, 1.0, 55, -11,  -1, 7, 31.3, ⑦⑦, 9,12,Ｄヒットヒットヒット, 62,飯田祐, 0.6, 61,  -5,   1,13, 88.5, ⑭⑭
