08年 9月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾚｲﾝﾎﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａマイネルプライゼン, 59,柴山雄,, 51, -10,* -6, 1,  1.5, ⑤⑤, 1, 3, ケイアイライジン,---,内田博,, 57, -26,* 13, 1,  1.5,⑤③⑤, 1,11,Ｂベルモントルパン, 76,内田博,, 78,   4,* 13, 1,  2.4,⑦⑦⑥, 1,11,Ｄオペラブラｰボ, 82,蛯名正,, 91,   0,* 21, 4,  6.3,⑧⑦③
 2, 6,Ｆハッシャバイ, 35,後藤浩, 0.2, 49,* -5, -12, 6, 29.0, ①①, 2, 2, マジックシアタｰ,---,蛯名正, 0.1, 55, -25,  11, 2,  4.2,③③②, 2, 7,Ｅコスモザガリア, 69,松岡正, 0.4, 72,*  8,  -3, 4,  7.7,①①①, 2,14,Ｂファストロック, 86,内田博, 0.3, 80,*  2,   8, 1,  3.1,②②①
 3,11,Ｈサマｰソニック, 30,三浦皇, 0.6, 44,* -8, -15, 4, 16.7, ②③, 3, 8, アルストリスタン,---,三浦皇, 0.3, 51,*-24,   6, 3,  7.0,②②②, 3, 4,Ｄショウナンアルス, 70,吉田豊, 0.4, 73,   5,   2, 5,  9.2,④④②, 3, 3,Ｇソリッドスライダｰ, 78,藤田伸, 0.5, 80,*  1,   9,10, 41.6,④④⑤
 4, 8,Ｄポｰルドブラ, 42,宮崎北, 0.7, 43,* -8, -16, 9,125.1, ②②, 4, 5, ドリｰムスナイパｰ,---,千葉直, 1.0, 48, -31,   9, 4, 14.9,⑧⑦⑧, 4, 3,Ａマルタカシャトル, 78,大庭和, 0.6, 69,   3,   3, 2,  4.8,⑦⑦⑥, 4, 4,Ａメイショウレガｰロ, 88,横山典, 0.5, 80,*  1,   9, 2,  3.4,②④⑤
 5, 5,Ｃコスモクラッベ, 43,松岡正, 0.8, 41,* -8, -18, 3, 11.8, ②③, 5, 4, サジタリウス,---,村田一, 1.0, 42,*-24,  -4, 8, 50.9,①①①, 5, 6,Ｈステルスソニック, 65,蛯名正, 0.8, 69,   5,  -3, 3,  5.1,④⑤④, 5, 1,Ｌトｰセンシャナオｰ, 78,村田一, 0.6, 83,   0,  12, 9, 35.9,⑥⑦⑦
 6, 4,Ｉフリｰソウル, 29,大庭和, 0.8, 39, -15, -11, 8, 62.6, ⑧⑨, 6, 7, ビュｰティファイン,---,吉田隼, 1.3, 39, -27,  -2, 5, 15.5,③⑤④, 6,12,Ｃトｰセンバサラ, 72,藤田伸, 1.2, 66,   0,   4, 6, 22.5,⑩⑪⑩, 6, 9,Ｃシゲルタック, 85,田中勝, 0.6, 83,  -2,  13, 3,  5.5,⑫⑩⑦
 7, 1,Ｂヴェリｰハｰド, 50,内田博, 0.8, 40, -11, -15, 2,  3.2, ⑤⑥, 7, 6, キングオブザカラｰ,---,江田照, 1.9, 34, -31,  -4, 6, 31.4,⑥⑦⑦, 7, 1,Ｉミヤコノカｰン, 62,木幡初, 1.5, 63,   2,  -6, 7, 23.6,⑩⑨⑨, 7,13,Ｊダイイチアトム, 78,松岡正, 0.7, 77,*  1,   5, 8, 30.5,④③③
 8,12,Ｊマイネサブリナ, 25,吉田隼, 1.0, 38, -11, -18, 5, 25.1, ⑤⑦, 8, 1, スナｰクウェｰブ,---,吉田豊, 2.8, 21, -27, -22, 7, 49.7,⑥⑤⑤, 8,13,Ｆトｰセンスウィング, 69,西田雄, 1.7, 58,*  6, -20, 8, 28.6,②②②, 8, 2,Ｉドリｰムパｰトナｰ, 78,木幡初, 0.8, 81,  -2,  12,11,102.6,⑩⑪⑫
 9, 2,Ｅドゥミポワント, 35,田中博, 1.2, 35, -22, -10, 7, 42.0, ⑩⑩,,,,,,,,,,,,, 9, 9,Ｊドンラミロ, 61,北村宏, 1.7, 60,   1,  -7, 9, 39.2,⑨⑩⑩, 9, 5,Ｋカゼノコウテイ, 78,柴田善, 0.9, 80,  -1,  11, 7, 28.5,⑩⑪⑪
10, 7,Ｇオｰスチンエブリン, 33,高山太, 1.2, 35, -18, -14,12,223.0, ⑨⑦,,,,,,,,,,,,,10, 2,Ｍロｰドフリｰダム, 52,千葉直, 1.9, 59,  -2,  -2,12,129.6,⑫⑫⑫,10, 6,Ｆコスモスペシャリｰ, 80,三浦皇, 1.0, 73,*  3,  -2, 6, 14.2,①①②
11,10,Ｋカシノノｰマｰシｰ, 13,伊藤工, 1.4, 32, -22, -12,11,204.6, ⑩⑪,,,,,,,,,,,,,11,10,Ｋオリヒメチャｰム, 59,三浦皇, 2.1, 55,   5, -21,10, 53.5,④⑤⑥,11, 8,Ｎワンダｰドリｰム, 68,吉田隼, 1.2, 73,   0,   4,14,200.1,⑧⑦⑦
12, 3,Ｌアドバンスベイブ, -2,江田照, 1.5, 32, -27,* -8,10,181.5, ⑫⑪,,,,,,,,,,,,,12, 8,Ｌトｰセンペガサス, 54,村田一, 2.5, 53,*  7, -30,11, 59.2,②②④,12, 7,Ｈユウタｰジャック, 78,武士沢, 1.2, 77,  -4,  12,13,116.7,⑬⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｎコｰリンスピアｰズ, 45,佐藤聖, 3.8, 41,  -5, -24,13,190.8,⑬⑬⑬,13,12,Ｅアップルサイダｰ, 81,柴山雄, 1.3, 70,   0,  -1, 5, 13.9,⑥⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｍエｰルスタンス, 72,田中博, 1.4, 78,  -6,  13,12,112.6,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,
単勝:150円 複勝:09=110円 06=390円 11=310円 枠連:540円,,,,,,,,,,,,単勝:150円 複勝:03=100円 02=120円 08=150円 枠連:0円,,,,,,,,,,,,単勝:240円 複勝:11=130円 07=190円 04=200円 枠連:700円,,,,,,,,,,,,単勝:630円 複勝:11=200円 14=140円 03=760円 枠連:590円,,,,,,,,,,,
"馬連:1,700円 ワイド:06-09=630円 09-11=460円 06-11=1,940円",,,,,,,,,,,,馬連:190円 ワイド:02-03=130円 03-08=190円 02-08=280円,,,,,,,,,,,,馬連:790円 ワイド:07-11=390円 04-11=430円 04-07=710円,,,,,,,,,,,,"馬連:1,000円 ワイド:11-14=470円 03-11=3,260円 03-14=1,830円",,,,,,,,,,,
"馬単:2,030円 3連複:4,210円 3連単:15,520円",,,,,,,,,,,,馬単:280円 3連複:350円 3連単:750円,,,,,,,,,,,,"馬単:1,340円 3連複:1,720円 3連単:6,370円",,,,,,,,,,,,"馬単:2,510円 3連複:11,870円 3連単:54,970円",,,,,,,,,,,
