08年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄピｰスピｰス, 52,飯田祐,, 68,   2,*  2, 7, 30.7, ⑥⑥, 1, 7, ハロｰスカｰレット,---,武豊  ,, 45,  -2, -23, 1,  1.9, ③②, 1, 6,Ａラフィナｰル, 81,武豊  ,, 84,  12,*  4, 1,  2.9, ⑦⑦, 1, 6,Ｅシゲルフセルト, 79,川島信,, 83,*  3,  10, 4,  6.1, ⑤③
 2, 5,Ｂアディアフォｰン, 53,武豊  , 0.1, 67,*  6,  -6, 1,  1.5, ②①, 2, 6, リアルキサラ,---,藤岡康, 0.1, 44,  -3, -22, 8, 60.7, ⑤④, 2,11,Ｄベルフリｰ, 73,佐藤哲, 0.7, 77,   7,*  2, 6, 11.8, ⑩⑩, 2, 7,Ｃエリモファイナル, 81,川田将, 0.0, 83,*  3,  10, 6, 22.7, ②③
 3, 7,Ｅアスカノヨアケ, 51,小牧太, 0.6, 60,  -2,* -2, 4, 11.1, ⑨⑨, 3, 8, コウエイテンプウ,---,浜中俊, 0.2, 43,  -8, -18, 4,  9.3, ⑧⑧, 3,12,Ｉタッチオブレインズ, 65,幸英明, 0.9, 74,  13, -14, 4,  7.5, ④③, 3, 4,Ａツアｰデフォｰス, 82,福永祐, 0.0, 82,*  5,   5, 2,  4.0, ①①
 4, 4,Ｃシゲルカサギヤマ, 53,角田晃, 0.8, 58,   4, -13, 5, 11.8, ⑤③, 4, 1, ニチドウダイヤ,---,田嶋翔, 0.2, 44,*  1, -28, 6, 18.4, ①①, 4, 5,Ｇエイシンシテンノｰ, 70,福永祐, 0.9, 72,* 16, -20, 3,  6.6, ①②, 4, 2,Ｄトウカイルナ, 81,武豊  , 0.0, 85,   2,* 11, 3,  4.5, ⑥⑤
 5, 9,Ｆクｰルヴァンクル, 49,和田竜, 1.2, 56,*  6, -19, 6, 15.1, ③③, 5, 4, デンコウテンパイ,---,池添謙, 0.3, 42,  -2, -27, 3,  8.5, ④④, 5, 3,Ｃフェルヴィｰド, 74,岩田康, 1.0, 72,   9,  -6, 5,  8.5, ⑧⑧, 5, 1,Ｂランペイア, 82,鮫島良, 0.2, 85,   0,* 13, 1,  2.8, ⑩⑨
 6,10,Ｈタガノバッチグｰ, 46,橋本美, 1.3, 52,   1, -14, 3, 10.6, ⑧⑦, 6,10, チキリムｰディｰ,---,幸英明, 0.6, 39, -18,*-10, 9,118.6, ⑩⑨, 6, 7,Ｅトミケンプライム, 72,浜中俊, 1.1, 76,   9,  -6, 2,  3.7, ⑧⑧, 6, 3,Ｋロックスピリッツ, 74,佐藤哲, 0.3, 81,   2,   8, 8, 37.8, ⑧⑥
 7,12,Ｊゼットオｰジ, 35,幸英明, 1.3, 52,  -2, -10,11,204.0, ⑩⑨, 7, 2, メメミルキッシュ,---,上村洋, 0.9, 37,  -3, -32, 7, 23.2, ⑤⑥, 7, 8,Ｈゴｰルデンガッツ, 70,田村太, 1.2, 71,   6,  -4, 7, 22.8, ⑫⑫, 7, 8,Ｉダンスオｰルナイト, 75,幸英明, 0.4, 82,   0,  10, 5,  9.7, ⑧⑨
 8,11,Ｉレｰネマッティｰナ, 43,高橋亮, 1.4, 51,  -4,  -9,12,231.3, ⑫⑫, 8, 9, ラッキｰパズル,---,佐藤哲, 0.9, 35, -14, -18,10,119.1, ⑨⑨, 8, 2,Ｊタニノブロンクス, 62,酒井学, 1.2, 70,  12, -15,11, 69.1, ④⑥, 8,11,Ｆマヤノスタｰダム, 79,浜中俊, 0.7, 78,   0,   4,11,107.3, ⑥⑥
 9, 1,Ａビバエルフ, 60,福永祐, 2.1, 43,  -2, -20, 2,  6.7, ⑩⑪, 9, 3, アキノラブ,---,熊沢重, 1.0, 34,* -1, -37, 2,  3.6, ②②, 9, 4,Ｂワンダｰポテンシア, 75,石橋守, 1.5, 71,   8,  -9, 9, 44.1, ⑩⑩, 9, 9,Ｊビッグベアシチｰ, 74,小牧太, 0.8, 73,*  3,  -4, 9, 50.6, ②②
