08年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,葛飾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａフリソ, 51,田中勝,, 65,  -6,* 16, 6, 16.4,⑤⑤③, 1, 2, プレジャｰラン,---,松岡正,, 43,*-27,   1, 1,  1.7, ①①, 1, 2,Ｈアマミスウィフト, 63,千葉直,, 74,   5,* 11, 9, 54.9,⑥⑧⑦, 1,12,Ｂトウショウガナｰ, 83,横山典,, 77,*  2,  13, 2,  4.5, ①①
 2,15,Ｋエジソン, 33,北村宏, 1.0, 56,  -6,*  8, 9, 44.4,⑫⑤③, 2, 3, シャルフミニョンヌ,---,吉田隼, 0.2, 42, -32,*  4, 6, 26.2, ③③, 2, 8,Ｄウェンブリｰ, 73,内田博, 0.0, 73,   8,*  7, 2,  4.1,⑥④③, 2, 5,Ａダイワディライト, 85,柴田善, 0.0, 77,  -1,* 15, 1,  1.7, ④③
 3,11,Ｃダイワフラッグ, 48,蛯名正, 1.3, 53,* -3,  -2, 5,  9.7,①①①, 3, 5, アイスブルｰ,---,蛯名正, 0.2, 42,*-27,  -1, 3,  6.6, ②②, 3, 5,Ｂダイワバイロン, 74,北村宏, 0.3, 69,   5,*  7, 6, 18.8,⑨⑧⑦, 3,15,Ｄアウトクラトｰル, 78,中舘英, 0.4, 73,*  1,  10, 3,  9.0, ②②
 4,12,Ｉサトノロマネ, 40,横山典, 1.6, 50,* -4,  -2, 1,  3.0,⑮③③, 4, 4, トキノサミット,---,丹内祐, 0.5, 38, -33,  -1, 9,123.3, ③③, 4,11,Ａロスペトリュス, 75,中舘英, 0.3, 69,*  9,  -2, 1,  1.6,④②①, 4, 4,Ｃワンダｰプロ, 80,内田博, 0.6, 72,  -1,  10, 4, 11.4, ④③
 5,10,Ｇプラチナタイム, 42,吉永護, 2.0, 50,  -7,   1, 7, 20.3,③⑦⑦, 5, 1, アポロライラ,---,勝浦正, 0.8, 35, -34,  -3, 2,  3.4, ⑤⑤, 5, 4,Ｃエｰブダンシング, 73,吉田隼, 0.8, 63,   8,  -6, 5, 17.1,④④⑤, 5, 9,Ｉホワイトリｰベ, 74,小野次, 0.9, 68,*  0,   7,11, 65.1, ③③
 6, 2,Ｅステルススキャン, 43,勝浦正, 2.2, 51, -11,   6,10, 44.5,⑨⑪⑧, 6, 8, ジェｰンオｰスチン,---,高山太, 0.9, 34, -36,  -1, 7, 57.1, ⑦⑤, 6, 3,Ｆマルタカインプレス, 68,蛯名正, 0.9, 64,   4,   1, 3, 14.6,⑨⑩⑩, 6, 8,Ｎフリｰモア, 71,松岡正, 0.9, 69, -11,* 16, 8, 45.3, ⑮⑭
 7, 9,Ｊベルモントラスタｰ, 39,内田博, 2.4, 45,* -3, -11, 3,  5.3,③②②, 7,10, マイネカノン,---,柴山雄, 0.9, 32, -34,  -4, 4, 15.3, ⑤⑤, 7, 1,Ｅナムラノブナガ, 71,勝浦正, 0.9, 65,   4,   1, 7, 25.1,⑪⑩⑩, 7,11,Ｇクリアエンデバｰ, 76,吉田豊, 0.9, 69,  -6,  12, 5, 21.2, ⑪⑪
 8, 7,Ｍオオハシャギ, 29,村田一, 3.1, 47, -12,   2,12, 97.3,⑭⑭⑫, 8, 9, フリュｰゲルシチｰ,---,武士沢, 1.0, 32, -36,  -3,10,127.8, ⑦⑧, 8,10,Ｉニシノオトコギ, 62,黛弘人, 1.0, 61,   8,  -9,12,176.5,②④⑦, 8,10,Ｈバリオン, 75,後藤浩, 0.9, 69,  -8,* 15, 6, 25.8, ⑬⑫
 9,13,Ｐノボレインボｰ,  2,千葉直, 3.4, 42, -11,  -5,15,203.7,⑫⑨⑧, 9, 7, スティルバイト,---,北村宏, 1.2, 31, -48,*  6, 5, 21.0, ⑩⑨, 9, 9,Ｌマイサンシャイン, 57,二本柳, 1.0, 59,   8,  -9,11, 99.5,②④⑤, 9, 1,Ｆジェイケイボストン, 76,江田照, 0.9, 69,  -4,  10,12, 82.6, ⑨⑦
10,14,Ｂマイネルアリオン, 51,松岡正, 3.6, 40, -10,  -8, 4,  8.4,⑨⑧⑧,10,11, サニｰバッハ,---,千葉直, 1.4, 28, -43,  -2,11,161.6, ⑨⑨,10, 7,Ｇネイチャｰグロウ, 64,高山太, 1.1, 61,   4,  -2, 8, 39.8,⑪⑩⑩,10, 7,Ｅトウショウモｰド, 77,佐藤哲, 0.9, 69,  -4,  10, 9, 47.4, ⑨⑩
11, 4,Ｆホッコｰテイオｰ, 42,石橋脩, 4.4, 32, -11, -13,13,129.8,⑨⑨⑪,11, 6, サンマルヘイロｰ,---,草野太, 2.0, 21, -51,  -2, 8, 58.0, ⑪⑪,11,12,Ｊシルクプログレス, 62,小野次, 1.2, 61,* 10, -13, 4, 16.1,⑥②③,11,13,Ｍグリンガレット, 72,村田一, 1.0, 70,  -1,   7,14,126.7, ④③
12,16,Ｈサザンスタｰディ, 41,柴田善, 4.6, 31,  -5, -25, 2,  3.6,②④⑥,,,,,,,,,,,,,12, 6,Ｋステイクｰル, 60,石橋脩, 1.9, 52,*  9, -25,10, 75.5,①①②,12, 6,Ｌシャイニングムｰン, 73,大庭和, 1.2, 67,  -8,  11,13, 82.6, ⑫⑫
13, 1,Ｎフリフリスカｰト, 25,小林淳, 5.5, 28, -10, -21,14,193.9,⑤⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,13,16,Ｊトウカイフラッグ, 74,勝浦正, 1.3, 66,  -3,   6, 7, 42.0, ⑦⑦
14, 3,Ｌノアブレイク, 31,石神深, 6.3, 22, -11, -28,11, 95.1,⑤⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｐドリｰムスカイラブ, 65,吉田隼, 1.5, 63,  -9,   9,10, 53.1, ⑬⑭
15, 6,Ｏアポロシャイニング, 13,丹内祐, 6.8, 19, -16, -23,16,222.3,⑯⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｋコリントシチｰ, 73,木幡初, 1.6, 62,  -2,   2,15,135.9, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｏマグネティックマン, 68,柴山雄, 2.4, 57, -15,   8,16,154.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-8),,,,,,,,,,,
"単勝:1,640円 複勝:08=620円 15=1,120円 11=330円 枠連:4,710円",,,,,,,,,,,,"単勝:170円 複勝:02=110円 03=560円 05=150円 枠連:1,700円",,,,,,,,,,,,"単勝:5,490円 複勝:02=1,600円 08=240円 05=580円 枠連:9,800円",,,,,,,,,,,,単勝:450円 複勝:12=140円 05=120円 15=180円 枠連:320円,,,,,,,,,,,
"馬連:27,640円 ワイド:08-15=6,900円 08-11=2,220円 11-15=4,200円",,,,,,,,,,,,"馬連:2,090円 ワイド:02-03=770円 02-05=230円 03-05=1,430円",,,,,,,,,,,,"馬連:11,290円 ワイド:02-08=2,200円 02-05=4,600円 05-08=900円",,,,,,,,,,,,馬連:440円 ワイド:05-12=200円 12-15=510円 05-15=310円,,,,,,,,,,,
"馬単:47,950円 3連複:83,470円 3連単:794,800円",,,,,,,,,,,,"馬単:2,620円 3連複:2,890円 3連単:12,590円",,,,,,,,,,,,"馬単:36,010円 3連複:28,810円 3連単:294,550円",,,,,,,,,,,,"馬単:1,090円 3連複:1,000円 3連単:4,860円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2200m 3 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄﾗｲﾄ記念 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄナンヨｰクイｰン, 52,柴田善,, 61, -10,* 13, 4,  5.3,④④③, 1, 9, ジョニｰロｰド,---,横山典,, 46,*-11,* -3, 2,  2.7,①②②, 1,10,Ｈスタｰシップ, 70,北村宏,, 78,   1,* 21, 6, 15.3,⑪⑩⑨, 1, 6,Ｋダイワワイルドボア, 77,北村宏,, 81,   4,  11, 9, 18.5,⑦⑦③
 2, 5,Ｌツｰデイズノｰチス, 33,松岡正, 0.3, 62, -18,* 21, 7, 22.5,⑬⑭⑩, 2, 6, スタｰリバイバル,---,江田照, 0.2, 46,*-11,  -5, 3,  9.6,②①①, 2, 5,Ａアバレダイコ, 78,吉田豊, 0.3, 75,   2,  14, 1,  2.5,⑦⑤④, 2,16,Ｃマイネルチャｰルズ, 82,松岡正, 0.1, 81,*  6,   6, 1,  3.1,③③②
