08年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,関西TVﾛｰｽﾞS ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃエルジャンクション, 50,浜中俊,, 55,* -3,* -8, 5, 10.2,①①①, 1, 4, ワイドサファイア,---,福永祐,, 79,  -2,* 14, 1,  1.4, ③⑤, 1, 2,Ａマッキｰバッハ, 80,和田竜,, 82,  11,  11, 4, 10.6,②④④, 1,18,Ｆマイネレｰツェル, 79,川田将,, 89,  18,*  1, 7, 23.2, ⑦⑥
 2, 7,Ｂクリスザドｰル, 51,川田将, 0.8, 50,* -5,*-12, 1,  2.5,③③③, 2, 3, ワｰルドロレックス,---,浜中俊, 0.4, 76,*  1,   5, 4, 10.6, ②②, 2, 6,Ｅヘルバｰスト, 75,岩田康, 0.2, 78,  11,   9, 2,  4.4,④④⑥, 2,10,Ｃムｰドインディゴ, 80,福永祐, 0.0, 89,  13,*  8, 9, 29.0, ⑭⑪
 3, 3,Ａシルクフォｰチュン, 52,田島裕, 1.2, 48,  -5,*-13, 2,  4.5,⑥⑥④, 3, 2, フキラウソング,---,岩田康, 1.1, 65,*  1,  -4, 2,  5.6, ⑥②, 3, 5,Ｈシゲルアンビシャス, 66,中村将, 0.2, 81,   8,* 18, 6, 17.6,⑩⑩⑩, 3,11,Ｂレジネッタ, 81,小牧太, 0.1, 88,  17,  -1, 1,  2.7, ⑦⑥
 4,13,Ｌシルバｰフィｰルド, 39,幸英明, 2.0, 42,  -7, -18,11, 49.4,⑥⑥⑦, 4, 7, フィクサｰ,---,渡辺薫, 1.3, 64,  -2,  -4, 7, 40.9, ⑤⑤, 4,10,Ｄカネトシソレイユ, 76,渡辺薫, 0.6, 76,  11,   2, 5, 11.2,⑤④④, 4, 8,Ｇオディｰル, 77,安藤勝, 0.5, 83,  17,  -7, 5, 10.6, ⑤⑥
 5,11,Ｋユｰセイヤマトオｰ, 39,和田竜, 2.1, 42,  -7, -20, 8, 23.9,⑧⑥⑤, 5, 6, ジャックボイス,---,川田将, 1.6, 59,   0, -10, 6, 16.1, ③④, 5, 3,Ｂエｰシンダｰドマン, 80,安藤勝, 0.6, 75,* 12,   1, 1,  1.9,⑨②②, 5, 5,Ｄメイショウベルｰガ, 80,四位洋, 0.6, 82,  13,  -1, 3,  6.3, ⑪⑪
 6, 2,Ｍシゲルハカセヤマ, 38,川島信, 2.5, 41,  -7, -19,14,116.7,⑧⑨⑨, 6, 1, シャイニｰコｰト,---,和田竜, 1.6, 60,  -2,  -8, 3, 10.3, ⑥⑤, 6, 9,Ｉロフティソル, 65,小牧太, 0.6, 77,  10,   8,10, 89.8,⑦⑦⑦, 6, 1,Ｅトｰルポピｰ, 80,池添謙, 0.7, 81,  13,  -2, 2,  4.0, ⑪⑪
 7, 6,Ｅシゲルアソサン, 47,角田晃, 2.6, 38,* -4, -29, 3,  6.5,②②②, 7, 5, シルクユニヴァｰス,---,生野賢, 1.6, 59,*  2, -14, 5, 14.6, ①①, 7, 8,Ｇワンダｰルストラｰ, 67,田中克, 0.7, 75,  10,   5, 9, 61.1,⑤⑦⑦, 7, 6,Ｌエアパスカル, 69,藤岡佑, 0.8, 79,* 22, -20, 8, 26.5, ①①
 8,14,Ｇミスアサｰト, 44,酒井学, 3.3, 37, -10, -22, 7, 23.3,⑫⑫⑪,,,,,,,,,,,,, 8, 1,Ｃダｰクジャケット, 77,浜中俊, 0.9, 75,   9,   2, 3,  5.1,⑦⑨⑦, 8,17,Ｏハｰトオブクィｰン, 65,幸英明, 1.0, 78,* 18, -18,10, 51.8, ⑤③
 9, 5,Ｎデンコウロｰレル, 34,田中克, 3.5, 36, -14, -16,12, 53.3,⑧⑮⑮,,,,,,,,,,,,, 9, 7,Ｊエアデュｰド, 62,福永祐, 2.0, 63,* 12, -19, 7, 44.3,②②②, 9, 9,Ｊロｰズカットダイヤ, 75,藤岡康, 1.1, 77,  12,  -4,13, 98.9, ⑭⑭
10, 4,Ｊマイネルセラフィム, 39,池添謙, 4.0, 29,  -8, -33,10, 41.9,⑧⑨⑨,,,,,,,,,,,,,10, 4,Ｆティズインパルス, 68,上村洋, 2.0, 64,* 12, -21, 8, 60.0,①①①,10,16,Ｎサワヤカラスカル, 66,浜中俊, 1.5, 77,   9,  -4,14,100.8, ⑰⑯
11,15,Ｈプリティラパス, 41,大下智, 4.1, 33, -12, -24,15,167.9,⑭⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,11, 4, オグリオトメ,---,佐藤友, 1.7, 73,  10,  -7,16,171.4, ⑭⑮
