08年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａトップカミング, 62,幸英明,, 68,* -7,  10, 1,  1.6, ①①, 1, 2, リｰティラ,---,福永祐,, 64,  -5,*  2, 1,  2.1, ⑤⑤, 1, 7,Ｃキングスベリｰ, 73,佐藤哲,, 70,  -2,  14, 3,  7.1, ⑥⑤, 1,16,Ｈアイスドｰル, 85,川田将,, 86,   6,* 18, 8, 16.3, ⑭⑩
 2, 4,Ｇハッピｰパレｰド, 42,岩田康, 0.3, 64,* -6,   7, 3,  8.7, ②②, 2, 5, エンドオｰル,---,浜中俊, 0.2, 65,*  2,  -7, 4, 10.5, ②②, 2,16,Ｊドリｰムロｰズ, 66,武豊  , 0.0, 67,*  1,   7, 4,  9.4, ②②, 2,11,Ｐサチノスイｰティｰ, 72,秋山真, 0.1, 85,* 15,   6, 6, 13.4, ①①
 3, 6,Ｊウェザｰサイド, 41,鮫島良, 0.6, 64, -14,* 12, 8, 36.6, ⑨⑨, 3, 6, メイショウロｰツェ,---,幸英明, 0.2, 63,  -4,   0, 7, 43.6, ⑥⑥, 3, 8,Ｐナリタスレンダｰ, 54,幸英明, 0.1, 72,  -9,* 20,14, 99.3, ⑫⑫, 3, 6,Ｂメイショウシャフト, 87,石橋守, 0.1, 85,   7,* 16,10, 23.0, ⑨⑦
 4, 3,Ｅアマノシｰザｰ, 47,浜中俊, 0.6, 62,  -9,   6, 5, 15.1, ③③, 4, 4, ヤマカツゴｰルド,---,池添謙, 0.4, 61,   1,  -8, 2,  3.4, ②②, 4,12,Ａラッキｰバニヤン, 77,岩田康, 0.1, 66,  -2,  10, 1,  2.1, ④③, 4, 3,Ｇオフィサｰ, 86,福永祐, 0.3, 83,  10,  10, 7, 15.6, ③⑥
 5, 7,Ｉエｰシンサニｰデイ, 41,福永祐, 0.8, 59, -11,   6, 4, 11.9, ⑥⑥, 5, 3, ウィズインライアン,---,田中健, 0.6, 59,*  4, -14, 5, 12.4, ①①, 5, 1,Ｈファイトザパワｰ, 67,上野翔, 0.1, 69,  -7,  16,13, 90.0, ⑨⑨, 5,10,Ａベルモントプロテア, 92,幸英明, 0.3, 82,  10,  10, 1,  4.4, ⑤④
 6,11,Ｂセキサンダンスイン, 53,上村洋, 0.9, 59, -10,   5, 6, 17.1, ⑦⑥, 6, 7, カネトシクロｰバｰ,---,和田竜, 1.1, 51,  -2, -15, 3,  4.2, ④④, 6, 9,Ｎリｰベストラウム, 61,和田竜, 0.2, 71, -11,* 21, 9, 68.8, ⑮⑮, 6, 2,Ｆベストオブミｰ, 86,浜中俊, 0.4, 83,   5,* 15, 2,  4.7, ⑪⑮
 7, 8,Ｃマイネチャペル, 53,和田竜, 0.9, 57,  -8,   1, 7, 31.4, ③③, 7, 1, カシノドラゴン,---,熊沢重, 2.3, 35, -13, -20, 6, 31.8, ⑦⑦, 7, 3,Ｆエリモラフィｰネ, 69,川田将, 0.3, 65,  -4,  11, 5, 14.2, ⑦⑨, 7, 7,Ｍジｰンハンタｰ, 80,金折知, 0.5, 81,   6,  13,12, 27.6, ⑪⑩
 8, 1,Ｈテイエムダイアナ, 41,小牧太, 1.0, 57, -12,   5, 9, 80.6, ⑦⑥,,,,,,,,,,,,, 8,11,Ｂカミヒコｰキ, 74,鮫島良, 0.3, 64,*  0,   6, 2,  3.6, ②③, 8, 5,Ｅスナｰクファルコン, 86,熊沢重, 0.7, 81,   7,  11,11, 23.4, ⑨⑦
 9, 2,Ｄカシノヘラクレス, 48,小坂忠, 1.0, 58, -16,  10,10,124.0, ⑪⑩,,,,,,,,,,,,, 9,14,Ｇゴｰルドネオ, 68,福永祐, 0.4, 64,  -4,  10, 8, 52.7, ⑨⑤, 9,15,Ｉレキシントンシチｰ, 85,佐藤哲, 0.8, 80,   4,  13, 3,  6.1, ⑯⑯
10, 5,Ｆエリモラブリｰ, 44,高橋亮, 1.4, 53, -14,   3,11,135.8, ⑨⑩,,,,,,,,,,,,,10, 5,Ｑホクテンミラｰ, 53,秋山真, 0.6, 61,  -3,   5,15,122.6, ④⑤,10, 8,Ｋウォｰタｰオｰレ, 83,岩田康, 1.0, 77,   8,   5,15, 52.0, ⑦⑦
11,10,Ｋハリケンアスリｰト, 39,武豊  , 1.7, 46,  -9,  -8, 2,  4.7, ③③,,,,,,,,,,,,,11,18,Ｅカネトシレジアス, 70,川島信, 0.7, 63, -10,  15, 7, 43.0, ⑰⑮,11, 9,Ｊサクラビジェイ, 85,四位洋, 1.2, 76,  11,   1, 5, 12.2, ③④
,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｉピサノイナバウアｰ, 67,小牧太, 0.7, 64,  -9,  13, 6, 26.4, ⑬⑫,12,12,Ｏオｰスミダイドウ, 73,武豊  , 1.3, 74,* 12,  -2, 4,  8.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,13,17,Ｋメイショウシオギリ, 65,石橋守, 1.0, 59,  -9,   8,11, 74.7, ⑮⑫,13, 4,Ｄマイネルアルビオン, 87,和田竜, 1.3, 75,   5,   7,14, 42.1, ⑭⑩
,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｒオウシュウヒカリ, 22,浜中俊, 1.1, 60, -12,  11,12, 87.3, ⑬⑰,14,14,Ｃタイキエニグマ, 87,丹内祐, 1.5, 73,  10,  -2,13, 39.3, ⑤②
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｏシナノザクラ, 60,田中健, 1.2, 53,*  2, -10,10, 74.0, ①①,15, 1,Ｎテイエムノブシオｰ, 76,赤木高, 1.7, 71,   8,   1,16, 95.1, ⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｍセフティｰビヨンド, 63,田中克, 1.2, 54,  -6,   0,16,199.8, ⑨⑨,16,13,Ｌゼンノコｰラル, 82,角田晃, 1.9, 71,   5,   2, 9, 19.0, ⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,17,10,Ｌマチカネコウバイ, 65,藤岡康, 1.2, 53,  -4,  -1,17,217.2, ⑦⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
単勝:160円 複勝:09=110円 04=250円 06=460円 枠連:910円,,,,,,,,,,,,単勝:210円 複勝:02=140円 05=350円 枠連:0円,,,,,,,,,,,,"単勝:710円 複勝:07=270円 16=390円 08=2,850円 枠連:2,560円",,,,,,,,,,,,"単勝:1,630円 複勝:16=480円 11=530円 06=630円 枠連:1,300円",,,,,,,,,,,
"馬連:930円 ワイド:04-09=360円 06-09=780円 04-06=2,720円",,,,,,,,,,,,"馬連:840円 ワイド:02-05=330円 02-06=1,150円 05-06=2,180円",,,,,,,,,,,,"馬連:3,000円 ワイド:07-16=1,050円 07-08=9,210円 08-16=10,530円",,,,,,,,,,,,"馬連:11,050円 ワイド:11-16=3,620円 06-16=5,350円 06-11=4,430円",,,,,,,,,,,
"馬単:1,310円 3連複:6,240円 3連単:19,190円",,,,,,,,,,,,"馬単:1,260円 3連複:6,370円 3連単:19,240円",,,,,,,,,,,,"馬単:6,500円 3連複:98,500円 3連単:453,360円",,,,,,,,,,,,"馬単:20,630円 3連複:97,510円 3連単:577,670円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕月特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａレッドジｰル, 63,岩田康,, 51,  -3,  -2, 1,  1.5, ③③, 1, 5,Ｉリバｰアゲイン, 51,秋山真,, 68,   0,*  7, 8, 16.5, ⑩⑨, 1, 2,Ｄトムウィンズ, 74,岩崎祐,, 76,*  3,   6, 7, 23.2, ④④, 1, 9,Ｊブライティアパルス, 71,藤岡康,, 77,* 14,  -7, 6, 13.7, ①①
 2, 8,Ｅナリタカｰビン, 46,角田晃, 0.0, 51,*  0,  -6, 5, 11.4, ①①, 2,14,Ｇファサｰド, 56,和田竜, 0.3, 66,   0,*  4, 4,  8.8, ⑧④, 2, 9,Ｍワキノパワｰ, 67,佐藤哲, 0.2, 75,*  5,   1,11, 48.9, ②②, 2, 7,Ｃタガノグラマラス, 76,安藤勝, 0.1, 77,* 14,  -7, 1,  1.8, ②②
 3, 5,Ｇトップクリフォｰド, 44,和田竜, 0.0, 53,  -3,  -2, 4,  9.8, ③③, 3,10,Ｄマストコントロｰル, 59,田村太, 0.7, 64,   5,  -5, 6, 10.1, ③③, 3,17,Ｊオセアニアボス, 70,川田将, 0.2, 73,   1,   6, 4,  7.2, ⑥⑥, 3, 8,Ｆチェレブリタ, 74,幸英明, 0.2, 79,   7,   6, 5, 13.7, ⑥⑤
 4, 3,Ｂリラックススマイル, 58,小牧太, 0.0, 54,  -5,*  3, 3,  9.2, ⑥⑥, 4, 7,Ｃショウグンリｰダｰ, 61,田嶋翔, 0.8, 61,  -3,*  4, 7, 11.4, ⑫⑪, 4, 1,Ｃスカイリュウホｰ, 79,浜中俊, 0.2, 78,   0,   9, 5, 10.3, ⑧⑧, 4, 2,Ａキクカラヴリイ, 82,角田晃, 0.3, 78,   6,*  7, 4, 10.5, ⑦⑦
 5,12,Ｈビヨンドマイリｰチ, 41,佐藤哲, 0.2, 52, -11,*  8,10,103.8, ⑫⑪, 5,13,Ｍズブロッカ, 41,福永祐, 1.0, 62,   3,  -4, 9, 28.8, ④④, 5,12,Ｂコパノジングｰ, 79,岩田康, 0.2, 76,  -4,* 17, 1,  3.6, ⑯⑭, 5,13,Ｇヤサシイキモチ, 73,渡辺薫, 0.5, 75,   8,  -1, 8, 49.5, ③③
 6, 7,Ｎエプソムジャンボ, 28,渡辺薫, 0.8, 45,  -8,  -5,14,210.9, ⑧⑧, 6, 2,Ｂグランプリイｰグル, 65,武豊  , 1.2, 59,   2,  -5, 1,  3.5, ⑥⑥, 6, 4,Ａハギノジョイフル, 81,安藤勝, 0.4, 73,  -1,   7, 3,  4.9, ⑩⑧, 6, 6,Ｄヴィクトリアアイ, 75,福永祐, 0.6, 75,   1,* 10, 7, 15.5, ⑬⑪
 7, 1,Ｋハナゴロモ, 35,幸英明, 0.9, 45, -11,   0,12,167.9, ⑬⑬, 7, 3,Ｆウォｰタｰルフラン, 58,酒井学, 1.4, 58,   1,  -6, 5,  9.7, ⑧⑥, 7, 8,Ｈホウショウアマネ, 72,鮫島良, 0.5, 73,  -3,   9, 6, 16.1, ⑬⑪, 7, 3,Ｂミルクトｰレル, 81,四位洋, 0.6, 74,   5,   3, 3,  9.9, ⑧⑦
 8,10,Ｆパワｰエｰス, 44,酒井学, 1.0, 42,  -9,  -5, 8, 54.7, ⑨⑪, 8, 4,Ａサンライズアイ, 70,岩田康, 1.5, 60,* 13, -23, 2,  3.8, ①②, 8, 5,Ｆブレイブファイト, 74,福永祐, 0.6, 69,   1,  -2, 2,  3.7, ⑥⑥, 8,11,Ｈヴェルザンディ, 73,武豊  , 0.7, 73,   3,   6, 2,  4.5, ⑩⑨
 9,11,Ｃニホンピロカズマ, 58,熊沢重, 1.2, 38,*  0, -24, 2,  7.6, ②②, 9, 8,Ｋヒマワリスマイル, 49,太宰啓, 1.5, 55,  -7,*  3,11,117.1, ⑭⑭, 9,15,Ｅキングバｰド, 74,藤岡康, 0.7, 71,  -4,* 10,10, 36.8, ⑭⑭, 9, 1,Ｍクロユリジョウ, 65,小牧太, 0.9, 72,   2,   4,11,120.4, ⑪⑪
10,13,Ｍゴｰイングウェル, 28,福永祐, 1.2, 39,  -4, -16, 6, 19.3, ⑥⑥,10,15,Ｈファルクス, 55,川田将, 1.9, 57,* 13, -27,10, 80.2, ②①,10, 6,Ｑマチカネレツジツ, 52,渡辺薫, 0.8, 70,  -3,   4,16,300.2, ⑩⑪,10,14,Ｎシルクシャｰプネス, 64,鮫島良, 1.1, 70,   3,   0,13,140.1, ⑧⑨
11,14,Ｄエｰシンウィンマン, 47,武豊  , 1.6, 33,  -3, -27, 7, 21.8, ③③,11,12,Ｌホｰリｰグレイル, 49,川島信, 1.9, 55,  -1,  -6,12,155.9, ⑪⑪,11,13,Ｇタマモランニング, 73,川島信, 0.8, 65,*  3,  -6, 8, 28.1, ④④,11, 5,Ｌオドゥｰルゲラン, 71,秋山真, 1.2, 69,   2,   2, 9, 60.1, ⑪⑪
12, 9,Ｌマルタカテイオｰ, 32,田中克, 1.8, 32,  -8, -19,13,170.3, ⑨⑧,12, 9,Ｅオｰスミユニバｰス, 58,田中健, 2.2, 53,   2, -14,14,159.2, ④⑥,12, 3,Ｌアジアンホｰプ, 68,幸英明, 0.9, 66,*  4, -12,13, 71.0, ①①,12,10,Ｉクインフュｰチャｰ, 72,浜中俊, 1.3, 68,   8, -13,10, 74.7, ④③
13, 2,Ｉバイオレットコイン, 41,赤木高, 3.1, 19, -14, -26, 9, 63.1, ⑭⑭,13, 1,Ｎタイキミカエル, 32,鮫島良, 3.0, 45,  -5, -13,13,159.0, ⑫⑬,13, 7,Ｋウインバｰディクト, 70,武豊  , 1.2, 65,  -3,   0, 9, 32.1, ⑫⑪,13,12,Ｅアグネスラック, 74,池添謙, 1.6, 62,   7, -15,12,128.8, ④⑤
14, 4,Ｊミラクルフェイマス, 36,浜中俊, 3.3, 18,  -8, -40,11,128.6, ⑨⑩,14, 6,Ｊアルモニｰ, 50,上村洋, 3.3, 43, -11,  -8, 3,  6.1, ⑮⑮,14,11,Ｎアンティシペイタｰ, 61,太宰啓, 1.3, 62,*  4, -16,15,166.6, ②②,,,,,,,,,,,,
,,,,,,,,,,,,15,11, ジャズトレイン,---,熊沢重, 4.0, 38,   1, -28,15,191.5, ⑥⑨,15,16,Ｉシゲルアサンテサナ, 71,小牧太, 1.4, 66,  -6,   5,12, 63.0, ⑰⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｐトｰワドウサン, 53,石橋守, 1.7, 59,  -2, -12,17,310.3, ⑧⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｒマンフッド, 48,田中克, 2.5, 51,  -7, -12,14,166.1, ⑭⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｏシルクロｰリット, 57,中村将, 2.9, 47,  -9, -15,18,326.9, ⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
単勝:150円 複勝:06=110円 08=210円 05=210円 枠連:550円,,,,,,,,,,,,"単勝:1,650円 複勝:05=540円 14=290円 10=400円 枠連:1,250円",,,,,,,,,,,,"単勝:2,320円 複勝:02=630円 09=1,720円 17=280円 枠連:10,660円",,,,,,,,,,,,"単勝:1,370円 複勝:09=280円 07=110円 08=300円 枠連:640円",,,,,,,,,,,
馬連:620円 ワイド:06-08=280円 05-06=240円 05-08=820円,,,,,,,,,,,,"馬連:6,960円 ワイド:05-14=2,140円 05-10=2,460円 10-14=1,200円",,,,,,,,,,,,"馬連:49,120円 ワイド:02-09=11,880円 02-17=2,430円 09-17=5,020円",,,,,,,,,,,,"馬連:810円 ワイド:07-09=350円 08-09=1,610円 07-08=410円",,,,,,,,,,,
"馬単:810円 3連複:1,280円 3連単:3,380円",,,,,,,,,,,,"馬単:14,820円 3連複:22,400円 3連単:127,010円",,,,,,,,,,,,"馬単:120,730円 3連複:146,250円 3連単:1,194,500円",,,,,,,,,,,,"馬単:2,710円 3連複:2,160円 3連単:16,430円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,西脇特別,,,,,,,,,,,,,,,,,,,,,,
