08年10月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂラガｰシｰキング, 54,佐藤哲,, 56,  -7,*  9, 1,  1.9, ⑧⑦, 1,10, レッドボルサリｰノ,---,川田将,, 43, -34,*  7, 1,  1.9, ⑤⑤, 1,12,Ｆテイエムハヤテオｰ, 67,小牧太,, 75,   4,* 10, 2,  6.4, ⑤⑤, 1,10,Ｆマイネルアワグラス, 90,吉田稔,, 92,  12,* 18, 6, 15.2,⑮⑫⑫
 2,12,Ａシゲルカサギヤマ, 58,角田晃, 0.2, 53,*  3,  -5, 2,  4.0, ②②, 2, 6, チュウワバロン,---,小牧太, 0.0, 43, -33,*  4, 9, 47.7, ③③, 2,14,Ｂトｰホウボガｰド, 73,石橋守, 0.2, 75,   0,* 13, 3,  7.7, ⑪⑦, 2,14,Ｃワンダｰスピｰド, 92,小牧太, 0.0, 91,  14,* 17, 1,  2.2,⑪⑩⑨
 3, 2,Ｅキングパレｰド, 47,鮫島良, 0.3, 53,  -4,*  2, 5, 15.1, ⑤⑤, 3, 2, トｰアクレセント,---,藤岡康, 0.1, 40,*-30,   0, 4, 10.6, ②②, 3, 8,Ｄテイエムフルパワｰ, 68,太宰啓, 0.3, 74,   3,  10, 4, 11.2, ⑦⑦, 3, 6,Ｍダｰクメッセｰジ, 83,佐藤哲, 0.2, 92,  13,* 16, 4,  8.5,⑮⑫⑫
 4, 1,Ｃカネコメリッチ, 54,浜中俊, 0.3, 53,   1,  -3, 3,  5.3, ③③, 4, 9, ダンツクオリティ,---,吉田稔, 0.3, 38, -33,   1, 2,  4.0, ④③, 4, 6,Ｅヴァイスハイト, 67,角田晃, 0.5, 72,   3,   8, 6, 15.5, ⑦⑪, 4,11,Ｅラッキｰブレイク, 90,赤木高, 0.5, 86,  15,   8,12, 47.8,⑥④④
 5, 8,Ｈコスモアポロ, 37,池添謙, 0.5, 49,   1,  -6, 9, 93.4, ③③, 5, 5, メイショウマカルｰ,---,浜中俊, 0.5, 39, -34,   0, 8, 25.8, ⑦⑤, 5, 5,Ｃミヤジレオン, 70,田中健, 0.5, 72,* 10,  -1, 5, 15.5, ①①, 5, 2,Ａドラゴンファイヤｰ, 95,福永祐, 0.9, 87,  13,  11, 2,  4.6,⑬⑮⑭
 6, 7,Ｄマイネルレンツ, 47,幸英明, 0.8, 47,*  5, -13, 6, 17.1, ①①, 6, 7, ジャミｰル,---,上村洋, 0.9, 34, -35,  -3, 5, 12.5, ⑩⑧, 6, 1,Ａサンマルチｰフ, 76,岩田康, 0.7, 69,   4,   4, 1,  1.6, ⑤⑤, 6, 8,Ｌマイネルマニセス, 83,川島信, 1.1, 82,  14,   4,15,128.7,⑧⑥④
 7, 3,Ｆガッチリガッチリ, 44,吉田稔, 1.1, 42, -10,  -3, 4, 12.3, ⑨⑪, 7, 8, ドリｰムグラント,---,鮫島良, 0.9, 34, -37,  -2, 7, 22.6, ⑦⑧, 7, 4,Ｇフジヤマロマン, 65,池添謙, 1.2, 65,*  8,  -4,11, 62.7, ③③, 7,15,Ｄゲイルバニヤン, 91,幸英明, 1.3, 82,  13,   4,10, 38.7,⑬⑩⑨
 8, 9,Ｉメイショウキャラ, 32,太宰啓, 1.3, 41,  -9,  -5, 8, 82.2, ⑨⑧, 8, 1, カイラス,---,安藤光, 1.0, 29, -34,  -8, 6, 19.5, ⑤⑤, 8,11,Ｍリｰヴタイム, 55,田村太, 1.3, 65,   6,  -3, 7, 29.5, ③④, 8, 4,Ｐユキチャン, 68,四位洋, 1.5, 80,* 16,  -3, 3,  8.1,③③②
 9, 4,Ｇプリティラパス, 41,大下智, 1.5, 37, -10,  -8,12,190.4, ⑨⑧, 9, 4, マキハタスパイク,---,高井彰, 1.3, 23,*-30, -18,10, 71.1, ①①, 9, 7,Ｊクリスリリｰ, 62,中村将, 1.4, 63,   1,   1,13,215.1, ⑦⑫, 9, 3,Ｈダノンビクトリｰ, 88,川田将, 1.7, 80,  14,  -1, 5, 14.1,④④⑥
