08年10月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,秋風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｂカツヨトワイニング, 50,大庭和,, 60, -11,*  9, 2,  4.5, ⑩⑧, 1, 8, ケイアイカミムスビ,---,上村洋,, 59,*-23,* 16, 3,  4.5, ①①, 1,11,Ｂウェンブリｰ, 73,内田博,, 73,  11,*  0, 1,  2.5,⑧⑨⑩, 1,11,Ｅハチマンダイボサツ, 82,蛯名正,, 90,   5,  17, 3,  8.7,④⑤⑤
 2, 4,Ａコスモパイレット, 57,内田博, 0.2, 58,*  1,  -7, 1,  1.5, ①①, 2, 6, ゴｰルドエンデバｰ,---,黛弘人, 0.1, 56,*-24,* 15, 4,  6.6, ②②, 2, 1,Ｃタニオブゴｰルド, 71,千葉直, 0.1, 70,* 15, -10, 3,  7.9,②③④, 2,12,Ｃハイソサエティｰ, 84,内田博, 0.1, 86,*  8,  11, 2,  5.7,④②③
 3, 5,Ｋイｰサンバブル, 33,柴山雄, 0.6, 52,  -5,  -6,11,127.8, ⑤④, 3, 7, ベラドｰラ,---,勝浦正, 1.0, 49, -25,   9, 2,  3.5, ③③, 3, 9,Ｋコスモポッケ, 65,後藤浩, 0.1, 70,* 17, -13, 9, 20.1,③②②, 3,15,Ｆキタノリュｰオｰ, 82,北村宏, 0.4, 86,  -1,* 20, 6, 16.2,⑬⑩⑧
 4,15,Ｄボンファイアｰ, 43,吉田隼, 0.8, 50, -10,  -3, 7, 43.9, ⑨⑪, 4, 4, オンワｰドラｰト,---,小林淳, 1.4, 45, -26,   6, 6, 13.5, ⑤④, 4, 5,Ｍアイルビｰバウンド, 64,北村宏, 0.2, 69,  13,  -7, 8, 15.1,④⑤⑥, 4,10,Ｄラズベリｰタイム, 83,吉田隼, 0.4, 84,   4,  14, 8, 20.0,⑧⑧⑧
 5, 8,Ｅヨシインゾｰン, 41,吉田豊, 0.9, 49, -12,  -3, 6, 42.7, ⑩⑩, 5,11, ディパｰチャｰズ,---,横山典, 1.4, 45, -26,   7, 1,  3.2, ⑤⑥, 5,10,Ｊニシノガｰランド, 65,岩田康, 0.2, 70,   7,*  5, 2,  7.3,⑬⑭⑭, 5, 3,Ｂワルキュｰレ, 87,吉田豊, 0.4, 84,   4,  13, 4,  9.1,⑨⑦⑤
 6, 2,Ｊマイネサブリナ, 35,勝浦正, 1.0, 49,  -9,  -7, 4, 18.9, ⑥⑧, 6,10, ノボパガｰレ,---,大庭和, 1.4, 45, -25,   5,10, 74.2, ③④, 6, 2,Ｆゴｰルドストレイン, 69,木幡初, 0.3, 70,  11,  -4, 7, 12.7,⑧⑨⑩, 6, 1,Ａマシュリク, 91,後藤浩, 0.4, 82,*  8,   7, 1,  2.0,②②③
 7,11,Ｏレゴンダンス,  5,福永祐, 1.0, 48,*  0, -16, 5, 40.8, ③④, 7, 5, スランバｰ,---,幸英明, 1.5, 44, -28,   7, 8, 40.5, ⑦⑥, 7, 4,Ａプリンセスドルチェ, 74,吉田豊, 0.4, 69,  10,  -3, 5,  9.3,⑬⑫⑫, 7, 9,Ｉアップルサイダｰ, 80,柴山雄, 0.6, 88,  -6,* 27, 7, 16.8,⑬⑯⑯
 8, 6,Ｆアバトルフジザクラ, 39,黛弘人, 1.0, 47, -10,  -7, 8, 69.3, ⑥⑥, 8, 9, ガイアファイア,---,柴山雄, 1.5, 46, -30,  10, 5,  8.9, ⑨⑨, 8, 3,Ｅステルスソニック, 70,蛯名正, 0.4, 69,  10,  -5, 4,  8.9,⑪⑨②, 8, 4,Ｈナンヨｰヒルトップ, 80,柴田善, 0.6, 80,*  8,   4, 5, 15.0,②②②
 9, 7,Ｃハッシャバイ, 50,後藤浩, 1.1, 47,*  2, -18, 3,  5.7, ②②, 9, 2, ザフィフティス,---,丹内祐, 2.1, 39, -32,   6, 7, 34.8, ⑩⑨, 9,14,Ｎテンジンミコオウヒ, 56,柴田善, 1.1, 61,  12, -20,14,127.3,④⑤④, 9, 7,Ｌカゼノコウテイ, 78,石橋脩, 0.8, 84,  -2,  17, 9, 36.5,⑨⑬⑪
10, 3,Ｐパレスキャンディｰ, -9,幸英明, 1.1, 47, -17,*  0,14,234.8, ⑮⑪,10, 1, ルビｰマダム,---,武士沢, 2.8, 33, -29,  -2, 9, 72.0, ⑧⑧,10, 8,Ｇイイデシンゲン, 66,池添謙, 1.2, 58,* 16, -30, 6,  9.4,①①①,10, 8,Ｋハネダテンシ, 78,武士沢, 0.8, 83,  -4,* 20,10, 42.0,⑮⑭⑭
11,12,Ｎマカディシチｰ, 28,小野次, 1.2, 48,  -8,  -8,15,270.6, ⑥⑥,11, 3, サンロｰド,---,千葉直, 4.9, 14, -34, -16,11, 91.3, ⑪⑪,11,13,Ｄエイデンダンス, 71,吉田隼, 1.2, 58,  14, -24,11, 55.6,⑥④⑥,11, 2,Ｎコスモラヴアゲイン, 74,三浦皇, 1.0, 75,   5,   3,11, 71.9,⑥⑤⑤
12,13,Ｉコｰド, 35,田面木, 1.4, 42,*  0, -21,12,129.5, ③②,,,,,,,,,,,,,12, 7,Ｉパンコｰルデイズ, 66,三浦皇, 1.3, 58,  11, -20,10, 52.3,⑥⑦⑥,12, 5,Ｊシュリクン, 79,田面木, 1.1, 77,  -1,  10,13, 82.6,⑨⑩⑪
13, 9,Ｍカシノノｰマｰシｰ, 32,伊藤工, 1.7, 38, -16,  -9,16,365.6, ⑫⑬,,,,,,,,,,,,,13, 6,Ｈユメノツヅキヲ, 66,黛弘人, 1.4, 58,   8, -16,12, 69.1,⑧⑬⑫,13,13,Ｇクラクエンスキｰ, 80,岩田康, 1.2, 74,   1,   7,12, 79.9,⑨⑩⑪
14, 1,Ｇサラスヴァティｰ, 36,北村宏, 2.0, 34, -16, -13, 9, 80.1, ⑫⑬,,,,,,,,,,,,,14,12,Ｌトｰセンバサラ, 65,幸英明, 1.4, 59,  11, -21,13,124.4,⑪⑦⑥,14,16,Ｍバルバレスコ, 75,幸英明, 1.2, 79,  -3,  14,15, 99.6,⑯⑭⑭
15,14,Ｈオｰスチンエブリン, 35,高山太, 2.2, 32, -16, -16,13,218.4, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｏダイワティグリス, 74,木幡初, 1.9, 64,*  9, -17,14, 85.2,①①①
