08年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,本栖湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃアカリ, 53,後藤浩,, 42,*-15, -16, 5, 11.3, ①①, 1, 9, エルビｰトル,---,内田博,, 61,* -3,*  0, 3,  4.8, ③③, 1, 5,Ａファルカタリア, 84,三浦皇,, 72,*  2,*  8, 1,  1.4, ②②, 1, 4,Ｄダイシンプラン, 79,安藤勝,, 80,   9,*  3, 1,  2.1,⑤④④
 2,14,Ｌヤマイチヘレネ, 34,木幡初, 0.2, 43, -22,*-10,13, 71.7, ⑪⑫, 2, 8, キタサンラリｰ,---,勝浦正, 0.5, 57,* -2,* -6,10, 44.3, ②②, 2, 7,Ｂヤマニントップギア, 71,伊藤工, 0.0, 73,  -2,* 12, 3, 14.1, ⑦⑦, 2, 1,Ｈネヴァキングダム, 69,横山典, 0.0, 76,* 20, -23, 3,  5.6,①①①
 3,15,Ｊストロングレダ, 48,中舘英, 0.3, 40,*-16, -19, 2,  4.4, ③②, 3, 6, ミヤジダイキチ,---,和田竜, 1.2, 51,  -8,* -3, 6, 12.0, ⑩⑨, 3,12,Ｉバｰニングブライト, 61,黛弘人, 0.8, 68,  -4,*  8,13,159.9, ⑬⑪, 3, 2,Ｉアイティトップ, 64,木幡初, 0.4, 78,   7,   2, 6, 18.9,④⑤⑤
 4, 1,Ｂポルタノｰヴァ, 53,二本柳, 0.4, 41, -25,* -7, 9, 35.2, ⑯⑯, 4,15, チャｰムピｰス,---,柴山雄, 1.6, 49,* -3, -15, 2,  4.3, ③③, 4, 2,Ｆエフテｰララｰヤ, 69,田辺裕, 1.0, 63,*  2,   0, 9, 29.0, ①①, 4, 5,Ｂベルモントルパン, 79,内田博, 0.5, 77,   6,*  4, 4,  6.5,⑦⑧⑧
 5,13,Ｍダッパｰユウ, 33,黛弘人, 0.5, 39, -21, -14,15,156.9, ⑭⑫, 5, 4, マイネルバルトｰク,---,吉田隼, 1.9, 46,* -1, -20, 5,  8.0, ①①, 5, 4,Ｃアツキオモイ, 71,草野太, 1.1, 65,*  1,   0, 8, 26.0, ④③, 5, 7,Ｅホクレレ, 72,吉田隼, 0.7, 73,   7,  -2, 7, 39.4,⑨⑥⑤
 6, 2,Ｑフライングビｰン, 13,小野次, 0.5, 40, -23, -12, 7, 26.7, ⑪⑭, 6,13, グランプリスマイル,---,三浦皇, 2.1, 43,  -4, -17, 1,  3.3, ⑥⑤, 6, 9,Ｈフォｰカライズ, 64,丸田恭, 1.5, 61,  -1,  -1, 2, 10.6, ④⑤, 6, 8,Ｃロｰドアルファｰド, 79,藤田伸, 1.3, 66,  10, -18, 5,  9.7,③②②
 7, 3,Ｉカモンベイビｰ, 49,柴山雄, 0.5, 43, -26,* -6,10, 45.3, ⑯⑱, 7, 1, シルクシスタｰ,---,安藤光, 2.3, 43,  -6, -15, 7, 26.1, ⑦⑦, 7,16,Ｇニシエイビュレット, 68,千葉直, 1.5, 60,  -2,  -1, 7, 20.8, ⑦⑦, 7, 6,Ｆレオティアラ, 72,勝浦正, 1.6, 66,   6, -13, 9, 82.0,⑥⑧⑧
 8, 8,Ｄアイティアビｰ, 53,内田博, 0.5, 38, -19, -17, 1,  2.4, ⑥⑦, 8,11, プラクシス,---,小野次, 2.3, 41,  -7, -15,11, 79.9, ⑦⑦, 8, 3,Ｋモンスタｰパｰク, 59,大野拓, 1.6, 61,   0,  -3, 4, 14.9, ④⑤, 8, 3,Ａエｰシンピｰシｰ, 82,蛯名正, 1.8, 63,   9, -24, 2,  4.4,②③③
 9,18,Ｈウインパランセ, 49,千葉直, 0.5, 38, -18, -17, 8, 30.1, ⑭⑦, 9,10, ドンヤマト,---,後藤浩, 2.8, 38,  -5, -22, 4,  7.0, ⑤⑥, 9, 6,Ｅメタリック, 69,宮崎北, 1.6, 59,*  1,  -4,11, 91.9, ③③, 9, 9,Ｇパルジファル, 70,後藤浩, 2.2, 59,   8, -24, 8, 60.2,⑦⑥⑤
