08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａシゲルカサギヤマ, 54,角田晃,, 67,*  1,*  6, 1,  2.3, ②②, 1,11, ツルマルハロｰ,---,武豊  ,, 59,* -4,* -1, 1,  2.6, ①①, 1, 5,Ｈアドマイヤゴルゴ, 78,安藤勝,, 78,   6,*  9, 4,  7.5, ⑪⑪, 1, 7,Ｉウエスタンダンサｰ, 76,松岡正,, 84,*  8,   6,13, 36.5, ③③
 2, 7,Ｃスペシャルクイン, 54,内田博, 0.0, 68,*  2,*  6, 3,  5.9, ①①, 2,12, グランプリチェリｰ,---,角田晃, 1.0, 51,  -7,  -6, 6, 16.5, ⑦④, 2,16,Ｎロｰズカットダイヤ, 71,秋山真, 0.0, 81,* 13,   1, 7, 19.1, ②②, 2, 2,Ｎビｰチアイドル, 75,赤木高, 0.1, 85,  -1,* 14,11, 27.8, ⑭⑬
 3,13,Ｂエリモフリｰダム, 54,川島信, 0.9, 59,  -1,   1, 5,  7.9, ④③, 3,15, アリデッド,---,安藤勝, 1.1, 50,* -5, -10, 3,  5.5, ②②, 3, 6,Ｄメイショウワカツキ, 83,武幸四, 0.1, 80,* 14,  -1, 9, 23.3, ①①, 3, 5,Ａソルジャｰズソング, 85,安藤勝, 0.2, 82,   4,   7, 1,  2.1, ⑦⑧
 4, 9,Ｇカシノヘラクレス, 50,小坂忠, 1.4, 54, -12,*  7, 8, 31.9, ⑪⑪, 4, 7, ジョｰセレス,---,松岡正, 1.1, 49, -11,* -2, 9,115.9, ⑩⑩, 4, 3,Ａオリジナルフェイト, 87,福永祐, 0.3, 77,   9,   4, 1,  2.3, ⑨⑨, 4,18,Ｌニシノプライド, 76,浜中俊, 0.2, 82,* 11,   1, 3, 12.3, ②②
 5, 2,Ｄエｰシンサニｰデイ, 54,福永祐, 1.6, 53,  -7,   0, 2,  5.7, ⑧⑥, 5, 1, タフネスデジタル,---,秋山真, 1.5, 47,  -7,  -9, 2,  3.9, ⑦⑧, 5, 4,Ｇアルヴィス, 79,川田将, 0.4, 74,   4,* 10, 5, 14.1, ⑭⑫, 5, 3,Ｋスｰパｰマルトク, 76,福永祐, 0.2, 82,   7,   5, 9, 24.3, ③③
 6, 6,Ｅハｰトランドフェロ, 51,武幸四, 1.6, 53,  -4,  -3, 7, 27.1, ⑥④, 6, 3, スプリングベリｰ,---,柴山雄, 1.8, 45, -10,  -9,13,180.2, ⑩⑩, 6,13,Ｆペプチドアトム, 80,和田竜, 0.6, 74,   9,   0, 6, 16.2, ⑦⑥, 6,17,Ｃピエナビｰナス, 81,四位洋, 0.5, 79,   1,   7, 2,  8.2, ⑫⑩
 7,11,Ｉマルコｰドリｰム, 38,田村太, 2.2, 47,  -7,  -5,10,109.9, ⑧⑧, 7, 8, ナムララピス,---,小牧太, 2.0, 42,  -7, -16, 7, 16.7, ④⑤, 7,15,Ｃシｰクエスト, 83,岩田康, 0.9, 71,   6,   1, 2,  5.5, ⑪⑨, 7,13,Ｄコウユｰキズナ, 81,秋山真, 0.5, 79,   1,   7, 5, 12.7, ⑫⑩
 8, 5,Ｈシゲルアオバサン, 41,浜中俊, 2.8, 43,  -4, -13,12,154.3, ⑥⑤, 8, 5, ボニｰタシチｰ,---,柴原央, 2.0, 41,  -7, -15, 5,  9.8, ⑥⑥, 8,11,Ｌアレクシオス, 71,小牧太, 1.0, 70,   1,*  8,12,109.8, ⑮⑮, 8, 4,Ｂニホンピロリビエラ, 83,川島信, 0.5, 79,  -3,* 11,10, 25.1, ⑮⑮
 9,12,Ｋフェナサイト, 36,田嶋翔, 3.1, 40,  -8, -11,13,226.3, ⑩⑩, 9, 4, フラワｰアンジェラ,---,武幸四, 2.9, 36,  -6, -24, 8, 53.0, ④⑥, 9, 8,Ｊブライトロジック, 75,鮫島良, 1.0, 72,   6,   2,10, 41.4, ⑬⑫, 9,16,Ｑクリノビスケット, 74,幸英明, 0.6, 82, -10,* 17,16,119.6, ⑱⑱
