08年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1150m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａシンフォニｰライツ, 73,三浦皇,, 66,*  4,*  3, 1,  1.4, ③①, 1, 1,Ａエビスオｰル, 76,三浦皇,, 79,*  9,* 11, 1,  2.5, ①①, 1,16,Ｇワンダｰタバスコ, 66,松田大,, 71,  -9,* 15, 7, 18.7, ⑪⑨, 1, 1,Ａマイネルアトレ, 75,中舘英,, 78,* -6,* 20, 1,  3.8,④④⑤
 2,10,Ｅガッチリガッチリ, 54,北村友, 1.1, 52, -11,*  7, 8, 23.7, ⑮⑫, 2, 7,Ｂブルｰカｰディナル, 75,木幡初, 0.6, 74,*  9,   6, 5,  7.6, ②②, 2, 1,Ａリトルビスケット, 76,丸田恭, 0.0, 70,*  3,   4, 2,  3.9, ①①, 2, 2,Ｃゼンノソルジャｰ, 72,的場勇, 0.3, 69,* -4,  13, 6, 13.3,②②①
 3,16,Ｇロｰブドヴルｰル, 48,田中博, 1.3, 54,  -1,  -4, 7, 22.7, ⑤⑤, 3, 5,Ｆダノンフレンドリｰ, 72,藤岡康, 0.8, 72,   7,   6, 3,  6.6, ③③, 3, 6,Ｄネバｰチェンジ, 69,中舘英, 0.2, 70, -14,* 18, 1,  3.4, ⑭⑯, 3,13,Ｅカツヨカムトゥルｰ, 71,黛弘人, 0.3, 74,  -7,* 19, 7, 15.1,⑭⑩⑦
 4, 4,Ｃキングスウィｰプ, 60,田面木, 1.5, 55,*  5, -10, 2,  7.7, ①②, 4, 3,Ｅガッサンルｰブル, 73,赤木高, 0.9, 69,   2,*  9, 6, 20.8, ⑨⑧, 4, 8,Ｃカｰリアンダンス, 70,赤木高, 0.3, 66,  -2,   5,10, 36.4, ④③, 4, 9,Ｊミッキｰスタｰ, 64,安藤光, 0.3, 75,  -8,* 21, 5, 10.8,⑨⑬⑬
 5,15,Ｌコスモジブリル, 40,大野拓, 1.5, 53,  -5,  -1,10, 77.9, ⑨⑧, 5,10,Ｎブイヘネシｰ, 54,北村友, 1.6, 63,   5,   0, 9, 53.2, ⑤⑤, 5,15,Ｆテイエムオペレッタ, 68,荻野琢, 0.5, 63,  -6,   6, 6, 13.4, ⑧⑨, 5, 3,Ｏシンボリロｰレンス, 61,木幡初, 0.3, 73,* -6,  16,13, 71.7,⑤④④
 6,14,Ｊオリオンザブラック, 42,木幡初, 1.7, 52,   3,  -9, 5, 17.9, ④④, 6, 8,Ｄロｰドレンジャｰ, 74,中舘英, 1.7, 63,   5,   0, 2,  4.0, ⑤⑤, 6, 2,Ｅフェルロッサｰ, 69,石橋脩, 0.6, 63,*  3,  -4, 3,  5.6, ②②, 6,14,Ｆフィッツロイ, 70,三浦皇, 0.4, 71,* -6,  14, 2,  4.7,⑥④⑤
 7, 3,Ｄオンワｰドラｰト, 55,高山太, 2.1, 45,  -6,  -8,13,145.6, ⑨⑩, 7, 9,Ｋウェディングライト, 60,石橋脩, 1.7, 64,   7,  -2, 7, 23.2, ③③, 7,11,Ｈクインズプレイヤｰ, 65,高山太, 0.7, 61,  -2,   0, 4,  9.6, ④③, 7,15,Ｄピサノロンシャン, 72,松田大, 0.5, 70,* -6,  14, 4,  7.1,⑩⑦⑦
 8, 9,Ｂツクバハピネ, 64,中舘英, 2.1, 44,  -7,  -6, 3, 10.6, ⑫⑫, 8,13,Ｃベルモントユリア, 74,菊沢隆, 1.8, 63,   6,  -2, 4,  6.7, ⑤⑤, 8,13,Ｌメインヴォｰカル, 60,津村明, 0.7, 62, -13,  10,11, 44.4, ⑭⑬, 8,11,Ｉホッカイルオｰ, 64,石橋脩, 0.6, 70,* -6,  13,15,106.4,⑩⑦⑦
 9, 8,Ｈノボパガｰレ, 48,大庭和, 2.2, 45,  -6,  -8, 6, 19.1, ⑨⑩, 9,14,Ｈキングエルドラド, 66,宮崎北, 1.9, 60,   2,   1,12,159.9, ⑨⑪, 9, 5,Ｋアサクサヴェｰル, 62,柄崎将, 0.7, 61,  -9,   6,12, 45.4, ⑪⑨, 9,16,Ｂナムラチェンジ, 72,北村友, 0.6, 70,* -6,  13, 3,  5.2,⑩⑦⑦
10, 6,Ｉツカサ, 47,小野次, 2.3, 42, -10,  -4,12,119.4, ⑮⑮,10,12,Ｊフェｰヴ, 66,千葉直, 1.9, 60,   4,  -1,14,186.2, ⑧⑩,10, 3,Ｉトシザコジｰン, 64,田中博, 0.8, 61, -14,  10, 5,  9.8, ⑭⑬,10, 8,Ｍフラワｰネックレス, 61,芹沢純, 0.8, 70, -10,* 19,14, 78.6,⑯⑯⑯
