08年11月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａチェアユｰアップ, 58,丸田恭,, 51, -14,*  0, 4,  9.2, ⑩⑩, 1,16,Ｂファッシオドンナ, 73,木幡初,, 66,*  1,   5, 2,  3.5, ②②, 1, 8,Ｃサンアスレチック, 72,的場勇,, 72,* 11,*  5, 3,  5.2,①①①, 1, 2,Ｅシゲルアラムシャ, 70,黛弘人,, 72,   3,* 13, 8, 27.1,⑦⑥⑥
 2,15,Ｅコウユｰルｰジュ, 51,赤木高, 0.1, 53,  -7,* -7, 7, 18.5, ④⑥, 2, 6,Ｃミキノセレナｰデ, 73,藤岡康, 0.4, 63,  -2,   4, 3,  3.9, ④⑥, 2, 5,Ａヒラボクオウショｰ, 77,松田大, 0.6, 68,   8,*  8, 1,  3.1,⑤⑥⑥, 2, 8,Ｂニュｰロザリオ, 72,北村友, 0.0, 69,   5,* 10, 4,  6.7,⑥④④
 3,11,Ｎパピオンライン, 26,津村明, 0.5, 48,  -9, -10, 6, 12.0, ⑦⑦, 3,13,Ｈウレッコ, 67,赤木高, 0.4, 63,  -9,* 11, 6, 27.3, ⑪⑪, 3, 3,Ｊコスモコマンダ, 63,田中博, 0.9, 66,   9,   3,11, 79.7,④④④, 3, 3,Ｄマイニングゴｰルド, 71,石橋脩, 0.6, 66,*  7,   2, 2,  4.2,①①①
 4, 2,Ｉドゥミポワント, 40,西田雄, 0.6, 47,  -7, -14, 8, 26.0, ④③, 4, 7,Ａテイクマイアイズ, 76,三浦皇, 0.5, 60,  -3,   4, 1,  2.7, ⑦⑧, 4,14,Ｉグラミスキャッスル, 67,藤岡康, 0.9, 66,   9,   3, 9, 27.8,⑭④④, 4, 4,Ｆアドミラビリス, 70,芹沢純, 0.8, 68,   1,* 11, 7, 26.9,⑬⑫⑨
 5,12,Ｋケｰジｰフジ, 33,石橋脩, 0.7, 46,  -7, -15,12, 89.4, ④③, 5, 1,Ｅマイディスカバリｰ, 70,田辺裕, 0.7, 59,*  4,  -4, 8, 34.1, ①①, 5,10,Ｌスプリングバレル, 61,三浦皇, 1.4, 62,* 10,  -3, 5,  9.1,③③②, 5,10,Ｋドンアドヴァイタ, 60,津村明, 0.9, 65,   2,   7, 6, 19.2,⑨⑨⑨
 6, 8,Ｃメイブルｰム, 54,中村将, 0.8, 42, -20,* -4, 5,  9.7, ⑮⑫, 6,11,Ｊクリスリリｰ, 65,中村将, 0.9, 57, -14,* 10,12,171.7, ⑭⑭, 6,11,Ｋハｰマジェスティ, 63,小林慎, 1.7, 62,   7,   2, 8, 18.2,⑦⑨⑦, 6, 5,Ｊエイトサンデｰ, 61,田辺裕, 1.0, 61,   5,   1,13,129.5,④④④
 7, 6,Ｄコｰヒｰゼリｰ, 52,田中博, 1.0, 45,* -2, -24, 3,  9.0, ①①, 7,15,Ｐハｰバｰクイｰン, 52,古川吉, 0.9, 58,  -8,   4,13,192.2, ⑨⑨, 7, 9,Ｄマルイチハｰト, 70,北村友, 1.8, 62,* 11,  -7,13,141.1,②②②, 7,13,Ｃフェアｰムｰラン, 71,宮崎北, 1.0, 61,*  6,  -1, 5,  7.5,③②②
 8, 4,Ｍマイネカノン, 30,丹内祐, 1.0, 41, -10, -16,10, 51.8, ⑦⑧, 8, 5,Ｆリヒタｰ, 69,宮崎北, 1.0, 56,  -3,   0,11, 62.9, ⑦⑥, 8, 1,Ｆニシノハドウホウ, 69,赤木高, 1.9, 61,   7,   1, 4,  8.2,⑪⑨⑨, 8,11,Ａメイショウトンボ, 77,中村将, 1.1, 63,   2,   5, 1,  2.8,⑩⑨⑦
 9,14,Ｇメイプルマキシマム, 47,大野拓, 1.2, 41,* -3, -25,11, 57.5, ②③, 9, 3,Ｄアルコイリス, 72,中舘英, 1.1, 56,  -1,  -3, 4,  9.0, ④③, 9, 7,Ｍロンドンウィング, 60,丹内祐, 2.7, 57,   6,  -2,12,109.9,⑮⑪⑨, 9,14,Ｇヒットミｰアゲイン, 68,丸田恭, 1.3, 63,   1,   5,11, 71.2,⑪⑪⑨
10,16,Ｌニｰナ, 32,田辺裕, 1.5, 34, -10, -23,15,234.8, ⑦⑧,10, 2,Ｎハイデフィニション, 62,大野拓, 1.2, 55,  -1,  -4,10, 41.1, ④③,10, 2,Ｇティリブルティｰト, 68,黛弘人, 3.0, 55,   8, -11,10, 56.9,⑨⑦⑦,10, 1,Ｌバイヨン, 60,三浦皇, 1.6, 58,*  6,  -5, 3,  5.7,②②②
