08年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ｶﾀｰﾙ賞,,,,,,,,,,,,韓国賞,,,,,,,,,,,,ﾏﾚｰｼｱｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃケイアイダイオウ, 51,吉田豊,, 63,*-10,*  9, 3,  8.4, ①①, 1, 3, シンメイリゲル,,西谷誠,,,,, 2,  4.3,③①①, 1, 1,Ｃスｰニ, 75,内田博,, 74,*  7,*  8, 1,  1.8, ①①, 1, 2,Ｒライムキャンディ, 71,藤田伸,, 92,  -8,* 28, 2, 10.0, ⑦⑦
 2,11,Ｄブレｰヴゴｰルド, 48,吉田隼, 0.1, 62,*-12,* 10, 4,  9.0, ③②, 2, 5, トウカイエｰル,,蓑島靖,201.7,,,, 9, 27.4,⑦⑦⑦, 2, 3,Ａレッドヴァンクｰル, 79,北村宏, 0.4, 70,   5,*  7, 3,  7.7, ③④, 2, 6,Ｇエイシンパンサｰ, 82,武豊  , 0.1, 89,* -3,  20, 1,  2.2, ③③
 3, 8,Ａムｰンストｰン, 65,松岡正, 0.2, 62, -15,* 14, 1,  1.6, ⑧⑨, 3, 2, スリｰキセキ,,北沢伸,202.3,,,, 8, 22.5,⑩⑤④, 3, 4, ウィナｰズダンス,---,勝浦正, 1.5, 60,   0,   4,10,196.3, ⑩⑧, 3, 8,Ａトウカイオスカｰ, 88,柴田善, 0.2, 87,* -2,  16, 3, 10.5, ②②
 4, 2,Ｂティアップザスタｰ, 62,勝浦正, 0.8, 56, -13,   5, 2,  3.9, ③④, 4, 1, シャドウパルマン,,高野和,202.4,,,, 4,  6.7,⑥③③, 4,10,Ｆケイアイジンジン, 60,安藤勝, 1.5, 61,   5,  -1, 4, 11.5, ③⑥, 4,14,Ｌメイビリｰヴ, 78,松岡正, 0.3, 83,*  2,   9, 9, 16.6, ①①
 5, 1,Ｅリニアラピｰト, 48,小林淳, 1.4, 51, -14,   2,10,119.6, ⑤⑥, 5,13, カズノダンシング,,穂苅寿,202.9,,,, 6, 11.4,⑨⑦⑦, 5, 8,Ｄリスペクトキャット, 65,武豊  , 1.5, 61,   5,  -2, 5, 12.9, ③④, 5, 1,Ｉサララ, 81,田中勝, 0.4, 89, -11,* 26, 5, 12.5, ⑬⑪
 6, 3,Ｉガイアファイア, 45,柴山雄, 1.6, 50,*-12,  -3, 7, 52.5, ②②, 6,10, サトノスロｰン,,山本康,203.0,,,, 1,  3.5,②③⑤, 6, 5,Ｉサザンスタｰディ, 47,伊藤工, 1.7, 58,   0,   2, 9,107.6, ⑧⑧, 6,12,Ｆハネダテンシ, 82,蛯名正, 0.5, 83,* -3,  15, 7, 15.3, ④③
 7, 7,Ｈコスモフィオラ, 47,武士沢, 2.3, 44, -13,  -6,11,188.3, ⑤⑥, 7, 4, コアレススイフト,,宗像徹,203.9,,,, 3,  5.3,④⑤⑤, 7, 7,Ｅラヴリｰドリｰム, 62,田中勝, 1.8, 61,*  8,  -6, 7, 34.3, ②②, 7,11,Ｃワルキュｰレ, 83,吉田豊, 0.7, 84, -11,  22, 8, 15.6, ⑬⑪
 8, 6,Ｆベルモントダンク, 48,伊藤工, 2.5, 42, -14,  -8,12,240.6, ⑤⑥, 8,14, キョウエイライジン,,五十嵐,204.3,,,,11, 45.7,⑩⑨⑨, 8, 6,Ｂコウエイフラッシュ, 76,蛯名正, 2.4, 55,   6, -11, 2,  3.4, ③②, 8,10,Ｐホエｰルシャｰク, 76,内田博, 0.7, 84,  -9,  20,11, 26.9, ⑩⑨
 9, 4,Ｊジャンジャン, 37,田面木, 3.2, 37, -16, -11, 9,107.8, ⑪⑪, 9, 9, サクライナセ,,横山義,205.0,,,, 5,  9.3,①②②, 9, 2,Ｇモンテアルベルト, 55,柴田善, 2.4, 54,   4,  -9, 6, 16.5, ⑦⑥, 9, 4,Ｄスペシャルフロｰト, 82,菊沢隆, 0.8, 80,  -5,  14,17,115.2, ⑤⑤
