08年11月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,UAE賞,,,,,,,,,,,,香港賞,,,,,,,,,,,,ｱｼﾞｱ競馬会議記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂノアプレミアム, 59,田中勝,, 44,  -9,* 12, 3,  4.4, ⑩⑩, 1, 4, サンクフルルック,---,後藤浩,, 57,* -7,   2, 1,  1.5, ②②, 1, 5,Ｆリフレックス, 71,内田博,, 75,   2,* 14, 3,  8.2, ⑨⑩, 1, 3,Ｆロｰルオブザダイス, 85,ペリエ,, 87,   7,* 20, 2,  4.7,④⑥⑧
 2, 2,Ｄスタｰリバイバル, 56,吉田豊, 0.2, 42,  -4,   2, 2,  3.5, ②④, 2,11, コスモフォｰス,---,松岡正, 0.3, 56,  -9,   2, 6, 33.8, ④⑤, 2,14,Ｃコスモビｰスト, 72,柴山雄, 0.3, 75,  -1,* 16, 7, 28.1, ⑭⑭, 2,12,Ａドリｰミｰペガサス, 89,蛯名正, 0.2, 85,*  8,  16, 1,  2.1,④④⑤
 3, 4,Ｋレイクルイｰズ, 20,浜中俊, 0.6, 41,  -9,*  9, 8, 51.5, ⑩⑪, 3,12, アゲシオ,---,田中勝, 0.3, 57, -14,*  7, 8, 69.4, ⑪⑩, 3,13,Ａツバサドリｰム, 78,蛯名正, 0.3, 73,*  4,   8, 1,  1.7, ⑦③, 3, 2,Ｌコロナグラフ, 81,松岡正, 0.5, 83,*  8,  13, 3,  7.0,②④③
 4, 1,Ｉブルｰハｰト, 31,松岡正, 0.8, 37,* -3,  -5, 7, 16.9, ②②, 4,16, モリトキボウ,---,勝浦正, 0.3, 57, -10,*  3, 7, 60.9, ⑦⑦, 4,16,Ｈディアｰウィッシュ, 69,吉田隼, 0.5, 70,*  5,   5, 5, 17.5, ②②, 4, 7,Ｏヤマニンリュバン, 80,柴田善, 0.5, 83,   7,  15, 9, 29.0,⑦⑥⑥
 5,11,Ｅスグリワ, 46,村田一, 1.0, 38,  -5,  -2,11,113.0, ⑦⑦, 5, 9, ティアップハｰレｰ,---,吉田隼, 0.4, 55,  -8,   0, 2,  6.1, ③③, 5, 6,Ｄグラスゴッド, 71,伊藤工, 0.5, 71,   3,   8,13,106.9, ④⑦, 5,10,Ｎナムラクック, 81,勝浦正, 0.6, 84,   6,  16,13, 56.6,⑨⑩⑩
 6, 3,Ｇシンボリカｰジナル, 42,伊藤工, 1.2, 33,* -3,  -8, 4,  9.2, ④②, 6,14, ストロングネオ,---,吉田稔, 0.7, 53,  -9,  -2, 5, 11.2, ④⑤, 6, 3,Ｌウインペイシェント, 64,幸英明, 0.6, 70,   2,  10, 8, 47.8, ⑪⑩, 6, 5,Ｇパｰプルイｰグル, 85,吉田稔, 0.7, 84,   5,* 18, 5, 14.9,⑨⑬⑫
 7, 6,Ｈマイネルセラフィム, 31,吉田稔, 1.2, 35,  -8,   0,10, 99.6, ⑨⑨, 7, 2, クリノシｰグリｰン,---,武士沢, 1.1, 51, -13,   1,12,111.6, ⑩⑩, 7, 7,Ｏセクシｰザムライ, 60,松岡正, 0.9, 70,  -2,* 12,14,123.0, ⑮⑮, 7,14,Ｅアグネスネクタル, 85,浜中俊, 0.7, 80,*  9,   9,12, 49.5,⑮②②
 8,10,Ｊストラｰダｰ, 30,柴山雄, 1.5, 32,  -4,  -9, 6, 15.3, ⑦④, 8,10, トレッドウェｰヴ,---,幸英明, 1.1, 50, -11,  -2, 9, 88.6, ⑦⑧, 8, 8,Ｂニシノテンカ, 75,後藤浩, 1.0, 67,   4,   4, 2,  4.4, ⑦⑦, 8, 8,Ｍメジロバｰミュｰズ, 81,田中博, 1.1, 82,   4,  16,15,196.5,⑫⑮⑮
 9, 8,Ａティアップシンゲキ, 69,江田照, 2.1, 28,  -4, -14, 1,  2.8, ⑤④, 9, 7, オンワｰドダンク,---,郷原洋, 1.3, 47,* -4, -13, 3,  9.4, ①①, 9, 9,Ｊトｰセンステルス, 66,田中勝, 1.1, 68,   2,   6, 6, 25.7, ⑫⑩, 9, 6,Ｄストラディヴァリオ, 86,村田一, 1.1, 82,   4,  15, 6, 17.7,⑫⑬⑫
