08年11月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩谷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, キクノアポロ,---,石橋脩,, 61,  -8,* 11, 6, 10.8,⑧④④, 1,10,Ｇキュｰバンエイト, 48,北村友,, 70,*  3,*  5, 4,  6.7, ①①, 1,10,Ｃアグネスラナップ, 77,池添謙,, 76,*  6,* 13, 3,  8.9,⑥④③, 1,11,Ｉマスタｰオブゲｰム, 65,木幡初,, 76,   3,   8, 3,  6.9, ⑤⑥
 2, 9, ダノンアスコット,---,佐藤哲, 0.3, 59,* -8,*  8, 1,  3.1,②③②, 2,15,Ａカネコメリッチ, 61,芹沢純, 0.7, 61,*  2,  -3, 1,  2.6, ④④, 2,11,Ｅベロｰチェ, 74,佐藤哲, 0.1, 77,*  7,* 12, 5, 17.5,④③②, 2, 5,Ｃネバｰチェンジ, 71,芹沢純, 0.1, 74,  -4,* 14, 4, 10.1, ⑯⑨
 3,12, ブロｰヒッタｰ,---,赤木高, 0.7, 54,* -7,   3, 2,  4.3,⑤②①, 3,12,Ｃコクトｰ, 55,池添謙, 0.9, 59,*  3,  -7, 8, 33.6, ②②, 3, 4,Ｄリｰジェントゲスト, 75,木幡初, 0.3, 74,   5,* 13, 4, 14.3,③⑤④, 3,14,Ｅマイネルプルｰト, 71,丸田恭, 0.1, 74,  -1,* 11, 7, 20.2, ⑪⑭
 4, 5, スカイボｰイング,---,丸田恭, 1.4, 52, -10,   2, 8, 22.5,⑪⑨⑧, 4, 3,Ｌレオタイムリｰ, 41,大野拓, 0.9, 56,  -4,*  0,11, 52.6, ⑪⑨, 4, 8,Ｆエミネムシチｰ, 71,大野拓, 0.7, 74,   4,* 12, 6, 23.4,⑦⑧⑥, 4,13,Ｐニュｰホｰプ, 58,赤木高, 0.2, 73,   3,   6,13, 58.3, ⑥⑧
 5, 2, ロｰドブラン,---,藤岡康, 1.8, 48,  -9,  -3, 4,  7.4,③⑦⑥, 5,16,Ｅボスオブザリンド, 53,宮崎北, 1.2, 53,  -1,  -7, 5, 12.6, ⑨⑧, 5, 6,Ｂマイネルサラン, 78,丸田恭, 0.9, 72,   4,  11, 2,  6.5,⑫⑨⑨, 5, 6,Ａマイネルカｰロ, 74,大野拓, 0.2, 73,   2,   7, 6, 16.3, ⑦⑤
 6, 7, スウェプトアロング,---,大野拓, 2.3, 45,  -9,  -7, 9, 32.2,①⑥⑤, 6,11,Ｄコウユｰルｰジュ, 53,赤木高, 1.3, 52,  -2,  -7, 3,  6.5, ⑩⑫, 6, 1,Ａダイワジｰニアス, 81,中舘英, 1.0, 68,*  7,   3, 1,  1.3,①①①, 6, 9,Ｄクロスホｰリｰ, 71,郷原洋, 0.3, 72,   2,   6,12, 52.2, ⑧⑦
 7, 8, デライトシチｰ,---,三浦皇, 2.5, 41,* -7, -13, 3,  6.7,④①③, 7, 8,Ｎマンハッタンジョイ, 37,三浦皇, 1.4, 51,  -6,  -4, 9, 34.9, ⑬⑭, 7,14,Ｋメインヴォｰカル, 62,草野太, 1.6, 66,   5,   3, 7, 65.4,⑤⑥⑤, 7, 7,Ｇコパノシンオｰ, 67,宮崎北, 0.4, 71,  -1,   8,15, 70.9, ⑩⑩
 8,10, ファミッリア,---,北村友, 2.7, 40, -10,  -8, 5,  7.5,⑨⑧⑦, 8, 2,Ｆオリオンザブラック, 51,黛弘人, 1.5, 50,  -1, -11, 7, 29.2, ⑤⑤, 8,12,Ｌルクラｰジュ, 61,西田雄, 2.3, 59,   4,  -3,13,424.4,⑪⑦⑧, 8,15,Ｋコスモジャイロ, 64,津村明, 0.5, 69,   0,   5,14, 63.8, ⑨⑪
 9, 3, シｰソブリン,---,荻野琢, 3.1, 42, -11, -10,10, 56.1,⑥⑪⑨, 9, 4,Ｊトップパｰトナｰ, 43,的場勇, 1.7, 44,  -8,  -7,14,152.6, ⑫⑪, 9,13,Ｇマキハタセンシブル, 68,高山太, 2.5, 63,   1,   3, 9,138.3,⑮⑬⑫, 9,16,Ｊセンザイイチグウ, 65,三浦皇, 0.5, 70,  -2,   7, 2,  5.6, ⑬⑬
