08年12月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂゴｰルドエンデバｰ, 57,江田照,, 62,*  0,*  2, 2,  4.3, ①①, 1,10, リコリス,---,蛯名正,, 54, -10,* -2, 4,  8.5,⑨④④, 1, 2,Ａトｰセンジョｰダン, 76,ペリエ,, 85,* 12,*  9, 1,  2.0,②②②, 1,13,Ａダイワスカｰレット, 97,安藤勝,, 99,* 25,  -1, 1,  2.6,①①①
 2,15,Ａノボパガｰレ, 63,三浦皇, 0.8, 54,*  0,  -4, 1,  2.0, ②②, 2,11, スペシャルシンガｰ,---,デムｰ, 0.1, 52, -10,* -2, 1,  1.7,⑧⑥⑥, 2,10,Ｄアラシヲヨブオトコ, 69,後藤浩, 0.4, 82,  11,   5, 3,  8.3,④④④, 2,14,Ｊアドマイヤモナｰク, 92,川田将, 0.3, 98,  21,*  8,14, 90.2,⑭⑭⑭
 3, 6,Ｄロｰブドヴルｰル, 53,勝浦正, 0.8, 55,  -3,  -1, 7, 22.8, ⑤⑤, 3,12, ブルカン,---,勝浦正, 0.8, 48, -14,* -4, 8, 50.0,⑦⑪⑨, 3, 8,Ｂセイクリッドバレｰ, 75,吉田隼, 0.6, 80,   9,*  6, 5, 10.7,⑦⑦⑧, 3, 6,Ｇエアシェイディ, 95,後藤浩, 0.4, 96,  23,  -1,10, 36.1,⑨⑦⑧
 4, 4,Ｃエドノゴｰルド, 57,吉田豊, 1.0, 53,  -2,  -4, 3,  9.2, ③③, 4, 3, ヘロン,---,吉田隼, 1.0, 43,* -7, -20, 3,  8.3,①①①, 4,13,Ｃカノンコｰド, 70,内田博, 1.0, 78,   7,*  7, 6, 13.9,⑪⑩⑩, 4,11,Ｋドリｰムジャｰニｰ, 90,池添謙, 0.4, 99,  22,*  7, 7, 24.1,⑬⑬⑨
 5, 8,Ｐギンザフロンティア, 26,小島太, 1.3, 52,  -6,  -3,14,134.7, ⑧⑦, 5, 5, ドリｰムアスパイア,---,松岡正, 1.0, 43,* -8, -19, 2,  5.3,③③③, 5, 3,Ｇムクドク, 65,ルメｰ, 1.2, 75,   9,  -2, 9, 36.9,⑥⑥⑦, 5, 8,Ｂスクリｰンヒｰロｰ, 97,デムｰ, 0.5, 95,  23,  -2, 3,  6.4,⑩⑧③
 6, 9,Ｇグロｰリアスクイン, 50,村田一, 1.5, 49, -15,*  3, 8, 36.3, ⑮⑬, 6, 6, ジュウモンジ,---,三浦皇, 1.2, 42, -10, -19, 6, 20.0,⑥⑤⑤, 6, 6,Ｆハギノバロンドｰル, 65,横山典, 1.3, 73,   9,  -4, 8, 29.4,⑤⑤⑤, 6, 7,Ｄアルナスライン, 95,ペリエ, 0.7, 92,  21,  -1, 5, 18.3,⑪⑪⑩
 7,16,Ｅトクトイムスメ, 53,後藤浩, 1.6, 47,  -2,  -9, 4, 11.9, ④④, 7, 7, ノボシャｰク,---,横山典, 1.4, 39, -11, -16, 7, 31.4,④⑧⑦, 7,11,Ｍサクラルｰラｰ, 47,柴田善, 1.5, 72,   8,  -4, 2,  7.7,⑨⑨⑨, 7, 1,Ｅカワカミプリンセス, 95,横山典, 1.0, 90,  23,  -9, 6, 19.0,②⑤⑦
 8,13,Ｉカラｰドミル, 49,小林淳, 1.6, 48,  -7,  -4, 9, 40.0, ⑨⑩, 8, 1, ケイオｰスタｰ,---,吉田豊, 1.9, 36, -12, -21,11, 78.3,⑩⑩⑩, 8, 4,Ｉマイヨｰル, 64,三浦皇, 1.5, 72,* 12, -12,11, 58.5,③③③, 8, 9,Ｆメイショウサムソン, 95,武豊  , 1.0, 90,* 24, -13, 4,  8.4,③②②
 9,11,Ｏアッサムリｰフ, 30,横山義, 1.8, 45, -10,  -4,16,148.6, ⑫⑪, 9, 9, ゴｰルデンキッド,---,江田照, 1.9, 36, -11, -23,12,134.1,⑪⑨⑪, 9, 7,Ｈロイヤルダリア, 65,藤田伸, 1.7, 69,   8,  -7, 7, 26.7,⑧⑧⑥, 9, 5,Ｉフロｰテｰション, 94,ルメｰ, 1.2, 89,* 24, -16, 8, 27.3,⑦④⑤
10,12,Ｆクリノシｰグリｰン, 50,吉田隼, 1.9, 45,  -4,  -9,13, 96.3, ⑥⑥,10, 8, アドマイヤワンダ,---,川田将, 1.9, 34, -11, -25, 5, 12.0,⑤⑦⑧,10, 9,Ｋエンブリオ, 54,江田照, 2.1, 67,   5,  -6,13, 75.1,⑫⑫⑫,10, 2,Ｌベンチャｰナイン, 89,柴田善, 1.2, 90,  21,  -6,13, 80.0,⑧⑫⑬
11, 7,Ｈオンワｰドラｰト, 50,高山太, 1.9, 44,  -9,  -6,15,138.9, ⑩⑨,11, 2, コパノフルトラ,---,内田博, 2.2, 34, -13, -23, 9, 71.6,⑫⑫⑫,11, 5,Ｊグッデｰコパ, 59,デムｰ, 2.2, 66,   3,  -1,10, 42.9,⑬⑬⑬,11, 3,Ｎコスモバルク, 82,松岡正, 1.3, 89,  21,  -9,12, 75.7,⑤⑩⑪
12,14,Ｊルドゥｰテ, 49,松岡正, 2.1, 43,  -5, -10,12, 53.0, ⑦⑧,12, 4, シルクスフィｰダ,---,小林淳, 3.0, 28,* -7, -49,10, 72.5,②②②,12,12,Ｌゴｰルドスパｰクル, 53,松岡正, 2.3, 65,   7, -10,12, 62.4,⑩⑪⑪,12,10,Ｃマツリダゴッホ, 96,蛯名正, 1.6, 87,  23, -16, 2,  4.4,⑫⑨⑥
13, 1,Ｋブラックバロン, 48,池添謙, 3.1, 33, -10, -15,10, 40.8, ⑪⑫,,,,,,,,,,,,,13, 1,Ｅタイフｰンルビｰ, 66,吉田豊, 3.0, 57,* 14, -36, 4,  9.5,①①①,13, 4,Ｍエアジパング, 87,藤田伸, 2.4, 81,  23, -27,11, 54.4,⑥⑥⑫
