09年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｅモアザンスマｰト, 54,三浦皇,, 79,*  7,*  7, 3,  5.5, ①①, 1,13, パｰトナｰシップ,---,吉田隼,, 51, -10,  -3, 6, 24.3, ⑦⑦, 1,15,Ｂグラスゴッド, 78,伊藤工,, 74,   4,* 11, 5, 24.2,⑤⑥⑥, 1,12,Ａプラチナメｰン, 82,北村宏,, 81,*  7,  13, 3,  5.2,②②②
 2, 8,Ｂアゲシオ, 57,横山典, 1.8, 59,  -1,* -1, 5, 12.8, ⑦⑦, 2, 2, ブリッジトウショウ,---,武士沢, 0.1, 49,  -7,  -7, 4, 10.8, ④④, 2, 4,Ａストロングバサラ, 82,蛯名正, 0.0, 74,   4,* 11, 1,  1.3,⑦⑦⑦, 2, 7,Ｇストｰムタイガｰ, 79,横山典, 0.2, 80,   6,  14, 5,  7.5,⑤⑥⑥
 3, 7,Ｃシルバｰフェザント, 57,内田博, 2.2, 59,*  6, -11, 2,  3.5, ③②, 3, 6, シンシアシチｰ,---,大野拓, 0.2, 49, -18,*  2, 8, 37.5, ⑨⑨, 3,13,Ｃリｰジェントゲスト, 76,木幡初, 0.4, 71,*  5,   6, 4, 22.5,②②②, 3,14,Ｂシベリアンライオン, 81,西田雄, 0.4, 77,*  7,   9,11, 49.5,⑪④④
 4, 9,Ｈセンシュアルモｰド, 52,宮崎北, 2.4, 54,   2,  -9, 1,  2.8, ④⑥, 4, 4, ニシノシルエット,---,三浦皇, 0.2, 48, -18,*  3, 1,  1.5, ⑪⑫, 4,12,Ｎアビリティガｰデン, 60,吉田隼, 0.4, 71,*  5,   6, 8, 55.5,①①①, 4,13,Ｃアバレダイコ, 80,松岡正, 0.4, 80,   3,* 16, 1,  4.1,⑬⑪⑧
 5, 5,Ａスティルバイト, 60,松岡正, 2.7, 54,   2, -11, 4,  6.3, ⑥⑤, 5, 8, セプテンバｰレイン,---,田中博, 0.3, 49,* -5, -10,11,148.1, ②②, 5,10,Ｄコスモビｰスト, 75,丹内祐, 0.7, 70,*  5,   4, 7, 40.6,⑥④④, 5, 4,Ｄレオソリスト, 80,江田照, 0.4, 80,   6,  12, 7, 15.1,④⑤⑤
 6, 6,Ｇトウショウクロノス, 53,中舘英, 2.8, 54,*  6, -16, 7, 28.4, ②③, 6,12, アプロディｰル,---,的場勇, 0.5, 48,  -6,  -9, 5, 13.1, ⑥⑥, 6,14,Ｅマイネルビスタ, 74,松岡正, 0.7, 72,   2,* 11, 3, 14.3,⑯⑮⑬, 6, 1,Ｊトラストブラック, 77,柴田善, 0.7, 79,   2,* 15,14, 82.0,⑮⑭⑩
 7, 4,Ｉスノｰレｰザｰ, 49,郷原洋, 2.8, 49,  -6,  -5,10, 44.8, ⑪⑪, 7, 3, セレストラメｰル,---,蛯名正, 0.9, 43,  -7, -13, 3, 10.3, ⑤⑤, 7,16,Ｊソニックブレｰド, 68,吉田豊, 0.8, 69,*  5,   3, 9, 64.6,③③③, 7, 9,Ｌマイネルサラン, 77,三浦皇, 0.7, 78,   3,* 15, 8, 24.8,⑭⑬⑭
 8, 2,Ｄチャｰムサクランボ, 55,勝浦正, 2.9, 49,  -8,  -4, 8, 36.2, ⑫⑫, 8,10, ラブキュｰト,---,丸田恭, 0.9, 43,* -5, -15,12,150.8, ③③, 8, 2,Ｆサイレントフォｰス, 73,北村宏, 1.1, 66,   4,   2, 2,  6.2,④⑤⑤, 8,16,Ｅルシフェリン, 79,蛯名正, 0.8, 76,*  7,   6, 4,  5.7,③③③
 9,11,Ｍエビスホウシュウ, 35,武士沢, 3.1, 46, -10,  -4,13,178.3, ⑭⑬, 9, 1, チｰズ,---,内田博, 1.0, 43, -18,  -3, 7, 31.3, ⑩⑩, 9, 5,Ｈキングブライト, 70,嘉藤貴, 1.2, 68,   1,   9,14,168.3,⑮⑯⑮, 9, 6,Ｆベルグミサイル, 79,内田博, 0.9, 76,   5,   9, 2,  4.9,⑨⑨⑨
10,12,Ｆホッコｰテイオｰ, 54,大庭和, 3.1, 47,  -4,  -9, 9, 43.2, ⑩⑩,10, 5, カリスマテｰラｰ,---,勝浦正, 1.1, 42,* -5, -17, 2,  6.5, ①①,10, 1,Ｉラインジュエル, 70,松田大, 1.3, 68,   2,   5,12,112.2,⑪⑬⑧,10, 3,Ｈペイデイ, 78,吉田豊, 1.0, 76,   3,  11, 6, 13.7,⑧⑩⑫
11,13,Ｋマキノソアラ, 41,千葉直, 3.3, 46,  -1, -14, 6, 21.6, ⑧⑧,11,11, ヴァイタペ,---,北村宏, 1.4, 37, -32,*  4,10,135.3, ⑬⑬,11, 7,Ｇショウナンナイト, 71,内田博, 1.3, 66,   4,   1, 6, 35.1,⑨⑧⑨,11,11,Ｋロｰランウェルズ, 77,丸田恭, 1.1, 75,   3,  10, 9, 40.2,⑩⑫⑬
12, 3,Ｊニｰナ, 45,木幡初, 3.7, 42, -13,  -6,14,209.6, ⑮⑭,12, 9, トｰアマリｰ,---,田辺裕, 1.4, 39, -21,  -3,13,160.6, ⑫⑪,12, 8,Ｌビｰアデビル, 62,武士沢, 1.9, 62,   3,   0,10, 72.3,⑩⑨⑪,12, 5,Ｍマルブツブラボｰ, 76,武士沢, 1.2, 78,   1,* 17,15, 98.8,⑯⑯⑯
13,16,Ｏバルバロッサ, 27,石橋脩, 4.0, 42,   3, -23,12, 94.2, ⑤④,13, 7, クニサキレモネｰド,---,西田雄, 2.3, 30, -14, -18, 9,128.7, ⑧⑧,13, 9,Ｍキクジロウ, 61,柴山雄, 1.9, 66,   2,  -1,13,121.9,⑭⑪⑫,13,15,Ｉロットオブカクテル, 77,中舘英, 1.2, 72,*  8,   2,10, 40.4,①①①
