09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1400m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,初夢ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂウインザマキ, 67,浜中俊,, 62,* -1,*  4, 1,  1.4,③③④, 1, 6, ドクタｰラオウ,---,武豊  ,, 74,*  7,*  1, 1,  1.7, ②②, 1, 5,Ａキアｰロ, 72,渡辺薫,, 74,  -1,* 11, 7, 11.7, ⑨⑨, 1, 3,Ａタガノマｰシャル, 92,和田竜,, 88,*  2,* 25, 1,  1.6,①①①
 2, 2,Ｇクリノサンデｰママ, 47,上野翔, 0.2, 61,*  1,*  1, 3, 16.5,①①①, 2, 2, ワンモアマイウエイ,---,藤岡佑, 0.6, 70,*  8,  -5, 2,  3.5, ①①, 2, 1,Ｉウレッコ, 67,浜中俊, 0.1, 73,   1,*  8, 9, 29.2, ⑦⑦, 2,11,Ｄカリオンツリｰ, 86,藤田伸, 0.4, 85,*  2,  22, 3,  7.0,②②②
 3, 6,Ａマルブツハッピｰ, 68,船曳文, 1.2, 53,* -1,  -6, 2,  4.7,⑤⑤③, 3, 9, ハｰドウォン,---,後藤浩, 0.9, 67,   5,* -3, 4, 17.3, ⑤⑤, 3,13,Ｃイイデソユｰズ, 70,後藤浩, 0.1, 71,*  5,   2, 6,  9.3, ①①, 3, 7,Ｉヤマニンリュバン, 82,酒井学, 0.6, 83,   2,  21, 7, 35.0,⑥④③
 4, 5,Ｃワシャモノタリン, 55,中村将, 1.4, 50,  -3,  -4, 4, 16.6,⑧⑦⑥, 4, 8, アウラスタｰ,---,小牧太, 1.6, 60,  -1,* -2,10, 60.9, ⑩⑪, 4, 3,Ｄクレアシオン, 70,小牧太, 0.1, 73,  -4,* 14, 5,  6.9, ⑭⑫, 4, 9,Ｂサンワｰドラン, 87,藤岡佑, 0.7, 84,   0,  24, 4,  9.3,⑧⑦⑨
 5, 3,Ｍヒシピラルクｰ, 35,生野賢, 1.6, 51,  -4,  -4, 9, 73.5,⑨⑧⑧, 5, 3, アベニｰルシチｰ,---,幸英明, 1.7, 61,   6, -10, 8, 38.0, ④③, 5,12,Ｆファイブスタｰ, 69,安藤勝, 0.4, 69,*  4,   1, 1,  4.6, ④④, 5, 4,Ｆスタｰフォワｰド, 85,秋山真, 0.8, 84,  -1,* 25, 9, 46.0,⑨⑧⑧
 6, 9,Ｆノッティングスカイ, 49,高井彰, 2.0, 49,  -4,  -7,12,128.1,⑬⑩⑩, 6, 1, デルバｰル,---,赤木高, 2.7, 51,  -4,  -4,12,104.5, ⑮⑫, 6, 4,Ｈカミヒコｰキ, 68,鮫島良, 0.6, 68,   2,   0, 3,  5.8, ⑤⑤, 5, 2,Ｃピエナポパイ, 86,幸英明, 0.8, 83,   0,  23, 2,  5.5,⑤⑥⑥
 7,11,Ｋキングマイハｰト, 44,田中健, 2.0, 48,*  0, -15, 6, 23.5,②②②, 7,10, マサヒトボｰイ,---,田嶋翔, 2.8, 51,   2, -15,15,261.0, ⑨⑩, 7,11,Ｅメイショウシオギリ, 69,赤木高, 0.7, 65,   0,   2,10, 34.7, ⑧⑧, 7, 6,Ｅアドマイヤミリオン, 86,川田将, 0.8, 83,   2,  20, 5, 20.6,③③④
 8,12,Ｄシゲルトカチダケ, 53,岩崎祐, 2.3, 48,  -5,  -7, 7, 51.9,⑩⑪⑪, 8,15, トミケンヘイロｰ,---,福永祐, 2.8, 51,  -1, -11, 5, 22.0, ⑪⑭, 8,10,Ｂオｰクヒルズ, 71,藤岡佑, 1.1, 63,   2,  -4, 8, 12.8, ⑥⑥, 8, 1,Ｊユウキタイティ, 82,田中克, 1.2, 83,  -1,  22, 6, 21.8,⑦⑩⑦
 9,10,Ｈタマモシンボル, 45,荻野琢, 2.4, 48,  -4, -11, 8, 69.8,⑦⑨⑨, 9,11, スリｰテンペスト,---,田中勝, 2.9, 48,  -4,  -8,11, 86.1, ⑬⑬, 9, 8,Ｋレインボｰアｰチ, 66,幸英明, 1.1, 64,  -2,   2,11, 60.9, ⑪⑪, 9,10,Ｋチャｰムナデシコ, 81,福永祐, 1.3, 80,   1,  17, 8, 35.3,④⑤⑤
