09年 1月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1800m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1600m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,若潮賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａクロヒメ, 67,小野次,, 62,* -4,   2, 1,  3.1, ①①, 1, 2, シルクプロミス,---,蛯名正,, 60,* -4,*  2, 2,  6.1,④④③, 1, 8,Ｇニシノテンカ, 73,内田博,, 76,   6,* 18, 6, 24.5,⑨⑪⑨, 1, 6,Ａクリムゾンベガ, 78,内田博,, 76,  -2,  10, 1,  1.5,⑥⑦⑥
 2, 7,Ｅロｰブドヴルｰル, 55,勝浦正, 0.1, 61,  -9,*  6, 6, 11.5, ⑥⑤, 2, 5, マカフシギ,---,木幡初, 0.3, 60,  -7,*  7, 6, 28.7,⑦⑦⑦, 2,11,Ａストロングバサラ, 80,蛯名正, 0.0, 74,   8,  13, 1,  2.2,⑩⑥④, 2, 2,Ｃジェイドファスト, 75,江田照, 0.0, 78,  -7,* 17, 6, 35.7,⑩⑨⑧
 3,12,Ｃスズノプロスタｰ, 63,郷原洋, 0.5, 58, -11,   4, 3,  5.8, ⑪⑧, 3, 4, ハｰレムスウィング,---,吉田豊, 0.4, 56,* -4,  -3, 4,  7.8,①①①, 3, 4,Ｃダイレクトパス, 76,大野拓, 0.1, 77,   8,* 15, 7, 30.1,⑧⑧⑦, 3, 7,Ｅマルタカエンペラｰ, 75,木幡初, 0.2, 72,*  1,   4, 4, 12.4,③③④
 4, 2,Ｍクリノビリオネア, 36,内田博, 0.6, 56, -22,* 13, 7, 15.0, ⑯⑭, 4, 3, ケイアイセイドウ,---,藤田伸, 1.2, 51,* -4,  -8, 3,  6.8,②②②, 4, 7,Ｈサクセスアｰチ, 69,藤田伸, 0.2, 73,*  9,  10, 4,  9.5,②②②, 4, 5,Ｇスイｰトカルタゴ, 69,田中勝, 0.3, 71,*  0,   2, 2,  6.1,②②③
 5,10,Ｂスマｰトダズル, 64,伊藤工, 0.6, 56, -12,   4, 2,  4.2, ⑩⑩, 5, 7, トロピカルベリｰズ,---,後藤浩, 1.3, 50,  -5,  -8, 1,  1.5,⑤⑤⑤, 5, 9,Ｅシンボリロｰレンス, 74,木幡初, 0.5, 72,   8,   9, 9, 62.8,⑥⑤⑥, 5, 9,Ｄワイルドソニック, 75,後藤浩, 0.4, 66,*  2,  -4, 5, 14.1,①①①
 6,16,Ｄリネンピュア, 58,後藤浩, 0.7, 56,* -5,  -3, 5, 10.2, ②②, 6, 1, ヤマノカントリｰ,---,松岡正, 2.1, 47,  -8,  -9, 7, 32.3,⑥⑥⑥, 6,10,Ｂドリｰムマイスタｰ, 78,松岡正, 0.7, 70,   8,   8, 2,  3.1,④④⑤, 6, 1,Ｊトｰヨｰエｰピｰ, 66,柴山雄, 0.5, 68,  -2,   2,11,116.1,⑦⑥②
 7,13,Ｉニットウサンサン, 49,松岡正, 1.3, 51,  -7,  -7,12, 62.5, ④③, 7, 6, レｰヴアドリアｰナ,---,武士沢, 2.9, 44, -10,  -7, 9, 56.9,⑧⑧⑧, 7,12,Ｆステディｰラブ, 74,勝浦正, 0.7, 69,*  9,   5,10, 74.6,③③③, 7,10,Ｈエアムｰトン, 69,吉田豊, 0.8, 68,  -6,   6, 9, 44.7,⑨⑩⑨
 8, 5,Ｇグロｰリアスクイン, 50,江田照, 1.6, 48, -11,  -6,11, 61.9, ⑧⑦, 8, 9, ミエノキララ,---,内田博, 3.4, 41, -16,  -3, 5, 22.4,⑨⑨⑨, 8, 5,Ｄマルサライガｰ, 74,横山典, 0.8, 69,   7,   9, 5, 14.7,⑦⑦⑧, 8, 3,Ｂスズカロｰズマリｰ, 76,伊藤直, 0.9, 67,  -8,   8, 8, 41.1,⑪⑪⑪
 9, 4,Ｆプリモロｰズ, 53,蛯名正, 1.8, 46,  -7, -11, 4,  7.9, ③④, 9, 8, ノアビビッド,---,郷原洋, 3.7, 34,* -4, -30, 8, 45.1,③③④, 9, 6,Ｊモリトパラダイス, 66,吉田豊, 1.8, 63,   7,   0,12,125.5,⑫⑨⑩, 9, 4,Ｆホクレレ, 72,蛯名正, 1.1, 62,  -4,  -2, 3,  7.9,⑧⑧⑩
10,14,Ｋハヤブサリｰフ, 39,三浦皇, 2.3, 41, -14,  -9, 9, 40.8, ⑬⑬,,,,,,,,,,,,,10, 1,Ｌピンクバンサｰ, 54,三浦皇, 1.9, 62,   6,   1, 8, 36.2,⑤⑩⑪,10, 8,Ｋイｰサンラヴ, 63,大野拓, 1.7, 52,  -1, -16, 7, 37.6,④④⑤
11, 1,Ｈシンシアシチｰ, 50,大野拓, 2.4, 41, -14, -10, 8, 22.8, ⑫⑪,,,,,,,,,,,,,11, 2,Ｉダイワランスロット, 68,後藤浩, 2.3, 58,* 10,  -9, 3,  7.1,①①①,11,11,Ｉミウラリチャｰド, 69,柄崎将, 2.1, 48,  -1, -22,10, 97.7,⑤⑤⑦
12, 8,Ｊエムオｰイｰグル, 48,田中勝, 2.5, 40,  -8, -16,10, 43.2, ⑤⑥,,,,,,,,,,,,,12, 3,Ｋマグマカザン, 62,田中勝, 2.8, 57,   5,  -4,11,105.9,⑪⑫⑫,,,,,,,,,,,,
13, 6,Ｏルピナスブルｰ, 32,吉田豊, 2.9, 37, -11, -17,13, 84.8, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 3,Ｎラデエス, 34,鷹野宏, 3.2, 35, -14, -16,16,470.4, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 9,Ｐダイショウフルｰル, 15,中谷雄, 3.3, 34, -14, -16,15,423.1, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Ｌモルフェスペシャル, 38,柴山雄, 4.0, 29, -10, -27,14,340.8, ⑦⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:4),,,,,,,,,,,
単勝:310円 複勝:11=130円 07=270円 12=180円 枠連:890円,,,,,,,,,,,,"単勝:610円 複勝:02=240円 05=650円 04=350円 枠連:6,770円",,,,,,,,,,,,"単勝:2,450円 複勝:08=500円 11=120円 04=360円 枠連:730円",,,,,,,,,,,,"単勝:150円 複勝:06=110円 02=560円 07=200円 枠連:2,830円",,,,,,,,,,,
"馬連:1,660円 ワイド:07-11=600円 11-12=310円 07-12=900円",,,,,,,,,,,,"馬連:5,270円 ワイド:02-05=1,220円 02-04=590円 04-05=1,500円",,,,,,,,,,,,"馬連:2,200円 ワイド:08-11=840円 04-08=3,520円 04-11=630円",,,,,,,,,,,,"馬連:2,920円 ワイド:02-06=1,040円 06-07=280円 02-07=2,680円",,,,,,,,,,,
"馬単:2,890円 3連複:2,340円 3連単:14,100円",,,,,,,,,,,,"馬単:10,900円 3連複:9,060円 3連単:67,310円",,,,,,,,,,,,"馬単:7,260円 3連複:8,550円 3連単:68,890円",,,,,,,,,,,,"馬単:3,670円 3連複:6,690円 3連単:26,000円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 8R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝2200m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾒﾘｶｼﾞｮｯｷｰC ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａスマイルキング, 67,蛯名正,, 56,*  5,  -6, 2,  2.9,⑥②②, 1, 7,Ａジャストルｰラｰ, 59,藤田伸,, 59,*-12,*  3, 3,  4.9,①①①, 1, 2,Ｅクｰルフォｰマ, 71,内田博,, 70,  -7,* 12, 2,  3.9, ⑨⑥, 1, 3,Ｅネヴァブション, 92,横山典,, 94,* 15,* 12, 4,  7.0,③③②
 2, 5,Ｆジョｰベルスタｰ, 53,木幡初, 0.0, 57,   3,* -2,14,377.6,⑩⑩⑦, 2, 1,Ｊコオリナアベニュｰ, 45,三浦皇, 0.0, 63, -15,*  8, 2,  3.9,②④④, 2, 7,Ｃスコルピオンキッス, 74,蛯名正, 0.1, 70,  -4,   9, 3,  5.2, ⑤⑤, 2, 6,Ａエアシェイディ, 96,後藤浩, 0.4, 90,  12,  11, 2,  4.5,⑦⑦⑦
 3,12,Ｅトサップ, 54,三浦皇, 0.4, 54,   3,  -6, 3, 12.1,⑦⑨⑥, 3, 9,Ｂギンザジャスマック, 57,内田博, 0.3, 55,*-12,  -1, 5, 13.5,③②②, 3, 5,Ｊトｰセンクロス, 65,吉田豊, 0.2, 69,  -5,   9, 8, 26.3, ⑥⑦, 3, 7,Ｇトウショウシロッコ, 86,吉田豊, 0.4, 90,  12,  11, 7, 15.3,⑥⑥③
 4,13,Ｈホットコｰヒｰ, 49,吉田豊, 0.5, 54,   3,  -6,11,221.1,④⑦⑩, 4,16,Ｄヴィｰヴァミラコロ, 54,蛯名正, 0.7, 52, -15,  -2, 1,  3.0,⑩⑥⑤, 4, 4,Ａライカｰト, 75,三浦皇, 0.5, 66,  -4,   6, 1,  3.7, ④④, 4, 9,Ｆマイネルキッツ, 91,松岡正, 0.5, 90,  12,* 12, 9, 27.5,⑧⑧⑧
 5,15,Ｇグリｰンスタｰズ, 53,松岡正, 0.6, 53,*  6, -11,10, 85.4,⑧③③, 5,15,Ｃタカラサンデｰ, 57,後藤浩, 0.7, 50,*-14,  -5, 4,  6.4,④③③, 5,16,Ｂアプロｰズヒｰロｰ, 74,横山典, 0.5, 66, -11,* 12, 4,  7.0, ⑭⑪, 5,12,Ｄキングストレイル, 93,田中勝, 0.5, 89,* 16,  -2, 6, 11.1,①①①
 6, 4,Ｂセイウンウィスパｰ, 62,内田博, 0.7, 51,*  6, -12, 1,  1.7,③①①, 6, 8,Ｆファｰストタッチ, 51,横山典, 0.8, 50, -16,  -2, 7, 26.5,⑨⑦⑧, 6, 6,Ｈシンボリバッハ, 68,江田照, 0.7, 65,  -9,   8, 7, 22.7, ⑩⑩, 6, 2,Ｂアルナスライン, 94,武豊  , 0.6, 88,  13,   6, 3,  5.1,⑤⑤⑤
 7, 1,Ｄロｰドアイアン, 59,勝浦正, 0.8, 53,   1,* -4, 5, 21.0,⑨⑪⑫, 7, 5,Ｍコスモプライド, 44,松岡正, 0.9, 50, -16,  -2, 6, 22.2,⑧⑨⑨, 7,15,Ｄキングオブハイシｰ, 72,松岡正, 0.7, 64, -15,* 14, 5,  8.6, ⑯⑮, 7,10,Ｈグラスボンバｰ, 86,勝浦正, 0.6, 90,  10,* 16,12,106.5,⑪⑪⑨
 8,11,Ｍユキノヘラクレス, 40,小野次, 1.0, 50,   4, -14, 9, 81.9,⑪④④, 8, 4,Ｅグッゲンハイム, 52,勝浦正, 1.0, 48, -15,  -6, 9, 31.4,⑤⑤⑥, 8,12,Ｋシルクランサム, 65,大野拓, 0.7, 65,  -6,   6,11, 50.7, ⑦⑧, 8,11,Ｃドリｰムジャｰニｰ, 93,池添謙, 1.3, 84,  10,   7, 1,  3.2,⑬⑫⑪
 9, 7,Ｎノボシャｰク, 40,横山典, 1.3, 48,  -1,  -6, 7, 43.5,⑬⑬⑬, 9, 2,Ｐコスモパイオニア,-19,大野拓, 1.2, 48, -20,   1,14,128.9,⑬⑮⑭, 9,13,Ｌリッシンボス, 62,伊藤工, 0.8, 63,* -2,   0,12, 81.9, ③③, 9,13,Ｊチェストウイング, 78,蛯名正, 1.6, 81,   9,   7,13,156.2,⑫⑬⑫
10,14,Ｃジャンボマズル, 59,江田照, 1.3, 49,   4, -14, 6, 27.8,⑤⑧⑨,10, 3,Ｎヤマニンオクタゴン, 42,柴田大, 1.4, 44, -16,  -9,15,191.0,⑦⑧⑦,10, 9,Ｆエレガントフラッグ, 71,草野太, 1.1, 60, -11,   7, 9, 27.3, ⑬⑬,10, 8,Ｍドットコム, 76,藤田伸, 1.8, 77,  11,  -3, 8, 25.3,⑩⑨⑩
11, 2,Ｊアポロノオウジ, 47,後藤浩, 1.4, 47,   5, -16, 4, 13.6,①⑤⑤,11, 6,Ｉジｰアイジェｰン, 46,武士沢, 1.5, 45, -18,  -6,12, 87.8,⑫⑬⑩,11,14,Ｇマルタｰズマガン, 69,後藤浩, 1.1, 61,  -6,   2, 6, 13.6, ⑧⑨,11, 4,Ｉメイショウレガｰロ, 85,内田博, 1.9, 76,  14, -13, 5, 10.0,④④⑥
12,10,Ｉムサシトップガン, 47,小林淳, 1.4, 49,  -1,* -4,12,229.7,⑭⑭⑭,12,11,Ｇワンダｰベルグ, 48,柴山雄, 1.8, 39, -19, -12, 8, 31.0,⑪⑪⑫,12, 1,Ｍキングデオキシス, 59,高山太, 1.2, 59, -11,   6,16,316.5, ⑪⑫,12, 5,Ｋサンツェッペリン, 77,柴山雄, 2.6, 70,* 16, -30,10, 41.1,②②④
13, 6,Ｏガンダイオｰ, 24,大野拓, 1.8, 47,  -1,  -9,15,411.3,⑫⑫⑪,13,13,Ｏコンフェルヴォｰレ, 17,吉田豊, 2.0, 38, -20, -10,13,115.0,⑯⑯⑯,13,11,Ｉシャイニｰモス, 66,木幡初, 1.4, 58,* -2,  -4,10, 37.2, ②②,13, 1,Ｌゴｰウィズウィンド, 77,三浦皇, 2.7, 71,  10, -13,11,100.4,⑨⑩⑬
14, 3,Ｋヘヴンリｰスパｰク, 45,伊藤工, 2.2, 42,   4, -23,13,312.6,②⑥⑧,14,10,Ｈドリｰムサンセｰル, 47,池添謙, 2.4, 31, -19, -19,10, 43.1,⑭⑭⑮,14, 3,Ｎテラモミリオネ, 51,勝浦正, 1.7, 55, -11,   1,13,112.1, ⑫⑭,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｋアサギリ, 45,田中勝, 2.9, 26, -16, -30,11, 45.0,⑮⑩⑪,15, 8,Ｐイモｰタライズ, 44,大庭和, 1.7, 55, -15,   6,14,124.5, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｌカルナチンタ, 45,小野次, 3.5, 19, -19, -36,16,289.3,⑥⑫⑬,16,10,Ｏナスノアタック, 47,柴山雄, 2.3, 52,* -1, -13,15,131.6, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:4),,,,,,,,,,,
"単勝:290円 複勝:08=180円 05=8,410円 12=470円 枠連:230円",,,,,,,,,,,,単勝:490円 複勝:07=180円 01=180円 09=330円 枠連:860円,,,,,,,,,,,,"単勝:390円 複勝:02=170円 07=210円 05=680円 枠連:1,170円",,,,,,,,,,,,"単勝:700円 複勝:03=220円 06=170円 07=340円 枠連:1,350円",,,,,,,,,,,
"馬連:49,760円 ワイド:05-08=10,750円 08-12=800円 05-12=27,860円",,,,,,,,,,,,"馬連:1,140円 ワイド:01-07=330円 07-09=970円 01-09=1,200円",,,,,,,,,,,,"馬連:970円 ワイド:02-07=420円 02-05=2,240円 05-07=2,280円",,,,,,,,,,,,"馬連:1,650円 ワイド:03-06=590円 03-07=1,140円 06-07=830円",,,,,,,,,,,
"馬単:81,410円 3連複:186,450円 3連単:962,760円",,,,,,,,,,,,"馬単:2,350円 3連複:4,680円 3連単:20,920円",,,,,,,,,,,,"馬単:2,100円 3連複:7,620円 3連単:49,820円",,,,,,,,,,,,"馬単:3,640円 3連複:5,340円 3連単:27,530円",,,,,,,,,,,
