09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈマコトバンクウ, 44,福永祐,, 62,  -3,*  4, 6, 15.6, ⑤⑤, 1, 6, ダディｰズウォｰズ,---,安藤勝,, 50,*-27,  13, 1,  2.0,②②②, 1, 2,Ｅレイトスプリング, 74,田中博,, 77,*  0,  19, 6, 13.4,②②②, 1, 2,Ａブルｰデインヒル, 78,赤木高,, 75,* -2,  11, 3,  6.5, ③③
 2, 5,Ｂカゼノジュエリｰ, 62,鮫島良, 0.1, 62,*  2,   0, 1,  3.7, ①①, 2, 7, ツルマルノホシ,---,北村友, 0.0, 51,*-27,  13, 4, 11.6,③③③, 2, 9,Ｆシャイニングデイ, 72,的場勇, 0.1, 75,  -1,  22, 5, 13.3,⑤⑦⑥, 2, 4,Ｐユウタｰジパング, 56,秋山真, 0.1, 74,* -2,   9,14, 37.3, ④④
 3, 2,Ｇアッサムリｰフ, 50,宮崎北, 0.3, 57,  -3,   1, 9, 33.5, ④④, 3, 2, チョップチョップ,---,武豊  , 0.0, 52, -28,* 15, 2,  3.6,④④④, 3, 8,Ｃマイネナデシコ, 75,佐藤哲, 0.2, 76,  -1,  21, 3,  8.8,⑦⑥⑤, 3, 5,Ｄジョイフルハｰバｰ, 69,横山典, 0.3, 72, -14,* 18, 4,  7.3, ⑬⑫
 4, 3,Ａアベニｰルシチｰ, 69,北村友, 0.5, 55,  -6,*  2, 3,  4.6, ⑥⑥, 4, 3, ドライヴァｰズハイ,---,藤岡康, 0.2, 46,*-26,   7, 3,  4.1,①①①, 4, 5,Ａシングルショット, 76,武豊  , 0.2, 74,*  0,  16, 1,  1.9,③③③, 4, 3,Ｇカｰリアンダンス, 67,福永祐, 0.3, 72,*  2,   3, 7, 12.3, ①①
 5, 6,Ｃリキドｰ, 62,荻野琢, 0.8, 56,*  2,  -6, 4,  5.7, ②②, 5, 1, テイエムドルフィン,---,芹沢純, 0.2, 52, -28,* 15, 7, 53.0,⑥⑤⑤, 5, 6,Ｂレジｰムチェンジ, 76,横山典, 0.2, 79,  -3,* 28, 2,  3.6,⑪⑪⑩, 5, 1,Ｃマウントキング, 70,田辺裕, 0.4, 71,  -6,  10, 8, 14.8, ⑥⑥
 6,12,Ｉビッグキング, 41,幸英明, 0.8, 53,  -1,  -5, 5,  9.0, ③③, 6, 5, パｰプルスタｰ,---,中村将, 2.8, 18, -31, -16, 6, 25.4,⑤⑥⑥, 6, 4,Ｇマイネルメロス, 71,西田雄, 0.3, 75,*  0,  17, 8, 34.4,⑥⑤④, 6, 9,Ｅディスパｰジョン, 69,古川吉, 0.4, 71,  -5,   8, 2,  5.4, ⑤⑤
 7, 7,Ｅプレストスペル, 55,丸田恭, 1.0, 50,  -6,  -3, 7, 17.7, ⑦⑦, 7, 4, ケフェウス,---,浜中俊, 5.0, -4, -35, -37, 5, 11.9,⑦⑦⑦, 7,10,Ｄティルフィング, 74,安藤光, 0.6, 72,*  0,  13, 4, 12.6,④④⑦, 6, 6,Ｋメイショウヨリトモ, 63,藤岡康, 0.4, 71,*  1,   3, 9, 16.8, ②②
 8, 8,Ｌタグロッキｰ, 31,田嶋翔, 1.6, 43, -18,  -1,12,167.9, ⑫⑫,,,,,,,,,,,,, 8,11,Ｈシゲルアンビシャス, 71,幸英明, 0.6, 74,  -1,  16, 7, 30.7,⑧⑧⑧, 8,17,Ｂカノヤトップレディ, 72,北村友, 0.5, 71, -17,* 19, 1,  5.4, ⑰⑯
 9,11,Ｆカシノコロン, 54,二本柳, 1.6, 45, -11,  -5, 8, 31.0, ⑪⑪,,,,,,,,,,,,, 9, 1,Ｋエｰシンダボｰブイ, 55,浜中俊, 0.9, 69,*  0,   7, 9, 46.9,①①①, 9,18,Ｉタガノマスタング, 65,小原義, 0.6, 70, -17,* 17,16, 94.7, ⑱⑱
