09年 2月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａスペシャルクイン, 73,太宰啓,, 73,  -1,* 12, 1,  2.0, ④②, 1, 9, アイアンルック,---,小牧太,, 66, -10,* 10, 1,  1.6, ⑨⑤, 1,10,Ｄハｰバｰブリッジ, 69,宮崎北,, 81,  -4,* 23,10, 38.8,⑩⑨⑧, 1,11,Ｄフィッツロイ, 70,佐藤哲,, 70,   2,  16, 2,  6.4,⑤⑤④
 2,10,Ｂメリュジｰヌ, 69,松田大, 0.4, 71,*  2,*  5, 2,  3.1, ①①, 2,12, コウセイグレイト,---,荻野要, 1.1, 53,* -1, -13, 9, 37.3, ③③, 2, 7,Ｈマイネルアテッサ, 67,丸田恭, 0.1, 74,*  2,  10, 5,  9.9,①①①, 2, 7,Ａコスモザガリア, 77,丸田恭, 0.0, 70,   1,* 19, 3,  6.7,⑦⑦⑥
 3,11,Ｃラッキｰフラワｰ, 60,黛弘人, 1.2, 62,  -1,   1, 3,  9.0, ③⑤, 3, 5, ヴィスペッツァ,---,的場勇, 1.4, 47, -10,  -8, 4, 10.8, ⑧⑨, 3,15,Ｅタニオブゴｰルド, 68,浜中俊, 0.4, 74,*  0,   9, 2,  6.4,④④②, 3, 9,Ｇトミケンプライム, 68,浜中俊, 0.1, 76,   1,* 23, 6, 17.3,⑨⑨⑨
 4, 4,Ｋオリオンザブラック, 50,田中博, 1.2, 62,  -6,   4, 9, 50.4, ⑥④, 4, 6, サイキョウシャトル,---,浜中俊, 1.4, 50,* -1, -17, 2, 10.0, ①①, 4,14,Ａグッドバニヤン, 73,中舘英, 0.5, 75,  -1,  11, 1,  2.1,⑥⑤③, 4, 2,Ｃウォｰボネット, 71,中舘英, 0.1, 72,   0,* 21, 1,  1.8,⑩⑩⑧
 5, 5,Ｉプリモロｰズ, 54,宮崎北, 2.1, 50, -12,  -1, 8, 31.6, ⑩⑥, 5, 4, ハンサムウｰマン,---,赤木高, 1.5, 47,  -6, -13, 6, 17.8, ⑤④, 5, 8,Ｂプティマカロン, 71,田嶋翔, 0.6, 75,  -6,* 19, 3,  6.9,⑪⑬⑬, 5, 6,Ｆスプリングバレル, 68,小牧太, 0.2, 67,*  5,   8, 9, 31.7,①①①
 6, 3,Ｍサダムヨカモン, 49,鮫島良, 2.2, 51, -12,  -2,11, 67.6, ⑪⑨, 6,14, オウシュウスタｰ,---,太宰啓, 1.5, 50, -19,*  1,14,139.2, ⑮⑯, 6, 3,Ｉオウシュウヘイロｰ, 67,小林久, 0.7, 75,  -7,* 19, 8, 33.3,⑭⑮⑫, 6, 3,Ｋクロチェｰラ, 56,北村友, 0.5, 65,   2,   9, 4, 10.2,④④③
 7, 8,Ｅクインビスティｰ, 57,荻野琢, 2.2, 51,  -6,  -6, 7, 24.5, ⑦⑦, 7,11, マヤコマリ,---,野元昭, 1.6, 47, -14,  -6,12, 96.6, ⑫⑪, 7, 5,Ｋヤマカツアザミ, 65,佐藤哲, 0.8, 68,  -1,   5,11, 67.8,②②④, 7, 5,Ｈテイエムチｰタｰ, 66,田中健, 0.7, 62,*  4,   3, 5, 15.3,②②②
 8, 9,Ｄオモイノママニ, 60,小牧太, 2.3, 51,*  0, -10, 4, 16.2, ②③, 8,10, シゲルサヌキフジ,---,河北通, 1.7, 44, -16,  -7,10, 63.9, ⑬⑫, 8,13,Ｆマルカレガｰト, 67,太宰啓, 0.8, 72,  -2,   9, 4,  8.1,⑦⑧⑦, 8,12,Ｅミナミタイヘイヨｰ, 69,田辺裕, 0.9, 62,   1,   7, 8, 26.1,⑧⑧⑤
 9,13,Ｈマキハタスプｰン, 54,芹沢純, 2.4, 48,  -6,  -8,13, 89.8, ⑧⑧, 9, 7, トウショウブリスク,---,中村将, 1.8, 45,*  0, -21, 3, 10.3, ②②, 9, 1,Ｃカツヨカムトゥルｰ, 71,黛弘人, 0.9, 67,  -2,   6, 6, 11.0,⑧⑥⑨, 9, 8,Ｂカゼノユクエ, 73,的場勇, 1.0, 61,  -4,  18,10, 51.6,⑫⑫⑪
10,12,Ｊラッキｰパズル, 52,田中健, 2.5, 48,  -9,  -6, 5, 22.5, ⑨⑩,10,16, ケイエスシンヨシキ,---,佐藤哲, 2.0, 40, -18,  -8, 5, 11.7, ⑯⑬,10,12,Ｌメジロマシュｰズ, 61,藤岡康, 1.1, 67,  -4,   7, 9, 37.7,⑬⑪⑪,10, 4,Ｉドリｰムドリｰマｰ, 66,長谷川, 2.2, 47,*  4, -17,11, 69.6,③③⑦
11, 1,Ｆアッサイ, 56,佐藤哲, 2.8, 44, -15,  -4,12, 70.4, ⑬⑫,11, 3, サムシングフォｰ,---,藤岡康, 2.1, 40, -13, -14, 7, 25.3, ⑩⑩,11, 6,Ｇジョニｰバロｰズ, 67,鮫島良, 1.1, 70,  -6,  12, 7, 24.2,⑮⑭⑭,11,10,Ｌアグネスサｰジャン, 44,安藤光, 2.3, 48,  -2,  -4, 7, 20.6,⑪⑪⑫
12, 2,Ｎマザｰテｰラｰ, 43,中村将, 3.1, 39, -13,  -9,10, 56.0, ⑫⑪,12,17, サクラオンハｰト,---,北村友, 2.3, 38,  -6, -23,13,130.6, ⑥⑥,12, 2,Ｊサフランキセキ, 65,長谷川, 1.6, 62,  -5,   4,13,149.9,⑫⑫⑮,12, 1,Ｊフィｰユ, 63,赤木高, 2.5, 45,   2, -13,12,120.8,⑥⑥⑩
13,14,Ｌタムロブライト, 50,丸田恭, 3.2, 38, -18,  -8,14,120.3, ⑭⑬,13, 1, トモロサンサン,---,田中博, 2.5, 36, -14, -18,11, 72.1, ⑪⑭,13,11,Ｎリザルト, 57,古川吉, 1.6, 59,  -2,  -4,15,194.7,⑤⑦⑥,,,,,,,,,,,,
14, 7,Ｇテイエムフラメンコ, 55,中舘英, 9.0,-17,  -4, -68, 6, 22.6, ⑤⑭,14, 2, ラブイズモネ,---,長谷川, 2.5, 36, -18, -13,16,226.9, ⑭⑮,14, 9,Ｍヴァイオリン, 61,荻野琢, 2.1, 51,*  0, -15,12,135.5,③③⑤,,,,,,,,,,,,
,,,,,,,,,,,,15, 8, テイクザラブ,---,宮崎北, 2.8, 31,  -3, -32, 8, 28.7, ④⑦,15, 4,Ｏリッカレイクブルｰ, 50,田中健, 2.3, 51,  -4,  -9,14,155.5,⑨⑩⑩,,,,,,,,,,,,
,,,,,,,,,,,,16,13, マヤノサラバンド,---,田中健, 2.9, 31, -40,*  4,17,253.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,18, カシノニケ,---,安藤光, 2.9, 29,  -8, -30,15,219.1, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:2),,,,,,,,,,,
単勝:200円 複勝:06=110円 10=120円 11=230円 枠連:230円,,,,,,,,,,,,"単勝:160円 複勝:09=110円 12=620円 05=200円 枠連:1,820円",,,,,,,,,,,,"単勝:3,880円 複勝:10=940円 07=340円 15=260円 枠連:6,680円",,,,,,,,,,,,"単勝:640円 複勝:11=260円 07=260円 09=450円 枠連:1,590円",,,,,,,,,,,
馬連:260円 ワイド:06-10=140円 06-11=390円 10-11=470円,,,,,,,,,,,,"馬連:2,040円 ワイド:09-12=790円 05-09=360円 05-12=3,250円",,,,,,,,,,,,"馬連:17,850円 ワイド:07-10=4,710円 10-15=3,640円 07-15=1,040円",,,,,,,,,,,,"馬連:2,340円 ワイド:07-11=810円 09-11=1,170円 07-09=1,110円",,,,,,,,,,,
