09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,内外ﾀｲﾑｽ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｇハニｰインチｰフ, 56,大野拓,, 61,  -3,*  0,10, 29.9, ⑥⑥, 1, 8, クレヨンロケット,---,蛯名正,, 67, -10,* 18, 4,  7.1,⑬⑩⑤, 1, 2,Ｃポルカマズルカ, 69,田中勝,, 70,  -3,* 15,11, 89.6,⑮⑭⑪, 1,10,Ｂナムラハンタｰ, 85,田中勝,, 85,   7,  18, 2,  5.4,④④②
 2, 8,Ｊプリティオｰドリｰ, 54,北村宏, 0.3, 58,  -7,*  1,11, 34.8, ⑨⑨, 2,11, ジェイズバニヤン,---,横山典, 0.3, 63, -10,* 14, 1,  4.5,⑦⑥⑦, 2, 5,Ｍトレジャｰバトル, 60,吉田豊, 0.1, 69,   1,   6, 4,  8.0,⑥⑤⑤, 2,11,Ｆコロナグラフ, 82,吉田豊, 0.0, 86,* 10,  13, 3,  6.1,①①①
 3,12,Ｂアントルシャカトル, 62,内田博, 0.6, 55,  -1,  -8, 1,  3.5, ⑤⑤, 3, 4, ロッタラック,---,後藤浩, 0.5, 60,* -8,   9, 7, 12.6,④③③, 3, 1,Ａツクバタイヨウ, 77,後藤浩, 0.1, 67,*  3,   4, 2,  3.8,①①①, 3, 6,Ｈフルブラッサム, 81,木幡初, 0.3, 86,   4,* 23,15,130.5,⑬⑩⑦
 4, 5,Ｆブリッジトウショウ, 57,武士沢, 0.6, 55,  -1,  -8, 2,  4.6, ④④, 4,13, マスタｰコｰク,---,岩田康, 0.6, 63, -10,  14, 9, 22.8,⑤⑪⑧, 4, 8,Ｂピカルディｰ, 70,岩田康, 0.2, 68,  -1,*  8, 1,  3.1,⑪⑨⑧, 4, 7,Ｎウェディングフジコ, 75,蛯名正, 0.4, 84,   6,  16, 1,  4.8,⑤⑥④
 5, 7,Ｃキタサンハナミチ, 60,蛯名正, 0.7, 54,*  1, -10, 5, 10.0, ②②, 5, 3, サクセスオネスティ,---,北村宏, 1.0, 58,* -8,   5, 2,  5.1,②②②, 5, 7,Ｌサトノバロン, 61,横山典, 0.9, 63,  -3,   6, 6,  9.6,⑬⑬⑩, 5, 8,Ｄサンマルセイコｰ, 84,大野拓, 0.5, 84,   4,  18,11, 35.5,⑩⑨⑥
 6, 9,Ｈネリネ, 55,柴山雄, 0.9, 55,  -5,  -6, 7, 13.0, ⑧⑧, 6, 6, ゲンパチデピュティ,---,村田一, 1.1, 62, -13,  13,12, 53.4,⑭⑬⑫, 6,16,Ｉイｰサンヘモス, 64,蛯名正, 0.9, 63,   1,   0,10, 70.1,⑧⑦⑥, 6, 9,Ｇエタｰナルスマイル, 82,伊藤直, 0.6, 85,   1,* 25,14, 62.0,⑭⑭⑫
 7,10,Ａストロベリｰタイム, 62,津村明, 0.9, 52,  -5,  -7, 9, 26.2, ⑦⑦, 7, 9, シンボリクルセイド,---,内田博, 1.1, 60, -11,  11, 3,  5.5,⑪⑫⑬, 7, 6,Ｇマジックシアタｰ, 66,吉田隼, 0.9, 63,  -2,   4, 3,  5.0,⑩⑩⑨, 7, 5,Ｉウエスタンマックス, 81,石橋脩, 0.9, 79,   5,  14, 6, 10.5,⑧⑦⑨
 8, 6,Ｉワニタレスタリ, 55,横山典, 1.3, 48, -16,* -1, 4,  6.9, ⑭⑬, 8,14, ウメノスキャタｰ,---,大野拓, 1.2, 57, -11,   7,10, 49.4,⑨⑦⑨, 8, 3,Ｎプラクシス, 58,勝浦正, 1.2, 63,  -3,   5,12,118.0,⑯⑯⑫, 8,12,Ａパレスショットガン, 86,田嶋翔, 0.9, 82,   4,  18, 4,  6.9,⑪⑪⑩
 9, 1,Ｅハセハインドマｰチ, 58,松岡正, 1.4, 48,  -1, -15, 8, 19.3, ③③, 9,10, ヘリオスアレイオン,---,松岡正, 1.7, 53, -11,   3,13, 60.4,⑩⑧⑩, 9,13,Ｊピエナリリｰ, 63,北村宏, 1.5, 59,   1,  -5, 9, 48.5,⑤⑥⑦, 9,14,Ｋウォｰタｰマｰク, 79,柴田善, 1.3, 78,   7,   8, 9, 17.7,⑦⑤③
