09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,山国川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄトミケンプライマリ, 60,松山弘,, 60,* -2,*  2, 5,  7.5,⑧⑤⑤, 1, 7, ヒカルアマランサス,---,藤岡康,, 58, -26,* 14, 2,  4.1, ⑧⑤, 1, 3,Ｂピエナグッドラック, 76,太宰啓,, 82,   7,* 19, 2,  3.2,⑭⑬⑧, 1,13,Ｊマリエンベルク, 64,北村友,, 75, -12,  19, 6, 11.7,④⑥⑥
 2, 1,Ｅカバｰドブリッジ, 57,丸田恭, 0.5, 55,  -3,  -1, 7, 12.1,⑤③③, 2, 3, ワンダｰスル,---,野元昭, 0.3, 54,*-21,*  7, 5,  9.4, ③②, 2, 4,Ｈショウナンサヴァン, 65,浜中俊, 0.2, 78,   8,* 11,11, 59.7,④⑧②, 2, 6,Ａマイネルアテッサ, 75,丸田恭, 0.1, 70,* -9,  13, 2,  5.8,②②②
 3,10,Ｂミルフィアタッチ, 63,酒井学, 0.6, 55,* -2,  -3, 2,  4.7,③②②, 3,16, キュｰトシルフ,---,鮫島良, 0.6, 50,*-21,   3, 3,  7.6, ④⑦, 3, 1,Ｊメジロレディｰ, 64,長谷川, 0.3, 76,*  9,   5,14,115.0,③③①, 3, 7,Ｃファイトザパワｰ, 72,上野翔, 0.1, 75, -13,* 20, 5,  9.8,⑦⑧⑦
 4, 5,Ｋクレバｰチｰコ, 50,宮崎北, 0.7, 55,  -4,  -1,11, 55.0,⑥⑦⑥, 4,12, ドナグレｰス,---,中舘英, 0.8, 47,*-19,  -2, 1,  3.2, ①①, 4,11,Ａレジｰムチェンジ, 77,中舘英, 0.3, 78,*  9,   8, 1,  2.9,⑩⑦⑦, 4, 1,Ｇモンサンミシェル, 68,中村将, 0.3, 73, -11,  17, 3,  6.8,⑤⑤④
 5, 6,Ｈボスオブザリンド, 52,黛弘人, 0.8, 56,  -4,   0,13, 79.3,⑩⑩⑧, 5, 4, マジックゲイル,---,田中健, 0.8, 47, -24,   3,12, 74.5, ⑦⑥, 5, 5,Ｇテイエムチｰタｰ, 66,田中健, 0.7, 73,   8,   7, 7, 13.9,⑨⑩⑫, 5, 2,Ｄトミケンプライム, 71,浜中俊, 0.3, 75, -10,  17, 1,  3.1,⑨④③
 6,11,Ｍヨドノホｰプ, 48,安藤光, 0.8, 53,  -4,  -2,12, 60.8,⑦⑧⑦, 6,13, エアガルニエ,---,上村洋, 0.8, 47,*-20,  -1, 8, 19.5, ②③, 6,16,Ｉグリフィス, 65,赤木高, 0.9, 69,*  9,  -3, 3,  7.3,⑧④⑥, 6,14,Ｉスズノライコウ, 65,菊沢隆, 0.4, 73, -16,* 23,15, 75.3,⑭⑭⑫
 7, 7,Ｃマチカネナツノジン, 61,田中博, 1.0, 55,  -7,*  3, 1,  4.5,⑬⑬⑬, 7, 8, ソｰクアップザサン,---,浜中俊, 0.8, 48, -25,   4, 4,  7.8, ⑨⑨, 7, 8,Ｃサウンドロｰデッド, 69,藤岡康, 0.9, 72,   7,   6,13,110.1,⑦⑪⑩, 7, 3, サクラインパルス,---,鮫島良, 0.5, 71, -14,  18,13, 44.6,⑩⑩⑪
 8, 2,Ｎマイプレファランス, 45,河北通, 1.1, 54,  -6,   0,15,162.8,⑫⑫⑩, 8, 1, スエヒロブリリアン,---,西田雄, 1.1, 43, -24,  -1,16,138.9, ⑥④, 8,10,Ｆメイショウジャイロ, 67,松田大, 1.5, 66,*  9, -10, 6, 13.2,⑤⑤③, 8,11,Ｂテイエムデスカイ, 73,芹沢純, 0.6, 66,*-10,   8, 7, 13.5,③③⑤
 9,12,Ｊミツアキクイｰン, 51,二本柳, 1.3, 52,  -8,*  1,14, 99.1,⑭⑮⑫, 9, 6, ハジメレンジャｰ,---,河北通, 1.3, 41, -30,   2, 7, 19.0, ⑫⑪, 9,14,Ｌマルイチキセキ, 64,北村友, 1.5, 69,   6,   6, 9, 47.2,⑮⑯⑭, 9,12,Ｆカワキタラプラタ, 69,中舘英, 0.8, 68, -14,  13, 8, 20.5,⑪⑪⑭
