09年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, キティ,---,中村将,, 68,*  0,*  7, 7, 37.3,①①①, 1, 6, エｰシンダックマン,---,武豊  ,, 62,*-16,*  6, 1,  1.9, ①①, 1,10,Ｆサンライズコア, 62,川田将,, 68,* -4,* 11, 4,  6.8,②②②, 1, 7,Ｃエリモファイナル, 81,石橋守,, 92,  11,* 14, 5, 16.4, ⑩⑩
 2, 8,Ａコウエイテンプウ, 67,浜中俊, 0.4, 66,* -1,   5, 2,  3.0,④③③, 2, 1, マイネルカリバｰン,---,和田竜, 0.7, 53,*-17,  -2, 3,  4.4, ②②, 2, 9,Ｇキングマイハｰト, 62,鮫島良, 0.1, 68,* -4,* 11, 6, 13.0,⑥⑥④, 2, 5,Ｄフライングメリッサ, 78,福永祐, 0.0, 91,  11,  12, 3,  4.8, ⑧⑨
 3, 3,Ｃカバｰドブリッジ, 56,岩田康, 1.0, 65,  -4,   7, 5, 17.0,⑦⑩⑧, 3, 7, パキッシュ,---,岩田康, 1.3, 44, -21,  -6, 2,  4.0, ④④, 3, 5,Ｄマｰブルアロｰ, 63,浜中俊, 0.2, 66,* -4,   8, 1,  3.4,①①①, 3,10,Ｋクリノビスケット, 74,藤岡康, 0.1, 88,  15,   5,15,104.7, ⑤⑤
 4, 7,Ｆタガノスティｰド, 50,幸英明, 1.0, 63,  -6,*  9, 3,  3.5,⑭⑬⑬, 4, 5, フェブムｰビング,---,幸英明, 1.3, 44, -18,  -8, 5, 28.4, ③③, 4, 4,Ａパｰフェクトバイオ, 64,幸英明, 0.6, 64,  -5,   8, 2,  3.8,④③⑤, 4, 9,Ｆホｰマンファラオ, 77,鮫島良, 0.2, 91,   8,* 16, 9, 28.7, ⑫⑭
 5, 2,Ｅエイシンプリズム, 55,田中健, 1.3, 61,  -2,  -2,14,278.0,③④④, 5, 8, ベルエｰル,---,福永祐, 2.0, 34, -21, -15, 4,  5.9, ⑤⑤, 5, 3,Ｂヤマニンスクワｰル, 64,国分恭, 0.6, 65,  -7,* 11, 8, 21.9,⑦⑨⑧, 5,15,Ａラフィナｰル, 87,武豊  , 0.2, 89,   6,* 18, 2,  3.5, ⑭⑮
 6, 9,Ｄアリソンイモン, 55,和田竜, 1.4, 61,  -3,   0, 9, 52.0,⑪⑧⑦, 6, 2, ツルミヒカリ,---,太宰啓, 2.5, 32, -37,  -5, 8,102.8, ⑦⑦, 6,13,Ｌトウケイビクトリｰ, 51,岩田康, 0.9, 62,  -6,   7, 5,  8.9,⑤⑧⑦, 6, 1,Ｅアドマイヤヘッド, 78,川田将, 0.3, 87,* 18,  -2,11, 30.4, ②②
 7, 6,Ｇジャズシンガｰ, 50,太宰啓, 1.5, 61,  -6,   6, 6, 28.6,⑬⑭⑪, 7, 3, タハラタイシン,---,金折知, 2.6, 29, -33, -11, 9,126.5, ⑥⑥, 7,11,Ｃシャア, 63,和田竜, 1.2, 61,  -6,   4, 3,  5.2,⑨⑦⑥, 7, 4,Ｍデンコウミサイル, 74,太宰啓, 0.4, 87,   9,  11,16,107.7, ⑪⑪
 8,10,Ｂレティセラ, 64,国分恭, 1.6, 61,  -5,   4, 4, 12.2,⑫⑫⑫, 8, 4, チキリパンドラ,---,佐藤哲, 5.3, -8, -50, -29, 6, 46.3, ⑧⑧, 8, 2,Ｅゴｰルデンロｰズ, 63,田中克, 1.5, 60,  -8,   5, 9, 42.2,⑫⑫⑪, 8, 8,Ｇショウナンライジン, 77,上村洋, 0.5, 85,  12,   3, 4, 10.8, ⑨⑧
 9,13, ウインキナウ,---,武豊  , 1.7, 56,* -1,  -7, 1,  2.9,②②②,,,,,,,,,,,,, 9, 1,Ｈキクノシュバラ, 59,松山弘, 1.5, 59, -10,   8, 7, 17.5,⑪⑬⑩, 9, 6,Ｎアグネスマクシマム, 69,渡辺薫, 0.5, 87,   8,  11,17,134.0, ⑬⑬
