09年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃプロテクトジアｰス, 62,岩田康,, 68,* -1,*  6, 1,  2.5,①①①, 1,15, ツルマルジュピタｰ,---,武豊  ,, 66,   0,* -2, 1,  1.4, ⑦⑥, 1,12,Ａリｰガルスキｰム, 80,和田竜,, 79,   6,* 10, 1,  1.8, ⑧⑥, 1, 8,Ｂトｰホウドルチェ, 89,岩田康,, 86,* 16,   5, 2,  4.0, ②②
 2,10,Ｂカスガ, 65,吉田稔, 0.3, 67,  -3,*  9, 3,  6.3,⑫⑩⑦, 2, 7, ミヤジシェンロン,---,和田竜, 0.4, 64,   2,  -8,15,142.7, ⑤④, 2,14,Ｂメイショウイッキ, 78,角田晃, 0.4, 75,  -2,* 15, 2,  6.4, ⑯⑬, 2, 4,Ｉスｰサンライダｰ, 83,和田竜, 0.3, 84,* 17,   1, 3,  8.3, ①①
 3, 1,Ａシゲルアサヒダケ, 67,福永祐, 0.6, 65,* -2,   3, 2,  3.1,③③③, 3, 2, コルドバ,---,福永祐, 0.5, 63,*  6, -15, 2,  6.4, ①①, 3,11,Ｉメイショウマレンゴ, 69,蛯名正, 0.8, 72,*  8,  -1, 7, 19.9, ②②, 3, 6,Ｋアｰトオブウォｰ, 80,小原義, 0.3, 82,  12,   6,10, 31.9, ⑦⑦
 4,11,Ｄデルバｰル, 60,松山弘, 0.7, 64,* -1,   3, 6, 14.6,④④④, 4, 9, ベストブルｰム,---,川田将, 0.8, 57,   0, -12, 3, 11.9, ⑥⑦, 4, 9,Ｆケイアイゲンブ, 71,岩田康, 0.9, 70,   0,*  8, 4, 10.6, ⑪⑪, 4,13,Ａセレスハント, 91,武豊  , 0.4, 81,  14,   3, 1,  2.2, ⑥④
 5,14,Ｊベルファム, 48,高野容, 1.4, 62,  -4,   4,13,165.3,⑨⑫⑩, 5,11, サトノホクト,---,蛯名正, 1.1, 52,  -7,* -5, 4, 15.4, ⑭⑬, 5,16,Ｅトｰホウボガｰド, 72,太宰啓, 1.1, 69,   0,*  8, 8, 20.4, ⑮⑫, 5, 5,Ｈスマｰトブレｰド, 83,岡部誠, 0.6, 80,  14,   2,14, 61.3, ⑤⑥
 6, 5,Ｈメイショウボタン, 53,鮫島良, 1.5, 59,  -2,  -3, 5, 13.2,⑤⑤⑤, 6, 6, モンキｰマジック,---,岩田康, 1.2, 51,  -7,* -6, 6, 33.6, ⑬⑫, 6, 6,Ｊライフストリｰム, 66,浜中俊, 1.1, 70,   7,  -2, 9, 56.9, ④④, 6,11,Ｌメトロノｰス, 79,川田将, 0.8, 78,   9,   5, 4, 15.9, ⑨⑨
 7, 7,Ｆナタｰシャ, 55,国分恭, 1.5, 59,  -3,  -1,10, 78.7,⑦⑨⑧, 7, 8, エｰシンリジル,---,浜中俊, 1.4, 52,*  3, -22, 8, 45.0, ③②, 7,10,Ｋマッシュアップ, 65,岡部誠, 1.6, 66,   3,  -1,14,153.3, ⑩⑨, 7,16,Ｎウォｰタｰバロン, 79,酒井学, 0.8, 79,  11,   4, 7, 19.9, ⑧⑧
 8, 2,Ｇロイヤルライン, 53,藤岡康, 2.3, 53,  -4,  -8, 8, 39.5,⑧⑧⑨, 8,16, ケイアイプログレス,---,小牧太, 1.4, 50,  -2, -16,10, 76.0, ⑧⑧, 8, 5,Ｃシュウボンバｰ, 73,上村洋, 1.7, 65,   5,  -4, 3,  8.0, ⑦⑧, 8,14,Ｃブイチャレンジ, 86,武士沢, 0.9, 74,  -1,* 18, 9, 28.7, ⑭⑭
 9, 8, デオアンジェリｰナ,---,幸英明, 2.4, 51,*  0, -13, 7, 33.9,②②②, 9,12, ポケットキャンディ,---,藤岡康, 1.6, 49,*  3, -25, 5, 21.7, ④③, 9, 1,Ｄミッシングナンバｰ, 72,国分恭, 1.8, 63,   5,  -5, 6, 18.4, ⑥⑦, 9, 7,Ｅミスタｰモナルコス, 83,藤岡康, 1.0, 74,  -2,* 18, 8, 28.5, ⑮⑮
